Answer Page,Metric,Company,Year,Value,Source Page,Answer ID,Original Source,Source Count,Comments,ISIN
https://wikirate.org/~8067020,Commons+Address,A.G. BARR plc,2021,Westfield House 4 Mollins Road Cumbernauld G68 9HD,https://wikirate.org/~8066337,8067020.0,https://downloads.modern-slavery-statement-registry.service.gov.uk/publicdownloads/StatementSummaries2021.csv,1.0,,GB00B6XZKY75
https://wikirate.org/~17684478,Commons+Address,A.G. BARR plc,2022,Westfield House 4 Mollins Road Cumbernauld G68 9HD,https://wikirate.org/~16850554,17684478.0,https://downloads.modern-slavery-statement-registry.service.gov.uk/publicdownloads/StatementSummaries2023.csv,1.0,,GB00B6XZKY75
https://wikirate.org/GreenDex+Annual_Revenue+A_G_BARR_plc+2022,GreenDex+Annual Revenue,A.G. BARR plc,2022,327000000,,,,,,GB00B6XZKY75
https://wikirate.org/GreenDex+Annual_Revenue+A_G_BARR_plc+2023,GreenDex+Annual Revenue,A.G. BARR plc,2023,387470000,,,,,,GB00B6XZKY75
https://wikirate.org/~8094329,Poverty Footprint+Anti-Corruption Declaration,A.G. BARR plc,2020,Yes,https://wikirate.org/~8094322,8094329.0,,1.0,Page 8 Sonal Modhvadia[https://wikirate.org/Sonal_Modhvadia].....2021-10-22 16:49:40 UTC,GB00B6XZKY75
https://wikirate.org/Walk_Free+Australian_MSA_Registry_Submission+A_G_BARR_plc+2016,Walk Free+Australian MSA Registry Submission,A.G. BARR plc,2016,No,,,,,,GB00B6XZKY75
https://wikirate.org/Walk_Free+Australian_MSA_Registry_Submission+A_G_BARR_plc+2017,Walk Free+Australian MSA Registry Submission,A.G. BARR plc,2017,No,,,,,,GB00B6XZKY75
https://wikirate.org/Walk_Free+Australian_MSA_Registry_Submission+A_G_BARR_plc+2018,Walk Free+Australian MSA Registry Submission,A.G. BARR plc,2018,No,,,,,,GB00B6XZKY75
https://wikirate.org/Walk_Free+Australian_MSA_Registry_Submission+A_G_BARR_plc+2019,Walk Free+Australian MSA Registry Submission,A.G. BARR plc,2019,No,,,,,,GB00B6XZKY75
https://wikirate.org/Walk_Free+Australian_MSA_Registry_Submission+A_G_BARR_plc+2022,Walk Free+Australian MSA Registry Submission,A.G. BARR plc,2022,No,,,,,,GB00B6XZKY75
https://wikirate.org/Walk_Free+Australian_MSA_Registry_Submission+A_G_BARR_plc+2023,Walk Free+Australian MSA Registry Submission,A.G. BARR plc,2023,No,,,,,,GB00B6XZKY75
https://wikirate.org/Walk_Free+Australian_MSA_statement_assessed+A_G_BARR_plc+2016,Walk Free+Australian MSA statement assessed,A.G. BARR plc,2016,No,,,,,,GB00B6XZKY75
https://wikirate.org/Walk_Free+Australian_MSA_statement_assessed+A_G_BARR_plc+2017,Walk Free+Australian MSA statement assessed,A.G. BARR plc,2017,No,,,,,,GB00B6XZKY75
https://wikirate.org/Walk_Free+Australian_MSA_statement_assessed+A_G_BARR_plc+2018,Walk Free+Australian MSA statement assessed,A.G. BARR plc,2018,No,,,,,,GB00B6XZKY75
https://wikirate.org/Walk_Free+Australian_MSA_statement_assessed+A_G_BARR_plc+2019,Walk Free+Australian MSA statement assessed,A.G. BARR plc,2019,No,,,,,,GB00B6XZKY75
https://wikirate.org/Walk_Free+Australian_MSA_statement_assessed+A_G_BARR_plc+2022,Walk Free+Australian MSA statement assessed,A.G. BARR plc,2022,No,,,,,,GB00B6XZKY75
