Answer Page,Metric,Company,Year,Value,Source Page,Answer ID,Original Source,Source Count,Comments,ISIN
https://wikirate.org/Walk_Free+Australian_MSA_Registry_Submission+INGHAMS_GROUP_LIMITED+2020,Walk Free+Australian MSA Registry Submission,INGHAMS GROUP LIMITED,2020,Yes,,,,,,AU000000ING6
https://wikirate.org/Walk_Free+Australian_MSA_Registry_Submission+INGHAMS_GROUP_LIMITED+2021,Walk Free+Australian MSA Registry Submission,INGHAMS GROUP LIMITED,2021,Yes,,,,,,AU000000ING6
https://wikirate.org/Walk_Free+Australian_MSA_Registry_Submission+INGHAMS_GROUP_LIMITED+2022,Walk Free+Australian MSA Registry Submission,INGHAMS GROUP LIMITED,2022,Yes,,,,,,AU000000ING6
https://wikirate.org/Walk_Free+Australian_MSA_Registry_Submission+INGHAMS_GROUP_LIMITED+2023,Walk Free+Australian MSA Registry Submission,INGHAMS GROUP LIMITED,2023,Yes,,,,,,AU000000ING6
https://wikirate.org/Walk_Free+Australian_MSA_statement_assessed+INGHAMS_GROUP_LIMITED+2020,Walk Free+Australian MSA statement assessed,INGHAMS GROUP LIMITED,2020,No,,,,,,AU000000ING6
https://wikirate.org/Walk_Free+Australian_MSA_statement_assessed+INGHAMS_GROUP_LIMITED+2021,Walk Free+Australian MSA statement assessed,INGHAMS GROUP LIMITED,2021,No,,,,,,AU000000ING6
https://wikirate.org/Walk_Free+Australian_MSA_statement_assessed+INGHAMS_GROUP_LIMITED+2022,Walk Free+Australian MSA statement assessed,INGHAMS GROUP LIMITED,2022,No,,,,,,AU000000ING6
https://wikirate.org/Walk_Free+Australian_MSA_statement_assessed+INGHAMS_GROUP_LIMITED+2023,Walk Free+Australian MSA statement assessed,INGHAMS GROUP LIMITED,2023,No,,,,,,AU000000ING6
https://wikirate.org/Walk_Free+Company_size+INGHAMS_GROUP_LIMITED+2020,Walk Free+Company size,INGHAMS GROUP LIMITED,2020,Large,,,,,,AU000000ING6
https://wikirate.org/Walk_Free+Company_size+INGHAMS_GROUP_LIMITED+2021,Walk Free+Company size,INGHAMS GROUP LIMITED,2021,Large,,,,,,AU000000ING6
https://wikirate.org/Walk_Free+Company_size+INGHAMS_GROUP_LIMITED+2022,Walk Free+Company size,INGHAMS GROUP LIMITED,2022,Large,,,,,,AU000000ING6
https://wikirate.org/Walk_Free+Company_size+INGHAMS_GROUP_LIMITED+2023,Walk Free+Company size,INGHAMS GROUP LIMITED,2023,Large,,,,,,AU000000ING6
https://wikirate.org/World_Benchmarking_Alliance+Core_Social_Indicators+INGHAMS_GROUP_LIMITED+2023,World Benchmarking Alliance+Core Social Indicators,INGHAMS GROUP LIMITED,2023,2.0,,,,,,AU000000ING6
https://wikirate.org/Core+Country+INGHAMS_GROUP_LIMITED+2019,Core+Country,INGHAMS GROUP LIMITED,2019,Australia,,,,,,AU000000ING6
https://wikirate.org/GreenDex+Country+INGHAMS_GROUP_LIMITED+2019,GreenDex+Country,INGHAMS GROUP LIMITED,2019,Australia,,,,,,AU000000ING6
https://wikirate.org/~18455969,World Benchmarking Alliance+CSI.1.A Commitment to Respect Human Rights,INGHAMS GROUP LIMITED,2023,No,https://wikirate.org/~18088734,18455969.0,,1.0,"The company states that it promotes human rights, however, a statement in sustainability report is not considered to be a part of formal policy commitment. Also, no evidence found that the company has a publicly available policy statement committing it to respect human rights, which is approved by the highest governance body.",AU000000ING6
https://wikirate.org/World_Benchmarking_Alliance+CSI_1_A_Commitment_to_Respect_Human_Rights+World_Benchmarking_Alliance_Research_Group+INGHAMS_GROUP_LIMITED+2023,World Benchmarking Alliance+CSI.1.A Commitment to Respect Human Rights+World Benchmarking Alliance Research Group,INGHAMS GROUP LIMITED,2023,0.0,,,,,,AU000000ING6
https://wikirate.org/~18466424,World Benchmarking Alliance+CSI.10.A Living Wage Targets,INGHAMS GROUP LIMITED,2023,No,https://wikirate.org/~18088734,18466424.0,,1.0,"The company states that it promotes competitive pay for its employees, however, it does not disclose if competitive pay is sufficient enough to maintain a decent standard of living for employees and his/her family. Also, no evidence found that the company discloses a time-bound target for paying all workers a living wage.",AU000000ING6
https://wikirate.org/~18467039,World Benchmarking Alliance+CSI.10.B Living Wage Determination,INGHAMS GROUP LIMITED,2023,No,https://wikirate.org/~18088734,18467039.0,,1.0,No evidence found that the company describes how it determines a living wage for the regions where it operates.,AU000000ING6
https://wikirate.org/~18467654,World Benchmarking Alliance+CSI.10.C Living Wage Business Relationship Support,INGHAMS GROUP LIMITED,2023,No,https://wikirate.org/~18088734,18467654.0,,1.0,"The company expects its suppliers to provide wages as per national legal standards or industry benchmark standards, whichever is higher. However, it is unclear if that is enough to maintain a decent standard of living for employees of its business relationships and their family. Also, no evidence found that it discloses how it works to support the payment of a living wage by its business relationships.",AU000000ING6
https://wikirate.org/World_Benchmarking_Alliance+CSI_10_Living_wage_fundamentals+INGHAMS_GROUP_LIMITED+2023,World Benchmarking Alliance+CSI 10 Living wage fundamentals,INGHAMS GROUP LIMITED,2023,No,,,,,,AU000000ING6
https://wikirate.org/World_Benchmarking_Alliance+CSI_10_Living_wage_fundamentals+World_Benchmarking_Alliance_Research_Group+INGHAMS_GROUP_LIMITED+2023,World Benchmarking Alliance+CSI 10 Living wage fundamentals+World Benchmarking Alliance Research Group,INGHAMS GROUP LIMITED,2023,0.0,,,,,,AU000000ING6
https://wikirate.org/~18468269,World Benchmarking Alliance+CSI.11.A Fair Working Hours Commitment,INGHAMS GROUP LIMITED,2023,No,https://wikirate.org/~18088734,18468269.0,,1.0,No evidence found that it publicly states that workers shall not be required to work more than 48 hours in a regular work week or 60 hours including overtime.,AU000000ING6
https://wikirate.org/~18468884,World Benchmarking Alliance+CSI.11.B Commitment to Fair Overtime,INGHAMS GROUP LIMITED,2023,No,https://wikirate.org/~18088734,18468884.0,,1.0,No evidence found that the company publicly states that all overtime work must be consensual and be paid at a premium rate.,AU000000ING6
https://wikirate.org/~18469499,World Benchmarking Alliance+CSI.11.C Fair Working Hours Commitment in Business Relationship Employees,INGHAMS GROUP LIMITED,2023,No,https://wikirate.org/~18088734,18469499.0,,1.0,"The company expects its suppliers to comply with local or national laws on working hours. However, it does not disclose the locations of its business relationships. Also, no evidence found that the company has a public expectation that its business relationships shall not require workers to work more than 48 hours in a regular work week or 60 hours including overtime.",AU000000ING6
https://wikirate.org/World_Benchmarking_Alliance+CSI_11_Working_hours_fundamentals+INGHAMS_GROUP_LIMITED+2023,World Benchmarking Alliance+CSI 11 Working hours fundamentals,INGHAMS GROUP LIMITED,2023,No,,,,,,AU000000ING6
https://wikirate.org/World_Benchmarking_Alliance+CSI_11_Working_hours_fundamentals+World_Benchmarking_Alliance_Research_Group+INGHAMS_GROUP_LIMITED+2023,World Benchmarking Alliance+CSI 11 Working hours fundamentals+World Benchmarking Alliance Research Group,INGHAMS GROUP LIMITED,2023,0.0,,,,,,AU000000ING6
https://wikirate.org/~18470114,World Benchmarking Alliance+CSI.12.A Collective Bargaining,INGHAMS GROUP LIMITED,2023,No,https://wikirate.org/~18088734,18470114.0,,1.0,No evidence found that the company discloses the proportion of its total direct operations workforce covered by collective bargaining agreements.,AU000000ING6
https://wikirate.org/World_Benchmarking_Alliance+CSI_12_A_Collective_Bargaining+World_Benchmarking_Alliance_Research_Group+INGHAMS_GROUP_LIMITED+2023,World Benchmarking Alliance+CSI.12.A Collective Bargaining+World Benchmarking Alliance Research Group,INGHAMS GROUP LIMITED,2023,0.0,,,,,,AU000000ING6
https://wikirate.org/~18470729,World Benchmarking Alliance+CSI.12.B Collective Bargaining in Business Relationships,INGHAMS GROUP LIMITED,2023,No,https://wikirate.org/~18088734,18470729.0,,1.0,"The company expects its suppliers to respect the freedom of its workers to associate and to bargain collectively according to national law. However, no evidence found that the company describes how it works to support the practices of its business relationships in relation to freedom of association and collective bargaining.",AU000000ING6
https://wikirate.org/World_Benchmarking_Alliance+CSI_12_B_Collective_Bargaining_in_Business_Relationships+World_Benchmarking_Alliance_Research_Group+INGHAMS_GROUP_LIMITED+2023,World Benchmarking Alliance+CSI.12.B Collective Bargaining in Business Relationships+World Benchmarking Alliance Research Group,INGHAMS GROUP LIMITED,2023,0.0,,,,,,AU000000ING6
