Answer Page,Metric,Company,Year,Value,Source Page,Answer ID,Original Source,Source Count,Comments,ISIN
https://wikirate.org/~12125036,Poverty Footprint+Access to Healthcare for Work-related Incidents,PILGRIM'S PRIDE LTD.,2020,Unknown,https://wikirate.org/~11583765,12125036.0,https://sustainability.pilgrims.com/,1.0,,
https://wikirate.org/~9846596,Commons+Address,PILGRIM'S PRIDE LTD.,2021,"Seton House Warwick Technology Park, Gallows Hill Warwick CV34 6DA",https://wikirate.org/~8066337,9846596.0,https://downloads.modern-slavery-statement-registry.service.gov.uk/publicdownloads/StatementSummaries2021.csv,1.0,,
https://wikirate.org/~14158137,Commons+Address,PILGRIM'S PRIDE LTD.,2022,"Seton House Warwick Technology Park, Gallows Hill Warwick CV34 6DA",https://wikirate.org/~13403182,14158137.0,https://downloads.modern-slavery-statement-registry.service.gov.uk/publicdownloads/StatementSummaries2022.csv,1.0,,
https://wikirate.org/GreenDex+Annual_Revenue+PILGRIM_S_PRIDE_LTD+2020,GreenDex+Annual Revenue,PILGRIM'S PRIDE LTD.,2020,12091091,,,,,,
https://wikirate.org/Walk_Free+Australian_MSA_Registry_Submission+PILGRIM_S_PRIDE_LTD+2021,Walk Free+Australian MSA Registry Submission,PILGRIM'S PRIDE LTD.,2021,No,,,,,,
https://wikirate.org/Walk_Free+Australian_MSA_Registry_Submission+PILGRIM_S_PRIDE_LTD+2023,Walk Free+Australian MSA Registry Submission,PILGRIM'S PRIDE LTD.,2023,No,,,,,,
https://wikirate.org/Walk_Free+Australian_MSA_statement_assessed+PILGRIM_S_PRIDE_LTD+2021,Walk Free+Australian MSA statement assessed,PILGRIM'S PRIDE LTD.,2021,No,,,,,,
https://wikirate.org/Walk_Free+Australian_MSA_statement_assessed+PILGRIM_S_PRIDE_LTD+2023,Walk Free+Australian MSA statement assessed,PILGRIM'S PRIDE LTD.,2023,No,,,,,,
https://wikirate.org/~12123159,"Global Reporting Initiative+Average hours of training (female), GRI 404-1 (formerly G4-LA9)",PILGRIM'S PRIDE LTD.,2020,Unknown,https://wikirate.org/~11583765,12123159.0,https://sustainability.pilgrims.com/,1.0,,
https://wikirate.org/~12121981,"Global Reporting Initiative+Average hours of training, GRI 404-1 (formerly G4-LA9)",PILGRIM'S PRIDE LTD.,2020,7.36,https://wikirate.org/~11583765,12121981.0,https://sustainability.pilgrims.com/,1.0,"https://sustainability.pilgrims.com/chapters/team-members/developing-leaders/ Calculated by dividing the total number of hours training figure listed 166,135 by the total number of employees 41400. No figures were available for Europe K Wilson[https://wikirate.org/K_Wilson].....2022-02-18 16:01:51 UTC Edited to add UK figures. Total no of hrs training =415481 divided by total employees 56400 K Wilson[https://wikirate.org/K_Wilson].....2022-02-18 16:07:28 UTC",
https://wikirate.org/~12123103,"Global Reporting Initiative+Average hours of training (male), GRI 404-1 (formerly G4-LA9)",PILGRIM'S PRIDE LTD.,2020,Unknown,https://wikirate.org/~12103579,12123103.0,https://www.pilgrimsuk.com/app/uploads/2021/07/PILG_21026-Gender-Pay-Report.pdf,1.0,,
https://wikirate.org/Gershon_M_Bialer+CO2e_Intensity+PILGRIM_S_PRIDE_LTD+2020,Gershon M. Bialer+CO2e Intensity,PILGRIM'S PRIDE LTD.,2020,Unknown,,,,,,
https://wikirate.org/~12103768,Global Reporting Initiative+Collective Bargaining (G4-11),PILGRIM'S PRIDE LTD.,2020,46,https://wikirate.org/~11583765,12103768.0,https://sustainability.pilgrims.com/,1.0,https://sustainability.pilgrims.com/chapters/team-members/ European figure quoted additionally: 57% of US team members 86% of Mexico team members K Wilson[https://wikirate.org/K_Wilson].....2022-02-16 20:14:18 UTC,
https://wikirate.org/Global_Reporting_Initiative+Collective_bargaining_GRI_102_41+PILGRIM_S_PRIDE_LTD+2020,Global Reporting Initiative+Collective bargaining (GRI 102-41),PILGRIM'S PRIDE LTD.,2020,46,,,,,,
https://wikirate.org/Commons+Combined_Scope_1_2_and_3_Greenhouse_Gas_Emissions_GHG+PILGRIM_S_PRIDE_LTD+2020,"Commons+Combined Scope 1, 2 and 3 Greenhouse Gas Emissions (GHG)",PILGRIM'S PRIDE LTD.,2020,Unknown,,,,,,
https://wikirate.org/Richard_Mills+Combined_Scope_1_and_2_Greenhouse_Gas_emissions+PILGRIM_S_PRIDE_LTD+2020,Richard Mills+Combined Scope 1 and 2 Greenhouse Gas emissions,PILGRIM'S PRIDE LTD.,2020,Unknown,,,,,,
https://wikirate.org/Wikirate_SDG_Metric_design+Common_Environmental_Metrics_Reported+PILGRIM_S_PRIDE_LTD+2020,Wikirate SDG Metric design+Common Environmental Metrics Reported,PILGRIM'S PRIDE LTD.,2020,4,,,,,,
https://wikirate.org/Wikirate_SDG_Metric_design+Common_Social_Metrics_Reported+PILGRIM_S_PRIDE_LTD+2020,Wikirate SDG Metric design+Common Social Metrics Reported,PILGRIM'S PRIDE LTD.,2020,7,,,,,,
https://wikirate.org/Walk_Free+Company_size+PILGRIM_S_PRIDE_LTD+2019,Walk Free+Company size,PILGRIM'S PRIDE LTD.,2019,Large,,,,,,
https://wikirate.org/Walk_Free+Company_size+PILGRIM_S_PRIDE_LTD+2020,Walk Free+Company size,PILGRIM'S PRIDE LTD.,2020,Large,,,,,,
https://wikirate.org/Walk_Free+Company_size+PILGRIM_S_PRIDE_LTD+2021,Walk Free+Company size,PILGRIM'S PRIDE LTD.,2021,Large,,,,,,
https://wikirate.org/Walk_Free+Company_size+PILGRIM_S_PRIDE_LTD+2023,Walk Free+Company size,PILGRIM'S PRIDE LTD.,2023,Large,,,,,,
https://wikirate.org/GreenDex+Company_size+PILGRIM_S_PRIDE_LTD+2020,GreenDex+Company size,PILGRIM'S PRIDE LTD.,2020,Large,,,,,,
https://wikirate.org/Core+Country+PILGRIM_S_PRIDE_LTD+2019,Core+Country,PILGRIM'S PRIDE LTD.,2019,United Kingdom,,,,,,
https://wikirate.org/GreenDex+Country+PILGRIM_S_PRIDE_LTD+2019,GreenDex+Country,PILGRIM'S PRIDE LTD.,2019,United Kingdom,,,,,,
