Answer Page,Metric,Company,Year,Value,Source Page,Answer ID,Original Source,Source Count,Comments,ISIN
https://wikirate.org/~8067753,Commons+Address,Fresca Group Ltd,2021,The Fresh Produce Centre Transfesa Road Paddock Wood Kent TN12 6UT,https://wikirate.org/~8066337,8067753.0,https://downloads.modern-slavery-statement-registry.service.gov.uk/publicdownloads/StatementSummaries2021.csv,1.0,,
https://wikirate.org/~17684394,Commons+Address,Fresca Group Ltd,2022,The Fresh Produce Centre Transfesa Road Paddock Wood Kent TN12 6UT,https://wikirate.org/~16850554,17684394.0,https://downloads.modern-slavery-statement-registry.service.gov.uk/publicdownloads/StatementSummaries2023.csv,1.0,,
https://wikirate.org/GreenDex+Annual_Revenue+Fresca_Group_Ltd+2022,GreenDex+Annual Revenue,Fresca Group Ltd,2022,565967940.814,,,,,,
https://wikirate.org/GreenDex+Annual_Revenue+Fresca_Group_Ltd+2023,GreenDex+Annual Revenue,Fresca Group Ltd,2023,6800000,,,,,,
https://wikirate.org/Walk_Free+Australian_MSA_Registry_Submission+Fresca_Group_Ltd+2016,Walk Free+Australian MSA Registry Submission,Fresca Group Ltd,2016,No,,,,,,
https://wikirate.org/Walk_Free+Australian_MSA_Registry_Submission+Fresca_Group_Ltd+2018,Walk Free+Australian MSA Registry Submission,Fresca Group Ltd,2018,No,,,,,,
https://wikirate.org/Walk_Free+Australian_MSA_Registry_Submission+Fresca_Group_Ltd+2019,Walk Free+Australian MSA Registry Submission,Fresca Group Ltd,2019,No,,,,,,
https://wikirate.org/Walk_Free+Australian_MSA_Registry_Submission+Fresca_Group_Ltd+2020,Walk Free+Australian MSA Registry Submission,Fresca Group Ltd,2020,No,,,,,,
https://wikirate.org/Walk_Free+Australian_MSA_Registry_Submission+Fresca_Group_Ltd+2021,Walk Free+Australian MSA Registry Submission,Fresca Group Ltd,2021,No,,,,,,
https://wikirate.org/Walk_Free+Australian_MSA_Registry_Submission+Fresca_Group_Ltd+2022,Walk Free+Australian MSA Registry Submission,Fresca Group Ltd,2022,No,,,,,,
https://wikirate.org/Walk_Free+Australian_MSA_Registry_Submission+Fresca_Group_Ltd+2023,Walk Free+Australian MSA Registry Submission,Fresca Group Ltd,2023,No,,,,,,
https://wikirate.org/Walk_Free+Australian_MSA_statement_assessed+Fresca_Group_Ltd+2016,Walk Free+Australian MSA statement assessed,Fresca Group Ltd,2016,No,,,,,,
https://wikirate.org/Walk_Free+Australian_MSA_statement_assessed+Fresca_Group_Ltd+2018,Walk Free+Australian MSA statement assessed,Fresca Group Ltd,2018,No,,,,,,
https://wikirate.org/Walk_Free+Australian_MSA_statement_assessed+Fresca_Group_Ltd+2019,Walk Free+Australian MSA statement assessed,Fresca Group Ltd,2019,No,,,,,,
https://wikirate.org/Walk_Free+Australian_MSA_statement_assessed+Fresca_Group_Ltd+2020,Walk Free+Australian MSA statement assessed,Fresca Group Ltd,2020,No,,,,,,
https://wikirate.org/Walk_Free+Australian_MSA_statement_assessed+Fresca_Group_Ltd+2021,Walk Free+Australian MSA statement assessed,Fresca Group Ltd,2021,No,,,,,,
https://wikirate.org/Walk_Free+Australian_MSA_statement_assessed+Fresca_Group_Ltd+2022,Walk Free+Australian MSA statement assessed,Fresca Group Ltd,2022,No,,,,,,
https://wikirate.org/Walk_Free+Australian_MSA_statement_assessed+Fresca_Group_Ltd+2023,Walk Free+Australian MSA statement assessed,Fresca Group Ltd,2023,No,,,,,,
https://wikirate.org/~18043128,Core+Company Report Available,Fresca Group Ltd,2022,Yes,https://wikirate.org/~18039206,18043128.0,,1.0,"Yes, the company published a report containing ESG information. Pooja Yadav[https://wikirate.org/Pooja_Yadav].....2024-05-16 05:40:10 UTC",
https://wikirate.org/Walk_Free+Company_size+Fresca_Group_Ltd+2019,Walk Free+Company size,Fresca Group Ltd,2019,Medium,,,,,,
https://wikirate.org/Walk_Free+Company_size+Fresca_Group_Ltd+2020,Walk Free+Company size,Fresca Group Ltd,2020,Medium,,,,,,
https://wikirate.org/Walk_Free+Company_size+Fresca_Group_Ltd+2021,Walk Free+Company size,Fresca Group Ltd,2021,Medium,,,,,,
https://wikirate.org/Walk_Free+Company_size+Fresca_Group_Ltd+2022,Walk Free+Company size,Fresca Group Ltd,2022,Medium,,,,,,
https://wikirate.org/Walk_Free+Company_size+Fresca_Group_Ltd+2023,Walk Free+Company size,Fresca Group Ltd,2023,Medium,,,,,,
https://wikirate.org/GreenDex+Company_size+Fresca_Group_Ltd+2022,GreenDex+Company size,Fresca Group Ltd,2022,Medium,,,,,,
https://wikirate.org/GreenDex+Company_size+Fresca_Group_Ltd+2023,GreenDex+Company size,Fresca Group Ltd,2023,Medium,,,,,,
https://wikirate.org/Core+Country+Fresca_Group_Ltd+2019,Core+Country,Fresca Group Ltd,2019,United Kingdom,,,,,,
https://wikirate.org/GreenDex+Country+Fresca_Group_Ltd+2019,GreenDex+Country,Fresca Group Ltd,2019,United Kingdom,,,,,,
https://wikirate.org/Wikirate_Calculated_Metric_Design_Group+Disclosure_rate_on_selected_social_and_environmental_metrics+Fresca_Group_Ltd+2022,Wikirate Calculated Metric Design Group+Disclosure rate on selected social and environmental metrics,Fresca Group Ltd,2022,1,,,,,,
https://wikirate.org/Wikirate_Calculated_Metric_Design_Group+Disclosure_rate_on_selected_social_and_environmental_metrics+Fresca_Group_Ltd+2023,Wikirate Calculated Metric Design Group+Disclosure rate on selected social and environmental metrics,Fresca Group Ltd,2023,3,,,,,,
https://wikirate.org/~18084018,Core+Employee,Fresca Group Ltd,2023,930,https://wikirate.org/~18083999,18084018.0,,1.0,"Based on the provided data, the average monthly number of employees, including directors, for the specified periods is as follows: - Group Distribution: - For the 52-week period ended 28 April 2023: 756 employees - For the 52-week period ended 29 April 2022: 809 employees - Group Administrative: - For the 52-week period ended 28 April 2023: 174 employees - For the 52-week period ended 29 April 2022: 166 employees - Company Distribution: - For the 52-week period ended 28 April 2023: No data provided - For the 52-week period ended 29 April 2022: No data provided - Company Administrative: - For the 52-week period ended 28 April 2023: 59 employees - For the 52-week period ended 29 April 2022: 59 employees WENWEN LI[https://wikirate.org/WENWEN_LI].....2024-03-20 19:35:10 UTC",
https://wikirate.org/Commons+Employee+Fresca_Group_Ltd+2018,Commons+Employee,Fresca Group Ltd,2018,Less than 250,,,,,,
https://wikirate.org/Commons+Employee+Fresca_Group_Ltd+2019,Commons+Employee,Fresca Group Ltd,2019,1000 to 4999,,,,,,
https://wikirate.org/Commons+Employee+Fresca_Group_Ltd+2020,Commons+Employee,Fresca Group Ltd,2020,Less than 250,,,,,,
https://wikirate.org/Commons+Employee+Fresca_Group_Ltd+2021,Commons+Employee,Fresca Group Ltd,2021,500 to 999,,,,,,
https://wikirate.org/Commons+Employee+Fresca_Group_Ltd+2022,Commons+Employee,Fresca Group Ltd,2022,500 to 999,,,,,,
https://wikirate.org/Commons+Employee+Fresca_Group_Ltd+2023,Commons+Employee,Fresca Group Ltd,2023,930,,,,,,
https://wikirate.org/~9612695,GOV.UK Gender Pay Gap Service+Employer Size,Fresca Group Ltd,2018,Less than 250,https://wikirate.org/~8767324,9612695.0,https://gender-pay-gap.service.gov.uk/viewing/download-data/2018,1.0,,
https://wikirate.org/~9620888,GOV.UK Gender Pay Gap Service+Employer Size,Fresca Group Ltd,2019,1000 to 4999,https://wikirate.org/~8767384,9620888.0,https://gender-pay-gap.service.gov.uk/viewing/download-data/2019,1.0,,
https://wikirate.org/~9627981,GOV.UK Gender Pay Gap Service+Employer Size,Fresca Group Ltd,2020,Less than 250,https://wikirate.org/~8767440,9627981.0,https://gender-pay-gap.service.gov.uk/viewing/download-data/2020,1.0,,
https://wikirate.org/~12944787,GOV.UK Gender Pay Gap Service+Employer Size,Fresca Group Ltd,2021,500 to 999,https://wikirate.org/~12654979,12944787.0,https://gender-pay-gap.service.gov.uk/viewing/download-data/2021,1.0,,
https://wikirate.org/~15015500,GOV.UK Gender Pay Gap Service+Employer Size,Fresca Group Ltd,2022,500 to 999,https://wikirate.org/~14619205,15015500.0,https://gender-pay-gap.service.gov.uk/viewing/download-data/2022,1.0,,
https://wikirate.org/~19241800,GOV.UK Gender Pay Gap Service+Employer Size,Fresca Group Ltd,2023,Less than 250,https://wikirate.org/~18840194,19241800.0,https://www.frescagroup.co.uk/pdf/2023/gender-pay-gap-report.pdf,2.0,,
https://wikirate.org/Ewha_Womans_University_Research_Group+Ewha_2020_SDG12_Disclosure_Rate+Fresca_Group_Ltd+2022,Ewha Womans University Research Group+Ewha 2020 - SDG12 Disclosure Rate,Fresca Group Ltd,2022,5.263157894736842,,,,,,
https://wikirate.org/Ewha_Womans_University_Research_Group+Ewha_2020_SDG12_Disclosure_Rate+Fresca_Group_Ltd+2023,Ewha Womans University Research Group+Ewha 2020 - SDG12 Disclosure Rate,Fresca Group Ltd,2023,5.263157894736842,,,,,,
https://wikirate.org/Ewha_Womans_University_Research_Group+Ewha_2020_SDG5_Disclosure_Rate+Fresca_Group_Ltd+2022,Ewha Womans University Research Group+Ewha 2020 - SDG5 Disclosure Rate,Fresca Group Ltd,2022,5.555555555555555,,,,,,
https://wikirate.org/Ewha_Womans_University_Research_Group+Ewha_2020_SDG5_Disclosure_Rate+Fresca_Group_Ltd+2023,Ewha Womans University Research Group+Ewha 2020 - SDG5 Disclosure Rate,Fresca Group Ltd,2023,5.555555555555555,,,,,,
https://wikirate.org/Walk_Free+Financial_Services_Sector+Fresca_Group_Ltd+2016,Walk Free+Financial Services Sector,Fresca Group Ltd,2016,No,,,,,,
https://wikirate.org/Walk_Free+Financial_Services_Sector+Fresca_Group_Ltd+2018,Walk Free+Financial Services Sector,Fresca Group Ltd,2018,No,,,,,,
https://wikirate.org/Walk_Free+Financial_Services_Sector+Fresca_Group_Ltd+2019,Walk Free+Financial Services Sector,Fresca Group Ltd,2019,No,,,,,,
https://wikirate.org/Walk_Free+Financial_Services_Sector+Fresca_Group_Ltd+2020,Walk Free+Financial Services Sector,Fresca Group Ltd,2020,No,,,,,,
