Answer Page,Metric,Company,Year,Value,Source Page,Answer ID,Original Source,Source Count,Comments,ISIN
https://wikirate.org/~8068991,Commons+Address,Tesco Stores Ltd,2021,"Tesco House, Shire Park Kestrel Way Welwyn Garden City United Kingdom AL7 1GA",https://wikirate.org/~8066337,8068991.0,https://downloads.modern-slavery-statement-registry.service.gov.uk/publicdownloads/StatementSummaries2021.csv,1.0,,
https://wikirate.org/~14161224,Commons+Address,Tesco Stores Ltd,2022,"Tesco House, Shire Park Kestrel Way Welwyn Garden City United Kingdom AL7 1GA",https://wikirate.org/~13403182,14161224.0,https://downloads.modern-slavery-statement-registry.service.gov.uk/publicdownloads/StatementSummaries2022.csv,1.0,,
https://wikirate.org/Walk_Free+Australian_MSA_Registry_Submission+Tesco_Stores_Ltd+2019,Walk Free+Australian MSA Registry Submission,Tesco Stores Ltd,2019,No,,,,,,
https://wikirate.org/Walk_Free+Australian_MSA_Registry_Submission+Tesco_Stores_Ltd+2020,Walk Free+Australian MSA Registry Submission,Tesco Stores Ltd,2020,No,,,,,,
https://wikirate.org/Walk_Free+Australian_MSA_Registry_Submission+Tesco_Stores_Ltd+2021,Walk Free+Australian MSA Registry Submission,Tesco Stores Ltd,2021,No,,,,,,
https://wikirate.org/Walk_Free+Australian_MSA_Registry_Submission+Tesco_Stores_Ltd+2022,Walk Free+Australian MSA Registry Submission,Tesco Stores Ltd,2022,No,,,,,,
https://wikirate.org/Walk_Free+Australian_MSA_Registry_Submission+Tesco_Stores_Ltd+2023,Walk Free+Australian MSA Registry Submission,Tesco Stores Ltd,2023,No,,,,,,
https://wikirate.org/Walk_Free+Australian_MSA_statement_assessed+Tesco_Stores_Ltd+2019,Walk Free+Australian MSA statement assessed,Tesco Stores Ltd,2019,No,,,,,,
https://wikirate.org/Walk_Free+Australian_MSA_statement_assessed+Tesco_Stores_Ltd+2020,Walk Free+Australian MSA statement assessed,Tesco Stores Ltd,2020,No,,,,,,
https://wikirate.org/Walk_Free+Australian_MSA_statement_assessed+Tesco_Stores_Ltd+2021,Walk Free+Australian MSA statement assessed,Tesco Stores Ltd,2021,No,,,,,,
https://wikirate.org/Walk_Free+Australian_MSA_statement_assessed+Tesco_Stores_Ltd+2022,Walk Free+Australian MSA statement assessed,Tesco Stores Ltd,2022,No,,,,,,
https://wikirate.org/Walk_Free+Australian_MSA_statement_assessed+Tesco_Stores_Ltd+2023,Walk Free+Australian MSA statement assessed,Tesco Stores Ltd,2023,No,,,,,,
https://wikirate.org/Walk_Free+Company_size+Tesco_Stores_Ltd+2019,Walk Free+Company size,Tesco Stores Ltd,2019,Large,,,,,,
https://wikirate.org/Walk_Free+Company_size+Tesco_Stores_Ltd+2020,Walk Free+Company size,Tesco Stores Ltd,2020,Large,,,,,,
https://wikirate.org/Core+Country+Tesco_Stores_Ltd+2019,Core+Country,Tesco Stores Ltd,2019,United Kingdom,,,,,,
https://wikirate.org/GreenDex+Country+Tesco_Stores_Ltd+2019,GreenDex+Country,Tesco Stores Ltd,2019,United Kingdom,,,,,,
https://wikirate.org/Commons+Employee+Tesco_Stores_Ltd+2017,Commons+Employee,Tesco Stores Ltd,2017,"20,000 or more",,,,,,
https://wikirate.org/Commons+Employee+Tesco_Stores_Ltd+2018,Commons+Employee,Tesco Stores Ltd,2018,"20,000 or more",,,,,,
https://wikirate.org/Commons+Employee+Tesco_Stores_Ltd+2019,Commons+Employee,Tesco Stores Ltd,2019,"20,000 or more",,,,,,
https://wikirate.org/Commons+Employee+Tesco_Stores_Ltd+2020,Commons+Employee,Tesco Stores Ltd,2020,"20,000 or more",,,,,,
https://wikirate.org/Commons+Employee+Tesco_Stores_Ltd+2021,Commons+Employee,Tesco Stores Ltd,2021,"20,000 or more",,,,,,
https://wikirate.org/Commons+Employee+Tesco_Stores_Ltd+2022,Commons+Employee,Tesco Stores Ltd,2022,"20,000 or more",,,,,,
https://wikirate.org/Commons+Employee+Tesco_Stores_Ltd+2023,Commons+Employee,Tesco Stores Ltd,2023,"20,000 or more",,,,,,
https://wikirate.org/~9602927,GOV.UK Gender Pay Gap Service+Employer Size,Tesco Stores Ltd,2017,"20,000 or more",https://wikirate.org/~8767248,9602927.0,https://gender-pay-gap.service.gov.uk/viewing/download-data/2017,1.0,,
https://wikirate.org/~9617410,GOV.UK Gender Pay Gap Service+Employer Size,Tesco Stores Ltd,2018,"20,000 or more",https://wikirate.org/~8767324,9617410.0,https://gender-pay-gap.service.gov.uk/viewing/download-data/2018,1.0,,
https://wikirate.org/~9624037,GOV.UK Gender Pay Gap Service+Employer Size,Tesco Stores Ltd,2019,"20,000 or more",https://wikirate.org/~8767384,9624037.0,https://gender-pay-gap.service.gov.uk/viewing/download-data/2019,1.0,,
https://wikirate.org/~9635829,GOV.UK Gender Pay Gap Service+Employer Size,Tesco Stores Ltd,2020,"20,000 or more",https://wikirate.org/~8767440,9635829.0,https://gender-pay-gap.service.gov.uk/viewing/download-data/2020,1.0,,
https://wikirate.org/~12957141,GOV.UK Gender Pay Gap Service+Employer Size,Tesco Stores Ltd,2021,"20,000 or more",https://wikirate.org/~12654979,12957141.0,https://gender-pay-gap.service.gov.uk/viewing/download-data/2021,1.0,,
https://wikirate.org/~15029615,GOV.UK Gender Pay Gap Service+Employer Size,Tesco Stores Ltd,2022,"20,000 or more",https://wikirate.org/~14619205,15029615.0,https://gender-pay-gap.service.gov.uk/viewing/download-data/2022,2.0,Company provided the following link that points to its gender pay gap info: https://bank.tescoplc.com/sustainability/diversity-inclusion/gender-tesco-bank/,
