Answer Page,Metric,Company,Year,Value,Source Page,Answer ID,Original Source,Source Count,Comments,ISIN
https://wikirate.org/~8067441,Commons+Address,Capgemini UK,2021,1 Forge End Woking Surrey GU21 6DB,https://wikirate.org/~8066337,8067441.0,https://downloads.modern-slavery-statement-registry.service.gov.uk/publicdownloads/StatementSummaries2021.csv,1.0,,
https://wikirate.org/~14147908,Commons+Address,Capgemini UK,2022,1 Forge End Woking Surrey GU21 6DB,https://wikirate.org/~13403182,14147908.0,https://downloads.modern-slavery-statement-registry.service.gov.uk/publicdownloads/StatementSummaries2022.csv,1.0,,
https://wikirate.org/Walk_Free+AUS_MSA_Beyond_Compliance_Disclosure_Rate+Capgemini_UK+2020,Walk Free+AUS MSA Beyond Compliance Disclosure Rate,Capgemini UK,2020,Unknown,,,,,,
https://wikirate.org/Walk_Free+AUS_MSA_Beyond_Compliance_Disclosure_Rate+Capgemini_UK+2021,Walk Free+AUS MSA Beyond Compliance Disclosure Rate,Capgemini UK,2021,Unknown,,,,,,
https://wikirate.org/Walk_Free+Australian_MSA_Registry_Submission+Capgemini_UK+2020,Walk Free+Australian MSA Registry Submission,Capgemini UK,2020,No,,,,,,
https://wikirate.org/Walk_Free+Australian_MSA_Registry_Submission+Capgemini_UK+2021,Walk Free+Australian MSA Registry Submission,Capgemini UK,2021,No,,,,,,
https://wikirate.org/Walk_Free+Australian_MSA_Registry_Submission+Capgemini_UK+2022,Walk Free+Australian MSA Registry Submission,Capgemini UK,2022,No,,,,,,
https://wikirate.org/Walk_Free+Australian_MSA_statement_assessed+Capgemini_UK+2020,Walk Free+Australian MSA statement assessed,Capgemini UK,2020,No,,,,,,
https://wikirate.org/Walk_Free+Australian_MSA_statement_assessed+Capgemini_UK+2021,Walk Free+Australian MSA statement assessed,Capgemini UK,2021,No,,,,,,
https://wikirate.org/Walk_Free+Australian_MSA_statement_assessed+Capgemini_UK+2022,Walk Free+Australian MSA statement assessed,Capgemini UK,2022,No,,,,,,
https://wikirate.org/Walk_Free+Company_size+Capgemini_UK+2019,Walk Free+Company size,Capgemini UK,2019,Large,,,,,,
https://wikirate.org/Walk_Free+Company_size+Capgemini_UK+2020,Walk Free+Company size,Capgemini UK,2020,Large,,,,,,
https://wikirate.org/Walk_Free+Company_size+Capgemini_UK+2021,Walk Free+Company size,Capgemini UK,2021,Large,,,,,,
https://wikirate.org/Walk_Free+Company_size+Capgemini_UK+2022,Walk Free+Company size,Capgemini UK,2022,Large,,,,,,
https://wikirate.org/Core+Country+Capgemini_UK+2019,Core+Country,Capgemini UK,2019,United Kingdom,,,,,,
https://wikirate.org/GreenDex+Country+Capgemini_UK+2019,GreenDex+Country,Capgemini UK,2019,United Kingdom,,,,,,
https://wikirate.org/Commons+Employee+Capgemini_UK+2017,Commons+Employee,Capgemini UK,2017,Not Provided,,,,,,
https://wikirate.org/Commons+Employee+Capgemini_UK+2018,Commons+Employee,Capgemini UK,2018,"5000 to 19,999",,,,,,
https://wikirate.org/Commons+Employee+Capgemini_UK+2019,Commons+Employee,Capgemini UK,2019,"5000 to 19,999",,,,,,
https://wikirate.org/Commons+Employee+Capgemini_UK+2020,Commons+Employee,Capgemini UK,2020,"5000 to 19,999",,,,,,
https://wikirate.org/Commons+Employee+Capgemini_UK+2021,Commons+Employee,Capgemini UK,2021,"5000 to 19,999",,,,,,
https://wikirate.org/Commons+Employee+Capgemini_UK+2022,Commons+Employee,Capgemini UK,2022,"5000 to 19,999",,,,,,
https://wikirate.org/Commons+Employee+Capgemini_UK+2023,Commons+Employee,Capgemini UK,2023,"5000 to 19,999",,,,,,
https://wikirate.org/~9582978,GOV.UK Gender Pay Gap Service+Employer Size,Capgemini UK,2017,Not Provided,https://wikirate.org/~8767248,9582978.0,https://gender-pay-gap.service.gov.uk/viewing/download-data/2017,1.0,,
https://wikirate.org/~9610983,GOV.UK Gender Pay Gap Service+Employer Size,Capgemini UK,2018,"5000 to 19,999",https://wikirate.org/~8767324,9610983.0,https://gender-pay-gap.service.gov.uk/viewing/download-data/2018,1.0,,
https://wikirate.org/~9619740,GOV.UK Gender Pay Gap Service+Employer Size,Capgemini UK,2019,"5000 to 19,999",https://wikirate.org/~8767384,9619740.0,https://gender-pay-gap.service.gov.uk/viewing/download-data/2019,1.0,,
https://wikirate.org/~9626353,GOV.UK Gender Pay Gap Service+Employer Size,Capgemini UK,2020,"5000 to 19,999",https://wikirate.org/~8767440,9626353.0,https://gender-pay-gap.service.gov.uk/viewing/download-data/2020,1.0,,
https://wikirate.org/~12940334,GOV.UK Gender Pay Gap Service+Employer Size,Capgemini UK,2021,"5000 to 19,999",https://wikirate.org/~12654979,12940334.0,https://gender-pay-gap.service.gov.uk/viewing/download-data/2021,1.0,,
https://wikirate.org/~15010537,GOV.UK Gender Pay Gap Service+Employer Size,Capgemini UK,2022,"5000 to 19,999",https://wikirate.org/~14619205,15010537.0,https://gender-pay-gap.service.gov.uk/viewing/download-data/2022,1.0,Company provided the following link that points to its gender pay gap info: https://www.capgemini.com/gb-en/insights/research-library/capgemini-uk-gender-pay-gap/,
https://wikirate.org/~19224425,GOV.UK Gender Pay Gap Service+Employer Size,Capgemini UK,2023,"5000 to 19,999",https://wikirate.org/~18845659,19224425.0,https://gender-pay-gap.service.gov.uk/viewing/download-data/2023,1.0,Company provided the following link that points to its gender pay gap info: https://www.capgemini.com/gb-en/insights/research-library/capgemini-uk-gender-pay-gap/,
https://wikirate.org/Apparel_Research_Group+Environmental_Initiatives_Commitments_Certifications_Participation+Capgemini_UK+2018,"Apparel Research Group+Environmental Initiatives, Commitments & Certifications Participation",Capgemini UK,2018,Yes,,,,,,
https://wikirate.org/Apparel_Research_Group+Environmental_Initiatives_Commitments_Certifications_Participation+Capgemini_UK+2019,"Apparel Research Group+Environmental Initiatives, Commitments & Certifications Participation",Capgemini UK,2019,Yes,,,,,,
https://wikirate.org/Apparel_Research_Group+Environmental_Initiatives_Commitments_Certifications_Participation+Capgemini_UK+2020,"Apparel Research Group+Environmental Initiatives, Commitments & Certifications Participation",Capgemini UK,2020,Yes,,,,,,
https://wikirate.org/Apparel_Research_Group+Environmental_Initiatives_Commitments_Certifications_Participation+Apparel_Research_Group+Capgemini_UK+2018,"Apparel Research Group+Environmental Initiatives, Commitments & Certifications Participation+Apparel Research Group",Capgemini UK,2018,10.0,,,,,,
https://wikirate.org/Apparel_Research_Group+Environmental_Initiatives_Commitments_Certifications_Participation+Apparel_Research_Group+Capgemini_UK+2019,"Apparel Research Group+Environmental Initiatives, Commitments & Certifications Participation+Apparel Research Group",Capgemini UK,2019,10.0,,,,,,
https://wikirate.org/Apparel_Research_Group+Environmental_Initiatives_Commitments_Certifications_Participation+Apparel_Research_Group+Capgemini_UK+2020,"Apparel Research Group+Environmental Initiatives, Commitments & Certifications Participation+Apparel Research Group",Capgemini UK,2020,10.0,,,,,,
https://wikirate.org/Walk_Free+Financial_Services_Sector+Capgemini_UK+2020,Walk Free+Financial Services Sector,Capgemini UK,2020,Yes,,,,,,
https://wikirate.org/Walk_Free+Financial_Services_Sector+Capgemini_UK+2021,Walk Free+Financial Services Sector,Capgemini UK,2021,Yes,,,,,,
https://wikirate.org/Walk_Free+Financial_Services_Sector+Capgemini_UK+2022,Walk Free+Financial Services Sector,Capgemini UK,2022,Yes,,,,,,
https://wikirate.org/Walk_Free+Food_Beverages_Sector+Capgemini_UK+2020,Walk Free+Food & Beverages Sector,Capgemini UK,2020,Yes,,,,,,
https://wikirate.org/Walk_Free+Food_Beverages_Sector+Capgemini_UK+2021,Walk Free+Food & Beverages Sector,Capgemini UK,2021,Yes,,,,,,
https://wikirate.org/Walk_Free+Food_Beverages_Sector+Capgemini_UK+2022,Walk Free+Food & Beverages Sector,Capgemini UK,2022,Yes,,,,,,
https://wikirate.org/Walk_Free+Garment_Sector+Capgemini_UK+2020,Walk Free+Garment Sector,Capgemini UK,2020,Yes,,,,,,
https://wikirate.org/Walk_Free+Garment_Sector+Capgemini_UK+2021,Walk Free+Garment Sector,Capgemini UK,2021,Yes,,,,,,
https://wikirate.org/Walk_Free+Garment_Sector+Capgemini_UK+2022,Walk Free+Garment Sector,Capgemini UK,2022,Yes,,,,,,
https://wikirate.org/Apparel_Research_Group+Grievance_mechanism+Capgemini_UK+2018,Apparel Research Group+Grievance mechanism,Capgemini UK,2018,No,,,,,,
https://wikirate.org/Apparel_Research_Group+Grievance_mechanism+Capgemini_UK+2019,Apparel Research Group+Grievance mechanism,Capgemini UK,2019,No,,,,,,
https://wikirate.org/Apparel_Research_Group+Grievance_mechanism+Capgemini_UK+2020,Apparel Research Group+Grievance mechanism,Capgemini UK,2020,No,,,,,,
https://wikirate.org/Core+Headquarters_Location+Capgemini_UK+2019,Core+Headquarters Location,Capgemini UK,2019,United Kingdom,,,,,,
https://wikirate.org/Walk_Free+Hospitality_Sector+Capgemini_UK+2020,Walk Free+Hospitality Sector,Capgemini UK,2020,No,,,,,,
https://wikirate.org/Walk_Free+Hospitality_Sector+Capgemini_UK+2021,Walk Free+Hospitality Sector,Capgemini UK,2021,No,,,,,,
https://wikirate.org/Walk_Free+Hospitality_Sector+Capgemini_UK+2022,Walk Free+Hospitality Sector,Capgemini UK,2022,No,,,,,,
https://wikirate.org/~9688077,Home Office+ILO Indicators in MS Statement,Capgemini UK,2019,,https://wikirate.org/~9135362,9688077.0,https://downloads.modern-slavery-statement-registry.service.gov.uk/publicdownloads/StatementSummaries2020.csv,2.0,,
https://wikirate.org/~8780994,Home Office+ILO Indicators in MS Statement,Capgemini UK,2020,,https://wikirate.org/~8066337,8780994.0,https://downloads.modern-slavery-statement-registry.service.gov.uk/publicdownloads/StatementSummaries2021.csv,2.0,,
https://wikirate.org/~13538057,Home Office+ILO Indicators in MS Statement,Capgemini UK,2021,,https://wikirate.org/~13403182,13538057.0,https://downloads.modern-slavery-statement-registry.service.gov.uk/publicdownloads/StatementSummaries2022.csv,2.0,,
https://wikirate.org/~16634952,Home Office+ILO Indicators in MS Statement,Capgemini UK,2022,,https://wikirate.org/~16521237,16634952.0,https://modern-slavery-statement-registry.service.gov.uk/statement-summary/AEnkB3V1/2023,2.0,,
https://wikirate.org/Core+ILO_Region+Capgemini_UK+2019,Core+ILO Region,Capgemini UK,2019,Europe and Central Asia,,,,,,
https://wikirate.org/~9670250,Home Office+MS Statement Grievance Mechanism Provisions,Capgemini UK,2019,"Using anonymous whistleblowing services such as a helpline or mobile phone app, Through trade unions or other worker representative groups",https://wikirate.org/~9135362,9670250.0,https://downloads.modern-slavery-statement-registry.service.gov.uk/publicdownloads/StatementSummaries2020.csv,2.0,,
https://wikirate.org/~8534498,Home Office+MS Statement Grievance Mechanism Provisions,Capgemini UK,2020,"Using anonymous whistleblowing services such as a helpline or mobile phone app, Through trade unions or other worker representative groups",https://wikirate.org/~8066337,8534498.0,https://downloads.modern-slavery-statement-registry.service.gov.uk/publicdownloads/StatementSummaries2021.csv,2.0,,
https://wikirate.org/~13529163,Home Office+MS Statement Grievance Mechanism Provisions,Capgemini UK,2021,"Using anonymous whistleblowing services such as a helpline or mobile phone app, Through trade unions or other worker representative groups",https://wikirate.org/~13403182,13529163.0,https://downloads.modern-slavery-statement-registry.service.gov.uk/publicdownloads/StatementSummaries2022.csv,2.0,,
https://wikirate.org/~16627785,Home Office+MS Statement Grievance Mechanism Provisions,Capgemini UK,2022,"Using anonymous whistleblowing services such as a helpline or mobile phone app, Through trade unions or other worker representative groups",https://wikirate.org/~16521237,16627785.0,https://modern-slavery-statement-registry.service.gov.uk/statement-summary/AEnkB3V1/2023,2.0,,
https://wikirate.org/~9335077,Home Office+MS Statement Includes Due Diligence,Capgemini UK,2019,Yes,https://wikirate.org/~9135362,9335077.0,https://downloads.modern-slavery-statement-registry.service.gov.uk/publicdownloads/StatementSummaries2020.csv,2.0,,
https://wikirate.org/~8634844,Home Office+MS Statement Includes Due Diligence,Capgemini UK,2020,Yes,https://wikirate.org/~8066337,8634844.0,https://downloads.modern-slavery-statement-registry.service.gov.uk/publicdownloads/StatementSummaries2021.csv,2.0,,
https://wikirate.org/~13460268,Home Office+MS Statement Includes Due Diligence,Capgemini UK,2021,Yes,https://wikirate.org/~13403182,13460268.0,https://downloads.modern-slavery-statement-registry.service.gov.uk/publicdownloads/StatementSummaries2022.csv,2.0,,
https://wikirate.org/~16587158,Home Office+MS Statement Includes Due Diligence,Capgemini UK,2022,Yes,https://wikirate.org/~16521237,16587158.0,https://modern-slavery-statement-registry.service.gov.uk/statement-summary/AEnkB3V1/2023,2.0,,
https://wikirate.org/~9519736,Home Office+MS Statement Includes Goals,Capgemini UK,2019,Yes,https://wikirate.org/~9135362,9519736.0,https://downloads.modern-slavery-statement-registry.service.gov.uk/publicdownloads/StatementSummaries2020.csv,2.0,,
https://wikirate.org/~8734594,Home Office+MS Statement Includes Goals,Capgemini UK,2020,Yes,https://wikirate.org/~8066337,8734594.0,https://downloads.modern-slavery-statement-registry.service.gov.uk/publicdownloads/StatementSummaries2021.csv,2.0,,
https://wikirate.org/~13488641,Home Office+MS Statement Includes Goals,Capgemini UK,2021,Yes,https://wikirate.org/~13403182,13488641.0,https://downloads.modern-slavery-statement-registry.service.gov.uk/publicdownloads/StatementSummaries2022.csv,2.0,,
https://wikirate.org/~16607328,Home Office+MS Statement Includes Goals,Capgemini UK,2022,Yes,https://wikirate.org/~16521237,16607328.0,https://modern-slavery-statement-registry.service.gov.uk/statement-summary/AEnkB3V1/2023,2.0,,
https://wikirate.org/~9143074,Home Office+MS Statement Includes Org Structure,Capgemini UK,2019,Yes,https://wikirate.org/~9135362,9143074.0,https://downloads.modern-slavery-statement-registry.service.gov.uk/publicdownloads/StatementSummaries2020.csv,2.0,,
https://wikirate.org/~8609205,Home Office+MS Statement Includes Org Structure,Capgemini UK,2020,Yes,https://wikirate.org/~8066337,8609205.0,https://downloads.modern-slavery-statement-registry.service.gov.uk/publicdownloads/StatementSummaries2021.csv,2.0,,
https://wikirate.org/~13407494,Home Office+MS Statement Includes Org Structure,Capgemini UK,2021,Yes,https://wikirate.org/~13403182,13407494.0,https://downloads.modern-slavery-statement-registry.service.gov.uk/publicdownloads/StatementSummaries2022.csv,2.0,,
https://wikirate.org/~16555878,Home Office+MS Statement Includes Org Structure,Capgemini UK,2022,Yes,https://wikirate.org/~16521237,16555878.0,https://modern-slavery-statement-registry.service.gov.uk/statement-summary/AEnkB3V1/2023,2.0,,
