Answer Page,Metric,Company,Year,Value,Source Page,Answer ID,Original Source,Source Count,Comments,ISIN
https://wikirate.org/~8068492,Commons+Address,P.D. Hook,2021,Cote Bampton Oxfordshire OX18 2EG,https://wikirate.org/~8066337,8068492.0,https://downloads.modern-slavery-statement-registry.service.gov.uk/publicdownloads/StatementSummaries2021.csv,1.0,,
https://wikirate.org/~14157465,Commons+Address,P.D. Hook,2022,Cote Bampton Oxfordshire OX18 2EG,https://wikirate.org/~13403182,14157465.0,https://downloads.modern-slavery-statement-registry.service.gov.uk/publicdownloads/StatementSummaries2022.csv,1.0,,
https://wikirate.org/Walk_Free+Australian_MSA_Registry_Submission+P_D_Hook+2016,Walk Free+Australian MSA Registry Submission,P.D. Hook,2016,No,,,,,,
https://wikirate.org/Walk_Free+Australian_MSA_Registry_Submission+P_D_Hook+2017,Walk Free+Australian MSA Registry Submission,P.D. Hook,2017,No,,,,,,
https://wikirate.org/Walk_Free+Australian_MSA_Registry_Submission+P_D_Hook+2018,Walk Free+Australian MSA Registry Submission,P.D. Hook,2018,No,,,,,,
https://wikirate.org/Walk_Free+Australian_MSA_Registry_Submission+P_D_Hook+2021,Walk Free+Australian MSA Registry Submission,P.D. Hook,2021,No,,,,,,
https://wikirate.org/Walk_Free+Australian_MSA_Registry_Submission+P_D_Hook+2022,Walk Free+Australian MSA Registry Submission,P.D. Hook,2022,No,,,,,,
https://wikirate.org/Walk_Free+Australian_MSA_Registry_Submission+P_D_Hook+2023,Walk Free+Australian MSA Registry Submission,P.D. Hook,2023,No,,,,,,
https://wikirate.org/Walk_Free+Australian_MSA_statement_assessed+P_D_Hook+2016,Walk Free+Australian MSA statement assessed,P.D. Hook,2016,No,,,,,,
https://wikirate.org/Walk_Free+Australian_MSA_statement_assessed+P_D_Hook+2017,Walk Free+Australian MSA statement assessed,P.D. Hook,2017,No,,,,,,
https://wikirate.org/Walk_Free+Australian_MSA_statement_assessed+P_D_Hook+2018,Walk Free+Australian MSA statement assessed,P.D. Hook,2018,No,,,,,,
https://wikirate.org/Walk_Free+Australian_MSA_statement_assessed+P_D_Hook+2021,Walk Free+Australian MSA statement assessed,P.D. Hook,2021,No,,,,,,
https://wikirate.org/Walk_Free+Australian_MSA_statement_assessed+P_D_Hook+2022,Walk Free+Australian MSA statement assessed,P.D. Hook,2022,No,,,,,,
https://wikirate.org/Walk_Free+Australian_MSA_statement_assessed+P_D_Hook+2023,Walk Free+Australian MSA statement assessed,P.D. Hook,2023,No,,,,,,
https://wikirate.org/Walk_Free+Company_size+P_D_Hook+2020,Walk Free+Company size,P.D. Hook,2020,Medium,,,,,,
https://wikirate.org/Walk_Free+Company_size+P_D_Hook+2021,Walk Free+Company size,P.D. Hook,2021,Small,,,,,,
https://wikirate.org/Walk_Free+Company_size+P_D_Hook+2022,Walk Free+Company size,P.D. Hook,2022,Small,,,,,,
https://wikirate.org/Walk_Free+Company_size+P_D_Hook+2023,Walk Free+Company size,P.D. Hook,2023,Medium,,,,,,
https://wikirate.org/Core+Country+P_D_Hook+2019,Core+Country,P.D. Hook,2019,United Kingdom,,,,,,
https://wikirate.org/GreenDex+Country+P_D_Hook+2019,GreenDex+Country,P.D. Hook,2019,United Kingdom,,,,,,
https://wikirate.org/Commons+Employee+P_D_Hook+2017,Commons+Employee,P.D. Hook,2017,Less than 250,,,,,,
https://wikirate.org/Commons+Employee+P_D_Hook+2018,Commons+Employee,P.D. Hook,2018,Less than 250,,,,,,
https://wikirate.org/Commons+Employee+P_D_Hook+2019,Commons+Employee,P.D. Hook,2019,Less than 250,,,,,,
https://wikirate.org/Commons+Employee+P_D_Hook+2020,Commons+Employee,P.D. Hook,2020,Not Provided,,,,,,
https://wikirate.org/Commons+Employee+P_D_Hook+2021,Commons+Employee,P.D. Hook,2021,Less than 250,,,,,,
https://wikirate.org/Commons+Employee+P_D_Hook+2022,Commons+Employee,P.D. Hook,2022,Less than 250,,,,,,
https://wikirate.org/Commons+Employee+P_D_Hook+2023,Commons+Employee,P.D. Hook,2023,Less than 250,,,,,,
https://wikirate.org/~9596193,GOV.UK Gender Pay Gap Service+Employer Size,P.D. Hook,2017,Less than 250,https://wikirate.org/~8767248,9596193.0,https://gender-pay-gap.service.gov.uk/viewing/download-data/2017,1.0,,
https://wikirate.org/~9615485,GOV.UK Gender Pay Gap Service+Employer Size,P.D. Hook,2018,Less than 250,https://wikirate.org/~8767324,9615485.0,https://gender-pay-gap.service.gov.uk/viewing/download-data/2018,1.0,,
https://wikirate.org/~9622737,GOV.UK Gender Pay Gap Service+Employer Size,P.D. Hook,2019,Less than 250,https://wikirate.org/~8767384,9622737.0,https://gender-pay-gap.service.gov.uk/viewing/download-data/2019,1.0,,
https://wikirate.org/~9630738,GOV.UK Gender Pay Gap Service+Employer Size,P.D. Hook,2020,Not Provided,https://wikirate.org/~8767440,9630738.0,https://gender-pay-gap.service.gov.uk/viewing/download-data/2020,1.0,,
https://wikirate.org/~12952152,GOV.UK Gender Pay Gap Service+Employer Size,P.D. Hook,2021,Less than 250,https://wikirate.org/~12654979,12952152.0,https://gender-pay-gap.service.gov.uk/viewing/download-data/2021,1.0,,
https://wikirate.org/~15023923,GOV.UK Gender Pay Gap Service+Employer Size,P.D. Hook,2022,Less than 250,https://wikirate.org/~14619205,15023923.0,https://gender-pay-gap.service.gov.uk/viewing/download-data/2022,1.0,,
https://wikirate.org/~19239443,GOV.UK Gender Pay Gap Service+Employer Size,P.D. Hook,2023,Less than 250,https://wikirate.org/~18845659,19239443.0,https://gender-pay-gap.service.gov.uk/viewing/download-data/2023,1.0,,
https://wikirate.org/Walk_Free+Financial_Services_Sector+P_D_Hook+2016,Walk Free+Financial Services Sector,P.D. Hook,2016,No,,,,,,
https://wikirate.org/Walk_Free+Financial_Services_Sector+P_D_Hook+2017,Walk Free+Financial Services Sector,P.D. Hook,2017,No,,,,,,
https://wikirate.org/Walk_Free+Financial_Services_Sector+P_D_Hook+2018,Walk Free+Financial Services Sector,P.D. Hook,2018,No,,,,,,
https://wikirate.org/Walk_Free+Financial_Services_Sector+P_D_Hook+2021,Walk Free+Financial Services Sector,P.D. Hook,2021,No,,,,,,
https://wikirate.org/Walk_Free+Financial_Services_Sector+P_D_Hook+2022,Walk Free+Financial Services Sector,P.D. Hook,2022,No,,,,,,
https://wikirate.org/Walk_Free+Financial_Services_Sector+P_D_Hook+2023,Walk Free+Financial Services Sector,P.D. Hook,2023,No,,,,,,
https://wikirate.org/Walk_Free+Food_Beverages_Sector+P_D_Hook+2016,Walk Free+Food & Beverages Sector,P.D. Hook,2016,No,,,,,,
https://wikirate.org/Walk_Free+Food_Beverages_Sector+P_D_Hook+2017,Walk Free+Food & Beverages Sector,P.D. Hook,2017,No,,,,,,
https://wikirate.org/Walk_Free+Food_Beverages_Sector+P_D_Hook+2018,Walk Free+Food & Beverages Sector,P.D. Hook,2018,No,,,,,,
https://wikirate.org/Walk_Free+Food_Beverages_Sector+P_D_Hook+2021,Walk Free+Food & Beverages Sector,P.D. Hook,2021,Yes,,,,,,
https://wikirate.org/Walk_Free+Food_Beverages_Sector+P_D_Hook+2022,Walk Free+Food & Beverages Sector,P.D. Hook,2022,Yes,,,,,,
https://wikirate.org/Walk_Free+Food_Beverages_Sector+P_D_Hook+2023,Walk Free+Food & Beverages Sector,P.D. Hook,2023,Yes,,,,,,
https://wikirate.org/Walk_Free+Garment_Sector+P_D_Hook+2016,Walk Free+Garment Sector,P.D. Hook,2016,No,,,,,,
https://wikirate.org/Walk_Free+Garment_Sector+P_D_Hook+2017,Walk Free+Garment Sector,P.D. Hook,2017,No,,,,,,
https://wikirate.org/Walk_Free+Garment_Sector+P_D_Hook+2018,Walk Free+Garment Sector,P.D. Hook,2018,No,,,,,,
https://wikirate.org/Walk_Free+Garment_Sector+P_D_Hook+2021,Walk Free+Garment Sector,P.D. Hook,2021,No,,,,,,
https://wikirate.org/Walk_Free+Garment_Sector+P_D_Hook+2022,Walk Free+Garment Sector,P.D. Hook,2022,No,,,,,,
https://wikirate.org/Walk_Free+Garment_Sector+P_D_Hook+2023,Walk Free+Garment Sector,P.D. Hook,2023,No,,,,,,
https://wikirate.org/Apparel_Research_Group+Grievance_mechanism+P_D_Hook+2018,Apparel Research Group+Grievance mechanism,P.D. Hook,2018,No,,,,,,
https://wikirate.org/Apparel_Research_Group+Grievance_mechanism+P_D_Hook+2019,Apparel Research Group+Grievance mechanism,P.D. Hook,2019,No,,,,,,
https://wikirate.org/Apparel_Research_Group+Grievance_mechanism+P_D_Hook+2020,Apparel Research Group+Grievance mechanism,P.D. Hook,2020,No,,,,,,
