Answer Page,Metric,Company,Year,Value,Source Page,Answer ID,Original Source,Source Count,Comments,ISIN
https://wikirate.org/~10521964,Commons+Address,Ardagh Group S.A.,2021,56 Rue Charles Martel Luxembourg Luxembourg L-2134,https://wikirate.org/~8066337,10521964.0,https://downloads.modern-slavery-statement-registry.service.gov.uk/publicdownloads/StatementSummaries2021.csv,1.0,,LU1565283667
https://wikirate.org/Walk_Free+Australian_MSA_Registry_Submission+Ardagh_Group_S_A+2020,Walk Free+Australian MSA Registry Submission,Ardagh Group S.A.,2020,No,,,,,,LU1565283667
https://wikirate.org/Walk_Free+Australian_MSA_statement_assessed+Ardagh_Group_S_A+2020,Walk Free+Australian MSA statement assessed,Ardagh Group S.A.,2020,No,,,,,,LU1565283667
https://wikirate.org/Walk_Free+Company_size+Ardagh_Group_S_A+2020,Walk Free+Company size,Ardagh Group S.A.,2020,Large,,,,,,LU1565283667
https://wikirate.org/World_Benchmarking_Alliance+Core_Social_Indicators+Ardagh_Group_S_A+2022,World Benchmarking Alliance+Core Social Indicators,Ardagh Group S.A.,2022,2.458333333333333,,,,,,LU1565283667
https://wikirate.org/Core+Country+Ardagh_Group_S_A+2019,Core+Country,Ardagh Group S.A.,2019,Luxembourg,,,,,,LU1565283667
https://wikirate.org/GreenDex+Country+Ardagh_Group_S_A+2019,GreenDex+Country,Ardagh Group S.A.,2019,Luxembourg,,,,,,LU1565283667
https://wikirate.org/~18678490,World Benchmarking Alliance+CSI.1.A Commitment to Respect Human Rights,Ardagh Group S.A.,2022,Yes,https://wikirate.org/~18088734,18678490.0,,1.0,The company has a public policy that explicitly commits to respect human rights.,LU1565283667
https://wikirate.org/World_Benchmarking_Alliance+CSI_1_A_Commitment_to_Respect_Human_Rights+World_Benchmarking_Alliance_Research_Group+Ardagh_Group_S_A+2022,World Benchmarking Alliance+CSI.1.A Commitment to Respect Human Rights+World Benchmarking Alliance Research Group,Ardagh Group S.A.,2022,10.0,,,,,,LU1565283667
https://wikirate.org/~18711503,World Benchmarking Alliance+CSI.10.A Living Wage Targets,Ardagh Group S.A.,2022,No,https://wikirate.org/~18088734,18711503.0,,1.0,"The company states that its remuneration will comply with national laws and regulations and committed to providing decent conditions of work with regards to wages, however, it does not disclose a time-bound target for paying all workers a living wage or that it has achieved paying all workers a living wage.",LU1565283667
https://wikirate.org/~18713445,World Benchmarking Alliance+CSI.10.B Living Wage Determination,Ardagh Group S.A.,2022,No,https://wikirate.org/~18088734,18713445.0,,1.0,The company does not provide evidence of how it determines a living wage for the regions where it operates.,LU1565283667
