Answer Page,Metric,Company,Year,Value,Source Page,Answer ID,Original Source,Source Count,Comments,ISIN
https://wikirate.org/~11998736,Poverty Footprint+Access to Healthcare for Work-related Incidents,Tate & Lyle PLC,2021,Unknown,https://wikirate.org/~11795456,11998736.0,https://www.tateandlyle.com/sites/default/files/2021-06/annual-report-2021.pdf,1.0,,GB00BP92CJ43;US8765707067
https://wikirate.org/~14161028,Commons+Address,Tate & Lyle PLC,2022,5 Marble Arch London United Kingdom W1H 7EJ,https://wikirate.org/~13403182,14161028.0,https://downloads.modern-slavery-statement-registry.service.gov.uk/publicdownloads/StatementSummaries2022.csv,1.0,,GB00BP92CJ43;US8765707067
https://wikirate.org/GreenDex+Annual_Revenue+Tate_Lyle_PLC+2021,GreenDex+Annual Revenue,Tate & Lyle PLC,2021,1891334250,,,,,,GB00BP92CJ43;US8765707067
https://wikirate.org/GreenDex+Annual_Revenue+Tate_Lyle_PLC+2022,GreenDex+Annual Revenue,Tate & Lyle PLC,2022,Unknown,,,,,,GB00BP92CJ43;US8765707067
https://wikirate.org/Walk_Free+Australian_MSA_Registry_Submission+Tate_Lyle_PLC+2016,Walk Free+Australian MSA Registry Submission,Tate & Lyle PLC,2016,No,,,,,,GB00BP92CJ43;US8765707067
https://wikirate.org/Walk_Free+Australian_MSA_Registry_Submission+Tate_Lyle_PLC+2021,Walk Free+Australian MSA Registry Submission,Tate & Lyle PLC,2021,No,,,,,,GB00BP92CJ43;US8765707067
https://wikirate.org/Walk_Free+Australian_MSA_Registry_Submission+Tate_Lyle_PLC+2022,Walk Free+Australian MSA Registry Submission,Tate & Lyle PLC,2022,No,,,,,,GB00BP92CJ43;US8765707067
https://wikirate.org/Walk_Free+Australian_MSA_Registry_Submission+Tate_Lyle_PLC+2023,Walk Free+Australian MSA Registry Submission,Tate & Lyle PLC,2023,No,,,,,,GB00BP92CJ43;US8765707067
https://wikirate.org/Walk_Free+Australian_MSA_statement_assessed+Tate_Lyle_PLC+2016,Walk Free+Australian MSA statement assessed,Tate & Lyle PLC,2016,No,,,,,,GB00BP92CJ43;US8765707067
https://wikirate.org/Walk_Free+Australian_MSA_statement_assessed+Tate_Lyle_PLC+2021,Walk Free+Australian MSA statement assessed,Tate & Lyle PLC,2021,No,,,,,,GB00BP92CJ43;US8765707067
