Answer Page,Metric,Company,Year,Value,Source Page,Answer ID,Original Source,Source Count,Comments,ISIN
https://wikirate.org/~8068333,Commons+Address,"Minor, Weir & Willis Ltd",2021,Altitude 206 Deykin Avenue Witton Birmingham West Midland B6 7BH,https://wikirate.org/~8066337,8068333.0,https://downloads.modern-slavery-statement-registry.service.gov.uk/publicdownloads/StatementSummaries2021.csv,1.0,,
https://wikirate.org/~14156139,Commons+Address,"Minor, Weir & Willis Ltd",2022,Altitude 206 Deykin Avenue Witton Birmingham West Midland B6 7BH,https://wikirate.org/~13403182,14156139.0,https://downloads.modern-slavery-statement-registry.service.gov.uk/publicdownloads/StatementSummaries2022.csv,1.0,,
https://wikirate.org/Walk_Free+Australian_MSA_Registry_Submission+Minor_Weir_Willis_Ltd+2016,Walk Free+Australian MSA Registry Submission,"Minor, Weir & Willis Ltd",2016,No,,,,,,
https://wikirate.org/Walk_Free+Australian_MSA_Registry_Submission+Minor_Weir_Willis_Ltd+2020,Walk Free+Australian MSA Registry Submission,"Minor, Weir & Willis Ltd",2020,No,,,,,,
https://wikirate.org/Walk_Free+Australian_MSA_Registry_Submission+Minor_Weir_Willis_Ltd+2021,Walk Free+Australian MSA Registry Submission,"Minor, Weir & Willis Ltd",2021,No,,,,,,
https://wikirate.org/Walk_Free+Australian_MSA_Registry_Submission+Minor_Weir_Willis_Ltd+2022,Walk Free+Australian MSA Registry Submission,"Minor, Weir & Willis Ltd",2022,No,,,,,,
https://wikirate.org/Walk_Free+Australian_MSA_Registry_Submission+Minor_Weir_Willis_Ltd+2023,Walk Free+Australian MSA Registry Submission,"Minor, Weir & Willis Ltd",2023,No,,,,,,
https://wikirate.org/Walk_Free+Australian_MSA_statement_assessed+Minor_Weir_Willis_Ltd+2016,Walk Free+Australian MSA statement assessed,"Minor, Weir & Willis Ltd",2016,No,,,,,,
https://wikirate.org/Walk_Free+Australian_MSA_statement_assessed+Minor_Weir_Willis_Ltd+2020,Walk Free+Australian MSA statement assessed,"Minor, Weir & Willis Ltd",2020,No,,,,,,
https://wikirate.org/Walk_Free+Australian_MSA_statement_assessed+Minor_Weir_Willis_Ltd+2021,Walk Free+Australian MSA statement assessed,"Minor, Weir & Willis Ltd",2021,No,,,,,,
