Answer Page,Metric,Company,Year,Value,Source Page,Answer ID,Original Source,Source Count,Comments,ISIN
https://wikirate.org/~8068385,Commons+Address,Muller UK & Ireland Group LLP,2021,Tern Valley Business Park Shrewsbury Road Market Drayton Shropshire TF9 3SQ,https://wikirate.org/~8066337,8068385.0,https://downloads.modern-slavery-statement-registry.service.gov.uk/publicdownloads/StatementSummaries2021.csv,1.0,,
https://wikirate.org/~14156489,Commons+Address,Muller UK & Ireland Group LLP,2022,Tern Valley Business Park Shrewsbury Road Market Drayton Shropshire TF9 3SQ,https://wikirate.org/~13403182,14156489.0,https://downloads.modern-slavery-statement-registry.service.gov.uk/publicdownloads/StatementSummaries2022.csv,1.0,,
https://wikirate.org/Walk_Free+Australian_MSA_Registry_Submission+Muller_UK_Ireland_Group_LLP+2016,Walk Free+Australian MSA Registry Submission,Muller UK & Ireland Group LLP,2016,No,,,,,,
https://wikirate.org/Walk_Free+Australian_MSA_Registry_Submission+Muller_UK_Ireland_Group_LLP+2020,Walk Free+Australian MSA Registry Submission,Muller UK & Ireland Group LLP,2020,No,,,,,,
https://wikirate.org/Walk_Free+Australian_MSA_Registry_Submission+Muller_UK_Ireland_Group_LLP+2022,Walk Free+Australian MSA Registry Submission,Muller UK & Ireland Group LLP,2022,No,,,,,,
https://wikirate.org/Walk_Free+Australian_MSA_Registry_Submission+Muller_UK_Ireland_Group_LLP+2023,Walk Free+Australian MSA Registry Submission,Muller UK & Ireland Group LLP,2023,No,,,,,,
https://wikirate.org/Walk_Free+Australian_MSA_statement_assessed+Muller_UK_Ireland_Group_LLP+2016,Walk Free+Australian MSA statement assessed,Muller UK & Ireland Group LLP,2016,No,,,,,,
https://wikirate.org/Walk_Free+Australian_MSA_statement_assessed+Muller_UK_Ireland_Group_LLP+2020,Walk Free+Australian MSA statement assessed,Muller UK & Ireland Group LLP,2020,No,,,,,,
https://wikirate.org/Walk_Free+Australian_MSA_statement_assessed+Muller_UK_Ireland_Group_LLP+2022,Walk Free+Australian MSA statement assessed,Muller UK & Ireland Group LLP,2022,No,,,,,,
https://wikirate.org/Walk_Free+Australian_MSA_statement_assessed+Muller_UK_Ireland_Group_LLP+2023,Walk Free+Australian MSA statement assessed,Muller UK & Ireland Group LLP,2023,No,,,,,,
https://wikirate.org/Walk_Free+Company_size+Muller_UK_Ireland_Group_LLP+2020,Walk Free+Company size,Muller UK & Ireland Group LLP,2020,Large,,,,,,
https://wikirate.org/Walk_Free+Company_size+Muller_UK_Ireland_Group_LLP+2021,Walk Free+Company size,Muller UK & Ireland Group LLP,2021,Large,,,,,,
https://wikirate.org/Walk_Free+Company_size+Muller_UK_Ireland_Group_LLP+2022,Walk Free+Company size,Muller UK & Ireland Group LLP,2022,Large,,,,,,
https://wikirate.org/Walk_Free+Company_size+Muller_UK_Ireland_Group_LLP+2023,Walk Free+Company size,Muller UK & Ireland Group LLP,2023,Large,,,,,,
https://wikirate.org/Core+Country+Muller_UK_Ireland_Group_LLP+2019,Core+Country,Muller UK & Ireland Group LLP,2019,United Kingdom,,,,,,
https://wikirate.org/GreenDex+Country+Muller_UK_Ireland_Group_LLP+2019,GreenDex+Country,Muller UK & Ireland Group LLP,2019,United Kingdom,,,,,,
https://wikirate.org/Commons+Employee+Muller_UK_Ireland_Group_LLP+2017,Commons+Employee,Muller UK & Ireland Group LLP,2017,"5000 to 19,999",,,,,,
https://wikirate.org/Commons+Employee+Muller_UK_Ireland_Group_LLP+2018,Commons+Employee,Muller UK & Ireland Group LLP,2018,"5000 to 19,999",,,,,,
https://wikirate.org/Commons+Employee+Muller_UK_Ireland_Group_LLP+2019,Commons+Employee,Muller UK & Ireland Group LLP,2019,"5000 to 19,999",,,,,,
https://wikirate.org/Commons+Employee+Muller_UK_Ireland_Group_LLP+2020,Commons+Employee,Muller UK & Ireland Group LLP,2020,"5000 to 19,999",,,,,,
https://wikirate.org/Commons+Employee+Muller_UK_Ireland_Group_LLP+2021,Commons+Employee,Muller UK & Ireland Group LLP,2021,"5000 to 19,999",,,,,,
https://wikirate.org/Commons+Employee+Muller_UK_Ireland_Group_LLP+2022,Commons+Employee,Muller UK & Ireland Group LLP,2022,1000 to 4999,,,,,,
https://wikirate.org/Commons+Employee+Muller_UK_Ireland_Group_LLP+2023,Commons+Employee,Muller UK & Ireland Group LLP,2023,1000 to 4999,,,,,,
https://wikirate.org/~9594771,GOV.UK Gender Pay Gap Service+Employer Size,Muller UK & Ireland Group LLP,2017,"5000 to 19,999",https://wikirate.org/~8767248,9594771.0,https://gender-pay-gap.service.gov.uk/viewing/download-data/2017,1.0,,
https://wikirate.org/~9615031,GOV.UK Gender Pay Gap Service+Employer Size,Muller UK & Ireland Group LLP,2018,"5000 to 19,999",https://wikirate.org/~8767324,9615031.0,https://gender-pay-gap.service.gov.uk/viewing/download-data/2018,1.0,,
https://wikirate.org/~9622417,GOV.UK Gender Pay Gap Service+Employer Size,Muller UK & Ireland Group LLP,2019,"5000 to 19,999",https://wikirate.org/~8767384,9622417.0,https://gender-pay-gap.service.gov.uk/viewing/download-data/2019,1.0,,
https://wikirate.org/~9630288,GOV.UK Gender Pay Gap Service+Employer Size,Muller UK & Ireland Group LLP,2020,"5000 to 19,999",https://wikirate.org/~8767440,9630288.0,https://gender-pay-gap.service.gov.uk/viewing/download-data/2020,1.0,,
https://wikirate.org/~12950867,GOV.UK Gender Pay Gap Service+Employer Size,Muller UK & Ireland Group LLP,2021,"5000 to 19,999",https://wikirate.org/~12654979,12950867.0,https://gender-pay-gap.service.gov.uk/viewing/download-data/2021,1.0,,
https://wikirate.org/~15022423,GOV.UK Gender Pay Gap Service+Employer Size,Muller UK & Ireland Group LLP,2022,1000 to 4999,https://wikirate.org/~14619205,15022423.0,https://gender-pay-gap.service.gov.uk/viewing/download-data/2022,1.0,Company provided the following link that points to its gender pay gap info: https://www.muller.co.uk/policies-and-reports,
https://wikirate.org/~19237809,GOV.UK Gender Pay Gap Service+Employer Size,Muller UK & Ireland Group LLP,2023,1000 to 4999,https://wikirate.org/~18845659,19237809.0,https://gender-pay-gap.service.gov.uk/viewing/download-data/2023,1.0,,
https://wikirate.org/Walk_Free+Financial_Services_Sector+Muller_UK_Ireland_Group_LLP+2016,Walk Free+Financial Services Sector,Muller UK & Ireland Group LLP,2016,No,,,,,,
https://wikirate.org/Walk_Free+Financial_Services_Sector+Muller_UK_Ireland_Group_LLP+2020,Walk Free+Financial Services Sector,Muller UK & Ireland Group LLP,2020,No,,,,,,
https://wikirate.org/Walk_Free+Financial_Services_Sector+Muller_UK_Ireland_Group_LLP+2022,Walk Free+Financial Services Sector,Muller UK & Ireland Group LLP,2022,No,,,,,,
https://wikirate.org/Walk_Free+Financial_Services_Sector+Muller_UK_Ireland_Group_LLP+2023,Walk Free+Financial Services Sector,Muller UK & Ireland Group LLP,2023,No,,,,,,
https://wikirate.org/Walk_Free+Food_Beverages_Sector+Muller_UK_Ireland_Group_LLP+2016,Walk Free+Food & Beverages Sector,Muller UK & Ireland Group LLP,2016,No,,,,,,
https://wikirate.org/Walk_Free+Food_Beverages_Sector+Muller_UK_Ireland_Group_LLP+2020,Walk Free+Food & Beverages Sector,Muller UK & Ireland Group LLP,2020,Yes,,,,,,
https://wikirate.org/Walk_Free+Food_Beverages_Sector+Muller_UK_Ireland_Group_LLP+2022,Walk Free+Food & Beverages Sector,Muller UK & Ireland Group LLP,2022,Yes,,,,,,
https://wikirate.org/Walk_Free+Food_Beverages_Sector+Muller_UK_Ireland_Group_LLP+2023,Walk Free+Food & Beverages Sector,Muller UK & Ireland Group LLP,2023,Yes,,,,,,
https://wikirate.org/Walk_Free+Garment_Sector+Muller_UK_Ireland_Group_LLP+2016,Walk Free+Garment Sector,Muller UK & Ireland Group LLP,2016,No,,,,,,
https://wikirate.org/Walk_Free+Garment_Sector+Muller_UK_Ireland_Group_LLP+2020,Walk Free+Garment Sector,Muller UK & Ireland Group LLP,2020,No,,,,,,
https://wikirate.org/Walk_Free+Garment_Sector+Muller_UK_Ireland_Group_LLP+2022,Walk Free+Garment Sector,Muller UK & Ireland Group LLP,2022,No,,,,,,
https://wikirate.org/Walk_Free+Garment_Sector+Muller_UK_Ireland_Group_LLP+2023,Walk Free+Garment Sector,Muller UK & Ireland Group LLP,2023,No,,,,,,
https://wikirate.org/Apparel_Research_Group+Grievance_mechanism+Muller_UK_Ireland_Group_LLP+2018,Apparel Research Group+Grievance mechanism,Muller UK & Ireland Group LLP,2018,No,,,,,,
https://wikirate.org/Apparel_Research_Group+Grievance_mechanism+Muller_UK_Ireland_Group_LLP+2019,Apparel Research Group+Grievance mechanism,Muller UK & Ireland Group LLP,2019,No,,,,,,
https://wikirate.org/Apparel_Research_Group+Grievance_mechanism+Muller_UK_Ireland_Group_LLP+2020,Apparel Research Group+Grievance mechanism,Muller UK & Ireland Group LLP,2020,No,,,,,,
https://wikirate.org/Core+Headquarters_Location+Muller_UK_Ireland_Group_LLP+2019,Core+Headquarters Location,Muller UK & Ireland Group LLP,2019,United Kingdom,,,,,,
https://wikirate.org/Walk_Free+Hospitality_Sector+Muller_UK_Ireland_Group_LLP+2016,Walk Free+Hospitality Sector,Muller UK & Ireland Group LLP,2016,No,,,,,,
https://wikirate.org/Walk_Free+Hospitality_Sector+Muller_UK_Ireland_Group_LLP+2020,Walk Free+Hospitality Sector,Muller UK & Ireland Group LLP,2020,No,,,,,,
https://wikirate.org/Walk_Free+Hospitality_Sector+Muller_UK_Ireland_Group_LLP+2022,Walk Free+Hospitality Sector,Muller UK & Ireland Group LLP,2022,No,,,,,,
https://wikirate.org/Walk_Free+Hospitality_Sector+Muller_UK_Ireland_Group_LLP+2023,Walk Free+Hospitality Sector,Muller UK & Ireland Group LLP,2023,No,,,,,,
https://wikirate.org/~13539756,Home Office+ILO Indicators in MS Statement,Muller UK & Ireland Group LLP,2021,,https://wikirate.org/~13403182,13539756.0,https://downloads.modern-slavery-statement-registry.service.gov.uk/publicdownloads/StatementSummaries2022.csv,2.0,,
