Answer Page,Metric,Company,Year,Value,Source Page,Answer ID,Original Source,Source Count,Comments,ISIN
https://wikirate.org/~13894389,B Lab+Approximate Number of Employees,COOK Trading Ltd,2013,250+,https://wikirate.org/~13837265,13894389.0,https://data.world/blab/b-corp-impact-data,1.0,,
https://wikirate.org/~13921776,B Lab+Approximate Number of Employees,COOK Trading Ltd,2015,250-999,https://wikirate.org/~13837265,13921776.0,https://data.world/blab/b-corp-impact-data,1.0,,
https://wikirate.org/~13921769,B Lab+Approximate Number of Employees,COOK Trading Ltd,2018,250-999,https://wikirate.org/~13837265,13921769.0,https://data.world/blab/b-corp-impact-data,1.0,,
https://wikirate.org/~13921762,B Lab+Approximate Number of Employees,COOK Trading Ltd,2021,250-999,https://wikirate.org/~13837265,13921762.0,https://data.world/blab/b-corp-impact-data,1.0,,
https://wikirate.org/Walk_Free+Australian_MSA_Registry_Submission+COOK_Trading_Ltd+2016,Walk Free+Australian MSA Registry Submission,COOK Trading Ltd,2016,No,,,,,,
https://wikirate.org/Walk_Free+Australian_MSA_Registry_Submission+COOK_Trading_Ltd+2019,Walk Free+Australian MSA Registry Submission,COOK Trading Ltd,2019,No,,,,,,
https://wikirate.org/Walk_Free+Australian_MSA_Registry_Submission+COOK_Trading_Ltd+2020,Walk Free+Australian MSA Registry Submission,COOK Trading Ltd,2020,No,,,,,,
https://wikirate.org/Walk_Free+Australian_MSA_Registry_Submission+COOK_Trading_Ltd+2023,Walk Free+Australian MSA Registry Submission,COOK Trading Ltd,2023,No,,,,,,
https://wikirate.org/~13863413,B Lab+B Corp Certification Status,COOK Trading Ltd,2022,Certified,https://wikirate.org/~13837265,13863413.0,https://data.world/blab/b-corp-impact-data,1.0,,
https://wikirate.org/Wikirate_SDG_Metric_design+Common_Environmental_Metrics_Reported+COOK_Trading_Ltd+2022,Wikirate SDG Metric design+Common Environmental Metrics Reported,COOK Trading Ltd,2022,0,,,,,,
https://wikirate.org/Wikirate_SDG_Metric_design+Common_Social_Metrics_Reported+COOK_Trading_Ltd+2022,Wikirate SDG Metric design+Common Social Metrics Reported,COOK Trading Ltd,2022,0,,,,,,
https://wikirate.org/Commons+Company_Category+COOK_Trading_Ltd+2019,Commons+Company Category,COOK Trading Ltd,2019,"M, W",,,,,,
https://wikirate.org/~15532438,Core+Company Report Available,COOK Trading Ltd,2022,Yes,https://wikirate.org/~15532429,15532438.0,http://cook.blob.core.windows.net/assets/uploads/purpose_report22.pdf,1.0,"Yes, the company publishes report containing ESG information. Manali Rana[https://wikirate.org/Manali_Rana].....2023-07-31 15:35:46 UTC",
https://wikirate.org/~15532487,Core+Company Reporting Guidelines,COOK Trading Ltd,2022,No,https://wikirate.org/~15532429,15532487.0,http://cook.blob.core.windows.net/assets/uploads/purpose_report22.pdf,1.0,No information found. Manali Rana[https://wikirate.org/Manali_Rana].....2023-08-01 04:46:05 UTC,
https://wikirate.org/Walk_Free+Company_size+COOK_Trading_Ltd+2019,Walk Free+Company size,COOK Trading Ltd,2019,Small,,,,,,
https://wikirate.org/Walk_Free+Company_size+COOK_Trading_Ltd+2023,Walk Free+Company size,COOK Trading Ltd,2023,Medium,,,,,,
https://wikirate.org/Core+Country+COOK_Trading_Ltd+2019,Core+Country,COOK Trading Ltd,2019,United Kingdom,,,,,,
https://wikirate.org/GreenDex+Country+COOK_Trading_Ltd+2019,GreenDex+Country,COOK Trading Ltd,2019,United Kingdom,,,,,,
https://wikirate.org/Sussex_Research_Group+Diversity_Inclusion_Disclosure+COOK_Trading_Ltd+2022,Sussex Research Group+Diversity Inclusion Disclosure,COOK Trading Ltd,2022,0,,,,,,
https://wikirate.org/~15532492,Core+Employee,COOK Trading Ltd,2022,Unknown,https://wikirate.org/~15532429,15532492.0,http://cook.blob.core.windows.net/assets/uploads/purpose_report22.pdf,1.0,"Not reported. pg. 13 ""PEOPLE ARE OUR SUPERPOWER"" Manali Rana[https://wikirate.org/Manali_Rana].....2023-08-01 04:49:42 UTC",
https://wikirate.org/Commons+Employee+COOK_Trading_Ltd+2017,Commons+Employee,COOK Trading Ltd,2017,500 to 999,,,,,,
https://wikirate.org/Commons+Employee+COOK_Trading_Ltd+2018,Commons+Employee,COOK Trading Ltd,2018,500 to 999,,,,,,
https://wikirate.org/Commons+Employee+COOK_Trading_Ltd+2019,Commons+Employee,COOK Trading Ltd,2019,1000 to 4999,,,,,,
https://wikirate.org/Commons+Employee+COOK_Trading_Ltd+2020,Commons+Employee,COOK Trading Ltd,2020,1000 to 4999,,,,,,
https://wikirate.org/Commons+Employee+COOK_Trading_Ltd+2021,Commons+Employee,COOK Trading Ltd,2021,1000 to 4999,,,,,,
https://wikirate.org/Commons+Employee+COOK_Trading_Ltd+2022,Commons+Employee,COOK Trading Ltd,2022,Unknown,,,,,,
https://wikirate.org/Commons+Employee+COOK_Trading_Ltd+2023,Commons+Employee,COOK Trading Ltd,2023,1000 to 4999,,,,,,
https://wikirate.org/~9584283,GOV.UK Gender Pay Gap Service+Employer Size,COOK Trading Ltd,2017,500 to 999,https://wikirate.org/~8767248,9584283.0,https://gender-pay-gap.service.gov.uk/viewing/download-data/2017,1.0,,
https://wikirate.org/~9611444,GOV.UK Gender Pay Gap Service+Employer Size,COOK Trading Ltd,2018,500 to 999,https://wikirate.org/~8767324,9611444.0,https://gender-pay-gap.service.gov.uk/viewing/download-data/2018,1.0,,
https://wikirate.org/~9620036,GOV.UK Gender Pay Gap Service+Employer Size,COOK Trading Ltd,2019,1000 to 4999,https://wikirate.org/~8767384,9620036.0,https://gender-pay-gap.service.gov.uk/viewing/download-data/2019,1.0,,
https://wikirate.org/~9626780,GOV.UK Gender Pay Gap Service+Employer Size,COOK Trading Ltd,2020,1000 to 4999,https://wikirate.org/~8767440,9626780.0,https://gender-pay-gap.service.gov.uk/viewing/download-data/2020,1.0,,
https://wikirate.org/~12941708,GOV.UK Gender Pay Gap Service+Employer Size,COOK Trading Ltd,2021,1000 to 4999,https://wikirate.org/~12654979,12941708.0,https://gender-pay-gap.service.gov.uk/viewing/download-data/2021,1.0,,
https://wikirate.org/~15012120,GOV.UK Gender Pay Gap Service+Employer Size,COOK Trading Ltd,2022,1000 to 4999,https://wikirate.org/~14619205,15012120.0,https://gender-pay-gap.service.gov.uk/viewing/download-data/2022,2.0,,
https://wikirate.org/~19236506,GOV.UK Gender Pay Gap Service+Employer Size,COOK Trading Ltd,2023,1000 to 4999,https://wikirate.org/~18845659,19236506.0,https://gender-pay-gap.service.gov.uk/viewing/download-data/2023,1.0,Company provided the following link that points to its gender pay gap info: https://www.cookfood.net/info/About-cook/Essential-Ingredients/Reports-Downloads/,
https://wikirate.org/Ewha_Womans_University_Research_Group+Ewha_2020_SDG12_Disclosure_Rate+COOK_Trading_Ltd+2022,Ewha Womans University Research Group+Ewha 2020 - SDG12 Disclosure Rate,COOK Trading Ltd,2022,0,,,,,,
https://wikirate.org/Ewha_Womans_University_Research_Group+Ewha_2020_SDG5_Disclosure_Rate+COOK_Trading_Ltd+2022,Ewha Womans University Research Group+Ewha 2020 - SDG5 Disclosure Rate,COOK Trading Ltd,2022,0,,,,,,
https://wikirate.org/Walk_Free+Financial_Services_Sector+COOK_Trading_Ltd+2016,Walk Free+Financial Services Sector,COOK Trading Ltd,2016,No,,,,,,
https://wikirate.org/Walk_Free+Financial_Services_Sector+COOK_Trading_Ltd+2019,Walk Free+Financial Services Sector,COOK Trading Ltd,2019,No,,,,,,
https://wikirate.org/Walk_Free+Financial_Services_Sector+COOK_Trading_Ltd+2020,Walk Free+Financial Services Sector,COOK Trading Ltd,2020,No,,,,,,
https://wikirate.org/Walk_Free+Financial_Services_Sector+COOK_Trading_Ltd+2023,Walk Free+Financial Services Sector,COOK Trading Ltd,2023,No,,,,,,
https://wikirate.org/Walk_Free+Food_Beverages_Sector+COOK_Trading_Ltd+2016,Walk Free+Food & Beverages Sector,COOK Trading Ltd,2016,No,,,,,,
https://wikirate.org/Walk_Free+Food_Beverages_Sector+COOK_Trading_Ltd+2019,Walk Free+Food & Beverages Sector,COOK Trading Ltd,2019,Yes,,,,,,
https://wikirate.org/Walk_Free+Food_Beverages_Sector+COOK_Trading_Ltd+2020,Walk Free+Food & Beverages Sector,COOK Trading Ltd,2020,No,,,,,,
https://wikirate.org/Walk_Free+Food_Beverages_Sector+COOK_Trading_Ltd+2023,Walk Free+Food & Beverages Sector,COOK Trading Ltd,2023,Yes,,,,,,
https://wikirate.org/Higher_School_of_Economics_Research_Group_2020+From_Farm_to_Fork_2020_Disclosure_Rate+COOK_Trading_Ltd+2022,Higher School of Economics Research Group 2020+From Farm to Fork 2020: Disclosure Rate,COOK Trading Ltd,2022,0,,,,,,
https://wikirate.org/Walk_Free+Garment_Sector+COOK_Trading_Ltd+2016,Walk Free+Garment Sector,COOK Trading Ltd,2016,No,,,,,,
https://wikirate.org/Walk_Free+Garment_Sector+COOK_Trading_Ltd+2019,Walk Free+Garment Sector,COOK Trading Ltd,2019,No,,,,,,
https://wikirate.org/Walk_Free+Garment_Sector+COOK_Trading_Ltd+2020,Walk Free+Garment Sector,COOK Trading Ltd,2020,No,,,,,,
https://wikirate.org/Walk_Free+Garment_Sector+COOK_Trading_Ltd+2023,Walk Free+Garment Sector,COOK Trading Ltd,2023,No,,,,,,
https://wikirate.org/~15532497,Global Reporting Initiative+Governance Structure (GRI 2-9-a),COOK Trading Ltd,2022,No,https://wikirate.org/~15532429,15532497.0,http://cook.blob.core.windows.net/assets/uploads/purpose_report22.pdf,1.0,No information found. Manali Rana[https://wikirate.org/Manali_Rana].....2023-08-01 04:52:24 UTC,
https://wikirate.org/Apparel_Research_Group+Grievance_mechanism+COOK_Trading_Ltd+2018,Apparel Research Group+Grievance mechanism,COOK Trading Ltd,2018,No,,,,,,
https://wikirate.org/Apparel_Research_Group+Grievance_mechanism+COOK_Trading_Ltd+2019,Apparel Research Group+Grievance mechanism,COOK Trading Ltd,2019,No,,,,,,
https://wikirate.org/Apparel_Research_Group+Grievance_mechanism+COOK_Trading_Ltd+2020,Apparel Research Group+Grievance mechanism,COOK Trading Ltd,2020,No,,,,,,
https://wikirate.org/~15532517,"Global Reporting Initiative+Hazardous Waste Created, GRI 306-2 (formerly G4-EN23-a)",COOK Trading Ltd,2022,Unknown,https://wikirate.org/~15532429,15532517.0,http://cook.blob.core.windows.net/assets/uploads/purpose_report22.pdf,1.0,No information found. Manali Rana[https://wikirate.org/Manali_Rana].....2023-08-01 04:56:16 UTC,
https://wikirate.org/Core+Headquarters_Location+COOK_Trading_Ltd+2019,Core+Headquarters Location,COOK Trading Ltd,2019,United Kingdom,,,,,,
https://wikirate.org/Walk_Free+Hospitality_Sector+COOK_Trading_Ltd+2016,Walk Free+Hospitality Sector,COOK Trading Ltd,2016,No,,,,,,
https://wikirate.org/Walk_Free+Hospitality_Sector+COOK_Trading_Ltd+2019,Walk Free+Hospitality Sector,COOK Trading Ltd,2019,No,,,,,,
https://wikirate.org/Walk_Free+Hospitality_Sector+COOK_Trading_Ltd+2020,Walk Free+Hospitality Sector,COOK Trading Ltd,2020,No,,,,,,
https://wikirate.org/Walk_Free+Hospitality_Sector+COOK_Trading_Ltd+2023,Walk Free+Hospitality Sector,COOK Trading Ltd,2023,No,,,,,,
https://wikirate.org/Core+ILO_Region+COOK_Trading_Ltd+2019,Core+ILO Region,COOK Trading Ltd,2019,Europe and Central Asia,,,,,,
https://wikirate.org/~15532502,"Global Reporting Initiative+Incidents of discrimination, GRI 406-1 (G4-HR3-a)",COOK Trading Ltd,2022,Unknown,https://wikirate.org/~15532429,15532502.0,http://cook.blob.core.windows.net/assets/uploads/purpose_report22.pdf,1.0,No information found. Manali Rana[https://wikirate.org/Manali_Rana].....2023-08-01 04:53:07 UTC,
https://wikirate.org/Richard_Mills+Incidents_of_discrimination_per_employee+COOK_Trading_Ltd+2022,Richard Mills+Incidents of discrimination per employee,COOK Trading Ltd,2022,Unknown,,,,,,
https://wikirate.org/Commons+Industry+COOK_Trading_Ltd+2019,Commons+Industry,COOK Trading Ltd,2019,"C, G",,,,,,
https://wikirate.org/~13882829,B Lab+Industry Category,COOK Trading Ltd,2022,Manufactured Goods,https://wikirate.org/~13837265,13882829.0,https://data.world/blab/b-corp-impact-data,1.0,,
https://wikirate.org/ISIC+Industry_Class+COOK_Trading_Ltd+2018,ISIC+Industry Class,COOK Trading Ltd,2018,"1079, 4721",,,,,,
https://wikirate.org/~3778717,OpenCorporates+Industry Class,COOK Trading Ltd,2018,"1079, 4721",https://wikirate.org/~3778713,3778717.0,https://opencorporates.com/companies/gb/04611064,1.0,,
https://wikirate.org/ISIC+Industry_Division+COOK_Trading_Ltd+2018,ISIC+Industry Division,COOK Trading Ltd,2018,"10, 47",,,,,,
https://wikirate.org/ISIC+Industry_Group+COOK_Trading_Ltd+2018,ISIC+Industry Group,COOK Trading Ltd,2018,"107, 472",,,,,,
https://wikirate.org/ISIC+Industry_Section+COOK_Trading_Ltd+2018,ISIC+Industry Section,COOK Trading Ltd,2018,"C, G",,,,,,
https://wikirate.org/~9336783,Home Office+MS Statement Includes Due Diligence,COOK Trading Ltd,2019,Yes,https://wikirate.org/~9135362,9336783.0,https://downloads.modern-slavery-statement-registry.service.gov.uk/publicdownloads/StatementSummaries2020.csv,3.0,,
https://wikirate.org/~20068165,Home Office+MS Statement Includes Due Diligence,COOK Trading Ltd,2023,Yes,https://wikirate.org/~19914825,20068165.0,https://modern-slavery-statement-registry.service.gov.uk/statement-summary/dCzV8Q6W/2024,2.0,,
https://wikirate.org/~9523328,Home Office+MS Statement Includes Goals,COOK Trading Ltd,2019,No,https://wikirate.org/~9135362,9523328.0,https://downloads.modern-slavery-statement-registry.service.gov.uk/publicdownloads/StatementSummaries2020.csv,3.0,We're working on this area for the next statement,
https://wikirate.org/~20117396,Home Office+MS Statement Includes Goals,COOK Trading Ltd,2023,Yes,https://wikirate.org/~19914825,20117396.0,https://modern-slavery-statement-registry.service.gov.uk/statement-summary/dCzV8Q6W/2024,2.0,,
https://wikirate.org/~9145506,Home Office+MS Statement Includes Org Structure,COOK Trading Ltd,2019,Yes,https://wikirate.org/~9135362,9145506.0,https://downloads.modern-slavery-statement-registry.service.gov.uk/publicdownloads/StatementSummaries2020.csv,3.0,,
https://wikirate.org/~19991983,Home Office+MS Statement Includes Org Structure,COOK Trading Ltd,2023,Yes,https://wikirate.org/~19914825,19991983.0,https://modern-slavery-statement-registry.service.gov.uk/statement-summary/dCzV8Q6W/2024,2.0,,
https://wikirate.org/~9197010,Home Office+MS Statement Includes Policies,COOK Trading Ltd,2019,Yes,https://wikirate.org/~9135362,9197010.0,https://downloads.modern-slavery-statement-registry.service.gov.uk/publicdownloads/StatementSummaries2020.csv,3.0,,
https://wikirate.org/~20017650,Home Office+MS Statement Includes Policies,COOK Trading Ltd,2023,Yes,https://wikirate.org/~19914825,20017650.0,https://modern-slavery-statement-registry.service.gov.uk/statement-summary/dCzV8Q6W/2024,2.0,,
https://wikirate.org/~9304312,Home Office+MS Statement Includes Risks Assessment,COOK Trading Ltd,2019,Yes,https://wikirate.org/~9135362,9304312.0,https://downloads.modern-slavery-statement-registry.service.gov.uk/publicdownloads/StatementSummaries2020.csv,3.0,,
https://wikirate.org/~20043580,Home Office+MS Statement Includes Risks Assessment,COOK Trading Ltd,2023,Yes,https://wikirate.org/~19914825,20043580.0,https://modern-slavery-statement-registry.service.gov.uk/statement-summary/dCzV8Q6W/2024,2.0,,
https://wikirate.org/~9443314,Home Office+MS Statement Includes Training,COOK Trading Ltd,2019,Yes,https://wikirate.org/~9135362,9443314.0,https://downloads.modern-slavery-statement-registry.service.gov.uk/publicdownloads/StatementSummaries2020.csv,3.0,,
https://wikirate.org/~20092728,Home Office+MS Statement Includes Training,COOK Trading Ltd,2023,Yes,https://wikirate.org/~19914825,20092728.0,https://modern-slavery-statement-registry.service.gov.uk/statement-summary/dCzV8Q6W/2024,2.0,,
https://wikirate.org/~8907896,GOV.UK Gender Pay Gap Service+Mean Gender Pay Gap (Bonus Pay),COOK Trading Ltd,2017,29.4,https://wikirate.org/~8767248,8907896.0,https://gender-pay-gap.service.gov.uk/viewing/download-data/2017,1.0,,
https://wikirate.org/~8919138,GOV.UK Gender Pay Gap Service+Mean Gender Pay Gap (Bonus Pay),COOK Trading Ltd,2018,39.1,https://wikirate.org/~8767324,8919138.0,https://gender-pay-gap.service.gov.uk/viewing/download-data/2018,1.0,,
https://wikirate.org/~8927323,GOV.UK Gender Pay Gap Service+Mean Gender Pay Gap (Bonus Pay),COOK Trading Ltd,2019,36.6,https://wikirate.org/~8767384,8927323.0,https://gender-pay-gap.service.gov.uk/viewing/download-data/2019,1.0,,
https://wikirate.org/~8933637,GOV.UK Gender Pay Gap Service+Mean Gender Pay Gap (Bonus Pay),COOK Trading Ltd,2020,40.7,https://wikirate.org/~8767440,8933637.0,https://gender-pay-gap.service.gov.uk/viewing/download-data/2020,1.0,,
https://wikirate.org/~12707606,GOV.UK Gender Pay Gap Service+Mean Gender Pay Gap (Bonus Pay),COOK Trading Ltd,2021,42.2,https://wikirate.org/~12654979,12707606.0,https://gender-pay-gap.service.gov.uk/viewing/download-data/2021,1.0,,
https://wikirate.org/~14690856,GOV.UK Gender Pay Gap Service+Mean Gender Pay Gap (Bonus Pay),COOK Trading Ltd,2022,38.0,https://wikirate.org/~14619205,14690856.0,https://gender-pay-gap.service.gov.uk/viewing/download-data/2022,2.0,,
https://wikirate.org/~19236458,GOV.UK Gender Pay Gap Service+Mean Gender Pay Gap (Bonus Pay),COOK Trading Ltd,2023,33.1,https://wikirate.org/~18845659,19236458.0,https://gender-pay-gap.service.gov.uk/viewing/download-data/2023,1.0,Company provided the following link that points to its gender pay gap info: https://www.cookfood.net/info/About-cook/Essential-Ingredients/Reports-Downloads/,
https://wikirate.org/GreenDex+Mean_Gender_Pay_Gap_Bonus_Pay+COOK_Trading_Ltd+2017,GreenDex+Mean Gender Pay Gap (Bonus Pay),COOK Trading Ltd,2017,29.4,,,,,,
https://wikirate.org/GreenDex+Mean_Gender_Pay_Gap_Bonus_Pay+COOK_Trading_Ltd+2018,GreenDex+Mean Gender Pay Gap (Bonus Pay),COOK Trading Ltd,2018,39.1,,,,,,
https://wikirate.org/GreenDex+Mean_Gender_Pay_Gap_Bonus_Pay+COOK_Trading_Ltd+2019,GreenDex+Mean Gender Pay Gap (Bonus Pay),COOK Trading Ltd,2019,36.6,,,,,,
