Answer Page,Metric,Company,Year,Value,Source Page,Answer ID,Original Source,Source Count,Comments,ISIN
https://wikirate.org/~9823330,Commons+Address,GAP PERSONNEL HOLDINGS LIMITED,2021,"Pulford House Bell Meadow Business Park, Park Lane Pulford Chester England CH4 9EP",https://wikirate.org/~8066337,9823330.0,https://downloads.modern-slavery-statement-registry.service.gov.uk/publicdownloads/StatementSummaries2021.csv,1.0,,
https://wikirate.org/~17685211,Commons+Address,GAP PERSONNEL HOLDINGS LIMITED,2023,"Pulford House Bell Meadow Business Park, Park Lane Pulford Chester England CH4 9EP",https://wikirate.org/~16850554,17685211.0,https://downloads.modern-slavery-statement-registry.service.gov.uk/publicdownloads/StatementSummaries2023.csv,1.0,,
https://wikirate.org/Walk_Free+Australian_MSA_Registry_Submission+GAP_PERSONNEL_HOLDINGS_LIMITED+2020,Walk Free+Australian MSA Registry Submission,GAP PERSONNEL HOLDINGS LIMITED,2020,No,,,,,,
https://wikirate.org/Walk_Free+Australian_MSA_Registry_Submission+GAP_PERSONNEL_HOLDINGS_LIMITED+2022,Walk Free+Australian MSA Registry Submission,GAP PERSONNEL HOLDINGS LIMITED,2022,No,,,,,,
https://wikirate.org/Walk_Free+Australian_MSA_Registry_Submission+GAP_PERSONNEL_HOLDINGS_LIMITED+2023,Walk Free+Australian MSA Registry Submission,GAP PERSONNEL HOLDINGS LIMITED,2023,No,,,,,,
https://wikirate.org/Walk_Free+Australian_MSA_Registry_Submission+GAP_PERSONNEL_HOLDINGS_LIMITED+2024,Walk Free+Australian MSA Registry Submission,GAP PERSONNEL HOLDINGS LIMITED,2024,No,,,,,,
https://wikirate.org/Walk_Free+Australian_MSA_statement_assessed+GAP_PERSONNEL_HOLDINGS_LIMITED+2020,Walk Free+Australian MSA statement assessed,GAP PERSONNEL HOLDINGS LIMITED,2020,No,,,,,,
https://wikirate.org/Walk_Free+Australian_MSA_statement_assessed+GAP_PERSONNEL_HOLDINGS_LIMITED+2022,Walk Free+Australian MSA statement assessed,GAP PERSONNEL HOLDINGS LIMITED,2022,No,,,,,,
https://wikirate.org/Walk_Free+Australian_MSA_statement_assessed+GAP_PERSONNEL_HOLDINGS_LIMITED+2023,Walk Free+Australian MSA statement assessed,GAP PERSONNEL HOLDINGS LIMITED,2023,No,,,,,,
https://wikirate.org/Walk_Free+Australian_MSA_statement_assessed+GAP_PERSONNEL_HOLDINGS_LIMITED+2024,Walk Free+Australian MSA statement assessed,GAP PERSONNEL HOLDINGS LIMITED,2024,No,,,,,,
https://wikirate.org/Walk_Free+Company_size+GAP_PERSONNEL_HOLDINGS_LIMITED+2020,Walk Free+Company size,GAP PERSONNEL HOLDINGS LIMITED,2020,Medium,,,,,,
https://wikirate.org/Walk_Free+Company_size+GAP_PERSONNEL_HOLDINGS_LIMITED+2022,Walk Free+Company size,GAP PERSONNEL HOLDINGS LIMITED,2022,Medium,,,,,,
https://wikirate.org/Walk_Free+Company_size+GAP_PERSONNEL_HOLDINGS_LIMITED+2023,Walk Free+Company size,GAP PERSONNEL HOLDINGS LIMITED,2023,Medium,,,,,,
https://wikirate.org/Walk_Free+Company_size+GAP_PERSONNEL_HOLDINGS_LIMITED+2024,Walk Free+Company size,GAP PERSONNEL HOLDINGS LIMITED,2024,Medium,,,,,,
https://wikirate.org/Core+Country+GAP_PERSONNEL_HOLDINGS_LIMITED+2019,Core+Country,GAP PERSONNEL HOLDINGS LIMITED,2019,United Kingdom,,,,,,
https://wikirate.org/GreenDex+Country+GAP_PERSONNEL_HOLDINGS_LIMITED+2019,GreenDex+Country,GAP PERSONNEL HOLDINGS LIMITED,2019,United Kingdom,,,,,,
https://wikirate.org/Commons+Employee+GAP_PERSONNEL_HOLDINGS_LIMITED+2017,Commons+Employee,GAP PERSONNEL HOLDINGS LIMITED,2017,"5000 to 19,999",,,,,,
https://wikirate.org/Commons+Employee+GAP_PERSONNEL_HOLDINGS_LIMITED+2018,Commons+Employee,GAP PERSONNEL HOLDINGS LIMITED,2018,"5000 to 19,999",,,,,,
https://wikirate.org/Commons+Employee+GAP_PERSONNEL_HOLDINGS_LIMITED+2019,Commons+Employee,GAP PERSONNEL HOLDINGS LIMITED,2019,"5000 to 19,999",,,,,,
https://wikirate.org/Commons+Employee+GAP_PERSONNEL_HOLDINGS_LIMITED+2020,Commons+Employee,GAP PERSONNEL HOLDINGS LIMITED,2020,1000 to 4999,,,,,,
https://wikirate.org/Commons+Employee+GAP_PERSONNEL_HOLDINGS_LIMITED+2021,Commons+Employee,GAP PERSONNEL HOLDINGS LIMITED,2021,"5000 to 19,999",,,,,,
https://wikirate.org/Commons+Employee+GAP_PERSONNEL_HOLDINGS_LIMITED+2022,Commons+Employee,GAP PERSONNEL HOLDINGS LIMITED,2022,"5000 to 19,999",,,,,,
