Answer Page,Metric,Company,Year,Value,Source Page,Answer ID,Original Source,Source Count,Comments,ISIN
https://wikirate.org/~17691376,Commons+Address,ABEL & COLE LIMITED,2022,The Riverside Building Livingstone Road Hessle East Yorkshire HU13 0DZ,https://wikirate.org/~16850554,17691376.0,https://downloads.modern-slavery-statement-registry.service.gov.uk/publicdownloads/StatementSummaries2023.csv,1.0,,
https://wikirate.org/~13923619,B Lab+Approximate Number of Employees,ABEL & COLE LIMITED,2018,250-999,https://wikirate.org/~13837265,13923619.0,https://data.world/blab/b-corp-impact-data,1.0,,
https://wikirate.org/~13921075,B Lab+Approximate Number of Employees,ABEL & COLE LIMITED,2021,250-999,https://wikirate.org/~13837265,13921075.0,https://data.world/blab/b-corp-impact-data,1.0,,
https://wikirate.org/Walk_Free+Australian_MSA_Registry_Submission+ABEL_COLE_LIMITED+2019,Walk Free+Australian MSA Registry Submission,ABEL & COLE LIMITED,2019,No,,,,,,
https://wikirate.org/Walk_Free+Australian_MSA_Registry_Submission+ABEL_COLE_LIMITED+2020,Walk Free+Australian MSA Registry Submission,ABEL & COLE LIMITED,2020,No,,,,,,
https://wikirate.org/Walk_Free+Australian_MSA_Registry_Submission+ABEL_COLE_LIMITED+2021,Walk Free+Australian MSA Registry Submission,ABEL & COLE LIMITED,2021,No,,,,,,
https://wikirate.org/Walk_Free+Australian_MSA_Registry_Submission+ABEL_COLE_LIMITED+2022,Walk Free+Australian MSA Registry Submission,ABEL & COLE LIMITED,2022,No,,,,,,
https://wikirate.org/Walk_Free+Australian_MSA_Registry_Submission+ABEL_COLE_LIMITED+2023,Walk Free+Australian MSA Registry Submission,ABEL & COLE LIMITED,2023,No,,,,,,
https://wikirate.org/Walk_Free+Australian_MSA_statement_assessed+ABEL_COLE_LIMITED+2019,Walk Free+Australian MSA statement assessed,ABEL & COLE LIMITED,2019,No,,,,,,
https://wikirate.org/Walk_Free+Australian_MSA_statement_assessed+ABEL_COLE_LIMITED+2020,Walk Free+Australian MSA statement assessed,ABEL & COLE LIMITED,2020,No,,,,,,
https://wikirate.org/Walk_Free+Australian_MSA_statement_assessed+ABEL_COLE_LIMITED+2021,Walk Free+Australian MSA statement assessed,ABEL & COLE LIMITED,2021,No,,,,,,
https://wikirate.org/Walk_Free+Australian_MSA_statement_assessed+ABEL_COLE_LIMITED+2022,Walk Free+Australian MSA statement assessed,ABEL & COLE LIMITED,2022,No,,,,,,
https://wikirate.org/Walk_Free+Australian_MSA_statement_assessed+ABEL_COLE_LIMITED+2023,Walk Free+Australian MSA statement assessed,ABEL & COLE LIMITED,2023,No,,,,,,
https://wikirate.org/~13869439,B Lab+B Corp Certification Status,ABEL & COLE LIMITED,2022,Certified,https://wikirate.org/~13837265,13869439.0,https://data.world/blab/b-corp-impact-data,1.0,,
https://wikirate.org/Wikirate_SDG_Metric_design+Common_Environmental_Metrics_Reported+ABEL_COLE_LIMITED+2021,Wikirate SDG Metric design+Common Environmental Metrics Reported,ABEL & COLE LIMITED,2021,2,,,,,,
https://wikirate.org/Wikirate_SDG_Metric_design+Common_Social_Metrics_Reported+ABEL_COLE_LIMITED+2021,Wikirate SDG Metric design+Common Social Metrics Reported,ABEL & COLE LIMITED,2021,0,,,,,,
https://wikirate.org/~15532620,Core+Company Report Available,ABEL & COLE LIMITED,2021,Yes,https://wikirate.org/~15532611,15532620.0,https://www.abelandcole.co.uk/content/pdf/Abel-and-Cole-Impact-Report-2021.pdf,1.0,"Yes, the company publishes report containing ESG information. Manali Rana[https://wikirate.org/Manali_Rana].....2023-08-01 06:41:38 UTC",
https://wikirate.org/~15532625,Core+Company Reporting Guidelines,ABEL & COLE LIMITED,2021,Yes - Other,https://wikirate.org/~15532611,15532625.0,https://www.abelandcole.co.uk/content/pdf/Abel-and-Cole-Impact-Report-2021.pdf,1.0,"pg. 11 ""ALIGNING WITH THE UNITED NATIONS In 2015, the UN set out its Sustainable Development Goals (SDGs) – a collection of 17 international targets to achieve worldwide peace and prosperity. From ending poverty and hunger in all forms, everywhere, to ensuring inclusive and quality education for all, the SDGs provide the benchmarks for a sustainable future"" Manali Rana[https://wikirate.org/Manali_Rana].....2023-08-01 06:47:10 UTC",
https://wikirate.org/Walk_Free+Company_size+ABEL_COLE_LIMITED+2019,Walk Free+Company size,ABEL & COLE LIMITED,2019,Small,,,,,,
https://wikirate.org/Walk_Free+Company_size+ABEL_COLE_LIMITED+2021,Walk Free+Company size,ABEL & COLE LIMITED,2021,Small,,,,,,
https://wikirate.org/Walk_Free+Company_size+ABEL_COLE_LIMITED+2022,Walk Free+Company size,ABEL & COLE LIMITED,2022,Small,,,,,,
https://wikirate.org/Walk_Free+Company_size+ABEL_COLE_LIMITED+2023,Walk Free+Company size,ABEL & COLE LIMITED,2023,Small,,,,,,
https://wikirate.org/Core+Country+ABEL_COLE_LIMITED+2019,Core+Country,ABEL & COLE LIMITED,2019,United Kingdom,,,,,,
https://wikirate.org/GreenDex+Country+ABEL_COLE_LIMITED+2019,GreenDex+Country,ABEL & COLE LIMITED,2019,United Kingdom,,,,,,
https://wikirate.org/Sussex_Research_Group+Diversity_Inclusion_Disclosure+ABEL_COLE_LIMITED+2021,Sussex Research Group+Diversity Inclusion Disclosure,ABEL & COLE LIMITED,2021,0,,,,,,
https://wikirate.org/~15532630,Core+Employee,ABEL & COLE LIMITED,2021,Unknown,https://wikirate.org/~15532611,15532630.0,https://www.abelandcole.co.uk/content/pdf/Abel-and-Cole-Impact-Report-2021.pdf,1.0,Not reported. Manali Rana[https://wikirate.org/Manali_Rana].....2023-08-01 06:49:38 UTC,
https://wikirate.org/Commons+Employee+ABEL_COLE_LIMITED+2017,Commons+Employee,ABEL & COLE LIMITED,2017,500 to 999,,,,,,
https://wikirate.org/Commons+Employee+ABEL_COLE_LIMITED+2018,Commons+Employee,ABEL & COLE LIMITED,2018,500 to 999,,,,,,
https://wikirate.org/Commons+Employee+ABEL_COLE_LIMITED+2019,Commons+Employee,ABEL & COLE LIMITED,2019,500 to 999,,,,,,
https://wikirate.org/Commons+Employee+ABEL_COLE_LIMITED+2020,Commons+Employee,ABEL & COLE LIMITED,2020,500 to 999,,,,,,
https://wikirate.org/Commons+Employee+ABEL_COLE_LIMITED+2021,Commons+Employee,ABEL & COLE LIMITED,2021,Unknown,,,,,,
https://wikirate.org/Commons+Employee+ABEL_COLE_LIMITED+2022,Commons+Employee,ABEL & COLE LIMITED,2022,500 to 999,,,,,,
https://wikirate.org/Commons+Employee+ABEL_COLE_LIMITED+2023,Commons+Employee,ABEL & COLE LIMITED,2023,500 to 999,,,,,,
https://wikirate.org/~9579023,GOV.UK Gender Pay Gap Service+Employer Size,ABEL & COLE LIMITED,2017,500 to 999,https://wikirate.org/~8767248,9579023.0,https://gender-pay-gap.service.gov.uk/viewing/download-data/2017,1.0,,
https://wikirate.org/~9607733,GOV.UK Gender Pay Gap Service+Employer Size,ABEL & COLE LIMITED,2018,500 to 999,https://wikirate.org/~8767324,9607733.0,https://gender-pay-gap.service.gov.uk/viewing/download-data/2018,1.0,,
https://wikirate.org/~9618710,GOV.UK Gender Pay Gap Service+Employer Size,ABEL & COLE LIMITED,2019,500 to 999,https://wikirate.org/~8767384,9618710.0,https://gender-pay-gap.service.gov.uk/viewing/download-data/2019,1.0,,
