Answer Page,Metric,Company,Year,Value,Source Page,Answer ID,Original Source,Source Count,Comments,ISIN
https://wikirate.org/~9819321,Commons+Address,ONE STOP STORES LIMITED,2021,Apex Road Brownhills Walsall West Midlands United Kingdom WS8 7HU,https://wikirate.org/~8066337,9819321.0,https://downloads.modern-slavery-statement-registry.service.gov.uk/publicdownloads/StatementSummaries2021.csv,1.0,,
https://wikirate.org/~17685077,Commons+Address,ONE STOP STORES LIMITED,2022,Apex Road Brownhills Walsall West Midlands United Kingdom WS8 7HU,https://wikirate.org/~16850554,17685077.0,https://downloads.modern-slavery-statement-registry.service.gov.uk/publicdownloads/StatementSummaries2023.csv,1.0,,
https://wikirate.org/Walk_Free+Australian_MSA_Registry_Submission+ONE_STOP_STORES_LIMITED+2019,Walk Free+Australian MSA Registry Submission,ONE STOP STORES LIMITED,2019,No,,,,,,
https://wikirate.org/Walk_Free+Australian_MSA_Registry_Submission+ONE_STOP_STORES_LIMITED+2020,Walk Free+Australian MSA Registry Submission,ONE STOP STORES LIMITED,2020,No,,,,,,
https://wikirate.org/Walk_Free+Australian_MSA_Registry_Submission+ONE_STOP_STORES_LIMITED+2021,Walk Free+Australian MSA Registry Submission,ONE STOP STORES LIMITED,2021,No,,,,,,
https://wikirate.org/Walk_Free+Australian_MSA_Registry_Submission+ONE_STOP_STORES_LIMITED+2022,Walk Free+Australian MSA Registry Submission,ONE STOP STORES LIMITED,2022,No,,,,,,
https://wikirate.org/Walk_Free+Australian_MSA_Registry_Submission+ONE_STOP_STORES_LIMITED+2023,Walk Free+Australian MSA Registry Submission,ONE STOP STORES LIMITED,2023,No,,,,,,
https://wikirate.org/Walk_Free+Australian_MSA_statement_assessed+ONE_STOP_STORES_LIMITED+2019,Walk Free+Australian MSA statement assessed,ONE STOP STORES LIMITED,2019,No,,,,,,
https://wikirate.org/Walk_Free+Australian_MSA_statement_assessed+ONE_STOP_STORES_LIMITED+2020,Walk Free+Australian MSA statement assessed,ONE STOP STORES LIMITED,2020,No,,,,,,
https://wikirate.org/Walk_Free+Australian_MSA_statement_assessed+ONE_STOP_STORES_LIMITED+2021,Walk Free+Australian MSA statement assessed,ONE STOP STORES LIMITED,2021,No,,,,,,
https://wikirate.org/Walk_Free+Australian_MSA_statement_assessed+ONE_STOP_STORES_LIMITED+2022,Walk Free+Australian MSA statement assessed,ONE STOP STORES LIMITED,2022,No,,,,,,
https://wikirate.org/Walk_Free+Australian_MSA_statement_assessed+ONE_STOP_STORES_LIMITED+2023,Walk Free+Australian MSA statement assessed,ONE STOP STORES LIMITED,2023,No,,,,,,
https://wikirate.org/Walk_Free+Company_size+ONE_STOP_STORES_LIMITED+2019,Walk Free+Company size,ONE STOP STORES LIMITED,2019,Large,,,,,,
https://wikirate.org/Walk_Free+Company_size+ONE_STOP_STORES_LIMITED+2020,Walk Free+Company size,ONE STOP STORES LIMITED,2020,Large,,,,,,
https://wikirate.org/Walk_Free+Company_size+ONE_STOP_STORES_LIMITED+2021,Walk Free+Company size,ONE STOP STORES LIMITED,2021,Large,,,,,,
https://wikirate.org/Walk_Free+Company_size+ONE_STOP_STORES_LIMITED+2022,Walk Free+Company size,ONE STOP STORES LIMITED,2022,Large,,,,,,
https://wikirate.org/Walk_Free+Company_size+ONE_STOP_STORES_LIMITED+2023,Walk Free+Company size,ONE STOP STORES LIMITED,2023,Large,,,,,,
https://wikirate.org/Core+Country+ONE_STOP_STORES_LIMITED+2019,Core+Country,ONE STOP STORES LIMITED,2019,United Kingdom,,,,,,
https://wikirate.org/GreenDex+Country+ONE_STOP_STORES_LIMITED+2019,GreenDex+Country,ONE STOP STORES LIMITED,2019,United Kingdom,,,,,,
https://wikirate.org/Commons+Employee+ONE_STOP_STORES_LIMITED+2017,Commons+Employee,ONE STOP STORES LIMITED,2017,"5000 to 19,999",,,,,,
https://wikirate.org/Commons+Employee+ONE_STOP_STORES_LIMITED+2018,Commons+Employee,ONE STOP STORES LIMITED,2018,"5000 to 19,999",,,,,,
