Answer Page,Metric,Company,Year,Value,Source Page,Answer ID,Original Source,Source Count,Comments,ISIN
https://wikirate.org/~8068289,Commons+Address,Masstock Arable UK,2021,Andoversford Cheltenham Gloucestershire GL54 4LZ,https://wikirate.org/~8066337,8068289.0,https://downloads.modern-slavery-statement-registry.service.gov.uk/publicdownloads/StatementSummaries2021.csv,1.0,,
https://wikirate.org/~14155761,Commons+Address,Masstock Arable UK,2022,Andoversford Cheltenham Gloucestershire GL54 4LZ,https://wikirate.org/~13403182,14155761.0,https://downloads.modern-slavery-statement-registry.service.gov.uk/publicdownloads/StatementSummaries2022.csv,1.0,,
https://wikirate.org/Walk_Free+Australian_MSA_Registry_Submission+Masstock_Arable_UK+2017,Walk Free+Australian MSA Registry Submission,Masstock Arable UK,2017,No,,,,,,
https://wikirate.org/Walk_Free+Australian_MSA_Registry_Submission+Masstock_Arable_UK+2018,Walk Free+Australian MSA Registry Submission,Masstock Arable UK,2018,No,,,,,,
https://wikirate.org/Walk_Free+Australian_MSA_Registry_Submission+Masstock_Arable_UK+2020,Walk Free+Australian MSA Registry Submission,Masstock Arable UK,2020,No,,,,,,
https://wikirate.org/Walk_Free+Australian_MSA_Registry_Submission+Masstock_Arable_UK+2022,Walk Free+Australian MSA Registry Submission,Masstock Arable UK,2022,No,,,,,,
https://wikirate.org/Walk_Free+Australian_MSA_Registry_Submission+Masstock_Arable_UK+2023,Walk Free+Australian MSA Registry Submission,Masstock Arable UK,2023,No,,,,,,
https://wikirate.org/Walk_Free+Australian_MSA_statement_assessed+Masstock_Arable_UK+2017,Walk Free+Australian MSA statement assessed,Masstock Arable UK,2017,No,,,,,,
https://wikirate.org/Walk_Free+Australian_MSA_statement_assessed+Masstock_Arable_UK+2018,Walk Free+Australian MSA statement assessed,Masstock Arable UK,2018,No,,,,,,
https://wikirate.org/Walk_Free+Australian_MSA_statement_assessed+Masstock_Arable_UK+2020,Walk Free+Australian MSA statement assessed,Masstock Arable UK,2020,No,,,,,,
https://wikirate.org/Walk_Free+Australian_MSA_statement_assessed+Masstock_Arable_UK+2022,Walk Free+Australian MSA statement assessed,Masstock Arable UK,2022,No,,,,,,
https://wikirate.org/Walk_Free+Australian_MSA_statement_assessed+Masstock_Arable_UK+2023,Walk Free+Australian MSA statement assessed,Masstock Arable UK,2023,No,,,,,,
https://wikirate.org/Walk_Free+Company_size+Masstock_Arable_UK+2020,Walk Free+Company size,Masstock Arable UK,2020,Medium,,,,,,
https://wikirate.org/Walk_Free+Company_size+Masstock_Arable_UK+2021,Walk Free+Company size,Masstock Arable UK,2021,Medium,,,,,,
https://wikirate.org/Walk_Free+Company_size+Masstock_Arable_UK+2023,Walk Free+Company size,Masstock Arable UK,2023,Medium,,,,,,
https://wikirate.org/Core+Country+Masstock_Arable_UK+2019,Core+Country,Masstock Arable UK,2019,United Kingdom,,,,,,
https://wikirate.org/GreenDex+Country+Masstock_Arable_UK+2019,GreenDex+Country,Masstock Arable UK,2019,United Kingdom,,,,,,
https://wikirate.org/Commons+Employee+Masstock_Arable_UK+2017,Commons+Employee,Masstock Arable UK,2017,500 to 999,,,,,,
https://wikirate.org/Commons+Employee+Masstock_Arable_UK+2018,Commons+Employee,Masstock Arable UK,2018,500 to 999,,,,,,
https://wikirate.org/Commons+Employee+Masstock_Arable_UK+2020,Commons+Employee,Masstock Arable UK,2020,500 to 999,,,,,,
https://wikirate.org/Commons+Employee+Masstock_Arable_UK+2021,Commons+Employee,Masstock Arable UK,2021,500 to 999,,,,,,
https://wikirate.org/Commons+Employee+Masstock_Arable_UK+2022,Commons+Employee,Masstock Arable UK,2022,500 to 999,,,,,,
https://wikirate.org/Commons+Employee+Masstock_Arable_UK+2023,Commons+Employee,Masstock Arable UK,2023,500 to 999,,,,,,
https://wikirate.org/~9593548,GOV.UK Gender Pay Gap Service+Employer Size,Masstock Arable UK,2017,500 to 999,https://wikirate.org/~8767248,9593548.0,https://gender-pay-gap.service.gov.uk/viewing/download-data/2017,1.0,,
https://wikirate.org/~9614616,GOV.UK Gender Pay Gap Service+Employer Size,Masstock Arable UK,2018,500 to 999,https://wikirate.org/~8767324,9614616.0,https://gender-pay-gap.service.gov.uk/viewing/download-data/2018,1.0,,
https://wikirate.org/~9629870,GOV.UK Gender Pay Gap Service+Employer Size,Masstock Arable UK,2020,500 to 999,https://wikirate.org/~8767440,9629870.0,https://gender-pay-gap.service.gov.uk/viewing/download-data/2020,1.0,,
https://wikirate.org/~12949886,GOV.UK Gender Pay Gap Service+Employer Size,Masstock Arable UK,2021,500 to 999,https://wikirate.org/~12654979,12949886.0,https://gender-pay-gap.service.gov.uk/viewing/download-data/2021,1.0,,
https://wikirate.org/~15021308,GOV.UK Gender Pay Gap Service+Employer Size,Masstock Arable UK,2022,500 to 999,https://wikirate.org/~14619205,15021308.0,https://gender-pay-gap.service.gov.uk/viewing/download-data/2022,1.0,Company provided the following link that points to its gender pay gap info: https://agrii.co.uk,
https://wikirate.org/~19239502,GOV.UK Gender Pay Gap Service+Employer Size,Masstock Arable UK,2023,500 to 999,https://wikirate.org/~18845659,19239502.0,https://gender-pay-gap.service.gov.uk/viewing/download-data/2023,1.0,Company provided the following link that points to its gender pay gap info: https://www.agrii.co.uk/media/em0p4qol/gender-pay-gap-report-2023.pdf?_gl=1*162fp9p*_up*MQ..*_ga*MTc2NjgwNDMwMi4xNzEyMTMzNjk4*_ga_16YBBK57N1*MTcxMjEzMzY5Ny4xLjAuMTcxMjEzMzY5Ny4wLjAuMA.,
https://wikirate.org/Walk_Free+Financial_Services_Sector+Masstock_Arable_UK+2017,Walk Free+Financial Services Sector,Masstock Arable UK,2017,No,,,,,,
https://wikirate.org/Walk_Free+Financial_Services_Sector+Masstock_Arable_UK+2018,Walk Free+Financial Services Sector,Masstock Arable UK,2018,No,,,,,,
https://wikirate.org/Walk_Free+Financial_Services_Sector+Masstock_Arable_UK+2020,Walk Free+Financial Services Sector,Masstock Arable UK,2020,No,,,,,,
https://wikirate.org/Walk_Free+Financial_Services_Sector+Masstock_Arable_UK+2022,Walk Free+Financial Services Sector,Masstock Arable UK,2022,No,,,,,,
https://wikirate.org/Walk_Free+Financial_Services_Sector+Masstock_Arable_UK+2023,Walk Free+Financial Services Sector,Masstock Arable UK,2023,No,,,,,,
https://wikirate.org/Walk_Free+Food_Beverages_Sector+Masstock_Arable_UK+2017,Walk Free+Food & Beverages Sector,Masstock Arable UK,2017,No,,,,,,
https://wikirate.org/Walk_Free+Food_Beverages_Sector+Masstock_Arable_UK+2018,Walk Free+Food & Beverages Sector,Masstock Arable UK,2018,No,,,,,,
https://wikirate.org/Walk_Free+Food_Beverages_Sector+Masstock_Arable_UK+2020,Walk Free+Food & Beverages Sector,Masstock Arable UK,2020,Yes,,,,,,
