Answer Page,Metric,Company,Year,Value,Source Page,Answer ID,Original Source,Source Count,Comments,ISIN
https://wikirate.org/~17690871,Commons+Address,ALDI STORES LIMITED,2022,Holly Lane Atherstone Warwickshire CV9 2SQ,https://wikirate.org/~16850554,17690871.0,https://downloads.modern-slavery-statement-registry.service.gov.uk/publicdownloads/StatementSummaries2023.csv,1.0,,
https://wikirate.org/Walk_Free+Australian_MSA_Registry_Submission+ALDI_STORES_LIMITED+2019,Walk Free+Australian MSA Registry Submission,ALDI STORES LIMITED,2019,No,,,,,,
https://wikirate.org/Walk_Free+Australian_MSA_Registry_Submission+ALDI_STORES_LIMITED+2020,Walk Free+Australian MSA Registry Submission,ALDI STORES LIMITED,2020,No,,,,,,
https://wikirate.org/Walk_Free+Australian_MSA_Registry_Submission+ALDI_STORES_LIMITED+2021,Walk Free+Australian MSA Registry Submission,ALDI STORES LIMITED,2021,No,,,,,,
https://wikirate.org/Walk_Free+Australian_MSA_Registry_Submission+ALDI_STORES_LIMITED+2022,Walk Free+Australian MSA Registry Submission,ALDI STORES LIMITED,2022,No,,,,,,
https://wikirate.org/Walk_Free+Australian_MSA_statement_assessed+ALDI_STORES_LIMITED+2019,Walk Free+Australian MSA statement assessed,ALDI STORES LIMITED,2019,No,,,,,,
https://wikirate.org/Walk_Free+Australian_MSA_statement_assessed+ALDI_STORES_LIMITED+2020,Walk Free+Australian MSA statement assessed,ALDI STORES LIMITED,2020,No,,,,,,
https://wikirate.org/Walk_Free+Australian_MSA_statement_assessed+ALDI_STORES_LIMITED+2021,Walk Free+Australian MSA statement assessed,ALDI STORES LIMITED,2021,No,,,,,,
https://wikirate.org/Walk_Free+Australian_MSA_statement_assessed+ALDI_STORES_LIMITED+2022,Walk Free+Australian MSA statement assessed,ALDI STORES LIMITED,2022,No,,,,,,
https://wikirate.org/Walk_Free+Company_size+ALDI_STORES_LIMITED+2019,Walk Free+Company size,ALDI STORES LIMITED,2019,Large,,,,,,
https://wikirate.org/Walk_Free+Company_size+ALDI_STORES_LIMITED+2020,Walk Free+Company size,ALDI STORES LIMITED,2020,Large,,,,,,
https://wikirate.org/Walk_Free+Company_size+ALDI_STORES_LIMITED+2021,Walk Free+Company size,ALDI STORES LIMITED,2021,Large,,,,,,
https://wikirate.org/Walk_Free+Company_size+ALDI_STORES_LIMITED+2022,Walk Free+Company size,ALDI STORES LIMITED,2022,Large,,,,,,
https://wikirate.org/Core+Country+ALDI_STORES_LIMITED+2019,Core+Country,ALDI STORES LIMITED,2019,United Kingdom,,,,,,
https://wikirate.org/GreenDex+Country+ALDI_STORES_LIMITED+2019,GreenDex+Country,ALDI STORES LIMITED,2019,United Kingdom,,,,,,
https://wikirate.org/Commons+Employee+ALDI_STORES_LIMITED+2017,Commons+Employee,ALDI STORES LIMITED,2017,"20,000 or more",,,,,,
https://wikirate.org/Commons+Employee+ALDI_STORES_LIMITED+2018,Commons+Employee,ALDI STORES LIMITED,2018,"20,000 or more",,,,,,
https://wikirate.org/Commons+Employee+ALDI_STORES_LIMITED+2019,Commons+Employee,ALDI STORES LIMITED,2019,"20,000 or more",,,,,,
https://wikirate.org/Commons+Employee+ALDI_STORES_LIMITED+2020,Commons+Employee,ALDI STORES LIMITED,2020,"20,000 or more",,,,,,
https://wikirate.org/Commons+Employee+ALDI_STORES_LIMITED+2021,Commons+Employee,ALDI STORES LIMITED,2021,"20,000 or more",,,,,,
https://wikirate.org/Commons+Employee+ALDI_STORES_LIMITED+2022,Commons+Employee,ALDI STORES LIMITED,2022,"20,000 or more",,,,,,
https://wikirate.org/Commons+Employee+ALDI_STORES_LIMITED+2023,Commons+Employee,ALDI STORES LIMITED,2023,"20,000 or more",,,,,,
