Answer Page,Metric,Company,Year,Value,Source Page,Answer ID,Original Source,Source Count,Comments,ISIN
https://wikirate.org/~6247046,Commons+Address,MOWI CONSUMER PRODUCTS UK LIMITED,2020,"Admiralty Park, Fife, United Kingdom",https://wikirate.org/~5449958,6247046.0,https://www.lidl.de/de/sortiment-verantwortung-in-der-nonfood-lieferkette/s7377409,1.0,,
https://wikirate.org/~14156416,Commons+Address,MOWI CONSUMER PRODUCTS UK LIMITED,2022,C/O Brodies Llp Capital Square 58 Morrison Street Edinburgh United Kingdom EH3 8BP,https://wikirate.org/~13403182,14156416.0,https://downloads.modern-slavery-statement-registry.service.gov.uk/publicdownloads/StatementSummaries2022.csv,1.0,,
https://wikirate.org/Walk_Free+Australian_MSA_Registry_Submission+MOWI_CONSUMER_PRODUCTS_UK_LIMITED+2021,Walk Free+Australian MSA Registry Submission,MOWI CONSUMER PRODUCTS UK LIMITED,2021,No,,,,,,
https://wikirate.org/Walk_Free+Australian_MSA_Registry_Submission+MOWI_CONSUMER_PRODUCTS_UK_LIMITED+2022,Walk Free+Australian MSA Registry Submission,MOWI CONSUMER PRODUCTS UK LIMITED,2022,No,,,,,,
https://wikirate.org/Walk_Free+Australian_MSA_Registry_Submission+MOWI_CONSUMER_PRODUCTS_UK_LIMITED+2023,Walk Free+Australian MSA Registry Submission,MOWI CONSUMER PRODUCTS UK LIMITED,2023,No,,,,,,
https://wikirate.org/Walk_Free+Australian_MSA_statement_assessed+MOWI_CONSUMER_PRODUCTS_UK_LIMITED+2021,Walk Free+Australian MSA statement assessed,MOWI CONSUMER PRODUCTS UK LIMITED,2021,No,,,,,,
https://wikirate.org/Walk_Free+Australian_MSA_statement_assessed+MOWI_CONSUMER_PRODUCTS_UK_LIMITED+2022,Walk Free+Australian MSA statement assessed,MOWI CONSUMER PRODUCTS UK LIMITED,2022,No,,,,,,
https://wikirate.org/Walk_Free+Australian_MSA_statement_assessed+MOWI_CONSUMER_PRODUCTS_UK_LIMITED+2023,Walk Free+Australian MSA statement assessed,MOWI CONSUMER PRODUCTS UK LIMITED,2023,No,,,,,,
https://wikirate.org/Commons+Company_Category+MOWI_CONSUMER_PRODUCTS_UK_LIMITED+2019,Commons+Company Category,MOWI CONSUMER PRODUCTS UK LIMITED,2019,M,,,,,,
https://wikirate.org/Walk_Free+Company_size+MOWI_CONSUMER_PRODUCTS_UK_LIMITED+2020,Walk Free+Company size,MOWI CONSUMER PRODUCTS UK LIMITED,2020,Large,,,,,,
https://wikirate.org/Walk_Free+Company_size+MOWI_CONSUMER_PRODUCTS_UK_LIMITED+2021,Walk Free+Company size,MOWI CONSUMER PRODUCTS UK LIMITED,2021,Large,,,,,,
https://wikirate.org/Walk_Free+Company_size+MOWI_CONSUMER_PRODUCTS_UK_LIMITED+2022,Walk Free+Company size,MOWI CONSUMER PRODUCTS UK LIMITED,2022,Large,,,,,,
https://wikirate.org/Walk_Free+Company_size+MOWI_CONSUMER_PRODUCTS_UK_LIMITED+2023,Walk Free+Company size,MOWI CONSUMER PRODUCTS UK LIMITED,2023,Large,,,,,,
https://wikirate.org/Core+Country+MOWI_CONSUMER_PRODUCTS_UK_LIMITED+2019,Core+Country,MOWI CONSUMER PRODUCTS UK LIMITED,2019,United Kingdom,,,,,,
https://wikirate.org/GreenDex+Country+MOWI_CONSUMER_PRODUCTS_UK_LIMITED+2019,GreenDex+Country,MOWI CONSUMER PRODUCTS UK LIMITED,2019,United Kingdom,,,,,,
https://wikirate.org/Commons+Employee+MOWI_CONSUMER_PRODUCTS_UK_LIMITED+2017,Commons+Employee,MOWI CONSUMER PRODUCTS UK LIMITED,2017,250 to 499,,,,,,
https://wikirate.org/Commons+Employee+MOWI_CONSUMER_PRODUCTS_UK_LIMITED+2018,Commons+Employee,MOWI CONSUMER PRODUCTS UK LIMITED,2018,250 to 499,,,,,,
https://wikirate.org/Commons+Employee+MOWI_CONSUMER_PRODUCTS_UK_LIMITED+2019,Commons+Employee,MOWI CONSUMER PRODUCTS UK LIMITED,2019,250 to 499,,,,,,
https://wikirate.org/Commons+Employee+MOWI_CONSUMER_PRODUCTS_UK_LIMITED+2020,Commons+Employee,MOWI CONSUMER PRODUCTS UK LIMITED,2020,500 to 999,,,,,,
https://wikirate.org/Commons+Employee+MOWI_CONSUMER_PRODUCTS_UK_LIMITED+2021,Commons+Employee,MOWI CONSUMER PRODUCTS UK LIMITED,2021,500 to 999,,,,,,
https://wikirate.org/Commons+Employee+MOWI_CONSUMER_PRODUCTS_UK_LIMITED+2022,Commons+Employee,MOWI CONSUMER PRODUCTS UK LIMITED,2022,500 to 999,,,,,,
https://wikirate.org/Commons+Employee+MOWI_CONSUMER_PRODUCTS_UK_LIMITED+2023,Commons+Employee,MOWI CONSUMER PRODUCTS UK LIMITED,2023,500 to 999,,,,,,
https://wikirate.org/~11404261,GOV.UK Gender Pay Gap Service+Employer Size,MOWI CONSUMER PRODUCTS UK LIMITED,2017,250 to 499,https://wikirate.org/~8767248,11404261.0,https://gender-pay-gap.service.gov.uk/viewing/download-data/2017,1.0,,
https://wikirate.org/~11414614,GOV.UK Gender Pay Gap Service+Employer Size,MOWI CONSUMER PRODUCTS UK LIMITED,2018,250 to 499,https://wikirate.org/~8767324,11414614.0,https://gender-pay-gap.service.gov.uk/viewing/download-data/2018,1.0,,
