Answer Page,Metric,Company,Year,Value,Source Page,Answer ID,Original Source,Source Count,Comments,ISIN
https://wikirate.org/~14149447,Commons+Address,Danish Crown UK Ltd,2022,57 Stanley Road Whitefield Manchester M45 8GZ,https://wikirate.org/~13403182,14149447.0,https://downloads.modern-slavery-statement-registry.service.gov.uk/publicdownloads/StatementSummaries2022.csv,1.0,,
https://wikirate.org/Walk_Free+Australian_MSA_Registry_Submission+Danish_Crown_UK_Ltd+2016,Walk Free+Australian MSA Registry Submission,Danish Crown UK Ltd,2016,No,,,,,,
https://wikirate.org/Walk_Free+Australian_MSA_Registry_Submission+Danish_Crown_UK_Ltd+2017,Walk Free+Australian MSA Registry Submission,Danish Crown UK Ltd,2017,No,,,,,,
https://wikirate.org/Walk_Free+Australian_MSA_Registry_Submission+Danish_Crown_UK_Ltd+2020,Walk Free+Australian MSA Registry Submission,Danish Crown UK Ltd,2020,No,,,,,,
https://wikirate.org/Walk_Free+Australian_MSA_Registry_Submission+Danish_Crown_UK_Ltd+2021,Walk Free+Australian MSA Registry Submission,Danish Crown UK Ltd,2021,No,,,,,,
https://wikirate.org/Walk_Free+Australian_MSA_Registry_Submission+Danish_Crown_UK_Ltd+2023,Walk Free+Australian MSA Registry Submission,Danish Crown UK Ltd,2023,No,,,,,,
https://wikirate.org/Commons+Company_Category+Danish_Crown_UK_Ltd+2019,Commons+Company Category,Danish Crown UK Ltd,2019,"M, W",,,,,,
https://wikirate.org/~11104910,Core+Company Report Available,Danish Crown UK Ltd,2021,Yes,https://wikirate.org/~11104745,11104910.0,,1.0,,
https://wikirate.org/Walk_Free+Company_size+Danish_Crown_UK_Ltd+2020,Walk Free+Company size,Danish Crown UK Ltd,2020,Large,,,,,,
https://wikirate.org/Walk_Free+Company_size+Danish_Crown_UK_Ltd+2021,Walk Free+Company size,Danish Crown UK Ltd,2021,Large,,,,,,
https://wikirate.org/Core+Country+Danish_Crown_UK_Ltd+2019,Core+Country,Danish Crown UK Ltd,2019,United Kingdom,,,,,,
https://wikirate.org/GreenDex+Country+Danish_Crown_UK_Ltd+2019,GreenDex+Country,Danish Crown UK Ltd,2019,United Kingdom,,,,,,
https://wikirate.org/Commons+Employee+Danish_Crown_UK_Ltd+2017,Commons+Employee,Danish Crown UK Ltd,2017,250 to 499,,,,,,
https://wikirate.org/Commons+Employee+Danish_Crown_UK_Ltd+2018,Commons+Employee,Danish Crown UK Ltd,2018,500 to 999,,,,,,
https://wikirate.org/Commons+Employee+Danish_Crown_UK_Ltd+2020,Commons+Employee,Danish Crown UK Ltd,2020,500 to 999,,,,,,
https://wikirate.org/Commons+Employee+Danish_Crown_UK_Ltd+2021,Commons+Employee,Danish Crown UK Ltd,2021,500 to 999,,,,,,
https://wikirate.org/Commons+Employee+Danish_Crown_UK_Ltd+2022,Commons+Employee,Danish Crown UK Ltd,2022,250 to 499,,,,,,
https://wikirate.org/Commons+Employee+Danish_Crown_UK_Ltd+2023,Commons+Employee,Danish Crown UK Ltd,2023,250 to 499,,,,,,
https://wikirate.org/~9585000,GOV.UK Gender Pay Gap Service+Employer Size,Danish Crown UK Ltd,2017,250 to 499,https://wikirate.org/~8767248,9585000.0,https://gender-pay-gap.service.gov.uk/viewing/download-data/2017,1.0,,
https://wikirate.org/~9611696,GOV.UK Gender Pay Gap Service+Employer Size,Danish Crown UK Ltd,2018,500 to 999,https://wikirate.org/~8767324,9611696.0,https://gender-pay-gap.service.gov.uk/viewing/download-data/2018,1.0,,
https://wikirate.org/~9627028,GOV.UK Gender Pay Gap Service+Employer Size,Danish Crown UK Ltd,2020,500 to 999,https://wikirate.org/~8767440,9627028.0,https://gender-pay-gap.service.gov.uk/viewing/download-data/2020,1.0,,
https://wikirate.org/~12942265,GOV.UK Gender Pay Gap Service+Employer Size,Danish Crown UK Ltd,2021,500 to 999,https://wikirate.org/~12654979,12942265.0,https://gender-pay-gap.service.gov.uk/viewing/download-data/2021,1.0,,
https://wikirate.org/~15012763,GOV.UK Gender Pay Gap Service+Employer Size,Danish Crown UK Ltd,2022,250 to 499,https://wikirate.org/~14619205,15012763.0,https://gender-pay-gap.service.gov.uk/viewing/download-data/2022,1.0,,
https://wikirate.org/~19236447,GOV.UK Gender Pay Gap Service+Employer Size,Danish Crown UK Ltd,2023,250 to 499,https://wikirate.org/~18839462,19236447.0,https://www.danishcrown.com/media/18924/gender-pay-report.pdf,2.0,,
https://wikirate.org/Apparel_Research_Group+Grievance_mechanism+Danish_Crown_UK_Ltd+2018,Apparel Research Group+Grievance mechanism,Danish Crown UK Ltd,2018,No,,,,,,
https://wikirate.org/Apparel_Research_Group+Grievance_mechanism+Danish_Crown_UK_Ltd+2019,Apparel Research Group+Grievance mechanism,Danish Crown UK Ltd,2019,No,,,,,,
https://wikirate.org/Apparel_Research_Group+Grievance_mechanism+Danish_Crown_UK_Ltd+2020,Apparel Research Group+Grievance mechanism,Danish Crown UK Ltd,2020,No,,,,,,
https://wikirate.org/Core+Headquarters_Location+Danish_Crown_UK_Ltd+2019,Core+Headquarters Location,Danish Crown UK Ltd,2019,United Kingdom,,,,,,
https://wikirate.org/Core+ILO_Region+Danish_Crown_UK_Ltd+2019,Core+ILO Region,Danish Crown UK Ltd,2019,Europe and Central Asia,,,,,,
https://wikirate.org/Commons+Industry+Danish_Crown_UK_Ltd+2019,Commons+Industry,Danish Crown UK Ltd,2019,"C, G",,,,,,
https://wikirate.org/ISIC+Industry_Class+Danish_Crown_UK_Ltd+2018,ISIC+Industry Class,Danish Crown UK Ltd,2018,"4630, 1010",,,,,,
https://wikirate.org/~3778703,OpenCorporates+Industry Class,Danish Crown UK Ltd,2018,"4630, 1010",https://wikirate.org/~3778699,3778703.0,https://opencorporates.com/companies/gb/02021233,1.0,,
https://wikirate.org/ISIC+Industry_Division+Danish_Crown_UK_Ltd+2018,ISIC+Industry Division,Danish Crown UK Ltd,2018,"46, 10",,,,,,
https://wikirate.org/ISIC+Industry_Group+Danish_Crown_UK_Ltd+2018,ISIC+Industry Group,Danish Crown UK Ltd,2018,"463, 101",,,,,,
https://wikirate.org/ISIC+Industry_Section+Danish_Crown_UK_Ltd+2018,ISIC+Industry Section,Danish Crown UK Ltd,2018,"C, G",,,,,,
https://wikirate.org/~20173380,Home Office+MS Statement Grievance Mechanism Provisions,Danish Crown UK Ltd,2023,"Using anonymous whistleblowing services such as a helpline or mobile phone app, Through trade unions or other worker representative groups",https://wikirate.org/~19913415,20173380.0,https://modern-slavery-statement-registry.service.gov.uk/statement-summary/QzEO48Nv/2024,2.0,,
https://wikirate.org/~9337763,Home Office+MS Statement Includes Due Diligence,Danish Crown UK Ltd,2020,Yes,https://wikirate.org/~9135362,9337763.0,https://downloads.modern-slavery-statement-registry.service.gov.uk/publicdownloads/StatementSummaries2020.csv,3.0,,
https://wikirate.org/~13461388,Home Office+MS Statement Includes Due Diligence,Danish Crown UK Ltd,2021,Yes,https://wikirate.org/~13403182,13461388.0,https://downloads.modern-slavery-statement-registry.service.gov.uk/publicdownloads/StatementSummaries2022.csv,3.0,,
https://wikirate.org/~20068910,Home Office+MS Statement Includes Due Diligence,Danish Crown UK Ltd,2023,Yes,https://wikirate.org/~19913415,20068910.0,https://modern-slavery-statement-registry.service.gov.uk/statement-summary/QzEO48Nv/2024,2.0,,
https://wikirate.org/~9525388,Home Office+MS Statement Includes Goals,Danish Crown UK Ltd,2020,No,https://wikirate.org/~9135362,9525388.0,https://downloads.modern-slavery-statement-registry.service.gov.uk/publicdownloads/StatementSummaries2020.csv,3.0,working on area for next statement,
https://wikirate.org/~13490595,Home Office+MS Statement Includes Goals,Danish Crown UK Ltd,2021,Yes,https://wikirate.org/~13403182,13490595.0,https://downloads.modern-slavery-statement-registry.service.gov.uk/publicdownloads/StatementSummaries2022.csv,3.0,,
https://wikirate.org/~20118141,Home Office+MS Statement Includes Goals,Danish Crown UK Ltd,2023,Yes,https://wikirate.org/~19913415,20118141.0,https://modern-slavery-statement-registry.service.gov.uk/statement-summary/QzEO48Nv/2024,2.0,,
https://wikirate.org/~9146908,Home Office+MS Statement Includes Org Structure,Danish Crown UK Ltd,2020,Yes,https://wikirate.org/~9135362,9146908.0,https://downloads.modern-slavery-statement-registry.service.gov.uk/publicdownloads/StatementSummaries2020.csv,3.0,,
https://wikirate.org/~13409233,Home Office+MS Statement Includes Org Structure,Danish Crown UK Ltd,2021,Yes,https://wikirate.org/~13403182,13409233.0,https://downloads.modern-slavery-statement-registry.service.gov.uk/publicdownloads/StatementSummaries2022.csv,3.0,,
https://wikirate.org/~19992567,Home Office+MS Statement Includes Org Structure,Danish Crown UK Ltd,2023,Yes,https://wikirate.org/~19913415,19992567.0,https://modern-slavery-statement-registry.service.gov.uk/statement-summary/QzEO48Nv/2024,2.0,,
https://wikirate.org/~9198750,Home Office+MS Statement Includes Policies,Danish Crown UK Ltd,2020,Yes,https://wikirate.org/~9135362,9198750.0,https://downloads.modern-slavery-statement-registry.service.gov.uk/publicdownloads/StatementSummaries2020.csv,3.0,,
https://wikirate.org/~13428326,Home Office+MS Statement Includes Policies,Danish Crown UK Ltd,2021,Yes,https://wikirate.org/~13403182,13428326.0,https://downloads.modern-slavery-statement-registry.service.gov.uk/publicdownloads/StatementSummaries2022.csv,3.0,,
https://wikirate.org/~20018362,Home Office+MS Statement Includes Policies,Danish Crown UK Ltd,2023,Yes,https://wikirate.org/~19913415,20018362.0,https://modern-slavery-statement-registry.service.gov.uk/statement-summary/QzEO48Nv/2024,2.0,,
https://wikirate.org/~9305309,Home Office+MS Statement Includes Risks Assessment,Danish Crown UK Ltd,2020,Yes,https://wikirate.org/~9135362,9305309.0,https://downloads.modern-slavery-statement-registry.service.gov.uk/publicdownloads/StatementSummaries2020.csv,3.0,,
https://wikirate.org/~13445606,Home Office+MS Statement Includes Risks Assessment,Danish Crown UK Ltd,2021,Yes,https://wikirate.org/~13403182,13445606.0,https://downloads.modern-slavery-statement-registry.service.gov.uk/publicdownloads/StatementSummaries2022.csv,3.0,,
https://wikirate.org/~20044325,Home Office+MS Statement Includes Risks Assessment,Danish Crown UK Ltd,2023,Yes,https://wikirate.org/~19913415,20044325.0,https://modern-slavery-statement-registry.service.gov.uk/statement-summary/QzEO48Nv/2024,2.0,,
https://wikirate.org/~9445152,Home Office+MS Statement Includes Training,Danish Crown UK Ltd,2020,No,https://wikirate.org/~9135362,9445152.0,https://downloads.modern-slavery-statement-registry.service.gov.uk/publicdownloads/StatementSummaries2020.csv,3.0,working on area for next statement,
https://wikirate.org/~13474572,Home Office+MS Statement Includes Training,Danish Crown UK Ltd,2021,No,https://wikirate.org/~13403182,13474572.0,https://downloads.modern-slavery-statement-registry.service.gov.uk/publicdownloads/StatementSummaries2022.csv,3.0,,
https://wikirate.org/~20093473,Home Office+MS Statement Includes Training,Danish Crown UK Ltd,2023,Yes,https://wikirate.org/~19913415,20093473.0,https://modern-slavery-statement-registry.service.gov.uk/statement-summary/QzEO48Nv/2024,2.0,,
https://wikirate.org/~20139420,Home Office+MS Statement Policies Provisions,Danish Crown UK Ltd,2023,"Freedom of workers to terminate employment, Freedom of movement, Freedom of association, Prohibits any threat of violence/ harassment and intimidation, Prohibits the use of worker-paid recruitment fees, Prohibits compulsory overtime, Prohibits child labour, Prohibits discrimination, Prohibits confiscation of workers original identification documents, Provides access to remedy/ compensation and justice for victims of modern slavery",https://wikirate.org/~19913415,20139420.0,https://modern-slavery-statement-registry.service.gov.uk/statement-summary/QzEO48Nv/2024,2.0,,
https://wikirate.org/~20183912,Home Office+MS Statement Social Audit Provisions,Danish Crown UK Ltd,2023,,https://wikirate.org/~19913415,20183912.0,https://modern-slavery-statement-registry.service.gov.uk/statement-summary/QzEO48Nv/2024,2.0,,
https://wikirate.org/~20150999,Home Office+MS Statement Training Provisions,Danish Crown UK Ltd,2023,Whole organization,https://wikirate.org/~19913415,20150999.0,https://modern-slavery-statement-registry.service.gov.uk/statement-summary/QzEO48Nv/2024,2.0,,
https://wikirate.org/~20162681,Home Office+MS Statement Working Conditions Engagement,Danish Crown UK Ltd,2023,Workers within own organization,https://wikirate.org/~19913415,20162681.0,https://modern-slavery-statement-registry.service.gov.uk/statement-summary/QzEO48Nv/2024,2.0,,
https://wikirate.org/~8908210,GOV.UK Gender Pay Gap Service+Mean Gender Pay Gap (Bonus Pay),Danish Crown UK Ltd,2017,54.2,https://wikirate.org/~8767248,8908210.0,https://gender-pay-gap.service.gov.uk/viewing/download-data/2017,1.0,,
https://wikirate.org/~8919373,GOV.UK Gender Pay Gap Service+Mean Gender Pay Gap (Bonus Pay),Danish Crown UK Ltd,2018,64.2,https://wikirate.org/~8767324,8919373.0,https://gender-pay-gap.service.gov.uk/viewing/download-data/2018,1.0,,
https://wikirate.org/~8933870,GOV.UK Gender Pay Gap Service+Mean Gender Pay Gap (Bonus Pay),Danish Crown UK Ltd,2020,28.0,https://wikirate.org/~8767440,8933870.0,https://gender-pay-gap.service.gov.uk/viewing/download-data/2020,1.0,,
https://wikirate.org/~12708057,GOV.UK Gender Pay Gap Service+Mean Gender Pay Gap (Bonus Pay),Danish Crown UK Ltd,2021,46.0,https://wikirate.org/~12654979,12708057.0,https://gender-pay-gap.service.gov.uk/viewing/download-data/2021,1.0,,
https://wikirate.org/~14691396,GOV.UK Gender Pay Gap Service+Mean Gender Pay Gap (Bonus Pay),Danish Crown UK Ltd,2022,38.62,https://wikirate.org/~14619205,14691396.0,https://gender-pay-gap.service.gov.uk/viewing/download-data/2022,1.0,,
https://wikirate.org/~19236411,GOV.UK Gender Pay Gap Service+Mean Gender Pay Gap (Bonus Pay),Danish Crown UK Ltd,2023,32.82,https://wikirate.org/~18839462,19236411.0,https://www.danishcrown.com/media/18924/gender-pay-report.pdf,2.0,,
https://wikirate.org/GreenDex+Mean_Gender_Pay_Gap_Bonus_Pay+Danish_Crown_UK_Ltd+2017,GreenDex+Mean Gender Pay Gap (Bonus Pay),Danish Crown UK Ltd,2017,54.2,,,,,,
https://wikirate.org/GreenDex+Mean_Gender_Pay_Gap_Bonus_Pay+Danish_Crown_UK_Ltd+2018,GreenDex+Mean Gender Pay Gap (Bonus Pay),Danish Crown UK Ltd,2018,64.2,,,,,,
https://wikirate.org/GreenDex+Mean_Gender_Pay_Gap_Bonus_Pay+Danish_Crown_UK_Ltd+2020,GreenDex+Mean Gender Pay Gap (Bonus Pay),Danish Crown UK Ltd,2020,28.0,,,,,,
https://wikirate.org/GreenDex+Mean_Gender_Pay_Gap_Bonus_Pay+Danish_Crown_UK_Ltd+2021,GreenDex+Mean Gender Pay Gap (Bonus Pay),Danish Crown UK Ltd,2021,46.0,,,,,,
https://wikirate.org/GreenDex+Mean_Gender_Pay_Gap_Bonus_Pay+Danish_Crown_UK_Ltd+2022,GreenDex+Mean Gender Pay Gap (Bonus Pay),Danish Crown UK Ltd,2022,38.62,,,,,,
