Answer Page,Metric,Company,Year,Value,Source Page,Answer ID,Original Source,Source Count,Comments,ISIN
https://wikirate.org/~8067465,Commons+Address,Castell Howell Foods Limited,2021,Cross Hands Food Park Cross Hands Llanelli Carmarthenshire SA14 6SX,https://wikirate.org/~8066337,8067465.0,https://downloads.modern-slavery-statement-registry.service.gov.uk/publicdownloads/StatementSummaries2021.csv,1.0,,
https://wikirate.org/Walk_Free+Australian_MSA_Registry_Submission+Castell_Howell_Foods_Limited+2017,Walk Free+Australian MSA Registry Submission,Castell Howell Foods Limited,2017,No,,,,,,
https://wikirate.org/Walk_Free+Australian_MSA_Registry_Submission+Castell_Howell_Foods_Limited+2018,Walk Free+Australian MSA Registry Submission,Castell Howell Foods Limited,2018,No,,,,,,
https://wikirate.org/Walk_Free+Australian_MSA_Registry_Submission+Castell_Howell_Foods_Limited+2020,Walk Free+Australian MSA Registry Submission,Castell Howell Foods Limited,2020,No,,,,,,
https://wikirate.org/Walk_Free+Australian_MSA_Registry_Submission+Castell_Howell_Foods_Limited+2023,Walk Free+Australian MSA Registry Submission,Castell Howell Foods Limited,2023,No,,,,,,
https://wikirate.org/Walk_Free+Australian_MSA_statement_assessed+Castell_Howell_Foods_Limited+2017,Walk Free+Australian MSA statement assessed,Castell Howell Foods Limited,2017,No,,,,,,
https://wikirate.org/Walk_Free+Australian_MSA_statement_assessed+Castell_Howell_Foods_Limited+2018,Walk Free+Australian MSA statement assessed,Castell Howell Foods Limited,2018,No,,,,,,
https://wikirate.org/Walk_Free+Australian_MSA_statement_assessed+Castell_Howell_Foods_Limited+2020,Walk Free+Australian MSA statement assessed,Castell Howell Foods Limited,2020,No,,,,,,
https://wikirate.org/Walk_Free+Australian_MSA_statement_assessed+Castell_Howell_Foods_Limited+2023,Walk Free+Australian MSA statement assessed,Castell Howell Foods Limited,2023,No,,,,,,
https://wikirate.org/Walk_Free+Company_size+Castell_Howell_Foods_Limited+2020,Walk Free+Company size,Castell Howell Foods Limited,2020,Medium,,,,,,
https://wikirate.org/Walk_Free+Company_size+Castell_Howell_Foods_Limited+2023,Walk Free+Company size,Castell Howell Foods Limited,2023,Medium,,,,,,
https://wikirate.org/Core+Country+Castell_Howell_Foods_Limited+2019,Core+Country,Castell Howell Foods Limited,2019,United Kingdom,,,,,,
https://wikirate.org/GreenDex+Country+Castell_Howell_Foods_Limited+2019,GreenDex+Country,Castell Howell Foods Limited,2019,United Kingdom,,,,,,
https://wikirate.org/Commons+Employee+Castell_Howell_Foods_Limited+2017,Commons+Employee,Castell Howell Foods Limited,2017,Not Provided,,,,,,
https://wikirate.org/Commons+Employee+Castell_Howell_Foods_Limited+2018,Commons+Employee,Castell Howell Foods Limited,2018,500 to 999,,,,,,
https://wikirate.org/Commons+Employee+Castell_Howell_Foods_Limited+2019,Commons+Employee,Castell Howell Foods Limited,2019,500 to 999,,,,,,
https://wikirate.org/Commons+Employee+Castell_Howell_Foods_Limited+2020,Commons+Employee,Castell Howell Foods Limited,2020,Less than 250,,,,,,
https://wikirate.org/Commons+Employee+Castell_Howell_Foods_Limited+2021,Commons+Employee,Castell Howell Foods Limited,2021,Less than 250,,,,,,
https://wikirate.org/Commons+Employee+Castell_Howell_Foods_Limited+2022,Commons+Employee,Castell Howell Foods Limited,2022,500 to 999,,,,,,
https://wikirate.org/Commons+Employee+Castell_Howell_Foods_Limited+2023,Commons+Employee,Castell Howell Foods Limited,2023,500 to 999,,,,,,
https://wikirate.org/~9583245,GOV.UK Gender Pay Gap Service+Employer Size,Castell Howell Foods Limited,2017,Not Provided,https://wikirate.org/~8767248,9583245.0,https://gender-pay-gap.service.gov.uk/viewing/download-data/2017,1.0,,
https://wikirate.org/~9611059,GOV.UK Gender Pay Gap Service+Employer Size,Castell Howell Foods Limited,2018,500 to 999,https://wikirate.org/~8767324,9611059.0,https://gender-pay-gap.service.gov.uk/viewing/download-data/2018,1.0,,
https://wikirate.org/~9619806,GOV.UK Gender Pay Gap Service+Employer Size,Castell Howell Foods Limited,2019,500 to 999,https://wikirate.org/~8767384,9619806.0,https://gender-pay-gap.service.gov.uk/viewing/download-data/2019,1.0,,
https://wikirate.org/~9626418,GOV.UK Gender Pay Gap Service+Employer Size,Castell Howell Foods Limited,2020,Less than 250,https://wikirate.org/~8767440,9626418.0,https://gender-pay-gap.service.gov.uk/viewing/download-data/2020,1.0,,
https://wikirate.org/~12940556,GOV.UK Gender Pay Gap Service+Employer Size,Castell Howell Foods Limited,2021,Less than 250,https://wikirate.org/~12654979,12940556.0,https://gender-pay-gap.service.gov.uk/viewing/download-data/2021,1.0,,
