Answer Page,Metric,Company,Year,Value,Source Page,Answer ID,Original Source,Source Count,Comments,ISIN
https://wikirate.org/~14156420,Commons+Address,MOWI SCOTLAND LIMITED,2022,1st Floor Admiralty Park Admiralty Road Rosyth Fife KY11 2YW,https://wikirate.org/~13403182,14156420.0,https://downloads.modern-slavery-statement-registry.service.gov.uk/publicdownloads/StatementSummaries2022.csv,1.0,,
https://wikirate.org/Walk_Free+Australian_MSA_Registry_Submission+MOWI_SCOTLAND_LIMITED+2021,Walk Free+Australian MSA Registry Submission,MOWI SCOTLAND LIMITED,2021,No,,,,,,
https://wikirate.org/Walk_Free+Australian_MSA_Registry_Submission+MOWI_SCOTLAND_LIMITED+2022,Walk Free+Australian MSA Registry Submission,MOWI SCOTLAND LIMITED,2022,No,,,,,,
https://wikirate.org/Walk_Free+Australian_MSA_Registry_Submission+MOWI_SCOTLAND_LIMITED+2023,Walk Free+Australian MSA Registry Submission,MOWI SCOTLAND LIMITED,2023,No,,,,,,
https://wikirate.org/Walk_Free+Australian_MSA_statement_assessed+MOWI_SCOTLAND_LIMITED+2021,Walk Free+Australian MSA statement assessed,MOWI SCOTLAND LIMITED,2021,No,,,,,,
https://wikirate.org/Walk_Free+Australian_MSA_statement_assessed+MOWI_SCOTLAND_LIMITED+2022,Walk Free+Australian MSA statement assessed,MOWI SCOTLAND LIMITED,2022,No,,,,,,
https://wikirate.org/Walk_Free+Australian_MSA_statement_assessed+MOWI_SCOTLAND_LIMITED+2023,Walk Free+Australian MSA statement assessed,MOWI SCOTLAND LIMITED,2023,No,,,,,,
https://wikirate.org/Walk_Free+Company_size+MOWI_SCOTLAND_LIMITED+2020,Walk Free+Company size,MOWI SCOTLAND LIMITED,2020,Large,,,,,,
https://wikirate.org/Walk_Free+Company_size+MOWI_SCOTLAND_LIMITED+2021,Walk Free+Company size,MOWI SCOTLAND LIMITED,2021,Large,,,,,,
https://wikirate.org/Walk_Free+Company_size+MOWI_SCOTLAND_LIMITED+2022,Walk Free+Company size,MOWI SCOTLAND LIMITED,2022,Large,,,,,,
https://wikirate.org/Walk_Free+Company_size+MOWI_SCOTLAND_LIMITED+2023,Walk Free+Company size,MOWI SCOTLAND LIMITED,2023,Large,,,,,,
