Answer Page,Metric,Company,Year,Value,Source Page,Answer ID,Original Source,Source Count,Comments,ISIN
https://wikirate.org/Walk_Free+Australian_MSA_Registry_Submission+Princes_Group+2016,Walk Free+Australian MSA Registry Submission,Princes Group,2016,No,,,,,,
https://wikirate.org/Walk_Free+Australian_MSA_Registry_Submission+Princes_Group+2017,Walk Free+Australian MSA Registry Submission,Princes Group,2017,No,,,,,,
https://wikirate.org/Walk_Free+Australian_MSA_Registry_Submission+Princes_Group+2021,Walk Free+Australian MSA Registry Submission,Princes Group,2021,No,,,,,,
https://wikirate.org/Walk_Free+Australian_MSA_statement_assessed+Princes_Group+2016,Walk Free+Australian MSA statement assessed,Princes Group,2016,No,,,,,,
https://wikirate.org/Walk_Free+Australian_MSA_statement_assessed+Princes_Group+2017,Walk Free+Australian MSA statement assessed,Princes Group,2017,No,,,,,,
https://wikirate.org/Walk_Free+Australian_MSA_statement_assessed+Princes_Group+2021,Walk Free+Australian MSA statement assessed,Princes Group,2021,No,,,,,,
https://wikirate.org/Walk_Free+Company_size+Princes_Group+2021,Walk Free+Company size,Princes Group,2021,Large,,,,,,
https://wikirate.org/Core+Country+Princes_Group+2019,Core+Country,Princes Group,2019,United Kingdom,,,,,,
https://wikirate.org/GreenDex+Country+Princes_Group+2019,GreenDex+Country,Princes Group,2019,United Kingdom,,,,,,
https://wikirate.org/Commons+Employee+Princes_Group+2017,Commons+Employee,Princes Group,2017,1000 to 4999,,,,,,
https://wikirate.org/Commons+Employee+Princes_Group+2018,Commons+Employee,Princes Group,2018,"5000 to 19,999",,,,,,
https://wikirate.org/Commons+Employee+Princes_Group+2019,Commons+Employee,Princes Group,2019,1000 to 4999,,,,,,
https://wikirate.org/Commons+Employee+Princes_Group+2020,Commons+Employee,Princes Group,2020,1000 to 4999,,,,,,
https://wikirate.org/Commons+Employee+Princes_Group+2021,Commons+Employee,Princes Group,2021,1000 to 4999,,,,,,
https://wikirate.org/Commons+Employee+Princes_Group+2022,Commons+Employee,Princes Group,2022,1000 to 4999,,,,,,
https://wikirate.org/Commons+Employee+Princes_Group+2023,Commons+Employee,Princes Group,2023,1000 to 4999,,,,,,
https://wikirate.org/~13974126,GOV.UK Gender Pay Gap Service+Employer Size,Princes Group,2017,1000 to 4999,https://wikirate.org/~8767248,13974126.0,https://gender-pay-gap.service.gov.uk/viewing/download-data/2017,1.0,,
https://wikirate.org/~13974572,GOV.UK Gender Pay Gap Service+Employer Size,Princes Group,2018,"5000 to 19,999",https://wikirate.org/~8767324,13974572.0,https://gender-pay-gap.service.gov.uk/viewing/download-data/2018,1.0,,
https://wikirate.org/~13974888,GOV.UK Gender Pay Gap Service+Employer Size,Princes Group,2019,1000 to 4999,https://wikirate.org/~8767384,13974888.0,https://gender-pay-gap.service.gov.uk/viewing/download-data/2019,1.0,,
https://wikirate.org/~13975218,GOV.UK Gender Pay Gap Service+Employer Size,Princes Group,2020,1000 to 4999,https://wikirate.org/~8767440,13975218.0,https://gender-pay-gap.service.gov.uk/viewing/download-data/2020,1.0,,
https://wikirate.org/~13981374,GOV.UK Gender Pay Gap Service+Employer Size,Princes Group,2021,1000 to 4999,https://wikirate.org/~12654979,13981374.0,https://gender-pay-gap.service.gov.uk/viewing/download-data/2021,1.0,,
https://wikirate.org/~15025020,GOV.UK Gender Pay Gap Service+Employer Size,Princes Group,2022,1000 to 4999,https://wikirate.org/~14619205,15025020.0,https://gender-pay-gap.service.gov.uk/viewing/download-data/2022,1.0,Company provided the following link that points to its gender pay gap info: https://issuu.com/princes6/docs/pay_gap_report_20_23_layout_1,
https://wikirate.org/~19237522,GOV.UK Gender Pay Gap Service+Employer Size,Princes Group,2023,1000 to 4999,https://wikirate.org/~18845659,19237522.0,https://gender-pay-gap.service.gov.uk/viewing/download-data/2023,1.0,Company provided the following link that points to its gender pay gap info: https://issuu.com/princes6/docs/39947_princes_gender_pay_gap_report_digital_9_page,
https://wikirate.org/~5404733,Ethical Trading Initiative+ETI Membership,Princes Group,2019,Full,https://wikirate.org/~168410,5404733.0,https://www.ethicaltrade.org/about-eti/our-members,1.0,,
https://wikirate.org/~8064119,Ethical Trading Initiative+ETI Membership,Princes Group,2021,Full,https://wikirate.org/~8063650,8064119.0,https://www.ethicaltrade.org/about-eti/our-members#member-list,1.0,,
https://wikirate.org/~14192401,Ethical Trading Initiative+ETI Membership,Princes Group,2022,Full,https://wikirate.org/~14189094,14192401.0,https://www.ethicaltrade.org/about-eti/our-members#member-list,1.0,Accessed 14.12.2022 Aileen Robinson[https://wikirate.org/Aileen_Robinson].....2022-12-14 10:41:28 UTC,
https://wikirate.org/~18827590,Ethical Trading Initiative+ETI Membership,Princes Group,2024,Full,https://wikirate.org/~18044736,18827590.0,https://www.ethicaltrade.org/who-we-are/our-members,1.0,,
https://wikirate.org/Walk_Free+Financial_Services_Sector+Princes_Group+2016,Walk Free+Financial Services Sector,Princes Group,2016,No,,,,,,
https://wikirate.org/Walk_Free+Financial_Services_Sector+Princes_Group+2017,Walk Free+Financial Services Sector,Princes Group,2017,No,,,,,,
https://wikirate.org/Walk_Free+Financial_Services_Sector+Princes_Group+2021,Walk Free+Financial Services Sector,Princes Group,2021,No,,,,,,
https://wikirate.org/Walk_Free+Food_Beverages_Sector+Princes_Group+2016,Walk Free+Food & Beverages Sector,Princes Group,2016,No,,,,,,
https://wikirate.org/Walk_Free+Food_Beverages_Sector+Princes_Group+2017,Walk Free+Food & Beverages Sector,Princes Group,2017,No,,,,,,
https://wikirate.org/Walk_Free+Food_Beverages_Sector+Princes_Group+2021,Walk Free+Food & Beverages Sector,Princes Group,2021,Yes,,,,,,
https://wikirate.org/Walk_Free+Garment_Sector+Princes_Group+2016,Walk Free+Garment Sector,Princes Group,2016,No,,,,,,
https://wikirate.org/Walk_Free+Garment_Sector+Princes_Group+2017,Walk Free+Garment Sector,Princes Group,2017,No,,,,,,
https://wikirate.org/Walk_Free+Garment_Sector+Princes_Group+2021,Walk Free+Garment Sector,Princes Group,2021,No,,,,,,
https://wikirate.org/Apparel_Research_Group+Grievance_mechanism+Princes_Group+2018,Apparel Research Group+Grievance mechanism,Princes Group,2018,No,,,,,,
https://wikirate.org/Apparel_Research_Group+Grievance_mechanism+Princes_Group+2019,Apparel Research Group+Grievance mechanism,Princes Group,2019,No,,,,,,
https://wikirate.org/Apparel_Research_Group+Grievance_mechanism+Princes_Group+2020,Apparel Research Group+Grievance mechanism,Princes Group,2020,No,,,,,,
https://wikirate.org/Core+Headquarters_Location+Princes_Group+2019,Core+Headquarters Location,Princes Group,2019,United Kingdom,,,,,,
https://wikirate.org/Walk_Free+Hospitality_Sector+Princes_Group+2016,Walk Free+Hospitality Sector,Princes Group,2016,No,,,,,,
https://wikirate.org/Walk_Free+Hospitality_Sector+Princes_Group+2017,Walk Free+Hospitality Sector,Princes Group,2017,No,,,,,,
https://wikirate.org/Walk_Free+Hospitality_Sector+Princes_Group+2021,Walk Free+Hospitality Sector,Princes Group,2021,No,,,,,,
