Answer Page,Metric,Company,Year,Value,Source Page,Answer ID,Original Source,Source Count,Comments,ISIN
https://wikirate.org/~9873841,Commons+Address,HOOK 2 SISTERS LIMITED,2021,Cote Bampton Oxfordshire OX18 2EG,https://wikirate.org/~8066337,9873841.0,https://downloads.modern-slavery-statement-registry.service.gov.uk/publicdownloads/StatementSummaries2021.csv,1.0,,
https://wikirate.org/~14153130,Commons+Address,HOOK 2 SISTERS LIMITED,2022,Cote Bampton Oxfordshire OX18 2EG,https://wikirate.org/~13403182,14153130.0,https://downloads.modern-slavery-statement-registry.service.gov.uk/publicdownloads/StatementSummaries2022.csv,1.0,,
https://wikirate.org/Walk_Free+Australian_MSA_Registry_Submission+HOOK_2_SISTERS_LIMITED+2021,Walk Free+Australian MSA Registry Submission,HOOK 2 SISTERS LIMITED,2021,No,,,,,,
https://wikirate.org/Walk_Free+Australian_MSA_Registry_Submission+HOOK_2_SISTERS_LIMITED+2022,Walk Free+Australian MSA Registry Submission,HOOK 2 SISTERS LIMITED,2022,No,,,,,,
https://wikirate.org/Walk_Free+Australian_MSA_Registry_Submission+HOOK_2_SISTERS_LIMITED+2023,Walk Free+Australian MSA Registry Submission,HOOK 2 SISTERS LIMITED,2023,No,,,,,,
https://wikirate.org/Walk_Free+Australian_MSA_statement_assessed+HOOK_2_SISTERS_LIMITED+2021,Walk Free+Australian MSA statement assessed,HOOK 2 SISTERS LIMITED,2021,No,,,,,,
https://wikirate.org/Walk_Free+Australian_MSA_statement_assessed+HOOK_2_SISTERS_LIMITED+2022,Walk Free+Australian MSA statement assessed,HOOK 2 SISTERS LIMITED,2022,No,,,,,,
https://wikirate.org/Walk_Free+Australian_MSA_statement_assessed+HOOK_2_SISTERS_LIMITED+2023,Walk Free+Australian MSA statement assessed,HOOK 2 SISTERS LIMITED,2023,No,,,,,,
https://wikirate.org/Walk_Free+Company_size+HOOK_2_SISTERS_LIMITED+2020,Walk Free+Company size,HOOK 2 SISTERS LIMITED,2020,Large,,,,,,
https://wikirate.org/Walk_Free+Company_size+HOOK_2_SISTERS_LIMITED+2021,Walk Free+Company size,HOOK 2 SISTERS LIMITED,2021,Small,,,,,,
https://wikirate.org/Walk_Free+Company_size+HOOK_2_SISTERS_LIMITED+2022,Walk Free+Company size,HOOK 2 SISTERS LIMITED,2022,Medium,,,,,,
https://wikirate.org/Walk_Free+Company_size+HOOK_2_SISTERS_LIMITED+2023,Walk Free+Company size,HOOK 2 SISTERS LIMITED,2023,Medium,,,,,,
https://wikirate.org/Core+Country+HOOK_2_SISTERS_LIMITED+2019,Core+Country,HOOK 2 SISTERS LIMITED,2019,United Kingdom,,,,,,
https://wikirate.org/GreenDex+Country+HOOK_2_SISTERS_LIMITED+2019,GreenDex+Country,HOOK 2 SISTERS LIMITED,2019,United Kingdom,,,,,,
https://wikirate.org/Commons+Employee+HOOK_2_SISTERS_LIMITED+2017,Commons+Employee,HOOK 2 SISTERS LIMITED,2017,500 to 999,,,,,,
https://wikirate.org/Commons+Employee+HOOK_2_SISTERS_LIMITED+2018,Commons+Employee,HOOK 2 SISTERS LIMITED,2018,1000 to 4999,,,,,,
https://wikirate.org/Commons+Employee+HOOK_2_SISTERS_LIMITED+2019,Commons+Employee,HOOK 2 SISTERS LIMITED,2019,500 to 999,,,,,,
https://wikirate.org/Commons+Employee+HOOK_2_SISTERS_LIMITED+2020,Commons+Employee,HOOK 2 SISTERS LIMITED,2020,500 to 999,,,,,,
https://wikirate.org/Commons+Employee+HOOK_2_SISTERS_LIMITED+2021,Commons+Employee,HOOK 2 SISTERS LIMITED,2021,500 to 999,,,,,,
https://wikirate.org/Commons+Employee+HOOK_2_SISTERS_LIMITED+2022,Commons+Employee,HOOK 2 SISTERS LIMITED,2022,1000 to 4999,,,,,,
https://wikirate.org/Commons+Employee+HOOK_2_SISTERS_LIMITED+2023,Commons+Employee,HOOK 2 SISTERS LIMITED,2023,500 to 999,,,,,,
https://wikirate.org/~9590038,GOV.UK Gender Pay Gap Service+Employer Size,HOOK 2 SISTERS LIMITED,2017,500 to 999,https://wikirate.org/~8767248,9590038.0,https://gender-pay-gap.service.gov.uk/viewing/download-data/2017,1.0,,
https://wikirate.org/~9613425,GOV.UK Gender Pay Gap Service+Employer Size,HOOK 2 SISTERS LIMITED,2018,1000 to 4999,https://wikirate.org/~8767324,9613425.0,https://gender-pay-gap.service.gov.uk/viewing/download-data/2018,1.0,,
