Answer Page,Metric,Company,Year,Value,Source Page,Answer ID,Original Source,Source Count,Comments,ISIN
https://wikirate.org/~14155866,Commons+Address,McDonald's Restaurants Limited,2022,11/59 High Road East Finchley London N2 8AW,https://wikirate.org/~13403182,14155866.0,https://downloads.modern-slavery-statement-registry.service.gov.uk/publicdownloads/StatementSummaries2022.csv,1.0,,
https://wikirate.org/Walk_Free+Australian_MSA_Registry_Submission+McDonald_s_Restaurants_Limited+2020,Walk Free+Australian MSA Registry Submission,McDonald's Restaurants Limited,2020,No,,,,,,
https://wikirate.org/Walk_Free+Australian_MSA_Registry_Submission+McDonald_s_Restaurants_Limited+2023,Walk Free+Australian MSA Registry Submission,McDonald's Restaurants Limited,2023,No,,,,,,
https://wikirate.org/Walk_Free+Australian_MSA_statement_assessed+McDonald_s_Restaurants_Limited+2020,Walk Free+Australian MSA statement assessed,McDonald's Restaurants Limited,2020,No,,,,,,
https://wikirate.org/Walk_Free+Australian_MSA_statement_assessed+McDonald_s_Restaurants_Limited+2023,Walk Free+Australian MSA statement assessed,McDonald's Restaurants Limited,2023,No,,,,,,
https://wikirate.org/Walk_Free+Company_size+McDonald_s_Restaurants_Limited+2020,Walk Free+Company size,McDonald's Restaurants Limited,2020,Large,,,,,,
https://wikirate.org/Walk_Free+Company_size+McDonald_s_Restaurants_Limited+2021,Walk Free+Company size,McDonald's Restaurants Limited,2021,Large,,,,,,
https://wikirate.org/Walk_Free+Company_size+McDonald_s_Restaurants_Limited+2023,Walk Free+Company size,McDonald's Restaurants Limited,2023,Large,,,,,,
https://wikirate.org/Core+Country+McDonald_s_Restaurants_Limited+2019,Core+Country,McDonald's Restaurants Limited,2019,United Kingdom,,,,,,
https://wikirate.org/GreenDex+Country+McDonald_s_Restaurants_Limited+2019,GreenDex+Country,McDonald's Restaurants Limited,2019,United Kingdom,,,,,,
https://wikirate.org/Commons+Employee+McDonald_s_Restaurants_Limited+2017,Commons+Employee,McDonald's Restaurants Limited,2017,"20,000 or more",,,,,,
https://wikirate.org/Commons+Employee+McDonald_s_Restaurants_Limited+2018,Commons+Employee,McDonald's Restaurants Limited,2018,"20,000 or more",,,,,,
https://wikirate.org/Commons+Employee+McDonald_s_Restaurants_Limited+2019,Commons+Employee,McDonald's Restaurants Limited,2019,"20,000 or more",,,,,,
https://wikirate.org/Commons+Employee+McDonald_s_Restaurants_Limited+2020,Commons+Employee,McDonald's Restaurants Limited,2020,"20,000 or more",,,,,,
https://wikirate.org/Commons+Employee+McDonald_s_Restaurants_Limited+2021,Commons+Employee,McDonald's Restaurants Limited,2021,"5000 to 19,999",,,,,,
https://wikirate.org/Commons+Employee+McDonald_s_Restaurants_Limited+2022,Commons+Employee,McDonald's Restaurants Limited,2022,"20,000 or more",,,,,,
https://wikirate.org/Commons+Employee+McDonald_s_Restaurants_Limited+2023,Commons+Employee,McDonald's Restaurants Limited,2023,Not Provided,,,,,,
