Answer Page,Metric,Company,Year,Value,Source Page,Answer ID,Original Source,Source Count,Comments,ISIN
https://wikirate.org/~8067559,Commons+Address,Cranswick PLC,2021,Cranes Court Hesslewood Office Park Ferriby Road Hessle England HU13 0PA,https://wikirate.org/~8066337,8067559.0,https://downloads.modern-slavery-statement-registry.service.gov.uk/publicdownloads/StatementSummaries2021.csv,1.0,,GB0002318888;US2245941016
https://wikirate.org/~16976583,ShareAction+Assessing Grievance Mechanisms Against UNGPBHR,Cranswick PLC,2022,Unknown,https://wikirate.org/~15958893,16976583.0,,1.0,Company did not disclose publicly Marc McGowan[https://wikirate.org/Marc_McGowan].....2024-02-01 15:35:58 UTC,GB0002318888;US2245941016
https://wikirate.org/Walk_Free+Australian_MSA_Registry_Submission+Cranswick_PLC+2017,Walk Free+Australian MSA Registry Submission,Cranswick PLC,2017,No,,,,,,GB0002318888;US2245941016
https://wikirate.org/Walk_Free+Australian_MSA_Registry_Submission+Cranswick_PLC+2020,Walk Free+Australian MSA Registry Submission,Cranswick PLC,2020,No,,,,,,GB0002318888;US2245941016
https://wikirate.org/Walk_Free+Australian_MSA_Registry_Submission+Cranswick_PLC+2021,Walk Free+Australian MSA Registry Submission,Cranswick PLC,2021,No,,,,,,GB0002318888;US2245941016
https://wikirate.org/Walk_Free+Australian_MSA_Registry_Submission+Cranswick_PLC+2022,Walk Free+Australian MSA Registry Submission,Cranswick PLC,2022,No,,,,,,GB0002318888;US2245941016
https://wikirate.org/Walk_Free+Australian_MSA_Registry_Submission+Cranswick_PLC+2023,Walk Free+Australian MSA Registry Submission,Cranswick PLC,2023,No,,,,,,GB0002318888;US2245941016
https://wikirate.org/Walk_Free+Australian_MSA_statement_assessed+Cranswick_PLC+2017,Walk Free+Australian MSA statement assessed,Cranswick PLC,2017,No,,,,,,GB0002318888;US2245941016
https://wikirate.org/Walk_Free+Australian_MSA_statement_assessed+Cranswick_PLC+2020,Walk Free+Australian MSA statement assessed,Cranswick PLC,2020,No,,,,,,GB0002318888;US2245941016
https://wikirate.org/Walk_Free+Australian_MSA_statement_assessed+Cranswick_PLC+2021,Walk Free+Australian MSA statement assessed,Cranswick PLC,2021,No,,,,,,GB0002318888;US2245941016
https://wikirate.org/Walk_Free+Australian_MSA_statement_assessed+Cranswick_PLC+2022,Walk Free+Australian MSA statement assessed,Cranswick PLC,2022,No,,,,,,GB0002318888;US2245941016
https://wikirate.org/Walk_Free+Australian_MSA_statement_assessed+Cranswick_PLC+2023,Walk Free+Australian MSA statement assessed,Cranswick PLC,2023,No,,,,,,GB0002318888;US2245941016
https://wikirate.org/Commons+Company_Category+Cranswick_PLC+2019,Commons+Company Category,Cranswick PLC,2019,S,,,,,,GB0002318888;US2245941016
https://wikirate.org/Walk_Free+Company_size+Cranswick_PLC+2020,Walk Free+Company size,Cranswick PLC,2020,Large,,,,,,GB0002318888;US2245941016
https://wikirate.org/Walk_Free+Company_size+Cranswick_PLC+2021,Walk Free+Company size,Cranswick PLC,2021,Large,,,,,,GB0002318888;US2245941016
