Answer Page,Metric,Company,Year,Value,Source Page,Answer ID,Original Source,Source Count,Comments,ISIN
https://wikirate.org/~14157657,Commons+Address,PANGAIA MATERIALS SCIENCE LIMITED,2022,"Sheraton House, Lower Road Chorleywood Herts England WD3 5LH",https://wikirate.org/~13403182,14157657.0,https://downloads.modern-slavery-statement-registry.service.gov.uk/publicdownloads/StatementSummaries2022.csv,1.0,,
https://wikirate.org/Walk_Free+AUS_MSA_Beyond_Compliance_Disclosure_Rate+PANGAIA_MATERIALS_SCIENCE_LIMITED+2022,Walk Free+AUS MSA Beyond Compliance Disclosure Rate,PANGAIA MATERIALS SCIENCE LIMITED,2022,Unknown,,,,,,
https://wikirate.org/Walk_Free+Australian_MSA_Registry_Submission+PANGAIA_MATERIALS_SCIENCE_LIMITED+2020,Walk Free+Australian MSA Registry Submission,PANGAIA MATERIALS SCIENCE LIMITED,2020,No,,,,,,
https://wikirate.org/Walk_Free+Australian_MSA_Registry_Submission+PANGAIA_MATERIALS_SCIENCE_LIMITED+2021,Walk Free+Australian MSA Registry Submission,PANGAIA MATERIALS SCIENCE LIMITED,2021,No,,,,,,
https://wikirate.org/Walk_Free+Australian_MSA_Registry_Submission+PANGAIA_MATERIALS_SCIENCE_LIMITED+2022,Walk Free+Australian MSA Registry Submission,PANGAIA MATERIALS SCIENCE LIMITED,2022,No,,,,,,
https://wikirate.org/Walk_Free+Australian_MSA_Registry_Submission+PANGAIA_MATERIALS_SCIENCE_LIMITED+2023,Walk Free+Australian MSA Registry Submission,PANGAIA MATERIALS SCIENCE LIMITED,2023,No,,,,,,
https://wikirate.org/Walk_Free+Australian_MSA_statement_assessed+PANGAIA_MATERIALS_SCIENCE_LIMITED+2020,Walk Free+Australian MSA statement assessed,PANGAIA MATERIALS SCIENCE LIMITED,2020,No,,,,,,
https://wikirate.org/Walk_Free+Australian_MSA_statement_assessed+PANGAIA_MATERIALS_SCIENCE_LIMITED+2021,Walk Free+Australian MSA statement assessed,PANGAIA MATERIALS SCIENCE LIMITED,2021,No,,,,,,
https://wikirate.org/Walk_Free+Australian_MSA_statement_assessed+PANGAIA_MATERIALS_SCIENCE_LIMITED+2022,Walk Free+Australian MSA statement assessed,PANGAIA MATERIALS SCIENCE LIMITED,2022,Yes,,,,,,
https://wikirate.org/Walk_Free+Australian_MSA_statement_assessed+PANGAIA_MATERIALS_SCIENCE_LIMITED+2023,Walk Free+Australian MSA statement assessed,PANGAIA MATERIALS SCIENCE LIMITED,2023,No,,,,,,
https://wikirate.org/Walk_Free+Company_size+PANGAIA_MATERIALS_SCIENCE_LIMITED+2020,Walk Free+Company size,PANGAIA MATERIALS SCIENCE LIMITED,2020,Small,,,,,,
https://wikirate.org/Walk_Free+Company_size+PANGAIA_MATERIALS_SCIENCE_LIMITED+2021,Walk Free+Company size,PANGAIA MATERIALS SCIENCE LIMITED,2021,Small,,,,,,
https://wikirate.org/Walk_Free+Company_size+PANGAIA_MATERIALS_SCIENCE_LIMITED+2022,Walk Free+Company size,PANGAIA MATERIALS SCIENCE LIMITED,2022,Small,,,,,,
https://wikirate.org/Walk_Free+Company_size+PANGAIA_MATERIALS_SCIENCE_LIMITED+2023,Walk Free+Company size,PANGAIA MATERIALS SCIENCE LIMITED,2023,Small,,,,,,
https://wikirate.org/Core+Country+PANGAIA_MATERIALS_SCIENCE_LIMITED+2019,Core+Country,PANGAIA MATERIALS SCIENCE LIMITED,2019,United Kingdom,,,,,,
https://wikirate.org/GreenDex+Country+PANGAIA_MATERIALS_SCIENCE_LIMITED+2019,GreenDex+Country,PANGAIA MATERIALS SCIENCE LIMITED,2019,United Kingdom,,,,,,
https://wikirate.org/~18828998,Fair Wear Foundation+Fair Wear Foundation Category,PANGAIA MATERIALS SCIENCE LIMITED,2024,Leader,https://wikirate.org/~18828244,18828998.0,https://www.fairwear.org/brands/pangaia,1.0,,
https://wikirate.org/~18828676,Fair Wear Foundation+Fair Wear Foundation Member,PANGAIA MATERIALS SCIENCE LIMITED,2024,Current Member,https://wikirate.org/~18828244,18828676.0,https://www.fairwear.org/brands/pangaia,1.0,,
https://wikirate.org/Walk_Free+Financial_Services_Sector+PANGAIA_MATERIALS_SCIENCE_LIMITED+2020,Walk Free+Financial Services Sector,PANGAIA MATERIALS SCIENCE LIMITED,2020,No,,,,,,
https://wikirate.org/Walk_Free+Financial_Services_Sector+PANGAIA_MATERIALS_SCIENCE_LIMITED+2021,Walk Free+Financial Services Sector,PANGAIA MATERIALS SCIENCE LIMITED,2021,No,,,,,,
https://wikirate.org/Walk_Free+Financial_Services_Sector+PANGAIA_MATERIALS_SCIENCE_LIMITED+2022,Walk Free+Financial Services Sector,PANGAIA MATERIALS SCIENCE LIMITED,2022,No,,,,,,
https://wikirate.org/Walk_Free+Financial_Services_Sector+PANGAIA_MATERIALS_SCIENCE_LIMITED+2023,Walk Free+Financial Services Sector,PANGAIA MATERIALS SCIENCE LIMITED,2023,No,,,,,,
https://wikirate.org/Walk_Free+Food_Beverages_Sector+PANGAIA_MATERIALS_SCIENCE_LIMITED+2020,Walk Free+Food & Beverages Sector,PANGAIA MATERIALS SCIENCE LIMITED,2020,No,,,,,,
https://wikirate.org/Walk_Free+Food_Beverages_Sector+PANGAIA_MATERIALS_SCIENCE_LIMITED+2021,Walk Free+Food & Beverages Sector,PANGAIA MATERIALS SCIENCE LIMITED,2021,Yes,,,,,,
https://wikirate.org/Walk_Free+Food_Beverages_Sector+PANGAIA_MATERIALS_SCIENCE_LIMITED+2022,Walk Free+Food & Beverages Sector,PANGAIA MATERIALS SCIENCE LIMITED,2022,No,,,,,,
https://wikirate.org/Walk_Free+Food_Beverages_Sector+PANGAIA_MATERIALS_SCIENCE_LIMITED+2023,Walk Free+Food & Beverages Sector,PANGAIA MATERIALS SCIENCE LIMITED,2023,No,,,,,,
https://wikirate.org/Walk_Free+Garment_Sector+PANGAIA_MATERIALS_SCIENCE_LIMITED+2020,Walk Free+Garment Sector,PANGAIA MATERIALS SCIENCE LIMITED,2020,Yes,,,,,,
https://wikirate.org/Walk_Free+Garment_Sector+PANGAIA_MATERIALS_SCIENCE_LIMITED+2021,Walk Free+Garment Sector,PANGAIA MATERIALS SCIENCE LIMITED,2021,Yes,,,,,,
https://wikirate.org/Walk_Free+Garment_Sector+PANGAIA_MATERIALS_SCIENCE_LIMITED+2022,Walk Free+Garment Sector,PANGAIA MATERIALS SCIENCE LIMITED,2022,Yes,,,,,,
https://wikirate.org/Walk_Free+Garment_Sector+PANGAIA_MATERIALS_SCIENCE_LIMITED+2023,Walk Free+Garment Sector,PANGAIA MATERIALS SCIENCE LIMITED,2023,Yes,,,,,,
https://wikirate.org/Apparel_Research_Group+Grievance_mechanism+PANGAIA_MATERIALS_SCIENCE_LIMITED+2018,Apparel Research Group+Grievance mechanism,PANGAIA MATERIALS SCIENCE LIMITED,2018,No,,,,,,
https://wikirate.org/Apparel_Research_Group+Grievance_mechanism+PANGAIA_MATERIALS_SCIENCE_LIMITED+2019,Apparel Research Group+Grievance mechanism,PANGAIA MATERIALS SCIENCE LIMITED,2019,No,,,,,,
https://wikirate.org/Apparel_Research_Group+Grievance_mechanism+PANGAIA_MATERIALS_SCIENCE_LIMITED+2020,Apparel Research Group+Grievance mechanism,PANGAIA MATERIALS SCIENCE LIMITED,2020,No,,,,,,
https://wikirate.org/Core+Headquarters_Location+PANGAIA_MATERIALS_SCIENCE_LIMITED+2019,Core+Headquarters Location,PANGAIA MATERIALS SCIENCE LIMITED,2019,United Kingdom,,,,,,
https://wikirate.org/Walk_Free+Hospitality_Sector+PANGAIA_MATERIALS_SCIENCE_LIMITED+2020,Walk Free+Hospitality Sector,PANGAIA MATERIALS SCIENCE LIMITED,2020,No,,,,,,
https://wikirate.org/Walk_Free+Hospitality_Sector+PANGAIA_MATERIALS_SCIENCE_LIMITED+2021,Walk Free+Hospitality Sector,PANGAIA MATERIALS SCIENCE LIMITED,2021,No,,,,,,
