Answer Page,Metric,Company,Year,Value,Source Page,Answer ID,Original Source,Source Count,Comments,ISIN
https://wikirate.org/~9822289,Commons+Address,SAINSBURY'S SUPERMARKETS LTD,2021,33 Holborn London EC1N 2HT,https://wikirate.org/~8066337,9822289.0,https://downloads.modern-slavery-statement-registry.service.gov.uk/publicdownloads/StatementSummaries2021.csv,1.0,,
https://wikirate.org/~17685175,Commons+Address,SAINSBURY'S SUPERMARKETS LTD,2022,33 Holborn London EC1N 2HT,https://wikirate.org/~16850554,17685175.0,https://downloads.modern-slavery-statement-registry.service.gov.uk/publicdownloads/StatementSummaries2023.csv,1.0,,
https://wikirate.org/Walk_Free+Australian_MSA_Registry_Submission+SAINSBURY_S_SUPERMARKETS_LTD+2020,Walk Free+Australian MSA Registry Submission,SAINSBURY'S SUPERMARKETS LTD,2020,No,,,,,,
https://wikirate.org/Walk_Free+Australian_MSA_Registry_Submission+SAINSBURY_S_SUPERMARKETS_LTD+2022,Walk Free+Australian MSA Registry Submission,SAINSBURY'S SUPERMARKETS LTD,2022,No,,,,,,
https://wikirate.org/Walk_Free+Australian_MSA_Registry_Submission+SAINSBURY_S_SUPERMARKETS_LTD+2023,Walk Free+Australian MSA Registry Submission,SAINSBURY'S SUPERMARKETS LTD,2023,No,,,,,,
https://wikirate.org/Walk_Free+Australian_MSA_statement_assessed+SAINSBURY_S_SUPERMARKETS_LTD+2020,Walk Free+Australian MSA statement assessed,SAINSBURY'S SUPERMARKETS LTD,2020,No,,,,,,
https://wikirate.org/Walk_Free+Australian_MSA_statement_assessed+SAINSBURY_S_SUPERMARKETS_LTD+2022,Walk Free+Australian MSA statement assessed,SAINSBURY'S SUPERMARKETS LTD,2022,No,,,,,,
https://wikirate.org/Walk_Free+Australian_MSA_statement_assessed+SAINSBURY_S_SUPERMARKETS_LTD+2023,Walk Free+Australian MSA statement assessed,SAINSBURY'S SUPERMARKETS LTD,2023,No,,,,,,
https://wikirate.org/Walk_Free+Company_size+SAINSBURY_S_SUPERMARKETS_LTD+2020,Walk Free+Company size,SAINSBURY'S SUPERMARKETS LTD,2020,Large,,,,,,
https://wikirate.org/Walk_Free+Company_size+SAINSBURY_S_SUPERMARKETS_LTD+2022,Walk Free+Company size,SAINSBURY'S SUPERMARKETS LTD,2022,Large,,,,,,
https://wikirate.org/Walk_Free+Company_size+SAINSBURY_S_SUPERMARKETS_LTD+2023,Walk Free+Company size,SAINSBURY'S SUPERMARKETS LTD,2023,Large,,,,,,
https://wikirate.org/Core+Country+SAINSBURY_S_SUPERMARKETS_LTD+2019,Core+Country,SAINSBURY'S SUPERMARKETS LTD,2019,United Kingdom,,,,,,
