Answer Page,Metric,Company,Year,Value,Source Page,Answer ID,Original Source,Source Count,Comments,ISIN
https://wikirate.org/~9812908,Commons+Address,"MORNING FOODS,LIMITED",2021,North Western Mills Gresty Road Crewe Cheshire CW2 6HP,https://wikirate.org/~8066337,9812908.0,https://downloads.modern-slavery-statement-registry.service.gov.uk/publicdownloads/StatementSummaries2021.csv,1.0,,
https://wikirate.org/~14156361,Commons+Address,"MORNING FOODS,LIMITED",2022,North Western Mills Gresty Road Crewe Cheshire CW2 6HP,https://wikirate.org/~13403182,14156361.0,https://downloads.modern-slavery-statement-registry.service.gov.uk/publicdownloads/StatementSummaries2022.csv,1.0,,
https://wikirate.org/Walk_Free+Australian_MSA_Registry_Submission+MORNING_FOODS_LIMITED+2020,Walk Free+Australian MSA Registry Submission,"MORNING FOODS,LIMITED",2020,No,,,,,,
https://wikirate.org/Walk_Free+Australian_MSA_Registry_Submission+MORNING_FOODS_LIMITED+2021,Walk Free+Australian MSA Registry Submission,"MORNING FOODS,LIMITED",2021,No,,,,,,
https://wikirate.org/Walk_Free+Australian_MSA_Registry_Submission+MORNING_FOODS_LIMITED+2022,Walk Free+Australian MSA Registry Submission,"MORNING FOODS,LIMITED",2022,No,,,,,,
https://wikirate.org/Walk_Free+Australian_MSA_Registry_Submission+MORNING_FOODS_LIMITED+2023,Walk Free+Australian MSA Registry Submission,"MORNING FOODS,LIMITED",2023,No,,,,,,
https://wikirate.org/Walk_Free+Australian_MSA_statement_assessed+MORNING_FOODS_LIMITED+2020,Walk Free+Australian MSA statement assessed,"MORNING FOODS,LIMITED",2020,No,,,,,,
https://wikirate.org/Walk_Free+Australian_MSA_statement_assessed+MORNING_FOODS_LIMITED+2021,Walk Free+Australian MSA statement assessed,"MORNING FOODS,LIMITED",2021,No,,,,,,
https://wikirate.org/Walk_Free+Australian_MSA_statement_assessed+MORNING_FOODS_LIMITED+2022,Walk Free+Australian MSA statement assessed,"MORNING FOODS,LIMITED",2022,No,,,,,,
https://wikirate.org/Walk_Free+Australian_MSA_statement_assessed+MORNING_FOODS_LIMITED+2023,Walk Free+Australian MSA statement assessed,"MORNING FOODS,LIMITED",2023,No,,,,,,
https://wikirate.org/Walk_Free+Company_size+MORNING_FOODS_LIMITED+2020,Walk Free+Company size,"MORNING FOODS,LIMITED",2020,Medium,,,,,,
https://wikirate.org/Walk_Free+Company_size+MORNING_FOODS_LIMITED+2021,Walk Free+Company size,"MORNING FOODS,LIMITED",2021,Medium,,,,,,
https://wikirate.org/Walk_Free+Company_size+MORNING_FOODS_LIMITED+2023,Walk Free+Company size,"MORNING FOODS,LIMITED",2023,Medium,,,,,,
https://wikirate.org/Core+Country+MORNING_FOODS_LIMITED+2019,Core+Country,"MORNING FOODS,LIMITED",2019,United Kingdom,,,,,,
https://wikirate.org/GreenDex+Country+MORNING_FOODS_LIMITED+2019,GreenDex+Country,"MORNING FOODS,LIMITED",2019,United Kingdom,,,,,,
https://wikirate.org/Commons+Employee+MORNING_FOODS_LIMITED+2017,Commons+Employee,"MORNING FOODS,LIMITED",2017,250 to 499,,,,,,
https://wikirate.org/Commons+Employee+MORNING_FOODS_LIMITED+2018,Commons+Employee,"MORNING FOODS,LIMITED",2018,Less than 250,,,,,,
https://wikirate.org/Commons+Employee+MORNING_FOODS_LIMITED+2019,Commons+Employee,"MORNING FOODS,LIMITED",2019,250 to 499,,,,,,
https://wikirate.org/Commons+Employee+MORNING_FOODS_LIMITED+2020,Commons+Employee,"MORNING FOODS,LIMITED",2020,250 to 499,,,,,,
https://wikirate.org/Commons+Employee+MORNING_FOODS_LIMITED+2021,Commons+Employee,"MORNING FOODS,LIMITED",2021,250 to 499,,,,,,
https://wikirate.org/Commons+Employee+MORNING_FOODS_LIMITED+2022,Commons+Employee,"MORNING FOODS,LIMITED",2022,250 to 499,,,,,,
https://wikirate.org/Commons+Employee+MORNING_FOODS_LIMITED+2023,Commons+Employee,"MORNING FOODS,LIMITED",2023,250 to 499,,,,,,
https://wikirate.org/~9594554,GOV.UK Gender Pay Gap Service+Employer Size,"MORNING FOODS,LIMITED",2017,250 to 499,https://wikirate.org/~8767248,9594554.0,https://gender-pay-gap.service.gov.uk/viewing/download-data/2017,1.0,,
https://wikirate.org/~9614957,GOV.UK Gender Pay Gap Service+Employer Size,"MORNING FOODS,LIMITED",2018,Less than 250,https://wikirate.org/~8767324,9614957.0,https://gender-pay-gap.service.gov.uk/viewing/download-data/2018,1.0,,
https://wikirate.org/~9622342,GOV.UK Gender Pay Gap Service+Employer Size,"MORNING FOODS,LIMITED",2019,250 to 499,https://wikirate.org/~8767384,9622342.0,https://gender-pay-gap.service.gov.uk/viewing/download-data/2019,1.0,,
https://wikirate.org/~9630199,GOV.UK Gender Pay Gap Service+Employer Size,"MORNING FOODS,LIMITED",2020,250 to 499,https://wikirate.org/~8767440,9630199.0,https://gender-pay-gap.service.gov.uk/viewing/download-data/2020,1.0,,
https://wikirate.org/~12950687,GOV.UK Gender Pay Gap Service+Employer Size,"MORNING FOODS,LIMITED",2021,250 to 499,https://wikirate.org/~12654979,12950687.0,https://gender-pay-gap.service.gov.uk/viewing/download-data/2021,1.0,,
https://wikirate.org/~15022215,GOV.UK Gender Pay Gap Service+Employer Size,"MORNING FOODS,LIMITED",2022,250 to 499,https://wikirate.org/~14619205,15022215.0,https://gender-pay-gap.service.gov.uk/viewing/download-data/2022,1.0,,
https://wikirate.org/~19216418,GOV.UK Gender Pay Gap Service+Employer Size,"MORNING FOODS,LIMITED",2023,250 to 499,https://wikirate.org/~18845659,19216418.0,https://gender-pay-gap.service.gov.uk/viewing/download-data/2023,1.0,,
https://wikirate.org/Walk_Free+Financial_Services_Sector+MORNING_FOODS_LIMITED+2020,Walk Free+Financial Services Sector,"MORNING FOODS,LIMITED",2020,No,,,,,,
https://wikirate.org/Walk_Free+Financial_Services_Sector+MORNING_FOODS_LIMITED+2021,Walk Free+Financial Services Sector,"MORNING FOODS,LIMITED",2021,No,,,,,,
https://wikirate.org/Walk_Free+Financial_Services_Sector+MORNING_FOODS_LIMITED+2022,Walk Free+Financial Services Sector,"MORNING FOODS,LIMITED",2022,No,,,,,,
https://wikirate.org/Walk_Free+Financial_Services_Sector+MORNING_FOODS_LIMITED+2023,Walk Free+Financial Services Sector,"MORNING FOODS,LIMITED",2023,No,,,,,,
https://wikirate.org/Walk_Free+Food_Beverages_Sector+MORNING_FOODS_LIMITED+2020,Walk Free+Food & Beverages Sector,"MORNING FOODS,LIMITED",2020,Yes,,,,,,
https://wikirate.org/Walk_Free+Food_Beverages_Sector+MORNING_FOODS_LIMITED+2021,Walk Free+Food & Beverages Sector,"MORNING FOODS,LIMITED",2021,Yes,,,,,,
https://wikirate.org/Walk_Free+Food_Beverages_Sector+MORNING_FOODS_LIMITED+2022,Walk Free+Food & Beverages Sector,"MORNING FOODS,LIMITED",2022,No,,,,,,
https://wikirate.org/Walk_Free+Food_Beverages_Sector+MORNING_FOODS_LIMITED+2023,Walk Free+Food & Beverages Sector,"MORNING FOODS,LIMITED",2023,Yes,,,,,,
https://wikirate.org/Walk_Free+Garment_Sector+MORNING_FOODS_LIMITED+2020,Walk Free+Garment Sector,"MORNING FOODS,LIMITED",2020,No,,,,,,
https://wikirate.org/Walk_Free+Garment_Sector+MORNING_FOODS_LIMITED+2021,Walk Free+Garment Sector,"MORNING FOODS,LIMITED",2021,No,,,,,,
https://wikirate.org/Walk_Free+Garment_Sector+MORNING_FOODS_LIMITED+2022,Walk Free+Garment Sector,"MORNING FOODS,LIMITED",2022,No,,,,,,
https://wikirate.org/Walk_Free+Garment_Sector+MORNING_FOODS_LIMITED+2023,Walk Free+Garment Sector,"MORNING FOODS,LIMITED",2023,No,,,,,,
https://wikirate.org/Core+Headquarters_Location+MORNING_FOODS_LIMITED+2019,Core+Headquarters Location,"MORNING FOODS,LIMITED",2019,United Kingdom,,,,,,
https://wikirate.org/Walk_Free+Hospitality_Sector+MORNING_FOODS_LIMITED+2020,Walk Free+Hospitality Sector,"MORNING FOODS,LIMITED",2020,No,,,,,,
https://wikirate.org/Walk_Free+Hospitality_Sector+MORNING_FOODS_LIMITED+2021,Walk Free+Hospitality Sector,"MORNING FOODS,LIMITED",2021,No,,,,,,
https://wikirate.org/Walk_Free+Hospitality_Sector+MORNING_FOODS_LIMITED+2022,Walk Free+Hospitality Sector,"MORNING FOODS,LIMITED",2022,No,,,,,,
https://wikirate.org/Walk_Free+Hospitality_Sector+MORNING_FOODS_LIMITED+2023,Walk Free+Hospitality Sector,"MORNING FOODS,LIMITED",2023,No,,,,,,
https://wikirate.org/~8804015,Home Office+ILO Indicators in MS Statement,"MORNING FOODS,LIMITED",2021,,https://wikirate.org/~13403182,8804015.0,https://downloads.modern-slavery-statement-registry.service.gov.uk/publicdownloads/StatementSummaries2022.csv,3.0,,
https://wikirate.org/~20197477,Home Office+ILO Indicators in MS Statement,"MORNING FOODS,LIMITED",2023,,https://wikirate.org/~19908663,20197477.0,https://modern-slavery-statement-registry.service.gov.uk/statement-summary/EMgnERDa/2024,2.0,,
https://wikirate.org/Core+ILO_Region+MORNING_FOODS_LIMITED+2019,Core+ILO Region,"MORNING FOODS,LIMITED",2019,Europe and Central Asia,,,,,,
https://wikirate.org/~9674197,Home Office+MS Statement Grievance Mechanism Provisions,"MORNING FOODS,LIMITED",2020,"Using anonymous whistleblowing services such as a helpline or mobile phone app, Through trade unions or other worker representative groups",https://wikirate.org/~9135362,9674197.0,https://downloads.modern-slavery-statement-registry.service.gov.uk/publicdownloads/StatementSummaries2020.csv,3.0,,
https://wikirate.org/~8541192,Home Office+MS Statement Grievance Mechanism Provisions,"MORNING FOODS,LIMITED",2021,"Using anonymous whistleblowing services such as a helpline or mobile phone app, Through trade unions or other worker representative groups",https://wikirate.org/~13403182,8541192.0,https://downloads.modern-slavery-statement-registry.service.gov.uk/publicdownloads/StatementSummaries2022.csv,3.0,,
https://wikirate.org/~20176942,Home Office+MS Statement Grievance Mechanism Provisions,"MORNING FOODS,LIMITED",2023,"Using anonymous whistleblowing services such as a helpline or mobile phone app, Through trade unions or other worker representative groups",https://wikirate.org/~19908663,20176942.0,https://modern-slavery-statement-registry.service.gov.uk/statement-summary/EMgnERDa/2024,2.0,,
https://wikirate.org/~9348869,Home Office+MS Statement Includes Due Diligence,"MORNING FOODS,LIMITED",2020,Yes,https://wikirate.org/~9135362,9348869.0,https://downloads.modern-slavery-statement-registry.service.gov.uk/publicdownloads/StatementSummaries2020.csv,3.0,,
https://wikirate.org/~8345381,Home Office+MS Statement Includes Due Diligence,"MORNING FOODS,LIMITED",2021,Yes,https://wikirate.org/~8267890,8345381.0,https://www.morningfoods.com/downloads/ModernSlaveryAct-MorningFoods.pdf,2.0,,
https://wikirate.org/~20077753,Home Office+MS Statement Includes Due Diligence,"MORNING FOODS,LIMITED",2023,Yes,https://wikirate.org/~19908663,20077753.0,https://modern-slavery-statement-registry.service.gov.uk/statement-summary/EMgnERDa/2024,2.0,,
https://wikirate.org/~9546660,Home Office+MS Statement Includes Goals,"MORNING FOODS,LIMITED",2020,Yes,https://wikirate.org/~9135362,9546660.0,https://downloads.modern-slavery-statement-registry.service.gov.uk/publicdownloads/StatementSummaries2020.csv,3.0,,
https://wikirate.org/~8376107,Home Office+MS Statement Includes Goals,"MORNING FOODS,LIMITED",2021,Yes,https://wikirate.org/~8267890,8376107.0,https://www.morningfoods.com/downloads/ModernSlaveryAct-MorningFoods.pdf,2.0,,
https://wikirate.org/~20126983,Home Office+MS Statement Includes Goals,"MORNING FOODS,LIMITED",2023,Yes,https://wikirate.org/~19908663,20126983.0,https://modern-slavery-statement-registry.service.gov.uk/statement-summary/EMgnERDa/2024,2.0,,
https://wikirate.org/~9162693,Home Office+MS Statement Includes Org Structure,"MORNING FOODS,LIMITED",2020,Yes,https://wikirate.org/~9135362,9162693.0,https://downloads.modern-slavery-statement-registry.service.gov.uk/publicdownloads/StatementSummaries2020.csv,3.0,,
https://wikirate.org/~8296549,Home Office+MS Statement Includes Org Structure,"MORNING FOODS,LIMITED",2021,Yes,https://wikirate.org/~8267890,8296549.0,https://www.morningfoods.com/downloads/ModernSlaveryAct-MorningFoods.pdf,2.0,,
https://wikirate.org/~20002035,Home Office+MS Statement Includes Org Structure,"MORNING FOODS,LIMITED",2023,Yes,https://wikirate.org/~19908663,20002035.0,https://modern-slavery-statement-registry.service.gov.uk/statement-summary/EMgnERDa/2024,2.0,,
https://wikirate.org/~9217750,Home Office+MS Statement Includes Policies,"MORNING FOODS,LIMITED",2020,Yes,https://wikirate.org/~9135362,9217750.0,https://downloads.modern-slavery-statement-registry.service.gov.uk/publicdownloads/StatementSummaries2020.csv,3.0,,
https://wikirate.org/~8331250,Home Office+MS Statement Includes Policies,"MORNING FOODS,LIMITED",2021,Yes,https://wikirate.org/~8267890,8331250.0,https://www.morningfoods.com/downloads/ModernSlaveryAct-MorningFoods.pdf,2.0,,
https://wikirate.org/~20027000,Home Office+MS Statement Includes Policies,"MORNING FOODS,LIMITED",2023,Yes,https://wikirate.org/~19908663,20027000.0,https://modern-slavery-statement-registry.service.gov.uk/statement-summary/EMgnERDa/2024,2.0,,
https://wikirate.org/~9316599,Home Office+MS Statement Includes Risks Assessment,"MORNING FOODS,LIMITED",2020,Yes,https://wikirate.org/~9135362,9316599.0,https://downloads.modern-slavery-statement-registry.service.gov.uk/publicdownloads/StatementSummaries2020.csv,3.0,,
https://wikirate.org/~8329354,Home Office+MS Statement Includes Risks Assessment,"MORNING FOODS,LIMITED",2021,Yes,https://wikirate.org/~8267890,8329354.0,https://www.morningfoods.com/downloads/ModernSlaveryAct-MorningFoods.pdf,2.0,,
https://wikirate.org/~20053183,Home Office+MS Statement Includes Risks Assessment,"MORNING FOODS,LIMITED",2023,Yes,https://wikirate.org/~19908663,20053183.0,https://modern-slavery-statement-registry.service.gov.uk/statement-summary/EMgnERDa/2024,2.0,,
https://wikirate.org/~9467718,Home Office+MS Statement Includes Training,"MORNING FOODS,LIMITED",2020,Yes,https://wikirate.org/~9135362,9467718.0,https://downloads.modern-slavery-statement-registry.service.gov.uk/publicdownloads/StatementSummaries2020.csv,3.0,,
https://wikirate.org/~8361332,Home Office+MS Statement Includes Training,"MORNING FOODS,LIMITED",2021,Yes,https://wikirate.org/~8267890,8361332.0,https://www.morningfoods.com/downloads/ModernSlaveryAct-MorningFoods.pdf,2.0,,
https://wikirate.org/~20102362,Home Office+MS Statement Includes Training,"MORNING FOODS,LIMITED",2023,Yes,https://wikirate.org/~19908663,20102362.0,https://modern-slavery-statement-registry.service.gov.uk/statement-summary/EMgnERDa/2024,2.0,,
