Answer Page,Metric,Company,Year,Value,Source Page,Answer ID,Original Source,Source Count,Comments,ISIN
https://wikirate.org/~8067203,Commons+Address,Aviagen,2021,Stratford Hatchery Alscott Industrial Estate Atherstone On Stour Stratford-Upon-Avon Warwickshire CV37 8BH,https://wikirate.org/~8066337,8067203.0,https://downloads.modern-slavery-statement-registry.service.gov.uk/publicdownloads/StatementSummaries2021.csv,1.0,,
https://wikirate.org/Walk_Free+Australian_MSA_Registry_Submission+Aviagen+2018,Walk Free+Australian MSA Registry Submission,Aviagen,2018,No,,,,,,
https://wikirate.org/Walk_Free+Australian_MSA_Registry_Submission+Aviagen+2020,Walk Free+Australian MSA Registry Submission,Aviagen,2020,No,,,,,,
https://wikirate.org/Walk_Free+Australian_MSA_Registry_Submission+Aviagen+2021,Walk Free+Australian MSA Registry Submission,Aviagen,2021,No,,,,,,
https://wikirate.org/Walk_Free+Australian_MSA_Registry_Submission+Aviagen+2024,Walk Free+Australian MSA Registry Submission,Aviagen,2024,No,,,,,,
https://wikirate.org/Walk_Free+Australian_MSA_statement_assessed+Aviagen+2018,Walk Free+Australian MSA statement assessed,Aviagen,2018,No,,,,,,
https://wikirate.org/Walk_Free+Australian_MSA_statement_assessed+Aviagen+2020,Walk Free+Australian MSA statement assessed,Aviagen,2020,No,,,,,,
https://wikirate.org/Walk_Free+Australian_MSA_statement_assessed+Aviagen+2021,Walk Free+Australian MSA statement assessed,Aviagen,2021,No,,,,,,
https://wikirate.org/Walk_Free+Australian_MSA_statement_assessed+Aviagen+2024,Walk Free+Australian MSA statement assessed,Aviagen,2024,No,,,,,,
https://wikirate.org/Commons+Company_Category+Aviagen+2019,Commons+Company Category,Aviagen,2019,R,,,,,,
https://wikirate.org/Walk_Free+Company_size+Aviagen+2021,Walk Free+Company size,Aviagen,2021,Medium,,,,,,
https://wikirate.org/Walk_Free+Company_size+Aviagen+2024,Walk Free+Company size,Aviagen,2024,Large,,,,,,
https://wikirate.org/Core+Country+Aviagen+2019,Core+Country,Aviagen,2019,United Kingdom,,,,,,
https://wikirate.org/GreenDex+Country+Aviagen+2019,GreenDex+Country,Aviagen,2019,United Kingdom,,,,,,
https://wikirate.org/Commons+Employee+Aviagen+2017,Commons+Employee,Aviagen,2017,250 to 499,,,,,,
https://wikirate.org/Commons+Employee+Aviagen+2018,Commons+Employee,Aviagen,2018,250 to 499,,,,,,
https://wikirate.org/Commons+Employee+Aviagen+2019,Commons+Employee,Aviagen,2019,250 to 499,,,,,,
https://wikirate.org/Commons+Employee+Aviagen+2020,Commons+Employee,Aviagen,2020,250 to 499,,,,,,
https://wikirate.org/Commons+Employee+Aviagen+2021,Commons+Employee,Aviagen,2021,250 to 499,,,,,,
https://wikirate.org/Commons+Employee+Aviagen+2022,Commons+Employee,Aviagen,2022,250 to 499,,,,,,
https://wikirate.org/Commons+Employee+Aviagen+2023,Commons+Employee,Aviagen,2023,500 to 999,,,,,,
https://wikirate.org/~9580528,GOV.UK Gender Pay Gap Service+Employer Size,Aviagen,2017,250 to 499,https://wikirate.org/~8767248,9580528.0,https://gender-pay-gap.service.gov.uk/viewing/download-data/2017,1.0,,
https://wikirate.org/~9609660,GOV.UK Gender Pay Gap Service+Employer Size,Aviagen,2018,250 to 499,https://wikirate.org/~8767324,9609660.0,https://gender-pay-gap.service.gov.uk/viewing/download-data/2018,1.0,,
https://wikirate.org/~9619107,GOV.UK Gender Pay Gap Service+Employer Size,Aviagen,2019,250 to 499,https://wikirate.org/~8767384,9619107.0,https://gender-pay-gap.service.gov.uk/viewing/download-data/2019,1.0,,
https://wikirate.org/~9625554,GOV.UK Gender Pay Gap Service+Employer Size,Aviagen,2020,250 to 499,https://wikirate.org/~8767440,9625554.0,https://gender-pay-gap.service.gov.uk/viewing/download-data/2020,1.0,,
https://wikirate.org/~12938454,GOV.UK Gender Pay Gap Service+Employer Size,Aviagen,2021,250 to 499,https://wikirate.org/~12654979,12938454.0,https://gender-pay-gap.service.gov.uk/viewing/download-data/2021,1.0,,
