Answer Page,Metric,Company,Year,Value,Source Page,Answer ID,Original Source,Source Count,Comments,ISIN
https://wikirate.org/~14154010,Commons+Address,JJ FOOD SERVICE LIMITED,2022,7 Solar Way Innova Park Enfield Middlesex EN3 7XY,https://wikirate.org/~13403182,14154010.0,https://downloads.modern-slavery-statement-registry.service.gov.uk/publicdownloads/StatementSummaries2022.csv,1.0,,
https://wikirate.org/Walk_Free+Australian_MSA_Registry_Submission+JJ_FOOD_SERVICE_LIMITED+2019,Walk Free+Australian MSA Registry Submission,JJ FOOD SERVICE LIMITED,2019,No,,,,,,
https://wikirate.org/Walk_Free+Australian_MSA_Registry_Submission+JJ_FOOD_SERVICE_LIMITED+2020,Walk Free+Australian MSA Registry Submission,JJ FOOD SERVICE LIMITED,2020,No,,,,,,
https://wikirate.org/Walk_Free+Australian_MSA_Registry_Submission+JJ_FOOD_SERVICE_LIMITED+2021,Walk Free+Australian MSA Registry Submission,JJ FOOD SERVICE LIMITED,2021,No,,,,,,
https://wikirate.org/Walk_Free+Australian_MSA_statement_assessed+JJ_FOOD_SERVICE_LIMITED+2019,Walk Free+Australian MSA statement assessed,JJ FOOD SERVICE LIMITED,2019,No,,,,,,
https://wikirate.org/Walk_Free+Australian_MSA_statement_assessed+JJ_FOOD_SERVICE_LIMITED+2020,Walk Free+Australian MSA statement assessed,JJ FOOD SERVICE LIMITED,2020,No,,,,,,
https://wikirate.org/Walk_Free+Australian_MSA_statement_assessed+JJ_FOOD_SERVICE_LIMITED+2021,Walk Free+Australian MSA statement assessed,JJ FOOD SERVICE LIMITED,2021,No,,,,,,
https://wikirate.org/Walk_Free+Company_size+JJ_FOOD_SERVICE_LIMITED+2019,Walk Free+Company size,JJ FOOD SERVICE LIMITED,2019,Medium,,,,,,
https://wikirate.org/Walk_Free+Company_size+JJ_FOOD_SERVICE_LIMITED+2020,Walk Free+Company size,JJ FOOD SERVICE LIMITED,2020,Medium,,,,,,
https://wikirate.org/Walk_Free+Company_size+JJ_FOOD_SERVICE_LIMITED+2021,Walk Free+Company size,JJ FOOD SERVICE LIMITED,2021,Medium,,,,,,
https://wikirate.org/Core+Country+JJ_FOOD_SERVICE_LIMITED+2019,Core+Country,JJ FOOD SERVICE LIMITED,2019,United Kingdom,,,,,,
https://wikirate.org/GreenDex+Country+JJ_FOOD_SERVICE_LIMITED+2019,GreenDex+Country,JJ FOOD SERVICE LIMITED,2019,United Kingdom,,,,,,
https://wikirate.org/Commons+Employee+JJ_FOOD_SERVICE_LIMITED+2017,Commons+Employee,JJ FOOD SERVICE LIMITED,2017,500 to 999,,,,,,
https://wikirate.org/Commons+Employee+JJ_FOOD_SERVICE_LIMITED+2018,Commons+Employee,JJ FOOD SERVICE LIMITED,2018,500 to 999,,,,,,
https://wikirate.org/Commons+Employee+JJ_FOOD_SERVICE_LIMITED+2019,Commons+Employee,JJ FOOD SERVICE LIMITED,2019,500 to 999,,,,,,
https://wikirate.org/Commons+Employee+JJ_FOOD_SERVICE_LIMITED+2020,Commons+Employee,JJ FOOD SERVICE LIMITED,2020,500 to 999,,,,,,
https://wikirate.org/Commons+Employee+JJ_FOOD_SERVICE_LIMITED+2021,Commons+Employee,JJ FOOD SERVICE LIMITED,2021,500 to 999,,,,,,
https://wikirate.org/Commons+Employee+JJ_FOOD_SERVICE_LIMITED+2022,Commons+Employee,JJ FOOD SERVICE LIMITED,2022,500 to 999,,,,,,
https://wikirate.org/Commons+Employee+JJ_FOOD_SERVICE_LIMITED+2023,Commons+Employee,JJ FOOD SERVICE LIMITED,2023,500 to 999,,,,,,
https://wikirate.org/~9591327,GOV.UK Gender Pay Gap Service+Employer Size,JJ FOOD SERVICE LIMITED,2017,500 to 999,https://wikirate.org/~8767248,9591327.0,https://gender-pay-gap.service.gov.uk/viewing/download-data/2017,1.0,,
https://wikirate.org/~9613856,GOV.UK Gender Pay Gap Service+Employer Size,JJ FOOD SERVICE LIMITED,2018,500 to 999,https://wikirate.org/~8767324,9613856.0,https://gender-pay-gap.service.gov.uk/viewing/download-data/2018,1.0,,
https://wikirate.org/~9621648,GOV.UK Gender Pay Gap Service+Employer Size,JJ FOOD SERVICE LIMITED,2019,500 to 999,https://wikirate.org/~8767384,9621648.0,https://gender-pay-gap.service.gov.uk/viewing/download-data/2019,1.0,,
https://wikirate.org/~9629130,GOV.UK Gender Pay Gap Service+Employer Size,JJ FOOD SERVICE LIMITED,2020,500 to 999,https://wikirate.org/~8767440,9629130.0,https://gender-pay-gap.service.gov.uk/viewing/download-data/2020,1.0,,
https://wikirate.org/~12947800,GOV.UK Gender Pay Gap Service+Employer Size,JJ FOOD SERVICE LIMITED,2021,500 to 999,https://wikirate.org/~12654979,12947800.0,https://gender-pay-gap.service.gov.uk/viewing/download-data/2021,1.0,,
https://wikirate.org/~15018950,GOV.UK Gender Pay Gap Service+Employer Size,JJ FOOD SERVICE LIMITED,2022,500 to 999,https://wikirate.org/~14619205,15018950.0,https://gender-pay-gap.service.gov.uk/viewing/download-data/2022,1.0,Company provided the following link that points to its gender pay gap info: https://www.jjfoodservice.com/policies,
https://wikirate.org/~19111742,GOV.UK Gender Pay Gap Service+Employer Size,JJ FOOD SERVICE LIMITED,2023,500 to 999,https://wikirate.org/~18835283,19111742.0,https://jjwebcontent.blob.core.windows.net/pdfs/policies/GPG-Report-2024.pdf,2.0,,
https://wikirate.org/Walk_Free+Financial_Services_Sector+JJ_FOOD_SERVICE_LIMITED+2019,Walk Free+Financial Services Sector,JJ FOOD SERVICE LIMITED,2019,No,,,,,,
https://wikirate.org/Walk_Free+Financial_Services_Sector+JJ_FOOD_SERVICE_LIMITED+2020,Walk Free+Financial Services Sector,JJ FOOD SERVICE LIMITED,2020,No,,,,,,
https://wikirate.org/Walk_Free+Financial_Services_Sector+JJ_FOOD_SERVICE_LIMITED+2021,Walk Free+Financial Services Sector,JJ FOOD SERVICE LIMITED,2021,No,,,,,,
https://wikirate.org/Walk_Free+Food_Beverages_Sector+JJ_FOOD_SERVICE_LIMITED+2019,Walk Free+Food & Beverages Sector,JJ FOOD SERVICE LIMITED,2019,Yes,,,,,,
https://wikirate.org/Walk_Free+Food_Beverages_Sector+JJ_FOOD_SERVICE_LIMITED+2020,Walk Free+Food & Beverages Sector,JJ FOOD SERVICE LIMITED,2020,Yes,,,,,,
https://wikirate.org/Walk_Free+Food_Beverages_Sector+JJ_FOOD_SERVICE_LIMITED+2021,Walk Free+Food & Beverages Sector,JJ FOOD SERVICE LIMITED,2021,Yes,,,,,,
https://wikirate.org/Walk_Free+Garment_Sector+JJ_FOOD_SERVICE_LIMITED+2019,Walk Free+Garment Sector,JJ FOOD SERVICE LIMITED,2019,No,,,,,,
https://wikirate.org/Walk_Free+Garment_Sector+JJ_FOOD_SERVICE_LIMITED+2020,Walk Free+Garment Sector,JJ FOOD SERVICE LIMITED,2020,No,,,,,,
https://wikirate.org/Walk_Free+Garment_Sector+JJ_FOOD_SERVICE_LIMITED+2021,Walk Free+Garment Sector,JJ FOOD SERVICE LIMITED,2021,No,,,,,,
https://wikirate.org/Core+Headquarters_Location+JJ_FOOD_SERVICE_LIMITED+2019,Core+Headquarters Location,JJ FOOD SERVICE LIMITED,2019,United Kingdom,,,,,,
https://wikirate.org/Walk_Free+Hospitality_Sector+JJ_FOOD_SERVICE_LIMITED+2019,Walk Free+Hospitality Sector,JJ FOOD SERVICE LIMITED,2019,No,,,,,,
https://wikirate.org/Walk_Free+Hospitality_Sector+JJ_FOOD_SERVICE_LIMITED+2020,Walk Free+Hospitality Sector,JJ FOOD SERVICE LIMITED,2020,No,,,,,,
https://wikirate.org/Walk_Free+Hospitality_Sector+JJ_FOOD_SERVICE_LIMITED+2021,Walk Free+Hospitality Sector,JJ FOOD SERVICE LIMITED,2021,No,,,,,,
https://wikirate.org/Core+ILO_Region+JJ_FOOD_SERVICE_LIMITED+2019,Core+ILO Region,JJ FOOD SERVICE LIMITED,2019,Europe and Central Asia,,,,,,
https://wikirate.org/~9673161,Home Office+MS Statement Grievance Mechanism Provisions,JJ FOOD SERVICE LIMITED,2019,Using anonymous whistleblowing services such as a helpline or mobile phone app,https://wikirate.org/~9135362,9673161.0,https://downloads.modern-slavery-statement-registry.service.gov.uk/publicdownloads/StatementSummaries2020.csv,3.0,,
https://wikirate.org/~13734462,Home Office+MS Statement Grievance Mechanism Provisions,JJ FOOD SERVICE LIMITED,2020,Using anonymous whistleblowing services such as a helpline or mobile phone app,https://wikirate.org/~13679886,13734462.0,https://modern-slavery-statement-registry.service.gov.uk/statement-summary/C3Y7sMnp/2021,3.0,,
https://wikirate.org/~9345550,Home Office+MS Statement Includes Due Diligence,JJ FOOD SERVICE LIMITED,2019,Yes,https://wikirate.org/~9135362,9345550.0,https://downloads.modern-slavery-statement-registry.service.gov.uk/publicdownloads/StatementSummaries2020.csv,3.0,,
https://wikirate.org/~13713851,Home Office+MS Statement Includes Due Diligence,JJ FOOD SERVICE LIMITED,2020,Yes,https://wikirate.org/~13679886,13713851.0,https://modern-slavery-statement-registry.service.gov.uk/statement-summary/C3Y7sMnp/2021,3.0,,
https://wikirate.org/~13464759,Home Office+MS Statement Includes Due Diligence,JJ FOOD SERVICE LIMITED,2021,Yes,https://wikirate.org/~13403182,13464759.0,https://downloads.modern-slavery-statement-registry.service.gov.uk/publicdownloads/StatementSummaries2022.csv,2.0,,
https://wikirate.org/~9540348,Home Office+MS Statement Includes Goals,JJ FOOD SERVICE LIMITED,2019,Yes,https://wikirate.org/~9135362,9540348.0,https://downloads.modern-slavery-statement-registry.service.gov.uk/publicdownloads/StatementSummaries2020.csv,3.0,,
https://wikirate.org/~13726710,Home Office+MS Statement Includes Goals,JJ FOOD SERVICE LIMITED,2020,Yes,https://wikirate.org/~13679886,13726710.0,https://modern-slavery-statement-registry.service.gov.uk/statement-summary/C3Y7sMnp/2021,3.0,,
https://wikirate.org/~13496445,Home Office+MS Statement Includes Goals,JJ FOOD SERVICE LIMITED,2021,Yes,https://wikirate.org/~13403182,13496445.0,https://downloads.modern-slavery-statement-registry.service.gov.uk/publicdownloads/StatementSummaries2022.csv,2.0,,
https://wikirate.org/~9157844,Home Office+MS Statement Includes Org Structure,JJ FOOD SERVICE LIMITED,2019,Yes,https://wikirate.org/~9135362,9157844.0,https://downloads.modern-slavery-statement-registry.service.gov.uk/publicdownloads/StatementSummaries2020.csv,3.0,,
https://wikirate.org/~13699630,Home Office+MS Statement Includes Org Structure,JJ FOOD SERVICE LIMITED,2020,Yes,https://wikirate.org/~13679886,13699630.0,https://modern-slavery-statement-registry.service.gov.uk/statement-summary/C3Y7sMnp/2021,3.0,,
https://wikirate.org/~13414437,Home Office+MS Statement Includes Org Structure,JJ FOOD SERVICE LIMITED,2021,Yes,https://wikirate.org/~13403182,13414437.0,https://downloads.modern-slavery-statement-registry.service.gov.uk/publicdownloads/StatementSummaries2022.csv,2.0,,
https://wikirate.org/~9211114,Home Office+MS Statement Includes Policies,JJ FOOD SERVICE LIMITED,2019,Yes,https://wikirate.org/~9135362,9211114.0,https://downloads.modern-slavery-statement-registry.service.gov.uk/publicdownloads/StatementSummaries2020.csv,3.0,,
https://wikirate.org/~13704379,Home Office+MS Statement Includes Policies,JJ FOOD SERVICE LIMITED,2020,Yes,https://wikirate.org/~13679886,13704379.0,https://modern-slavery-statement-registry.service.gov.uk/statement-summary/C3Y7sMnp/2021,3.0,,
https://wikirate.org/~13432668,Home Office+MS Statement Includes Policies,JJ FOOD SERVICE LIMITED,2021,Yes,https://wikirate.org/~13403182,13432668.0,https://downloads.modern-slavery-statement-registry.service.gov.uk/publicdownloads/StatementSummaries2022.csv,2.0,,
https://wikirate.org/~9313155,Home Office+MS Statement Includes Risks Assessment,JJ FOOD SERVICE LIMITED,2019,Yes,https://wikirate.org/~9135362,9313155.0,https://downloads.modern-slavery-statement-registry.service.gov.uk/publicdownloads/StatementSummaries2020.csv,3.0,,
https://wikirate.org/~13709000,Home Office+MS Statement Includes Risks Assessment,JJ FOOD SERVICE LIMITED,2020,Yes,https://wikirate.org/~13679886,13709000.0,https://modern-slavery-statement-registry.service.gov.uk/statement-summary/C3Y7sMnp/2021,3.0,,
https://wikirate.org/~13450023,Home Office+MS Statement Includes Risks Assessment,JJ FOOD SERVICE LIMITED,2021,Yes,https://wikirate.org/~13403182,13450023.0,https://downloads.modern-slavery-statement-registry.service.gov.uk/publicdownloads/StatementSummaries2022.csv,2.0,,
