Answer Page,Metric,Company,Year,Value,Source Page,Answer ID,Original Source,Source Count,Comments,ISIN
https://wikirate.org/~9865238,Commons+Address,WINTERWOOD FARMS LTD,2021,"Winterwood Farm Chartway Street, East Sutton Maidstone Kent ME17 3DN",https://wikirate.org/~8066337,9865238.0,https://downloads.modern-slavery-statement-registry.service.gov.uk/publicdownloads/StatementSummaries2021.csv,1.0,,
https://wikirate.org/~14163271,Commons+Address,WINTERWOOD FARMS LTD,2022,"Winterwood Farm Chartway Street, East Sutton Maidstone Kent ME17 3DN",https://wikirate.org/~13403182,14163271.0,https://downloads.modern-slavery-statement-registry.service.gov.uk/publicdownloads/StatementSummaries2022.csv,1.0,,
https://wikirate.org/Walk_Free+Australian_MSA_Registry_Submission+WINTERWOOD_FARMS_LTD+2021,Walk Free+Australian MSA Registry Submission,WINTERWOOD FARMS LTD,2021,No,,,,,,
https://wikirate.org/Walk_Free+Australian_MSA_Registry_Submission+WINTERWOOD_FARMS_LTD+2022,Walk Free+Australian MSA Registry Submission,WINTERWOOD FARMS LTD,2022,No,,,,,,
https://wikirate.org/Walk_Free+Australian_MSA_Registry_Submission+WINTERWOOD_FARMS_LTD+2023,Walk Free+Australian MSA Registry Submission,WINTERWOOD FARMS LTD,2023,No,,,,,,
https://wikirate.org/Walk_Free+Australian_MSA_statement_assessed+WINTERWOOD_FARMS_LTD+2021,Walk Free+Australian MSA statement assessed,WINTERWOOD FARMS LTD,2021,No,,,,,,
https://wikirate.org/Walk_Free+Australian_MSA_statement_assessed+WINTERWOOD_FARMS_LTD+2022,Walk Free+Australian MSA statement assessed,WINTERWOOD FARMS LTD,2022,No,,,,,,
https://wikirate.org/Walk_Free+Australian_MSA_statement_assessed+WINTERWOOD_FARMS_LTD+2023,Walk Free+Australian MSA statement assessed,WINTERWOOD FARMS LTD,2023,No,,,,,,
https://wikirate.org/Commons+Company_Category+WINTERWOOD_FARMS_LTD+2019,Commons+Company Category,WINTERWOOD FARMS LTD,2019,M,,,,,,
https://wikirate.org/Walk_Free+Company_size+WINTERWOOD_FARMS_LTD+2019,Walk Free+Company size,WINTERWOOD FARMS LTD,2019,Small,,,,,,
https://wikirate.org/Walk_Free+Company_size+WINTERWOOD_FARMS_LTD+2020,Walk Free+Company size,WINTERWOOD FARMS LTD,2020,Small,,,,,,
https://wikirate.org/Walk_Free+Company_size+WINTERWOOD_FARMS_LTD+2023,Walk Free+Company size,WINTERWOOD FARMS LTD,2023,Small,,,,,,
https://wikirate.org/Core+Country+WINTERWOOD_FARMS_LTD+2019,Core+Country,WINTERWOOD FARMS LTD,2019,United Kingdom,,,,,,
https://wikirate.org/GreenDex+Country+WINTERWOOD_FARMS_LTD+2019,GreenDex+Country,WINTERWOOD FARMS LTD,2019,United Kingdom,,,,,,
