Answer Page,Metric,Company,Year,Value,Source Page,Answer ID,Original Source,Source Count,Comments,ISIN
https://wikirate.org/~9813184,Commons+Address,SEACHILL UK LIMITED,2021,Hilton Food Group Plc 2-8 The Interchange Latham Road Huntingdon Cambridgeshire England PE29 6YE,https://wikirate.org/~8066337,9813184.0,https://downloads.modern-slavery-statement-registry.service.gov.uk/publicdownloads/StatementSummaries2021.csv,1.0,,
https://wikirate.org/Walk_Free+Australian_MSA_Registry_Submission+SEACHILL_UK_LIMITED+2019,Walk Free+Australian MSA Registry Submission,SEACHILL UK LIMITED,2019,No,,,,,,
https://wikirate.org/Walk_Free+Australian_MSA_Registry_Submission+SEACHILL_UK_LIMITED+2020,Walk Free+Australian MSA Registry Submission,SEACHILL UK LIMITED,2020,No,,,,,,
https://wikirate.org/Walk_Free+Australian_MSA_Registry_Submission+SEACHILL_UK_LIMITED+2023,Walk Free+Australian MSA Registry Submission,SEACHILL UK LIMITED,2023,No,,,,,,
https://wikirate.org/Walk_Free+Australian_MSA_statement_assessed+SEACHILL_UK_LIMITED+2019,Walk Free+Australian MSA statement assessed,SEACHILL UK LIMITED,2019,No,,,,,,
https://wikirate.org/Walk_Free+Australian_MSA_statement_assessed+SEACHILL_UK_LIMITED+2020,Walk Free+Australian MSA statement assessed,SEACHILL UK LIMITED,2020,No,,,,,,
https://wikirate.org/Walk_Free+Australian_MSA_statement_assessed+SEACHILL_UK_LIMITED+2023,Walk Free+Australian MSA statement assessed,SEACHILL UK LIMITED,2023,No,,,,,,
https://wikirate.org/Walk_Free+Company_size+SEACHILL_UK_LIMITED+2019,Walk Free+Company size,SEACHILL UK LIMITED,2019,Large,,,,,,
https://wikirate.org/Core+Country+SEACHILL_UK_LIMITED+2019,Core+Country,SEACHILL UK LIMITED,2019,United Kingdom,,,,,,
https://wikirate.org/GreenDex+Country+SEACHILL_UK_LIMITED+2019,GreenDex+Country,SEACHILL UK LIMITED,2019,United Kingdom,,,,,,
https://wikirate.org/Commons+Employee+SEACHILL_UK_LIMITED+2017,Commons+Employee,SEACHILL UK LIMITED,2017,500 to 999,,,,,,
https://wikirate.org/Commons+Employee+SEACHILL_UK_LIMITED+2018,Commons+Employee,SEACHILL UK LIMITED,2018,1000 to 4999,,,,,,
https://wikirate.org/Commons+Employee+SEACHILL_UK_LIMITED+2019,Commons+Employee,SEACHILL UK LIMITED,2019,1000 to 4999,,,,,,
https://wikirate.org/Commons+Employee+SEACHILL_UK_LIMITED+2020,Commons+Employee,SEACHILL UK LIMITED,2020,1000 to 4999,,,,,,
https://wikirate.org/Commons+Employee+SEACHILL_UK_LIMITED+2021,Commons+Employee,SEACHILL UK LIMITED,2021,1000 to 4999,,,,,,
https://wikirate.org/Commons+Employee+SEACHILL_UK_LIMITED+2022,Commons+Employee,SEACHILL UK LIMITED,2022,1000 to 4999,,,,,,
https://wikirate.org/Commons+Employee+SEACHILL_UK_LIMITED+2023,Commons+Employee,SEACHILL UK LIMITED,2023,1000 to 4999,,,,,,
https://wikirate.org/~9600089,GOV.UK Gender Pay Gap Service+Employer Size,SEACHILL UK LIMITED,2017,500 to 999,https://wikirate.org/~8767248,9600089.0,https://gender-pay-gap.service.gov.uk/viewing/download-data/2017,1.0,,
https://wikirate.org/~9616585,GOV.UK Gender Pay Gap Service+Employer Size,SEACHILL UK LIMITED,2018,1000 to 4999,https://wikirate.org/~8767324,9616585.0,https://gender-pay-gap.service.gov.uk/viewing/download-data/2018,1.0,,
https://wikirate.org/~9623455,GOV.UK Gender Pay Gap Service+Employer Size,SEACHILL UK LIMITED,2019,1000 to 4999,https://wikirate.org/~8767384,9623455.0,https://gender-pay-gap.service.gov.uk/viewing/download-data/2019,1.0,,
