Answer Page,Metric,Company,Year,Value,Source Page,Answer ID,Original Source,Source Count,Comments,ISIN
https://wikirate.org/~13007467,Walk Free+Addressing and monitoring child labour (sector specific),UNILEVER AUSTRALIA GROUP PTY LTD,2020,No,https://wikirate.org/~8193003,13007467.0,https://modernslaveryregister.gov.au/statements/file/243d2ea7-c9bf-4a7f-8dda-71cab11b0b68/,1.0,,
https://wikirate.org/~13007353,Walk Free+Addressing and monitoring child labour (sector specific),UNILEVER AUSTRALIA GROUP PTY LTD,2021,In Development,https://wikirate.org/~12638869,13007353.0,https://www.unilever.com.au/files/origin/301528ac499668ccf92baf7562d547f5997d8f06.pdf/download-our-2021-statement-mghyr0.pdf,1.0,"P9 ""We are developing impact programmes with our partners, certifiers and suppliers to ensure that we sourcefromcocoacooperatives thathave monitoringandremediation systems inplacethat assess and address child labour cases. By 2023, all the cooperatives we directly source from will have such asystem in place. By 2025, we aim to have reached at leastathirdofthe cocoafarmers inour direct sourcingwith tailored impact programmes that: close the gap to a living income, eliminate child labour and halt deforestation. They often champion forest protection andconservation."" Gabby[https://wikirate.org/Gabby].....2022-07-04 02:31:28 UTC",
https://wikirate.org/~14540222,Walk Free+Addressing and monitoring child labour (sector specific),UNILEVER AUSTRALIA GROUP PTY LTD,2022,No,https://wikirate.org/~14540206,14540222.0,https://www.unilever.com.au/files/90b86935-4f2c-4f8e-b2c8-11ae49ad5813/download-our-2022-statement-lygdlc.pdf,1.0,"No reported. Manali Rana[https://wikirate.org/Manali_Rana].....2023-02-13 11:42:31 UTC p. 9 specific to hazelnut production 'As a result of this project, suppliers developed a shared understanding of human rights due diligence, conducted supply chain risk assessments to identify salient human rights issues in their upstream supply chains while receiving training on and addressing decent work, child protection and child labour monitoring and remediation mechanisms. Labour agencies were trained on responsible recruitment and agency registration' theresah[https://wikirate.org/theresah].....2023-02-28 08:49:30 UTC",
https://wikirate.org/Walk_Free+AUS_MSA_Beyond_Compliance_Disclosure_Rate+UNILEVER_AUSTRALIA_GROUP_PTY_LTD+2020,Walk Free+AUS MSA Beyond Compliance Disclosure Rate,UNILEVER AUSTRALIA GROUP PTY LTD,2020,Unknown,,,,,,
https://wikirate.org/Walk_Free+AUS_MSA_Beyond_Compliance_Disclosure_Rate+UNILEVER_AUSTRALIA_GROUP_PTY_LTD+2021,Walk Free+AUS MSA Beyond Compliance Disclosure Rate,UNILEVER AUSTRALIA GROUP PTY LTD,2021,3,,,,,,
https://wikirate.org/Walk_Free+AUS_MSA_Beyond_Compliance_Disclosure_Rate+UNILEVER_AUSTRALIA_GROUP_PTY_LTD+2022,Walk Free+AUS MSA Beyond Compliance Disclosure Rate,UNILEVER AUSTRALIA GROUP PTY LTD,2022,3,,,,,,
https://wikirate.org/Walk_Free+Australian_MSA_Registry_Submission+UNILEVER_AUSTRALIA_GROUP_PTY_LTD+2020,Walk Free+Australian MSA Registry Submission,UNILEVER AUSTRALIA GROUP PTY LTD,2020,Yes,,,,,,
https://wikirate.org/Walk_Free+Australian_MSA_Registry_Submission+UNILEVER_AUSTRALIA_GROUP_PTY_LTD+2021,Walk Free+Australian MSA Registry Submission,UNILEVER AUSTRALIA GROUP PTY LTD,2021,Yes,,,,,,
https://wikirate.org/Walk_Free+Australian_MSA_Registry_Submission+UNILEVER_AUSTRALIA_GROUP_PTY_LTD+2022,Walk Free+Australian MSA Registry Submission,UNILEVER AUSTRALIA GROUP PTY LTD,2022,Yes,,,,,,
https://wikirate.org/Walk_Free+Australian_MSA_statement_assessed+UNILEVER_AUSTRALIA_GROUP_PTY_LTD+2020,Walk Free+Australian MSA statement assessed,UNILEVER AUSTRALIA GROUP PTY LTD,2020,Yes,,,,,,
https://wikirate.org/Walk_Free+Australian_MSA_statement_assessed+UNILEVER_AUSTRALIA_GROUP_PTY_LTD+2021,Walk Free+Australian MSA statement assessed,UNILEVER AUSTRALIA GROUP PTY LTD,2021,Yes,,,,,,
https://wikirate.org/Walk_Free+Australian_MSA_statement_assessed+UNILEVER_AUSTRALIA_GROUP_PTY_LTD+2022,Walk Free+Australian MSA statement assessed,UNILEVER AUSTRALIA GROUP PTY LTD,2022,Yes,,,,,,
https://wikirate.org/Walk_Free+Company_size+UNILEVER_AUSTRALIA_GROUP_PTY_LTD+2020,Walk Free+Company size,UNILEVER AUSTRALIA GROUP PTY LTD,2020,Large,,,,,,
https://wikirate.org/Walk_Free+Company_size+UNILEVER_AUSTRALIA_GROUP_PTY_LTD+2021,Walk Free+Company size,UNILEVER AUSTRALIA GROUP PTY LTD,2021,Large,,,,,,
https://wikirate.org/Walk_Free+Company_size+UNILEVER_AUSTRALIA_GROUP_PTY_LTD+2022,Walk Free+Company size,UNILEVER AUSTRALIA GROUP PTY LTD,2022,Large,,,,,,
https://wikirate.org/Walk_Free+Company_size+UNILEVER_AUSTRALIA_GROUP_PTY_LTD+2023,Walk Free+Company size,UNILEVER AUSTRALIA GROUP PTY LTD,2023,Large,,,,,,
https://wikirate.org/Core+Country+UNILEVER_AUSTRALIA_GROUP_PTY_LTD+2019,Core+Country,UNILEVER AUSTRALIA GROUP PTY LTD,2019,Australia,,,,,,
https://wikirate.org/GreenDex+Country+UNILEVER_AUSTRALIA_GROUP_PTY_LTD+2019,GreenDex+Country,UNILEVER AUSTRALIA GROUP PTY LTD,2019,Australia,,,,,,
https://wikirate.org/Walk_Free+Financial_Services_Sector+UNILEVER_AUSTRALIA_GROUP_PTY_LTD+2020,Walk Free+Financial Services Sector,UNILEVER AUSTRALIA GROUP PTY LTD,2020,No,,,,,,
https://wikirate.org/Walk_Free+Financial_Services_Sector+UNILEVER_AUSTRALIA_GROUP_PTY_LTD+2021,Walk Free+Financial Services Sector,UNILEVER AUSTRALIA GROUP PTY LTD,2021,No,,,,,,
https://wikirate.org/Walk_Free+Financial_Services_Sector+UNILEVER_AUSTRALIA_GROUP_PTY_LTD+2022,Walk Free+Financial Services Sector,UNILEVER AUSTRALIA GROUP PTY LTD,2022,No,,,,,,
https://wikirate.org/Walk_Free+Food_Beverages_Sector+UNILEVER_AUSTRALIA_GROUP_PTY_LTD+2020,Walk Free+Food & Beverages Sector,UNILEVER AUSTRALIA GROUP PTY LTD,2020,Yes,,,,,,
https://wikirate.org/Walk_Free+Food_Beverages_Sector+UNILEVER_AUSTRALIA_GROUP_PTY_LTD+2021,Walk Free+Food & Beverages Sector,UNILEVER AUSTRALIA GROUP PTY LTD,2021,Yes,,,,,,
https://wikirate.org/Walk_Free+Food_Beverages_Sector+UNILEVER_AUSTRALIA_GROUP_PTY_LTD+2022,Walk Free+Food & Beverages Sector,UNILEVER AUSTRALIA GROUP PTY LTD,2022,Yes,,,,,,
https://wikirate.org/Walk_Free+Garment_Sector+UNILEVER_AUSTRALIA_GROUP_PTY_LTD+2020,Walk Free+Garment Sector,UNILEVER AUSTRALIA GROUP PTY LTD,2020,No,,,,,,
https://wikirate.org/Walk_Free+Garment_Sector+UNILEVER_AUSTRALIA_GROUP_PTY_LTD+2021,Walk Free+Garment Sector,UNILEVER AUSTRALIA GROUP PTY LTD,2021,No,,,,,,
https://wikirate.org/Walk_Free+Garment_Sector+UNILEVER_AUSTRALIA_GROUP_PTY_LTD+2022,Walk Free+Garment Sector,UNILEVER AUSTRALIA GROUP PTY LTD,2022,No,,,,,,
https://wikirate.org/Apparel_Research_Group+Grievance_mechanism+UNILEVER_AUSTRALIA_GROUP_PTY_LTD+2018,Apparel Research Group+Grievance mechanism,UNILEVER AUSTRALIA GROUP PTY LTD,2018,No,,,,,,
https://wikirate.org/Apparel_Research_Group+Grievance_mechanism+UNILEVER_AUSTRALIA_GROUP_PTY_LTD+2019,Apparel Research Group+Grievance mechanism,UNILEVER AUSTRALIA GROUP PTY LTD,2019,No,,,,,,
https://wikirate.org/Apparel_Research_Group+Grievance_mechanism+UNILEVER_AUSTRALIA_GROUP_PTY_LTD+2020,Apparel Research Group+Grievance mechanism,UNILEVER AUSTRALIA GROUP PTY LTD,2020,No,,,,,,
https://wikirate.org/Core+Headquarters_Location+UNILEVER_AUSTRALIA_GROUP_PTY_LTD+2019,Core+Headquarters Location,UNILEVER AUSTRALIA GROUP PTY LTD,2019,Australia,,,,,,
https://wikirate.org/Walk_Free+Hospitality_Sector+UNILEVER_AUSTRALIA_GROUP_PTY_LTD+2020,Walk Free+Hospitality Sector,UNILEVER AUSTRALIA GROUP PTY LTD,2020,No,,,,,,
https://wikirate.org/Walk_Free+Hospitality_Sector+UNILEVER_AUSTRALIA_GROUP_PTY_LTD+2021,Walk Free+Hospitality Sector,UNILEVER AUSTRALIA GROUP PTY LTD,2021,No,,,,,,
https://wikirate.org/Walk_Free+Hospitality_Sector+UNILEVER_AUSTRALIA_GROUP_PTY_LTD+2022,Walk Free+Hospitality Sector,UNILEVER AUSTRALIA GROUP PTY LTD,2022,No,,,,,,
https://wikirate.org/Core+ILO_Region+UNILEVER_AUSTRALIA_GROUP_PTY_LTD+2019,Core+ILO Region,UNILEVER AUSTRALIA GROUP PTY LTD,2019,Asia and the Pacific,,,,,,
https://wikirate.org/~17340713,Australian Border Force+Industry Sectors,UNILEVER AUSTRALIA GROUP PTY LTD,2020,"Cosmetics and toiletries, Food and beverages/ agriculture and fishing",https://wikirate.org/~17139920,17340713.0,,1.0,,
https://wikirate.org/~8249668,Australian Border Force+Industry Sectors,UNILEVER AUSTRALIA GROUP PTY LTD,2021,"Cosmetics and toiletries, Food and beverages/ agriculture and fishing",https://wikirate.org/~8235232,8249668.0,https://modernslaveryregister.gov.au/statements/,1.0,,
https://wikirate.org/~17349035,Australian Border Force+Industry Sectors,UNILEVER AUSTRALIA GROUP PTY LTD,2022,"Cosmetics and toiletries, Food and beverages/ agriculture and fishing",https://wikirate.org/~17139920,17349035.0,,1.0,,
https://wikirate.org/Walk_Free+Meets_Minimum_Australian_MSA_Requirements+UNILEVER_AUSTRALIA_GROUP_PTY_LTD+2020,Walk Free+Meets Minimum Australian MSA Requirements,UNILEVER AUSTRALIA GROUP PTY LTD,2020,No,,,,,,
https://wikirate.org/Walk_Free+Meets_Minimum_Australian_MSA_Requirements+UNILEVER_AUSTRALIA_GROUP_PTY_LTD+2021,Walk Free+Meets Minimum Australian MSA Requirements,UNILEVER AUSTRALIA GROUP PTY LTD,2021,Yes,,,,,,
https://wikirate.org/Walk_Free+Meets_Minimum_Australian_MSA_Requirements+UNILEVER_AUSTRALIA_GROUP_PTY_LTD+2022,Walk Free+Meets Minimum Australian MSA Requirements,UNILEVER AUSTRALIA GROUP PTY LTD,2022,Yes,,,,,,
https://wikirate.org/Walk_Free+Meets_Minimum_MSA_Requirements+UNILEVER_AUSTRALIA_GROUP_PTY_LTD+2020,Walk Free+Meets Minimum MSA Requirements,UNILEVER AUSTRALIA GROUP PTY LTD,2020,No,,,,,,
https://wikirate.org/Walk_Free+Meets_Minimum_MSA_Requirements+UNILEVER_AUSTRALIA_GROUP_PTY_LTD+2021,Walk Free+Meets Minimum MSA Requirements,UNILEVER AUSTRALIA GROUP PTY LTD,2021,Yes,,,,,,
https://wikirate.org/Walk_Free+Meets_Minimum_MSA_Requirements+UNILEVER_AUSTRALIA_GROUP_PTY_LTD+2022,Walk Free+Meets Minimum MSA Requirements,UNILEVER AUSTRALIA GROUP PTY LTD,2022,Yes,,,,,,
https://wikirate.org/Walk_Free+Meets_Minimum_UK_MSA_Requirements+UNILEVER_AUSTRALIA_GROUP_PTY_LTD+2020,Walk Free+Meets Minimum UK MSA Requirements,UNILEVER AUSTRALIA GROUP PTY LTD,2020,Yes - but non-UK statement,,,,,,
https://wikirate.org/Walk_Free+Meets_Minimum_UK_MSA_Requirements+UNILEVER_AUSTRALIA_GROUP_PTY_LTD+2021,Walk Free+Meets Minimum UK MSA Requirements,UNILEVER AUSTRALIA GROUP PTY LTD,2021,Yes - but non-UK statement,,,,,,
https://wikirate.org/Walk_Free+Meets_Minimum_UK_MSA_Requirements+UNILEVER_AUSTRALIA_GROUP_PTY_LTD+2022,Walk Free+Meets Minimum UK MSA Requirements,UNILEVER AUSTRALIA GROUP PTY LTD,2022,Yes - but non-UK statement,,,,,,
https://wikirate.org/~8205156,Business & Human Rights Resource Centre+Modern Slavery Statement,UNILEVER AUSTRALIA GROUP PTY LTD,2020,Yes - Australian Modern Slavery Act,https://wikirate.org/~8193003,8205156.0,https://modernslaveryregister.gov.au/statements/file/243d2ea7-c9bf-4a7f-8dda-71cab11b0b68/,1.0,We welcome the requirements of the Australian Commonwealth Modern Slavery Act 2018 (the Act) and see the transparency it encourages as coherent with our support for the UN Guiding Principles on Business and Human Rights. Unilever Australia Group Pty Ltd has an annual revenue that exceeds the Act’s minimum mandatory reporting threshold of $100 million. Gabby[https://wikirate.org/Gabby].....2022-07-05 02:10:51 UTC,
https://wikirate.org/~12638878,Business & Human Rights Resource Centre+Modern Slavery Statement,UNILEVER AUSTRALIA GROUP PTY LTD,2021,Yes - Australian Modern Slavery Act,https://wikirate.org/~12638869,12638878.0,https://www.unilever.com.au/files/origin/301528ac499668ccf92baf7562d547f5997d8f06.pdf/download-our-2021-statement-mghyr0.pdf,2.0,"pg. 1 ""We welcome the requirements of the Australian Commonwealth Modern Slavery Act 2018 (the Act) and see the transparency it encourages as coherent with our support for the UN Guiding Principles on Business and Human Rights."" Manali Rana[https://wikirate.org/Manali_Rana].....2022-05-10 11:50:35 UTC",
https://wikirate.org/~14540230,Business & Human Rights Resource Centre+Modern Slavery Statement,UNILEVER AUSTRALIA GROUP PTY LTD,2022,Yes - Australian Modern Slavery Act,https://wikirate.org/~15386144,14540230.0,https://modernslaveryregister.gov.au/statements/file/c81ee1e1-b353-47ce-8c17-7e1bf18fcf01/,3.0,pg. 1 “We see the transparency the Australian Commonwealth Modern Slavery Act 2018 (the Act) encourages as coherent with our support for the UN Guiding Principles on Business and Human Rights.” Manali Rana[https://wikirate.org/Manali_Rana].....2023-02-13 11:49:05 UTC,
https://wikirate.org/Business_Human_Rights_Resource_Centre+Modern_Slavery_Statement+Philipp_Kuehl+UNILEVER_AUSTRALIA_GROUP_PTY_LTD+2020,Business & Human Rights Resource Centre+Modern Slavery Statement+Philipp Kuehl,UNILEVER AUSTRALIA GROUP PTY LTD,2020,10.0,,,,,,
