Answer Page,Metric,Company,Year,Value,Source Page,Answer ID,Original Source,Source Count,Comments,ISIN
https://wikirate.org/Walk_Free+Australian_MSA_Registry_Submission+SYDNEY_FISH_MARKET_PTY_LTD+2020,Walk Free+Australian MSA Registry Submission,SYDNEY FISH MARKET PTY LTD,2020,Yes,,,,,,
https://wikirate.org/Walk_Free+Australian_MSA_Registry_Submission+SYDNEY_FISH_MARKET_PTY_LTD+2021,Walk Free+Australian MSA Registry Submission,SYDNEY FISH MARKET PTY LTD,2021,Yes,,,,,,
https://wikirate.org/Walk_Free+Australian_MSA_Registry_Submission+SYDNEY_FISH_MARKET_PTY_LTD+2022,Walk Free+Australian MSA Registry Submission,SYDNEY FISH MARKET PTY LTD,2022,Yes,,,,,,
https://wikirate.org/Walk_Free+Australian_MSA_statement_assessed+SYDNEY_FISH_MARKET_PTY_LTD+2020,Walk Free+Australian MSA statement assessed,SYDNEY FISH MARKET PTY LTD,2020,No,,,,,,
https://wikirate.org/Walk_Free+Australian_MSA_statement_assessed+SYDNEY_FISH_MARKET_PTY_LTD+2021,Walk Free+Australian MSA statement assessed,SYDNEY FISH MARKET PTY LTD,2021,No,,,,,,
https://wikirate.org/Walk_Free+Australian_MSA_statement_assessed+SYDNEY_FISH_MARKET_PTY_LTD+2022,Walk Free+Australian MSA statement assessed,SYDNEY FISH MARKET PTY LTD,2022,No,,,,,,
https://wikirate.org/Walk_Free+Company_size+SYDNEY_FISH_MARKET_PTY_LTD+2020,Walk Free+Company size,SYDNEY FISH MARKET PTY LTD,2020,Small,,,,,,
https://wikirate.org/Walk_Free+Company_size+SYDNEY_FISH_MARKET_PTY_LTD+2021,Walk Free+Company size,SYDNEY FISH MARKET PTY LTD,2021,Small,,,,,,
https://wikirate.org/Walk_Free+Company_size+SYDNEY_FISH_MARKET_PTY_LTD+2022,Walk Free+Company size,SYDNEY FISH MARKET PTY LTD,2022,Small,,,,,,
https://wikirate.org/Walk_Free+Company_size+SYDNEY_FISH_MARKET_PTY_LTD+2023,Walk Free+Company size,SYDNEY FISH MARKET PTY LTD,2023,Small,,,,,,
https://wikirate.org/Core+Country+SYDNEY_FISH_MARKET_PTY_LTD+2019,Core+Country,SYDNEY FISH MARKET PTY LTD,2019,Australia,,,,,,
https://wikirate.org/GreenDex+Country+SYDNEY_FISH_MARKET_PTY_LTD+2019,GreenDex+Country,SYDNEY FISH MARKET PTY LTD,2019,Australia,,,,,,
https://wikirate.org/Walk_Free+Financial_Services_Sector+SYDNEY_FISH_MARKET_PTY_LTD+2020,Walk Free+Financial Services Sector,SYDNEY FISH MARKET PTY LTD,2020,No,,,,,,
https://wikirate.org/Walk_Free+Financial_Services_Sector+SYDNEY_FISH_MARKET_PTY_LTD+2021,Walk Free+Financial Services Sector,SYDNEY FISH MARKET PTY LTD,2021,No,,,,,,
