Answer Page,Metric,Company,Year,Value,Source Page,Answer ID,Original Source,Source Count,Comments,ISIN
https://wikirate.org/~14158496,Commons+Address,PROMAN SUPPLY CHAIN LTD,2022,Building 2 Mosley Road Trafford Park Manchester England M17 1FQ,https://wikirate.org/~13403182,14158496.0,https://downloads.modern-slavery-statement-registry.service.gov.uk/publicdownloads/StatementSummaries2022.csv,1.0,,
https://wikirate.org/Walk_Free+Australian_MSA_Registry_Submission+PROMAN_SUPPLY_CHAIN_LTD+2020,Walk Free+Australian MSA Registry Submission,PROMAN SUPPLY CHAIN LTD,2020,No,,,,,,
https://wikirate.org/Walk_Free+Australian_MSA_Registry_Submission+PROMAN_SUPPLY_CHAIN_LTD+2021,Walk Free+Australian MSA Registry Submission,PROMAN SUPPLY CHAIN LTD,2021,No,,,,,,
https://wikirate.org/Walk_Free+Australian_MSA_Registry_Submission+PROMAN_SUPPLY_CHAIN_LTD+2022,Walk Free+Australian MSA Registry Submission,PROMAN SUPPLY CHAIN LTD,2022,No,,,,,,
https://wikirate.org/Walk_Free+Australian_MSA_Registry_Submission+PROMAN_SUPPLY_CHAIN_LTD+2023,Walk Free+Australian MSA Registry Submission,PROMAN SUPPLY CHAIN LTD,2023,No,,,,,,
https://wikirate.org/Walk_Free+Australian_MSA_statement_assessed+PROMAN_SUPPLY_CHAIN_LTD+2020,Walk Free+Australian MSA statement assessed,PROMAN SUPPLY CHAIN LTD,2020,No,,,,,,
https://wikirate.org/Walk_Free+Australian_MSA_statement_assessed+PROMAN_SUPPLY_CHAIN_LTD+2021,Walk Free+Australian MSA statement assessed,PROMAN SUPPLY CHAIN LTD,2021,No,,,,,,
https://wikirate.org/Walk_Free+Australian_MSA_statement_assessed+PROMAN_SUPPLY_CHAIN_LTD+2022,Walk Free+Australian MSA statement assessed,PROMAN SUPPLY CHAIN LTD,2022,No,,,,,,
https://wikirate.org/Walk_Free+Australian_MSA_statement_assessed+PROMAN_SUPPLY_CHAIN_LTD+2023,Walk Free+Australian MSA statement assessed,PROMAN SUPPLY CHAIN LTD,2023,No,,,,,,
https://wikirate.org/Walk_Free+Company_size+PROMAN_SUPPLY_CHAIN_LTD+2020,Walk Free+Company size,PROMAN SUPPLY CHAIN LTD,2020,Small,,,,,,
https://wikirate.org/Walk_Free+Company_size+PROMAN_SUPPLY_CHAIN_LTD+2021,Walk Free+Company size,PROMAN SUPPLY CHAIN LTD,2021,Medium,,,,,,
https://wikirate.org/Walk_Free+Company_size+PROMAN_SUPPLY_CHAIN_LTD+2023,Walk Free+Company size,PROMAN SUPPLY CHAIN LTD,2023,Medium,,,,,,
https://wikirate.org/Core+Country+PROMAN_SUPPLY_CHAIN_LTD+2019,Core+Country,PROMAN SUPPLY CHAIN LTD,2019,United Kingdom,,,,,,
https://wikirate.org/GreenDex+Country+PROMAN_SUPPLY_CHAIN_LTD+2019,GreenDex+Country,PROMAN SUPPLY CHAIN LTD,2019,United Kingdom,,,,,,
https://wikirate.org/Commons+Employee+PROMAN_SUPPLY_CHAIN_LTD+2017,Commons+Employee,PROMAN SUPPLY CHAIN LTD,2017,1000 to 4999,,,,,,
https://wikirate.org/Commons+Employee+PROMAN_SUPPLY_CHAIN_LTD+2018,Commons+Employee,PROMAN SUPPLY CHAIN LTD,2018,1000 to 4999,,,,,,
https://wikirate.org/Commons+Employee+PROMAN_SUPPLY_CHAIN_LTD+2020,Commons+Employee,PROMAN SUPPLY CHAIN LTD,2020,1000 to 4999,,,,,,
https://wikirate.org/Commons+Employee+PROMAN_SUPPLY_CHAIN_LTD+2021,Commons+Employee,PROMAN SUPPLY CHAIN LTD,2021,1000 to 4999,,,,,,
https://wikirate.org/~9589568,GOV.UK Gender Pay Gap Service+Employer Size,PROMAN SUPPLY CHAIN LTD,2017,1000 to 4999,https://wikirate.org/~8767248,9589568.0,https://gender-pay-gap.service.gov.uk/viewing/download-data/2017,1.0,,
https://wikirate.org/~9613277,GOV.UK Gender Pay Gap Service+Employer Size,PROMAN SUPPLY CHAIN LTD,2018,1000 to 4999,https://wikirate.org/~8767324,9613277.0,https://gender-pay-gap.service.gov.uk/viewing/download-data/2018,1.0,,
