Answer Page,Metric,Company,Year,Value,Source Page,Answer ID,Original Source,Source Count,Comments,ISIN
https://wikirate.org/Walk_Free+Australian_MSA_Registry_Submission+NESTLE_AUSTRALIA_LTD+2020,Walk Free+Australian MSA Registry Submission,NESTLE AUSTRALIA LTD,2020,Yes,,,,,,
https://wikirate.org/Walk_Free+Australian_MSA_Registry_Submission+NESTLE_AUSTRALIA_LTD+2021,Walk Free+Australian MSA Registry Submission,NESTLE AUSTRALIA LTD,2021,Yes,,,,,,
https://wikirate.org/Walk_Free+Australian_MSA_Registry_Submission+NESTLE_AUSTRALIA_LTD+2022,Walk Free+Australian MSA Registry Submission,NESTLE AUSTRALIA LTD,2022,Yes,,,,,,
https://wikirate.org/Walk_Free+Australian_MSA_statement_assessed+NESTLE_AUSTRALIA_LTD+2020,Walk Free+Australian MSA statement assessed,NESTLE AUSTRALIA LTD,2020,Partially assessed,,,,,,
https://wikirate.org/Walk_Free+Australian_MSA_statement_assessed+NESTLE_AUSTRALIA_LTD+2021,Walk Free+Australian MSA statement assessed,NESTLE AUSTRALIA LTD,2021,Partially assessed,,,,,,
https://wikirate.org/Walk_Free+Australian_MSA_statement_assessed+NESTLE_AUSTRALIA_LTD+2022,Walk Free+Australian MSA statement assessed,NESTLE AUSTRALIA LTD,2022,No,,,,,,
https://wikirate.org/Walk_Free+Company_size+NESTLE_AUSTRALIA_LTD+2020,Walk Free+Company size,NESTLE AUSTRALIA LTD,2020,Large,,,,,,
https://wikirate.org/Walk_Free+Company_size+NESTLE_AUSTRALIA_LTD+2021,Walk Free+Company size,NESTLE AUSTRALIA LTD,2021,Large,,,,,,
https://wikirate.org/Walk_Free+Company_size+NESTLE_AUSTRALIA_LTD+2022,Walk Free+Company size,NESTLE AUSTRALIA LTD,2022,Large,,,,,,
https://wikirate.org/Core+Country+NESTLE_AUSTRALIA_LTD+2019,Core+Country,NESTLE AUSTRALIA LTD,2019,Australia,,,,,,
https://wikirate.org/GreenDex+Country+NESTLE_AUSTRALIA_LTD+2019,GreenDex+Country,NESTLE AUSTRALIA LTD,2019,Australia,,,,,,
https://wikirate.org/GreenDex+Energy_Consumption+NESTLE_AUSTRALIA_LTD+2014,GreenDex+Energy Consumption,NESTLE AUSTRALIA LTD,2014,1552755.0,,,,,,
https://wikirate.org/GreenDex+Energy_Consumption+NESTLE_AUSTRALIA_LTD+2015,GreenDex+Energy Consumption,NESTLE AUSTRALIA LTD,2015,1509495,,,,,,
https://wikirate.org/GreenDex+Energy_Consumption+NESTLE_AUSTRALIA_LTD+2016,GreenDex+Energy Consumption,NESTLE AUSTRALIA LTD,2016,1557130,,,,,,
https://wikirate.org/GreenDex+Energy_Consumption+NESTLE_AUSTRALIA_LTD+2017,GreenDex+Energy Consumption,NESTLE AUSTRALIA LTD,2017,1510561,,,,,,
