Answer Page,Metric,Company,Year,Value,Source Page,Answer ID,Original Source,Source Count,Comments,ISIN
https://wikirate.org/~8068409,Commons+Address,New England Seafood International,2021,48 Cox Lane Chessington Surrey KT9 1TW,https://wikirate.org/~8066337,8068409.0,https://downloads.modern-slavery-statement-registry.service.gov.uk/publicdownloads/StatementSummaries2021.csv,1.0,,
https://wikirate.org/~14156662,Commons+Address,New England Seafood International,2022,48 Cox Lane Chessington Surrey KT9 1TW,https://wikirate.org/~13403182,14156662.0,https://downloads.modern-slavery-statement-registry.service.gov.uk/publicdownloads/StatementSummaries2022.csv,1.0,,
https://wikirate.org/Walk_Free+Australian_MSA_Registry_Submission+New_England_Seafood_International+2017,Walk Free+Australian MSA Registry Submission,New England Seafood International,2017,No,,,,,,
https://wikirate.org/Walk_Free+Australian_MSA_Registry_Submission+New_England_Seafood_International+2021,Walk Free+Australian MSA Registry Submission,New England Seafood International,2021,No,,,,,,
https://wikirate.org/Walk_Free+Australian_MSA_Registry_Submission+New_England_Seafood_International+2022,Walk Free+Australian MSA Registry Submission,New England Seafood International,2022,No,,,,,,
https://wikirate.org/Walk_Free+Australian_MSA_Registry_Submission+New_England_Seafood_International+2023,Walk Free+Australian MSA Registry Submission,New England Seafood International,2023,No,,,,,,
https://wikirate.org/Walk_Free+Australian_MSA_statement_assessed+New_England_Seafood_International+2017,Walk Free+Australian MSA statement assessed,New England Seafood International,2017,No,,,,,,
https://wikirate.org/Walk_Free+Australian_MSA_statement_assessed+New_England_Seafood_International+2021,Walk Free+Australian MSA statement assessed,New England Seafood International,2021,No,,,,,,
https://wikirate.org/Walk_Free+Australian_MSA_statement_assessed+New_England_Seafood_International+2022,Walk Free+Australian MSA statement assessed,New England Seafood International,2022,No,,,,,,
https://wikirate.org/Walk_Free+Australian_MSA_statement_assessed+New_England_Seafood_International+2023,Walk Free+Australian MSA statement assessed,New England Seafood International,2023,No,,,,,,
https://wikirate.org/Commons+Company_Category+New_England_Seafood_International+2019,Commons+Company Category,New England Seafood International,2019,M,,,,,,
https://wikirate.org/Walk_Free+Company_size+New_England_Seafood_International+2020,Walk Free+Company size,New England Seafood International,2020,Medium,,,,,,
https://wikirate.org/Walk_Free+Company_size+New_England_Seafood_International+2021,Walk Free+Company size,New England Seafood International,2021,Medium,,,,,,
https://wikirate.org/Walk_Free+Company_size+New_England_Seafood_International+2022,Walk Free+Company size,New England Seafood International,2022,Small,,,,,,
https://wikirate.org/Walk_Free+Company_size+New_England_Seafood_International+2023,Walk Free+Company size,New England Seafood International,2023,Medium,,,,,,
https://wikirate.org/Core+Country+New_England_Seafood_International+2019,Core+Country,New England Seafood International,2019,United Kingdom,,,,,,
https://wikirate.org/GreenDex+Country+New_England_Seafood_International+2019,GreenDex+Country,New England Seafood International,2019,United Kingdom,,,,,,
https://wikirate.org/Commons+Employee+New_England_Seafood_International+2022,Commons+Employee,New England Seafood International,2022,500 to 999,,,,,,
https://wikirate.org/Commons+Employee+New_England_Seafood_International+2023,Commons+Employee,New England Seafood International,2023,500 to 999,,,,,,
https://wikirate.org/~15022802,GOV.UK Gender Pay Gap Service+Employer Size,New England Seafood International,2022,500 to 999,https://wikirate.org/~14619205,15022802.0,https://gender-pay-gap.service.gov.uk/viewing/download-data/2022,1.0,,
https://wikirate.org/~19236100,GOV.UK Gender Pay Gap Service+Employer Size,New England Seafood International,2023,500 to 999,https://wikirate.org/~18845659,19236100.0,https://gender-pay-gap.service.gov.uk/viewing/download-data/2023,1.0,,
https://wikirate.org/Walk_Free+Financial_Services_Sector+New_England_Seafood_International+2017,Walk Free+Financial Services Sector,New England Seafood International,2017,No,,,,,,
https://wikirate.org/Walk_Free+Financial_Services_Sector+New_England_Seafood_International+2021,Walk Free+Financial Services Sector,New England Seafood International,2021,No,,,,,,
https://wikirate.org/Walk_Free+Financial_Services_Sector+New_England_Seafood_International+2022,Walk Free+Financial Services Sector,New England Seafood International,2022,No,,,,,,
https://wikirate.org/Walk_Free+Financial_Services_Sector+New_England_Seafood_International+2023,Walk Free+Financial Services Sector,New England Seafood International,2023,No,,,,,,
https://wikirate.org/Walk_Free+Food_Beverages_Sector+New_England_Seafood_International+2017,Walk Free+Food & Beverages Sector,New England Seafood International,2017,No,,,,,,
https://wikirate.org/Walk_Free+Food_Beverages_Sector+New_England_Seafood_International+2021,Walk Free+Food & Beverages Sector,New England Seafood International,2021,Yes,,,,,,
https://wikirate.org/Walk_Free+Food_Beverages_Sector+New_England_Seafood_International+2022,Walk Free+Food & Beverages Sector,New England Seafood International,2022,Yes,,,,,,
https://wikirate.org/Walk_Free+Food_Beverages_Sector+New_England_Seafood_International+2023,Walk Free+Food & Beverages Sector,New England Seafood International,2023,Yes,,,,,,
https://wikirate.org/Walk_Free+Garment_Sector+New_England_Seafood_International+2017,Walk Free+Garment Sector,New England Seafood International,2017,No,,,,,,
https://wikirate.org/Walk_Free+Garment_Sector+New_England_Seafood_International+2021,Walk Free+Garment Sector,New England Seafood International,2021,No,,,,,,
https://wikirate.org/Walk_Free+Garment_Sector+New_England_Seafood_International+2022,Walk Free+Garment Sector,New England Seafood International,2022,No,,,,,,
https://wikirate.org/Walk_Free+Garment_Sector+New_England_Seafood_International+2023,Walk Free+Garment Sector,New England Seafood International,2023,No,,,,,,
