Answer Page,Metric,Company,Year,Value,Source Page,Answer ID,Original Source,Source Count,Comments,ISIN
https://wikirate.org/Walk_Free+AUS_MSA_Beyond_Compliance_Disclosure_Rate+Costco_Wholesale_Australia_Pty_Ltd+2020,Walk Free+AUS MSA Beyond Compliance Disclosure Rate,Costco Wholesale Australia Pty Ltd,2020,Unknown,,,,,,
https://wikirate.org/Walk_Free+AUS_MSA_Beyond_Compliance_Disclosure_Rate+Costco_Wholesale_Australia_Pty_Ltd+2021,Walk Free+AUS MSA Beyond Compliance Disclosure Rate,Costco Wholesale Australia Pty Ltd,2021,Unknown,,,,,,
https://wikirate.org/Walk_Free+Australian_MSA_Registry_Submission+Costco_Wholesale_Australia_Pty_Ltd+2020,Walk Free+Australian MSA Registry Submission,Costco Wholesale Australia Pty Ltd,2020,No,,,,,,
https://wikirate.org/Walk_Free+Australian_MSA_Registry_Submission+Costco_Wholesale_Australia_Pty_Ltd+2021,Walk Free+Australian MSA Registry Submission,Costco Wholesale Australia Pty Ltd,2021,Yes,,,,,,
https://wikirate.org/Walk_Free+Australian_MSA_Registry_Submission+Costco_Wholesale_Australia_Pty_Ltd+2022,Walk Free+Australian MSA Registry Submission,Costco Wholesale Australia Pty Ltd,2022,Yes,,,,,,
https://wikirate.org/Walk_Free+Australian_MSA_statement_assessed+Costco_Wholesale_Australia_Pty_Ltd+2020,Walk Free+Australian MSA statement assessed,Costco Wholesale Australia Pty Ltd,2020,Yes,,,,,,
https://wikirate.org/Walk_Free+Australian_MSA_statement_assessed+Costco_Wholesale_Australia_Pty_Ltd+2021,Walk Free+Australian MSA statement assessed,Costco Wholesale Australia Pty Ltd,2021,Yes,,,,,,
https://wikirate.org/Walk_Free+Australian_MSA_statement_assessed+Costco_Wholesale_Australia_Pty_Ltd+2022,Walk Free+Australian MSA statement assessed,Costco Wholesale Australia Pty Ltd,2022,No,,,,,,
https://wikirate.org/Walk_Free+Company_size+Costco_Wholesale_Australia_Pty_Ltd+2020,Walk Free+Company size,Costco Wholesale Australia Pty Ltd,2020,Large,,,,,,
https://wikirate.org/Walk_Free+Company_size+Costco_Wholesale_Australia_Pty_Ltd+2021,Walk Free+Company size,Costco Wholesale Australia Pty Ltd,2021,Large,,,,,,
https://wikirate.org/Core+Country+Costco_Wholesale_Australia_Pty_Ltd+2019,Core+Country,Costco Wholesale Australia Pty Ltd,2019,Australia,,,,,,
https://wikirate.org/GreenDex+Country+Costco_Wholesale_Australia_Pty_Ltd+2019,GreenDex+Country,Costco Wholesale Australia Pty Ltd,2019,Australia,,,,,,
https://wikirate.org/~8758029,Walk Free+Employee dialogue (sector specific),Costco Wholesale Australia Pty Ltd,2020,No,https://wikirate.org/~8119512,8758029.0,,1.0,No information found. Singh Anjali[https://wikirate.org/Singh_Anjali].....2021-12-12 17:09:20 UTC They mention permitting suppliers to survey workers (p. 3) but no mention of the company undertaking surveys to their suppliers' workers. Sofia Gonzalez De Aguinaga[https://wikirate.org/Sofia_Gonzalez_De_Aguinaga].....2021-12-29 23:00:37 UTC,
https://wikirate.org/~14484030,Walk Free+Employee dialogue (sector specific),Costco Wholesale Australia Pty Ltd,2021,No,https://wikirate.org/~13307285,14484030.0,https://modernslaveryregister.gov.au/statements/file/23f8d88f-93a2-4f02-a4e3-c5dd456a5dc7/,1.0,Brief mention of the possibility of a supplier self-assessment including a worker survey being offered 'Where circumstances have restricted the ability to conduct independent on-site audits' - 4 No specific mention of directly engaging in dialogue with supply chain workers. Peter Wallace[https://wikirate.org/Peter_Wallace].....2023-01-12 06:37:14 UTC It is not explicit whether the worker survey is conducted by company. Manali Rana[https://wikirate.org/Manali_Rana].....2023-01-24 14:25:26 UTC,
https://wikirate.org/GreenDex+Energy_Consumption+Costco_Wholesale_Australia_Pty_Ltd+2021,GreenDex+Energy Consumption,Costco Wholesale Australia Pty Ltd,2021,234131,,,,,,
https://wikirate.org/GreenDex+Energy_Consumption+Costco_Wholesale_Australia_Pty_Ltd+2022,GreenDex+Energy Consumption,Costco Wholesale Australia Pty Ltd,2022,259917,,,,,,
https://wikirate.org/GreenDex+Energy_Consumption+Costco_Wholesale_Australia_Pty_Ltd+2023,GreenDex+Energy Consumption,Costco Wholesale Australia Pty Ltd,2023,280891,,,,,,
https://wikirate.org/Walk_Free+Financial_Services_Sector+Costco_Wholesale_Australia_Pty_Ltd+2020,Walk Free+Financial Services Sector,Costco Wholesale Australia Pty Ltd,2020,No,,,,,,
https://wikirate.org/Walk_Free+Financial_Services_Sector+Costco_Wholesale_Australia_Pty_Ltd+2021,Walk Free+Financial Services Sector,Costco Wholesale Australia Pty Ltd,2021,No,,,,,,
https://wikirate.org/Walk_Free+Financial_Services_Sector+Costco_Wholesale_Australia_Pty_Ltd+2022,Walk Free+Financial Services Sector,Costco Wholesale Australia Pty Ltd,2022,No,,,,,,
https://wikirate.org/Walk_Free+Food_Beverages_Sector+Costco_Wholesale_Australia_Pty_Ltd+2020,Walk Free+Food & Beverages Sector,Costco Wholesale Australia Pty Ltd,2020,Yes,,,,,,
https://wikirate.org/Walk_Free+Food_Beverages_Sector+Costco_Wholesale_Australia_Pty_Ltd+2021,Walk Free+Food & Beverages Sector,Costco Wholesale Australia Pty Ltd,2021,Yes,,,,,,
https://wikirate.org/Walk_Free+Food_Beverages_Sector+Costco_Wholesale_Australia_Pty_Ltd+2022,Walk Free+Food & Beverages Sector,Costco Wholesale Australia Pty Ltd,2022,No,,,,,,
https://wikirate.org/~12617006,Walk Free+Garment Sector,Costco Wholesale Australia Pty Ltd,2020,Yes,https://wikirate.org/~12616914,12617006.0,,1.0,,
https://wikirate.org/Walk_Free+Garment_Sector+Costco_Wholesale_Australia_Pty_Ltd+2021,Walk Free+Garment Sector,Costco Wholesale Australia Pty Ltd,2021,Yes,,,,,,
https://wikirate.org/Walk_Free+Garment_Sector+Costco_Wholesale_Australia_Pty_Ltd+2022,Walk Free+Garment Sector,Costco Wholesale Australia Pty Ltd,2022,No,,,,,,
https://wikirate.org/~18068241,Australian Government Clean Energy Regulator+Greenhouse Gas Emissions (GHG) Scope 1,Costco Wholesale Australia Pty Ltd,2021,12040,https://wikirate.org/~18046489,18068241.0,https://www.cleanenergyregulator.gov.au/DocumentAssets/Pages/Greenhouse-and-energy-information-by-registered-corporation-2020-21.aspx,1.0,,
https://wikirate.org/~18070982,Australian Government Clean Energy Regulator+Greenhouse Gas Emissions (GHG) Scope 1,Costco Wholesale Australia Pty Ltd,2022,12762,https://wikirate.org/~18046496,18070982.0,https://www.cleanenergyregulator.gov.au/DocumentAssets/Pages/Greenhouse-and-energy-information-by-registered-corporation-2021-22.aspx,1.0,,
https://wikirate.org/~18073657,Australian Government Clean Energy Regulator+Greenhouse Gas Emissions (GHG) Scope 1,Costco Wholesale Australia Pty Ltd,2023,13197,https://wikirate.org/~18046503,18073657.0,https://www.cleanenergyregulator.gov.au/DocumentAssets/Pages/Greenhouse-and-energy-information-by-registered-corporation-2022-23.aspx,1.0,,
https://wikirate.org/~18068245,Australian Government Clean Energy Regulator+Greenhouse Gas Emissions (GHG) Scope 2,Costco Wholesale Australia Pty Ltd,2021,42265,https://wikirate.org/~18046489,18068245.0,https://www.cleanenergyregulator.gov.au/DocumentAssets/Pages/Greenhouse-and-energy-information-by-registered-corporation-2020-21.aspx,1.0,,
