Answer Page,Metric,Company,Year,Value,Source Page,Answer ID,Original Source,Source Count,Comments,ISIN
https://wikirate.org/~9821593,Commons+Address,SALISBURY POULTRY (MIDLANDS) LIMITED,2021,Salisbury Court Hare Street Bilston West Midlands WV14 7DX,https://wikirate.org/~8066337,9821593.0,https://downloads.modern-slavery-statement-registry.service.gov.uk/publicdownloads/StatementSummaries2021.csv,1.0,,
https://wikirate.org/Walk_Free+Australian_MSA_Registry_Submission+SALISBURY_POULTRY_MIDLANDS_LIMITED+2020,Walk Free+Australian MSA Registry Submission,SALISBURY POULTRY (MIDLANDS) LIMITED,2020,No,,,,,,
https://wikirate.org/Walk_Free+Australian_MSA_statement_assessed+SALISBURY_POULTRY_MIDLANDS_LIMITED+2020,Walk Free+Australian MSA statement assessed,SALISBURY POULTRY (MIDLANDS) LIMITED,2020,No,,,,,,
https://wikirate.org/Walk_Free+Company_size+SALISBURY_POULTRY_MIDLANDS_LIMITED+2020,Walk Free+Company size,SALISBURY POULTRY (MIDLANDS) LIMITED,2020,Medium,,,,,,
https://wikirate.org/Core+Country+SALISBURY_POULTRY_MIDLANDS_LIMITED+2019,Core+Country,SALISBURY POULTRY (MIDLANDS) LIMITED,2019,United Kingdom,,,,,,
https://wikirate.org/GreenDex+Country+SALISBURY_POULTRY_MIDLANDS_LIMITED+2019,GreenDex+Country,SALISBURY POULTRY (MIDLANDS) LIMITED,2019,United Kingdom,,,,,,
https://wikirate.org/Commons+Employee+SALISBURY_POULTRY_MIDLANDS_LIMITED+2017,Commons+Employee,SALISBURY POULTRY (MIDLANDS) LIMITED,2017,500 to 999,,,,,,
https://wikirate.org/Commons+Employee+SALISBURY_POULTRY_MIDLANDS_LIMITED+2018,Commons+Employee,SALISBURY POULTRY (MIDLANDS) LIMITED,2018,500 to 999,,,,,,
https://wikirate.org/Commons+Employee+SALISBURY_POULTRY_MIDLANDS_LIMITED+2019,Commons+Employee,SALISBURY POULTRY (MIDLANDS) LIMITED,2019,500 to 999,,,,,,
https://wikirate.org/Commons+Employee+SALISBURY_POULTRY_MIDLANDS_LIMITED+2020,Commons+Employee,SALISBURY POULTRY (MIDLANDS) LIMITED,2020,500 to 999,,,,,,
https://wikirate.org/Commons+Employee+SALISBURY_POULTRY_MIDLANDS_LIMITED+2021,Commons+Employee,SALISBURY POULTRY (MIDLANDS) LIMITED,2021,500 to 999,,,,,,
https://wikirate.org/Commons+Employee+SALISBURY_POULTRY_MIDLANDS_LIMITED+2022,Commons+Employee,SALISBURY POULTRY (MIDLANDS) LIMITED,2022,500 to 999,,,,,,
https://wikirate.org/Commons+Employee+SALISBURY_POULTRY_MIDLANDS_LIMITED+2023,Commons+Employee,SALISBURY POULTRY (MIDLANDS) LIMITED,2023,500 to 999,,,,,,
https://wikirate.org/~9599676,GOV.UK Gender Pay Gap Service+Employer Size,SALISBURY POULTRY (MIDLANDS) LIMITED,2017,500 to 999,https://wikirate.org/~8767248,9599676.0,https://gender-pay-gap.service.gov.uk/viewing/download-data/2017,1.0,,
https://wikirate.org/~9616461,GOV.UK Gender Pay Gap Service+Employer Size,SALISBURY POULTRY (MIDLANDS) LIMITED,2018,500 to 999,https://wikirate.org/~8767324,9616461.0,https://gender-pay-gap.service.gov.uk/viewing/download-data/2018,1.0,,
https://wikirate.org/~9623371,GOV.UK Gender Pay Gap Service+Employer Size,SALISBURY POULTRY (MIDLANDS) LIMITED,2019,500 to 999,https://wikirate.org/~8767384,9623371.0,https://gender-pay-gap.service.gov.uk/viewing/download-data/2019,1.0,,
https://wikirate.org/~9633605,GOV.UK Gender Pay Gap Service+Employer Size,SALISBURY POULTRY (MIDLANDS) LIMITED,2020,500 to 999,https://wikirate.org/~8767440,9633605.0,https://gender-pay-gap.service.gov.uk/viewing/download-data/2020,1.0,,
https://wikirate.org/~12954614,GOV.UK Gender Pay Gap Service+Employer Size,SALISBURY POULTRY (MIDLANDS) LIMITED,2021,500 to 999,https://wikirate.org/~12654979,12954614.0,https://gender-pay-gap.service.gov.uk/viewing/download-data/2021,1.0,,
https://wikirate.org/~15026683,GOV.UK Gender Pay Gap Service+Employer Size,SALISBURY POULTRY (MIDLANDS) LIMITED,2022,500 to 999,https://wikirate.org/~14619205,15026683.0,https://gender-pay-gap.service.gov.uk/viewing/download-data/2022,1.0,Company provided the following link that points to its gender pay gap info: https://salisburypoultry.co.uk/?page_id=231,
https://wikirate.org/~19200887,GOV.UK Gender Pay Gap Service+Employer Size,SALISBURY POULTRY (MIDLANDS) LIMITED,2023,500 to 999,https://wikirate.org/~18845659,19200887.0,https://gender-pay-gap.service.gov.uk/viewing/download-data/2023,1.0,,
https://wikirate.org/Walk_Free+Financial_Services_Sector+SALISBURY_POULTRY_MIDLANDS_LIMITED+2020,Walk Free+Financial Services Sector,SALISBURY POULTRY (MIDLANDS) LIMITED,2020,No,,,,,,
https://wikirate.org/Walk_Free+Food_Beverages_Sector+SALISBURY_POULTRY_MIDLANDS_LIMITED+2020,Walk Free+Food & Beverages Sector,SALISBURY POULTRY (MIDLANDS) LIMITED,2020,Yes,,,,,,
https://wikirate.org/Walk_Free+Garment_Sector+SALISBURY_POULTRY_MIDLANDS_LIMITED+2020,Walk Free+Garment Sector,SALISBURY POULTRY (MIDLANDS) LIMITED,2020,No,,,,,,
https://wikirate.org/Core+Headquarters_Location+SALISBURY_POULTRY_MIDLANDS_LIMITED+2019,Core+Headquarters Location,SALISBURY POULTRY (MIDLANDS) LIMITED,2019,United Kingdom,,,,,,
https://wikirate.org/Walk_Free+Hospitality_Sector+SALISBURY_POULTRY_MIDLANDS_LIMITED+2020,Walk Free+Hospitality Sector,SALISBURY POULTRY (MIDLANDS) LIMITED,2020,No,,,,,,
https://wikirate.org/~8806595,Home Office+ILO Indicators in MS Statement,SALISBURY POULTRY (MIDLANDS) LIMITED,2020,,https://wikirate.org/~8066337,8806595.0,https://downloads.modern-slavery-statement-registry.service.gov.uk/publicdownloads/StatementSummaries2021.csv,3.0,,
https://wikirate.org/Core+ILO_Region+SALISBURY_POULTRY_MIDLANDS_LIMITED+2019,Core+ILO Region,SALISBURY POULTRY (MIDLANDS) LIMITED,2019,Europe and Central Asia,,,,,,
https://wikirate.org/~8543896,Home Office+MS Statement Grievance Mechanism Provisions,SALISBURY POULTRY (MIDLANDS) LIMITED,2020,Using anonymous whistleblowing services such as a helpline or mobile phone app,https://wikirate.org/~8066337,8543896.0,https://downloads.modern-slavery-statement-registry.service.gov.uk/publicdownloads/StatementSummaries2021.csv,3.0,,
https://wikirate.org/~8348268,Home Office+MS Statement Includes Due Diligence,SALISBURY POULTRY (MIDLANDS) LIMITED,2020,Yes,https://wikirate.org/~8271472,8348268.0,http://salisburypoultry.co.uk/wp-content/uploads/2020/02/Modern-Slavery-Statement-22.3.19.pdf,2.0,,
https://wikirate.org/~8378867,Home Office+MS Statement Includes Goals,SALISBURY POULTRY (MIDLANDS) LIMITED,2020,No,https://wikirate.org/~8271472,8378867.0,http://salisburypoultry.co.uk/wp-content/uploads/2020/02/Modern-Slavery-Statement-22.3.19.pdf,2.0,,
https://wikirate.org/~8315526,Home Office+MS Statement Includes Org Structure,SALISBURY POULTRY (MIDLANDS) LIMITED,2020,Yes,https://wikirate.org/~8271472,8315526.0,http://salisburypoultry.co.uk/wp-content/uploads/2020/02/Modern-Slavery-Statement-22.3.19.pdf,2.0,,
https://wikirate.org/~8313289,Home Office+MS Statement Includes Policies,SALISBURY POULTRY (MIDLANDS) LIMITED,2020,Yes,https://wikirate.org/~8271472,8313289.0,http://salisburypoultry.co.uk/wp-content/uploads/2020/02/Modern-Slavery-Statement-22.3.19.pdf,2.0,,
https://wikirate.org/~8333342,Home Office+MS Statement Includes Risks Assessment,SALISBURY POULTRY (MIDLANDS) LIMITED,2020,No,https://wikirate.org/~8271472,8333342.0,http://salisburypoultry.co.uk/wp-content/uploads/2020/02/Modern-Slavery-Statement-22.3.19.pdf,2.0,,
https://wikirate.org/~8364108,Home Office+MS Statement Includes Training,SALISBURY POULTRY (MIDLANDS) LIMITED,2020,Yes,https://wikirate.org/~8271472,8364108.0,http://salisburypoultry.co.uk/wp-content/uploads/2020/02/Modern-Slavery-Statement-22.3.19.pdf,2.0,,
https://wikirate.org/~8761158,Home Office+MS Statement Policies Provisions,SALISBURY POULTRY (MIDLANDS) LIMITED,2020,,https://wikirate.org/~8066337,8761158.0,https://downloads.modern-slavery-statement-registry.service.gov.uk/publicdownloads/StatementSummaries2021.csv,3.0,,
https://wikirate.org/~8529339,Home Office+MS Statement Social Audit Provisions,SALISBURY POULTRY (MIDLANDS) LIMITED,2020,"Audit conducted by own staff, Announced audit",https://wikirate.org/~8066337,8529339.0,https://downloads.modern-slavery-statement-registry.service.gov.uk/publicdownloads/StatementSummaries2021.csv,3.0,,
https://wikirate.org/~8489000,Home Office+MS Statement Training Provisions,SALISBURY POULTRY (MIDLANDS) LIMITED,2020,Whole organization,https://wikirate.org/~8066337,8489000.0,https://downloads.modern-slavery-statement-registry.service.gov.uk/publicdownloads/StatementSummaries2021.csv,3.0,,
https://wikirate.org/~8514579,Home Office+MS Statement Working Conditions Engagement,SALISBURY POULTRY (MIDLANDS) LIMITED,2020,Workers within own organization,https://wikirate.org/~8066337,8514579.0,https://downloads.modern-slavery-statement-registry.service.gov.uk/publicdownloads/StatementSummaries2021.csv,3.0,,
https://wikirate.org/~8914473,GOV.UK Gender Pay Gap Service+Mean Gender Pay Gap (Bonus Pay),SALISBURY POULTRY (MIDLANDS) LIMITED,2017,0.0,https://wikirate.org/~8767248,8914473.0,https://gender-pay-gap.service.gov.uk/viewing/download-data/2017,1.0,,
https://wikirate.org/~8938234,GOV.UK Gender Pay Gap Service+Mean Gender Pay Gap (Bonus Pay),SALISBURY POULTRY (MIDLANDS) LIMITED,2020,99.8,https://wikirate.org/~8767440,8938234.0,https://gender-pay-gap.service.gov.uk/viewing/download-data/2020,1.0,,
https://wikirate.org/~12717856,GOV.UK Gender Pay Gap Service+Mean Gender Pay Gap (Bonus Pay),SALISBURY POULTRY (MIDLANDS) LIMITED,2021,94.6,https://wikirate.org/~12654979,12717856.0,https://gender-pay-gap.service.gov.uk/viewing/download-data/2021,1.0,,
https://wikirate.org/~14702838,GOV.UK Gender Pay Gap Service+Mean Gender Pay Gap (Bonus Pay),SALISBURY POULTRY (MIDLANDS) LIMITED,2022,-2.71,https://wikirate.org/~14619205,14702838.0,https://gender-pay-gap.service.gov.uk/viewing/download-data/2022,1.0,Company provided the following link that points to its gender pay gap info: https://salisburypoultry.co.uk/?page_id=231,
https://wikirate.org/GreenDex+Mean_Gender_Pay_Gap_Bonus_Pay+SALISBURY_POULTRY_MIDLANDS_LIMITED+2017,GreenDex+Mean Gender Pay Gap (Bonus Pay),SALISBURY POULTRY (MIDLANDS) LIMITED,2017,0.0,,,,,,
https://wikirate.org/GreenDex+Mean_Gender_Pay_Gap_Bonus_Pay+SALISBURY_POULTRY_MIDLANDS_LIMITED+2020,GreenDex+Mean Gender Pay Gap (Bonus Pay),SALISBURY POULTRY (MIDLANDS) LIMITED,2020,99.8,,,,,,
https://wikirate.org/GreenDex+Mean_Gender_Pay_Gap_Bonus_Pay+SALISBURY_POULTRY_MIDLANDS_LIMITED+2021,GreenDex+Mean Gender Pay Gap (Bonus Pay),SALISBURY POULTRY (MIDLANDS) LIMITED,2021,94.6,,,,,,
https://wikirate.org/GreenDex+Mean_Gender_Pay_Gap_Bonus_Pay+SALISBURY_POULTRY_MIDLANDS_LIMITED+2022,GreenDex+Mean Gender Pay Gap (Bonus Pay),SALISBURY POULTRY (MIDLANDS) LIMITED,2022,-2.71,,,,,,
https://wikirate.org/~8841934,GOV.UK Gender Pay Gap Service+Mean Gender Pay Gap (Hourly Pay),SALISBURY POULTRY (MIDLANDS) LIMITED,2017,9.9,https://wikirate.org/~8767248,8841934.0,https://gender-pay-gap.service.gov.uk/viewing/download-data/2017,1.0,,
https://wikirate.org/~8851646,GOV.UK Gender Pay Gap Service+Mean Gender Pay Gap (Hourly Pay),SALISBURY POULTRY (MIDLANDS) LIMITED,2018,10.1,https://wikirate.org/~8767324,8851646.0,https://gender-pay-gap.service.gov.uk/viewing/download-data/2018,1.0,,
https://wikirate.org/~8858574,GOV.UK Gender Pay Gap Service+Mean Gender Pay Gap (Hourly Pay),SALISBURY POULTRY (MIDLANDS) LIMITED,2019,9.4,https://wikirate.org/~8767384,8858574.0,https://gender-pay-gap.service.gov.uk/viewing/download-data/2019,1.0,,
https://wikirate.org/~8866918,GOV.UK Gender Pay Gap Service+Mean Gender Pay Gap (Hourly Pay),SALISBURY POULTRY (MIDLANDS) LIMITED,2020,5.7,https://wikirate.org/~8767440,8866918.0,https://gender-pay-gap.service.gov.uk/viewing/download-data/2020,1.0,,
https://wikirate.org/~12673083,GOV.UK Gender Pay Gap Service+Mean Gender Pay Gap (Hourly Pay),SALISBURY POULTRY (MIDLANDS) LIMITED,2021,9.0,https://wikirate.org/~12654979,12673083.0,https://gender-pay-gap.service.gov.uk/viewing/download-data/2021,1.0,,
https://wikirate.org/~14651226,GOV.UK Gender Pay Gap Service+Mean Gender Pay Gap (Hourly Pay),SALISBURY POULTRY (MIDLANDS) LIMITED,2022,8.87,https://wikirate.org/~14619205,14651226.0,https://gender-pay-gap.service.gov.uk/viewing/download-data/2022,1.0,Company provided the following link that points to its gender pay gap info: https://salisburypoultry.co.uk/?page_id=231,
https://wikirate.org/~19200851,GOV.UK Gender Pay Gap Service+Mean Gender Pay Gap (Hourly Pay),SALISBURY POULTRY (MIDLANDS) LIMITED,2023,2.9,https://wikirate.org/~18845659,19200851.0,https://gender-pay-gap.service.gov.uk/viewing/download-data/2023,1.0,,
https://wikirate.org/GreenDex+Mean_Gender_Pay_Gap_Hourly_Pay+SALISBURY_POULTRY_MIDLANDS_LIMITED+2017,GreenDex+Mean Gender Pay Gap (Hourly Pay),SALISBURY POULTRY (MIDLANDS) LIMITED,2017,9.9,,,,,,
https://wikirate.org/GreenDex+Mean_Gender_Pay_Gap_Hourly_Pay+SALISBURY_POULTRY_MIDLANDS_LIMITED+2018,GreenDex+Mean Gender Pay Gap (Hourly Pay),SALISBURY POULTRY (MIDLANDS) LIMITED,2018,10.1,,,,,,
https://wikirate.org/GreenDex+Mean_Gender_Pay_Gap_Hourly_Pay+SALISBURY_POULTRY_MIDLANDS_LIMITED+2019,GreenDex+Mean Gender Pay Gap (Hourly Pay),SALISBURY POULTRY (MIDLANDS) LIMITED,2019,9.4,,,,,,
https://wikirate.org/GreenDex+Mean_Gender_Pay_Gap_Hourly_Pay+SALISBURY_POULTRY_MIDLANDS_LIMITED+2020,GreenDex+Mean Gender Pay Gap (Hourly Pay),SALISBURY POULTRY (MIDLANDS) LIMITED,2020,5.7,,,,,,
https://wikirate.org/GreenDex+Mean_Gender_Pay_Gap_Hourly_Pay+SALISBURY_POULTRY_MIDLANDS_LIMITED+2021,GreenDex+Mean Gender Pay Gap (Hourly Pay),SALISBURY POULTRY (MIDLANDS) LIMITED,2021,9.0,,,,,,
https://wikirate.org/GreenDex+Mean_Gender_Pay_Gap_Hourly_Pay+SALISBURY_POULTRY_MIDLANDS_LIMITED+2022,GreenDex+Mean Gender Pay Gap (Hourly Pay),SALISBURY POULTRY (MIDLANDS) LIMITED,2022,8.87,,,,,,
https://wikirate.org/GreenDex+Mean_Gender_Pay_Gap_Hourly_Pay+SALISBURY_POULTRY_MIDLANDS_LIMITED+2023,GreenDex+Mean Gender Pay Gap (Hourly Pay),SALISBURY POULTRY (MIDLANDS) LIMITED,2023,2.9,,,,,,
https://wikirate.org/~8949390,GOV.UK Gender Pay Gap Service+Median Gender Pay Gap (Bonus Pay),SALISBURY POULTRY (MIDLANDS) LIMITED,2017,0.0,https://wikirate.org/~8767248,8949390.0,https://gender-pay-gap.service.gov.uk/viewing/download-data/2017,1.0,,
https://wikirate.org/~8973189,GOV.UK Gender Pay Gap Service+Median Gender Pay Gap (Bonus Pay),SALISBURY POULTRY (MIDLANDS) LIMITED,2020,0.0,https://wikirate.org/~8767440,8973189.0,https://gender-pay-gap.service.gov.uk/viewing/download-data/2020,1.0,,
https://wikirate.org/~12736559,GOV.UK Gender Pay Gap Service+Median Gender Pay Gap (Bonus Pay),SALISBURY POULTRY (MIDLANDS) LIMITED,2021,0.0,https://wikirate.org/~12654979,12736559.0,https://gender-pay-gap.service.gov.uk/viewing/download-data/2021,1.0,,
https://wikirate.org/~14724811,GOV.UK Gender Pay Gap Service+Median Gender Pay Gap (Bonus Pay),SALISBURY POULTRY (MIDLANDS) LIMITED,2022,0.0,https://wikirate.org/~14619205,14724811.0,https://gender-pay-gap.service.gov.uk/viewing/download-data/2022,1.0,Company provided the following link that points to its gender pay gap info: https://salisburypoultry.co.uk/?page_id=231,
https://wikirate.org/GreenDex+Median_Gender_Pay_Gap_Bonus_Pay+SALISBURY_POULTRY_MIDLANDS_LIMITED+2017,GreenDex+Median Gender Pay Gap (Bonus Pay),SALISBURY POULTRY (MIDLANDS) LIMITED,2017,0.0,,,,,,
https://wikirate.org/GreenDex+Median_Gender_Pay_Gap_Bonus_Pay+SALISBURY_POULTRY_MIDLANDS_LIMITED+2020,GreenDex+Median Gender Pay Gap (Bonus Pay),SALISBURY POULTRY (MIDLANDS) LIMITED,2020,0.0,,,,,,
https://wikirate.org/GreenDex+Median_Gender_Pay_Gap_Bonus_Pay+SALISBURY_POULTRY_MIDLANDS_LIMITED+2021,GreenDex+Median Gender Pay Gap (Bonus Pay),SALISBURY POULTRY (MIDLANDS) LIMITED,2021,0.0,,,,,,
https://wikirate.org/GreenDex+Median_Gender_Pay_Gap_Bonus_Pay+SALISBURY_POULTRY_MIDLANDS_LIMITED+2022,GreenDex+Median Gender Pay Gap (Bonus Pay),SALISBURY POULTRY (MIDLANDS) LIMITED,2022,0.0,,,,,,
https://wikirate.org/~8878141,GOV.UK Gender Pay Gap Service+Median Gender Pay Gap (Hourly Pay),SALISBURY POULTRY (MIDLANDS) LIMITED,2017,5.3,https://wikirate.org/~8767248,8878141.0,https://gender-pay-gap.service.gov.uk/viewing/download-data/2017,1.0,,
https://wikirate.org/~8887947,GOV.UK Gender Pay Gap Service+Median Gender Pay Gap (Hourly Pay),SALISBURY POULTRY (MIDLANDS) LIMITED,2018,2.5,https://wikirate.org/~8767324,8887947.0,https://gender-pay-gap.service.gov.uk/viewing/download-data/2018,1.0,,
https://wikirate.org/~8894881,GOV.UK Gender Pay Gap Service+Median Gender Pay Gap (Hourly Pay),SALISBURY POULTRY (MIDLANDS) LIMITED,2019,4.5,https://wikirate.org/~8767384,8894881.0,https://gender-pay-gap.service.gov.uk/viewing/download-data/2019,1.0,,
https://wikirate.org/~8903240,GOV.UK Gender Pay Gap Service+Median Gender Pay Gap (Hourly Pay),SALISBURY POULTRY (MIDLANDS) LIMITED,2020,1.9,https://wikirate.org/~8767440,8903240.0,https://gender-pay-gap.service.gov.uk/viewing/download-data/2020,1.0,,
https://wikirate.org/~12697359,GOV.UK Gender Pay Gap Service+Median Gender Pay Gap (Hourly Pay),SALISBURY POULTRY (MIDLANDS) LIMITED,2021,2.3,https://wikirate.org/~12654979,12697359.0,https://gender-pay-gap.service.gov.uk/viewing/download-data/2021,1.0,,
https://wikirate.org/~14678962,GOV.UK Gender Pay Gap Service+Median Gender Pay Gap (Hourly Pay),SALISBURY POULTRY (MIDLANDS) LIMITED,2022,6.4,https://wikirate.org/~14619205,14678962.0,https://gender-pay-gap.service.gov.uk/viewing/download-data/2022,1.0,Company provided the following link that points to its gender pay gap info: https://salisburypoultry.co.uk/?page_id=231,
https://wikirate.org/~19200854,GOV.UK Gender Pay Gap Service+Median Gender Pay Gap (Hourly Pay),SALISBURY POULTRY (MIDLANDS) LIMITED,2023,-2.5,https://wikirate.org/~18845659,19200854.0,https://gender-pay-gap.service.gov.uk/viewing/download-data/2023,1.0,,
https://wikirate.org/GreenDex+Median_Gender_Pay_Gap_Hourly_Pay+SALISBURY_POULTRY_MIDLANDS_LIMITED+2017,GreenDex+Median Gender Pay Gap (Hourly Pay),SALISBURY POULTRY (MIDLANDS) LIMITED,2017,5.3,,,,,,
https://wikirate.org/GreenDex+Median_Gender_Pay_Gap_Hourly_Pay+SALISBURY_POULTRY_MIDLANDS_LIMITED+2018,GreenDex+Median Gender Pay Gap (Hourly Pay),SALISBURY POULTRY (MIDLANDS) LIMITED,2018,2.5,,,,,,
https://wikirate.org/GreenDex+Median_Gender_Pay_Gap_Hourly_Pay+SALISBURY_POULTRY_MIDLANDS_LIMITED+2019,GreenDex+Median Gender Pay Gap (Hourly Pay),SALISBURY POULTRY (MIDLANDS) LIMITED,2019,4.5,,,,,,
https://wikirate.org/GreenDex+Median_Gender_Pay_Gap_Hourly_Pay+SALISBURY_POULTRY_MIDLANDS_LIMITED+2020,GreenDex+Median Gender Pay Gap (Hourly Pay),SALISBURY POULTRY (MIDLANDS) LIMITED,2020,1.9,,,,,,
https://wikirate.org/GreenDex+Median_Gender_Pay_Gap_Hourly_Pay+SALISBURY_POULTRY_MIDLANDS_LIMITED+2021,GreenDex+Median Gender Pay Gap (Hourly Pay),SALISBURY POULTRY (MIDLANDS) LIMITED,2021,2.3,,,,,,
https://wikirate.org/GreenDex+Median_Gender_Pay_Gap_Hourly_Pay+SALISBURY_POULTRY_MIDLANDS_LIMITED+2022,GreenDex+Median Gender Pay Gap (Hourly Pay),SALISBURY POULTRY (MIDLANDS) LIMITED,2022,6.4,,,,,,
https://wikirate.org/GreenDex+Median_Gender_Pay_Gap_Hourly_Pay+SALISBURY_POULTRY_MIDLANDS_LIMITED+2023,GreenDex+Median Gender Pay Gap (Hourly Pay),SALISBURY POULTRY (MIDLANDS) LIMITED,2023,-2.5,,,,,,
https://wikirate.org/~8285061,Business & Human Rights Resource Centre+Modern Slavery Statement,SALISBURY POULTRY (MIDLANDS) LIMITED,2020,Yes - UK Modern Slavery Act,https://wikirate.org/~8271472,8285061.0,http://salisburypoultry.co.uk/wp-content/uploads/2020/02/Modern-Slavery-Statement-22.3.19.pdf,1.0,,
https://wikirate.org/Business_Human_Rights_Resource_Centre+Modern_Slavery_Statement+Philipp_Kuehl+SALISBURY_POULTRY_MIDLANDS_LIMITED+2020,Business & Human Rights Resource Centre+Modern Slavery Statement+Philipp Kuehl,SALISBURY POULTRY (MIDLANDS) LIMITED,2020,10.0,,,,,,
