Answer Page,Metric,Company,Year,Value,Source Page,Answer ID,Original Source,Source Count,Comments,ISIN
https://wikirate.org/~4764590,Commons+Address,ROWSE HONEY,2018,"ROWSE HONEY LTD, MORETON AVENUE, WALLINGFORD, OXFORDSHIRE, OX10 9DE, UNITED KINGDOM",https://wikirate.org/~4710595,4764590.0,,1.0,,
https://wikirate.org/~6982797,Commons+Address,ROWSE HONEY,2020,MORETON AVENUE ROWSE HONEY LTD WALLINGFORD OXFORDSHIRE OX10 9DE,https://wikirate.org/~6969793,6982797.0,,1.0,,
https://wikirate.org/~14141923,Commons+Address,ROWSE HONEY,2021,"Moreton Avenue, Wallingford, England",https://wikirate.org/~13004428,14141923.0,https://sustainability.aboutamazon.com/supplier-list-english2-csv.csv,1.0,,
https://wikirate.org/Walk_Free+Australian_MSA_Registry_Submission+ROWSE_HONEY+2019,Walk Free+Australian MSA Registry Submission,ROWSE HONEY,2019,No,,,,,,
https://wikirate.org/Walk_Free+Australian_MSA_Registry_Submission+ROWSE_HONEY+2020,Walk Free+Australian MSA Registry Submission,ROWSE HONEY,2020,No,,,,,,
https://wikirate.org/Walk_Free+Australian_MSA_statement_assessed+ROWSE_HONEY+2019,Walk Free+Australian MSA statement assessed,ROWSE HONEY,2019,No,,,,,,
https://wikirate.org/Walk_Free+Australian_MSA_statement_assessed+ROWSE_HONEY+2020,Walk Free+Australian MSA statement assessed,ROWSE HONEY,2020,No,,,,,,
https://wikirate.org/Commons+Company_Category+ROWSE_HONEY+2019,Commons+Company Category,ROWSE HONEY,2019,"M, W",,,,,,
https://wikirate.org/Walk_Free+Company_size+ROWSE_HONEY+2019,Walk Free+Company size,ROWSE HONEY,2019,Medium,,,,,,
https://wikirate.org/Walk_Free+Company_size+ROWSE_HONEY+2020,Walk Free+Company size,ROWSE HONEY,2020,Medium,,,,,,
https://wikirate.org/Core+Country+ROWSE_HONEY+2019,Core+Country,ROWSE HONEY,2019,United Kingdom,,,,,,
https://wikirate.org/GreenDex+Country+ROWSE_HONEY+2019,GreenDex+Country,ROWSE HONEY,2019,United Kingdom,,,,,,
https://wikirate.org/Commons+Employee+ROWSE_HONEY+2017,Commons+Employee,ROWSE HONEY,2017,Less than 250,,,,,,
https://wikirate.org/Commons+Employee+ROWSE_HONEY+2021,Commons+Employee,ROWSE HONEY,2021,250 to 499,,,,,,
https://wikirate.org/Commons+Employee+ROWSE_HONEY+2022,Commons+Employee,ROWSE HONEY,2022,250 to 499,,,,,,
https://wikirate.org/Commons+Employee+ROWSE_HONEY+2023,Commons+Employee,ROWSE HONEY,2023,250 to 499,,,,,,
https://wikirate.org/~9599095,GOV.UK Gender Pay Gap Service+Employer Size,ROWSE HONEY,2017,Less than 250,https://wikirate.org/~8767248,9599095.0,https://gender-pay-gap.service.gov.uk/viewing/download-data/2017,1.0,,
https://wikirate.org/~12954265,GOV.UK Gender Pay Gap Service+Employer Size,ROWSE HONEY,2021,250 to 499,https://wikirate.org/~12654979,12954265.0,https://gender-pay-gap.service.gov.uk/viewing/download-data/2021,1.0,,
https://wikirate.org/~15026290,GOV.UK Gender Pay Gap Service+Employer Size,ROWSE HONEY,2022,250 to 499,https://wikirate.org/~14619205,15026290.0,https://gender-pay-gap.service.gov.uk/viewing/download-data/2022,1.0,,
