Answer Page,Metric,Company,Year,Value,Source Page,Answer ID,Original Source,Source Count,Comments,ISIN
https://wikirate.org/~17684601,Commons+Address,Avara Foods Limited,2023,1 Willow Road Brackley Northamptonshire United Kingdom NN13 7EX,https://wikirate.org/~16850554,17684601.0,https://downloads.modern-slavery-statement-registry.service.gov.uk/publicdownloads/StatementSummaries2023.csv,1.0,,
https://wikirate.org/Walk_Free+Australian_MSA_Registry_Submission+Avara_Foods_Limited+2022,Walk Free+Australian MSA Registry Submission,Avara Foods Limited,2022,No,,,,,,
https://wikirate.org/Walk_Free+Australian_MSA_Registry_Submission+Avara_Foods_Limited+2023,Walk Free+Australian MSA Registry Submission,Avara Foods Limited,2023,No,,,,,,
https://wikirate.org/Walk_Free+Australian_MSA_Registry_Submission+Avara_Foods_Limited+2024,Walk Free+Australian MSA Registry Submission,Avara Foods Limited,2024,No,,,,,,
https://wikirate.org/Walk_Free+Australian_MSA_statement_assessed+Avara_Foods_Limited+2022,Walk Free+Australian MSA statement assessed,Avara Foods Limited,2022,No,,,,,,
https://wikirate.org/Walk_Free+Australian_MSA_statement_assessed+Avara_Foods_Limited+2023,Walk Free+Australian MSA statement assessed,Avara Foods Limited,2023,No,,,,,,
https://wikirate.org/Walk_Free+Australian_MSA_statement_assessed+Avara_Foods_Limited+2024,Walk Free+Australian MSA statement assessed,Avara Foods Limited,2024,No,,,,,,
https://wikirate.org/Walk_Free+Company_size+Avara_Foods_Limited+2020,Walk Free+Company size,Avara Foods Limited,2020,Large,,,,,,
https://wikirate.org/Walk_Free+Company_size+Avara_Foods_Limited+2021,Walk Free+Company size,Avara Foods Limited,2021,Large,,,,,,
https://wikirate.org/Walk_Free+Company_size+Avara_Foods_Limited+2022,Walk Free+Company size,Avara Foods Limited,2022,Large,,,,,,
https://wikirate.org/Walk_Free+Company_size+Avara_Foods_Limited+2023,Walk Free+Company size,Avara Foods Limited,2023,Large,,,,,,
https://wikirate.org/Walk_Free+Company_size+Avara_Foods_Limited+2024,Walk Free+Company size,Avara Foods Limited,2024,Large,,,,,,
https://wikirate.org/Core+Country+Avara_Foods_Limited+2019,Core+Country,Avara Foods Limited,2019,United Kingdom,,,,,,
https://wikirate.org/GreenDex+Country+Avara_Foods_Limited+2019,GreenDex+Country,Avara Foods Limited,2019,United Kingdom,,,,,,
https://wikirate.org/Commons+Employee+Avara_Foods_Limited+2022,Commons+Employee,Avara Foods Limited,2022,Less than 250,,,,,,
https://wikirate.org/Commons+Employee+Avara_Foods_Limited+2023,Commons+Employee,Avara Foods Limited,2023,Less than 250,,,,,,
https://wikirate.org/~15008374,GOV.UK Gender Pay Gap Service+Employer Size,Avara Foods Limited,2022,Less than 250,https://wikirate.org/~14619205,15008374.0,https://gender-pay-gap.service.gov.uk/viewing/download-data/2022,1.0,,
https://wikirate.org/~19228736,GOV.UK Gender Pay Gap Service+Employer Size,Avara Foods Limited,2023,Less than 250,https://wikirate.org/~18845659,19228736.0,https://gender-pay-gap.service.gov.uk/viewing/download-data/2023,1.0,,
https://wikirate.org/Apparel_Research_Group+Environmental_Initiatives_Commitments_Certifications_Participation+Avara_Foods_Limited+2018,"Apparel Research Group+Environmental Initiatives, Commitments & Certifications Participation",Avara Foods Limited,2018,Yes,,,,,,
https://wikirate.org/Apparel_Research_Group+Environmental_Initiatives_Commitments_Certifications_Participation+Avara_Foods_Limited+2019,"Apparel Research Group+Environmental Initiatives, Commitments & Certifications Participation",Avara Foods Limited,2019,Yes,,,,,,
https://wikirate.org/Apparel_Research_Group+Environmental_Initiatives_Commitments_Certifications_Participation+Avara_Foods_Limited+2020,"Apparel Research Group+Environmental Initiatives, Commitments & Certifications Participation",Avara Foods Limited,2020,Yes,,,,,,
https://wikirate.org/Apparel_Research_Group+Environmental_Initiatives_Commitments_Certifications_Participation+Apparel_Research_Group+Avara_Foods_Limited+2018,"Apparel Research Group+Environmental Initiatives, Commitments & Certifications Participation+Apparel Research Group",Avara Foods Limited,2018,10.0,,,,,,
https://wikirate.org/Apparel_Research_Group+Environmental_Initiatives_Commitments_Certifications_Participation+Apparel_Research_Group+Avara_Foods_Limited+2019,"Apparel Research Group+Environmental Initiatives, Commitments & Certifications Participation+Apparel Research Group",Avara Foods Limited,2019,10.0,,,,,,
https://wikirate.org/Apparel_Research_Group+Environmental_Initiatives_Commitments_Certifications_Participation+Apparel_Research_Group+Avara_Foods_Limited+2020,"Apparel Research Group+Environmental Initiatives, Commitments & Certifications Participation+Apparel Research Group",Avara Foods Limited,2020,10.0,,,,,,
https://wikirate.org/Walk_Free+Financial_Services_Sector+Avara_Foods_Limited+2022,Walk Free+Financial Services Sector,Avara Foods Limited,2022,No,,,,,,
https://wikirate.org/Walk_Free+Financial_Services_Sector+Avara_Foods_Limited+2023,Walk Free+Financial Services Sector,Avara Foods Limited,2023,No,,,,,,
https://wikirate.org/Walk_Free+Financial_Services_Sector+Avara_Foods_Limited+2024,Walk Free+Financial Services Sector,Avara Foods Limited,2024,No,,,,,,
https://wikirate.org/Walk_Free+Food_Beverages_Sector+Avara_Foods_Limited+2022,Walk Free+Food & Beverages Sector,Avara Foods Limited,2022,Yes,,,,,,
https://wikirate.org/Walk_Free+Food_Beverages_Sector+Avara_Foods_Limited+2023,Walk Free+Food & Beverages Sector,Avara Foods Limited,2023,Yes,,,,,,
https://wikirate.org/Walk_Free+Food_Beverages_Sector+Avara_Foods_Limited+2024,Walk Free+Food & Beverages Sector,Avara Foods Limited,2024,Yes,,,,,,
https://wikirate.org/Walk_Free+Garment_Sector+Avara_Foods_Limited+2022,Walk Free+Garment Sector,Avara Foods Limited,2022,No,,,,,,
https://wikirate.org/Walk_Free+Garment_Sector+Avara_Foods_Limited+2023,Walk Free+Garment Sector,Avara Foods Limited,2023,No,,,,,,
