Answer Page,Metric,Company,Year,Value,Source Page,Answer ID,Original Source,Source Count,Comments,ISIN
https://wikirate.org/Walk_Free+Australian_MSA_Registry_Submission+BUTCHER_S_PET_CARE_LIMITED+2020,Walk Free+Australian MSA Registry Submission,BUTCHER'S PET CARE LIMITED,2020,No,,,,,,
https://wikirate.org/Walk_Free+Australian_MSA_statement_assessed+BUTCHER_S_PET_CARE_LIMITED+2020,Walk Free+Australian MSA statement assessed,BUTCHER'S PET CARE LIMITED,2020,No,,,,,,
https://wikirate.org/Walk_Free+Company_size+BUTCHER_S_PET_CARE_LIMITED+2020,Walk Free+Company size,BUTCHER'S PET CARE LIMITED,2020,Small,,,,,,
https://wikirate.org/Core+Country+BUTCHER_S_PET_CARE_LIMITED+2019,Core+Country,BUTCHER'S PET CARE LIMITED,2019,United Kingdom,,,,,,
https://wikirate.org/GreenDex+Country+BUTCHER_S_PET_CARE_LIMITED+2019,GreenDex+Country,BUTCHER'S PET CARE LIMITED,2019,United Kingdom,,,,,,
https://wikirate.org/Commons+Employee+BUTCHER_S_PET_CARE_LIMITED+2017,Commons+Employee,BUTCHER'S PET CARE LIMITED,2017,250 to 499,,,,,,
https://wikirate.org/Commons+Employee+BUTCHER_S_PET_CARE_LIMITED+2018,Commons+Employee,BUTCHER'S PET CARE LIMITED,2018,250 to 499,,,,,,
https://wikirate.org/Commons+Employee+BUTCHER_S_PET_CARE_LIMITED+2019,Commons+Employee,BUTCHER'S PET CARE LIMITED,2019,250 to 499,,,,,,
https://wikirate.org/Commons+Employee+BUTCHER_S_PET_CARE_LIMITED+2020,Commons+Employee,BUTCHER'S PET CARE LIMITED,2020,250 to 499,,,,,,
https://wikirate.org/Commons+Employee+BUTCHER_S_PET_CARE_LIMITED+2021,Commons+Employee,BUTCHER'S PET CARE LIMITED,2021,250 to 499,,,,,,
https://wikirate.org/Commons+Employee+BUTCHER_S_PET_CARE_LIMITED+2023,Commons+Employee,BUTCHER'S PET CARE LIMITED,2023,250 to 499,,,,,,
https://wikirate.org/~9582642,GOV.UK Gender Pay Gap Service+Employer Size,BUTCHER'S PET CARE LIMITED,2017,250 to 499,https://wikirate.org/~8767248,9582642.0,https://gender-pay-gap.service.gov.uk/viewing/download-data/2017,1.0,,
https://wikirate.org/~9610856,GOV.UK Gender Pay Gap Service+Employer Size,BUTCHER'S PET CARE LIMITED,2018,250 to 499,https://wikirate.org/~8767324,9610856.0,https://gender-pay-gap.service.gov.uk/viewing/download-data/2018,1.0,,
https://wikirate.org/~9619668,GOV.UK Gender Pay Gap Service+Employer Size,BUTCHER'S PET CARE LIMITED,2019,250 to 499,https://wikirate.org/~8767384,9619668.0,https://gender-pay-gap.service.gov.uk/viewing/download-data/2019,1.0,,
https://wikirate.org/~9626231,GOV.UK Gender Pay Gap Service+Employer Size,BUTCHER'S PET CARE LIMITED,2020,250 to 499,https://wikirate.org/~8767440,9626231.0,https://gender-pay-gap.service.gov.uk/viewing/download-data/2020,1.0,,
https://wikirate.org/~12940103,GOV.UK Gender Pay Gap Service+Employer Size,BUTCHER'S PET CARE LIMITED,2021,250 to 499,https://wikirate.org/~12654979,12940103.0,https://gender-pay-gap.service.gov.uk/viewing/download-data/2021,1.0,,
