Answer Page,Metric,Company,Year,Value,Source Page,Answer ID,Original Source,Source Count,Comments,ISIN
https://wikirate.org/~9842143,Commons+Address,LUNAR FREEZING & COLD STORAGE COMPANY LIMITED,2021,East Quay The Harbour Peterhead Aberdeenshire United Kingdom AB42 1JF,https://wikirate.org/~8066337,9842143.0,https://downloads.modern-slavery-statement-registry.service.gov.uk/publicdownloads/StatementSummaries2021.csv,1.0,,
https://wikirate.org/~14155433,Commons+Address,LUNAR FREEZING & COLD STORAGE COMPANY LIMITED,2022,East Quay The Harbour Peterhead Aberdeenshire United Kingdom AB42 1JF,https://wikirate.org/~13403182,14155433.0,https://downloads.modern-slavery-statement-registry.service.gov.uk/publicdownloads/StatementSummaries2022.csv,1.0,,
https://wikirate.org/Walk_Free+Australian_MSA_Registry_Submission+LUNAR_FREEZING_COLD_STORAGE_COMPANY_LIMITED+2019,Walk Free+Australian MSA Registry Submission,LUNAR FREEZING & COLD STORAGE COMPANY LIMITED,2019,No,,,,,,
https://wikirate.org/Walk_Free+Australian_MSA_Registry_Submission+LUNAR_FREEZING_COLD_STORAGE_COMPANY_LIMITED+2020,Walk Free+Australian MSA Registry Submission,LUNAR FREEZING & COLD STORAGE COMPANY LIMITED,2020,No,,,,,,
https://wikirate.org/Walk_Free+Australian_MSA_Registry_Submission+LUNAR_FREEZING_COLD_STORAGE_COMPANY_LIMITED+2023,Walk Free+Australian MSA Registry Submission,LUNAR FREEZING & COLD STORAGE COMPANY LIMITED,2023,No,,,,,,
https://wikirate.org/Walk_Free+Australian_MSA_statement_assessed+LUNAR_FREEZING_COLD_STORAGE_COMPANY_LIMITED+2019,Walk Free+Australian MSA statement assessed,LUNAR FREEZING & COLD STORAGE COMPANY LIMITED,2019,No,,,,,,
https://wikirate.org/Walk_Free+Australian_MSA_statement_assessed+LUNAR_FREEZING_COLD_STORAGE_COMPANY_LIMITED+2020,Walk Free+Australian MSA statement assessed,LUNAR FREEZING & COLD STORAGE COMPANY LIMITED,2020,No,,,,,,
https://wikirate.org/Walk_Free+Australian_MSA_statement_assessed+LUNAR_FREEZING_COLD_STORAGE_COMPANY_LIMITED+2023,Walk Free+Australian MSA statement assessed,LUNAR FREEZING & COLD STORAGE COMPANY LIMITED,2023,No,,,,,,
https://wikirate.org/Walk_Free+Company_size+LUNAR_FREEZING_COLD_STORAGE_COMPANY_LIMITED+2019,Walk Free+Company size,LUNAR FREEZING & COLD STORAGE COMPANY LIMITED,2019,Small,,,,,,
https://wikirate.org/Walk_Free+Company_size+LUNAR_FREEZING_COLD_STORAGE_COMPANY_LIMITED+2020,Walk Free+Company size,LUNAR FREEZING & COLD STORAGE COMPANY LIMITED,2020,Small,,,,,,
