Answer Page,Metric,Company,Year,Value,Source Page,Answer ID,Original Source,Source Count,Comments,ISIN
https://wikirate.org/Walk_Free+Australian_MSA_Registry_Submission+MONDELEZ_AUSTRALIA_HOLDINGS_PTY_LTD+2020,Walk Free+Australian MSA Registry Submission,MONDELEZ AUSTRALIA HOLDINGS PTY LTD,2020,Yes,,,,,,
https://wikirate.org/Walk_Free+Australian_MSA_Registry_Submission+MONDELEZ_AUSTRALIA_HOLDINGS_PTY_LTD+2021,Walk Free+Australian MSA Registry Submission,MONDELEZ AUSTRALIA HOLDINGS PTY LTD,2021,Yes,,,,,,
https://wikirate.org/Walk_Free+Australian_MSA_Registry_Submission+MONDELEZ_AUSTRALIA_HOLDINGS_PTY_LTD+2022,Walk Free+Australian MSA Registry Submission,MONDELEZ AUSTRALIA HOLDINGS PTY LTD,2022,Yes,,,,,,
https://wikirate.org/Walk_Free+Australian_MSA_statement_assessed+MONDELEZ_AUSTRALIA_HOLDINGS_PTY_LTD+2020,Walk Free+Australian MSA statement assessed,MONDELEZ AUSTRALIA HOLDINGS PTY LTD,2020,Partially assessed,,,,,,
https://wikirate.org/Walk_Free+Australian_MSA_statement_assessed+MONDELEZ_AUSTRALIA_HOLDINGS_PTY_LTD+2021,Walk Free+Australian MSA statement assessed,MONDELEZ AUSTRALIA HOLDINGS PTY LTD,2021,No,,,,,,
https://wikirate.org/Walk_Free+Australian_MSA_statement_assessed+MONDELEZ_AUSTRALIA_HOLDINGS_PTY_LTD+2022,Walk Free+Australian MSA statement assessed,MONDELEZ AUSTRALIA HOLDINGS PTY LTD,2022,No,,,,,,
https://wikirate.org/Walk_Free+Company_size+MONDELEZ_AUSTRALIA_HOLDINGS_PTY_LTD+2020,Walk Free+Company size,MONDELEZ AUSTRALIA HOLDINGS PTY LTD,2020,Large,,,,,,
https://wikirate.org/Walk_Free+Company_size+MONDELEZ_AUSTRALIA_HOLDINGS_PTY_LTD+2021,Walk Free+Company size,MONDELEZ AUSTRALIA HOLDINGS PTY LTD,2021,Large,,,,,,
https://wikirate.org/Core+Country+MONDELEZ_AUSTRALIA_HOLDINGS_PTY_LTD+2019,Core+Country,MONDELEZ AUSTRALIA HOLDINGS PTY LTD,2019,Australia,,,,,,
https://wikirate.org/GreenDex+Country+MONDELEZ_AUSTRALIA_HOLDINGS_PTY_LTD+2019,GreenDex+Country,MONDELEZ AUSTRALIA HOLDINGS PTY LTD,2019,Australia,,,,,,
