Answer Page,Metric,Company,Year,Value,Source Page,Answer ID,Original Source,Source Count,Comments,ISIN
https://wikirate.org/~8068132,Commons+Address,Just Eat plc,2021,Fleet Place House 2 Fleet Place London United Kingdom EC4M 7RF,https://wikirate.org/~8066337,8068132.0,https://downloads.modern-slavery-statement-registry.service.gov.uk/publicdownloads/StatementSummaries2021.csv,1.0,,GB00BKX5CN86;US48213U1051
https://wikirate.org/~14154273,Commons+Address,Just Eat plc,2022,Fleet Place House 2 Fleet Place London United Kingdom EC4M 7RF,https://wikirate.org/~13403182,14154273.0,https://downloads.modern-slavery-statement-registry.service.gov.uk/publicdownloads/StatementSummaries2022.csv,1.0,,GB00BKX5CN86;US48213U1051
https://wikirate.org/Walk_Free+Australian_MSA_Registry_Submission+Just_Eat_plc+2020,Walk Free+Australian MSA Registry Submission,Just Eat plc,2020,No,,,,,,GB00BKX5CN86;US48213U1051
https://wikirate.org/Walk_Free+Australian_MSA_Registry_Submission+Just_Eat_plc+2021,Walk Free+Australian MSA Registry Submission,Just Eat plc,2021,No,,,,,,GB00BKX5CN86;US48213U1051
https://wikirate.org/Walk_Free+Australian_MSA_Registry_Submission+Just_Eat_plc+2022,Walk Free+Australian MSA Registry Submission,Just Eat plc,2022,No,,,,,,GB00BKX5CN86;US48213U1051
https://wikirate.org/Walk_Free+Australian_MSA_Registry_Submission+Just_Eat_plc+2023,Walk Free+Australian MSA Registry Submission,Just Eat plc,2023,No,,,,,,GB00BKX5CN86;US48213U1051
https://wikirate.org/Walk_Free+Australian_MSA_statement_assessed+Just_Eat_plc+2020,Walk Free+Australian MSA statement assessed,Just Eat plc,2020,No,,,,,,GB00BKX5CN86;US48213U1051
https://wikirate.org/Walk_Free+Australian_MSA_statement_assessed+Just_Eat_plc+2021,Walk Free+Australian MSA statement assessed,Just Eat plc,2021,No,,,,,,GB00BKX5CN86;US48213U1051
https://wikirate.org/Walk_Free+Australian_MSA_statement_assessed+Just_Eat_plc+2022,Walk Free+Australian MSA statement assessed,Just Eat plc,2022,No,,,,,,GB00BKX5CN86;US48213U1051
https://wikirate.org/Walk_Free+Australian_MSA_statement_assessed+Just_Eat_plc+2023,Walk Free+Australian MSA statement assessed,Just Eat plc,2023,No,,,,,,GB00BKX5CN86;US48213U1051
https://wikirate.org/~12654540,Alice NEOMA+CEO Gender,Just Eat plc,2022,Man,https://wikirate.org/~12654533,12654540.0,,1.0,"pg. 1 ""Jitse Groen Position CEO (Chief Executive Officer)"" Brent Wissink ""Position CFO (Chief Financial Officer)"" Manali Rana[https://wikirate.org/Manali_Rana].....2022-06-13 05:00:17 UTC",GB00BKX5CN86;US48213U1051
https://wikirate.org/Wikirate_SDG_Metric_design+Common_Social_Metrics_Reported+Just_Eat_plc+2021,Wikirate SDG Metric design+Common Social Metrics Reported,Just Eat plc,2021,1,,,,,,GB00BKX5CN86;US48213U1051
https://wikirate.org/Walk_Free+Company_size+Just_Eat_plc+2020,Walk Free+Company size,Just Eat plc,2020,Large,,,,,,GB00BKX5CN86;US48213U1051
https://wikirate.org/Walk_Free+Company_size+Just_Eat_plc+2021,Walk Free+Company size,Just Eat plc,2021,Large,,,,,,GB00BKX5CN86;US48213U1051
https://wikirate.org/Walk_Free+Company_size+Just_Eat_plc+2022,Walk Free+Company size,Just Eat plc,2022,Small,,,,,,GB00BKX5CN86;US48213U1051
https://wikirate.org/Core+Country+Just_Eat_plc+2019,Core+Country,Just Eat plc,2019,United Kingdom,,,,,,GB00BKX5CN86;US48213U1051
https://wikirate.org/GreenDex+Country+Just_Eat_plc+2019,GreenDex+Country,Just Eat plc,2019,United Kingdom,,,,,,GB00BKX5CN86;US48213U1051
https://wikirate.org/Wikirate_Calculated_Metric_Design_Group+Disclosure_rate_on_selected_social_and_environmental_metrics+Just_Eat_plc+2021,Wikirate Calculated Metric Design Group+Disclosure rate on selected social and environmental metrics,Just Eat plc,2021,1,,,,,,GB00BKX5CN86;US48213U1051
https://wikirate.org/Sussex_Research_Group+Diversity_Inclusion_Disclosure+Just_Eat_plc+2021,Sussex Research Group+Diversity Inclusion Disclosure,Just Eat plc,2021,2,,,,,,GB00BKX5CN86;US48213U1051
https://wikirate.org/Commons+Employee+Just_Eat_plc+2021,Commons+Employee,Just Eat plc,2021,20235,,,,,,GB00BKX5CN86;US48213U1051
https://wikirate.org/~12654592,"Global Reporting Initiative+Employees, GRI 102-8-a (formerly G4-10-a)",Just Eat plc,2021,20235,https://wikirate.org/~12654580,12654592.0,,1.0,"pg. 11 “In 2021, Just Eat Takeaway.com[http://Takeaway.com] processed 1.1 billion Orders for our partners, facilitating €28.2 billion in Gross Transaction Value (GTV). On average, Just Eat Takeaway.com[http://Takeaway.com] had 20 thousand full-time equivalent employees (FTE) in 2021, of which almost 7 thousand represent the full-time equivalent of our employed couriers.” pg. 51 “FTE (average) (2021) Total 20,235” Manali Rana[https://wikirate.org/Manali_Rana].....2022-06-13 08:03:46 UTC",GB00BKX5CN86;US48213U1051
https://wikirate.org/Ewha_Womans_University_Research_Group+Ewha_2020_SDG12_Disclosure_Rate+Just_Eat_plc+2021,Ewha Womans University Research Group+Ewha 2020 - SDG12 Disclosure Rate,Just Eat plc,2021,5.263157894736842,,,,,,GB00BKX5CN86;US48213U1051
https://wikirate.org/Ewha_Womans_University_Research_Group+Ewha_2020_SDG5_Disclosure_Rate+Just_Eat_plc+2021,Ewha Womans University Research Group+Ewha 2020 - SDG5 Disclosure Rate,Just Eat plc,2021,11.11111111111111,,,,,,GB00BKX5CN86;US48213U1051
https://wikirate.org/Commons+female_employee+Just_Eat_plc+2021,Commons+female employee,Just Eat plc,2021,Unknown,,,,,,GB00BKX5CN86;US48213U1051
https://wikirate.org/Wikirate_Calculated_Metric_Design_Group+female_employee+Just_Eat_plc+2021,Wikirate Calculated Metric Design Group+female employee,Just Eat plc,2021,Unknown,,,,,,GB00BKX5CN86;US48213U1051
https://wikirate.org/~12654597,"Global Reporting Initiative+Female employees, GRI 102-8-a (formerly G4-10-a)",Just Eat plc,2021,Unknown,https://wikirate.org/~12654580,12654597.0,,1.0,Not reported. Manali Rana[https://wikirate.org/Manali_Rana].....2022-06-13 08:38:21 UTC,GB00BKX5CN86;US48213U1051
