Answer Page,Metric,Company,Year,Value,Source Page,Answer ID,Original Source,Source Count,Comments,ISIN
https://wikirate.org/~9814988,Commons+Address,RANDALL PARKER FOODS LIMITED,2021,"The Old Rectory Banbury Lane, Cold Higham Towcester Northamptonshire NN12 8LR",https://wikirate.org/~8066337,9814988.0,https://downloads.modern-slavery-statement-registry.service.gov.uk/publicdownloads/StatementSummaries2021.csv,1.0,,
https://wikirate.org/Walk_Free+Australian_MSA_Registry_Submission+RANDALL_PARKER_FOODS_LIMITED+2020,Walk Free+Australian MSA Registry Submission,RANDALL PARKER FOODS LIMITED,2020,No,,,,,,
https://wikirate.org/Walk_Free+Australian_MSA_statement_assessed+RANDALL_PARKER_FOODS_LIMITED+2020,Walk Free+Australian MSA statement assessed,RANDALL PARKER FOODS LIMITED,2020,No,,,,,,
https://wikirate.org/Walk_Free+Company_size+RANDALL_PARKER_FOODS_LIMITED+2020,Walk Free+Company size,RANDALL PARKER FOODS LIMITED,2020,Medium,,,,,,
https://wikirate.org/Core+Country+RANDALL_PARKER_FOODS_LIMITED+2019,Core+Country,RANDALL PARKER FOODS LIMITED,2019,United Kingdom,,,,,,
https://wikirate.org/GreenDex+Country+RANDALL_PARKER_FOODS_LIMITED+2019,GreenDex+Country,RANDALL PARKER FOODS LIMITED,2019,United Kingdom,,,,,,
https://wikirate.org/Commons+Employee+RANDALL_PARKER_FOODS_LIMITED+2017,Commons+Employee,RANDALL PARKER FOODS LIMITED,2017,250 to 499,,,,,,
https://wikirate.org/Commons+Employee+RANDALL_PARKER_FOODS_LIMITED+2018,Commons+Employee,RANDALL PARKER FOODS LIMITED,2018,250 to 499,,,,,,
https://wikirate.org/Commons+Employee+RANDALL_PARKER_FOODS_LIMITED+2020,Commons+Employee,RANDALL PARKER FOODS LIMITED,2020,250 to 499,,,,,,
https://wikirate.org/Commons+Employee+RANDALL_PARKER_FOODS_LIMITED+2021,Commons+Employee,RANDALL PARKER FOODS LIMITED,2021,250 to 499,,,,,,
https://wikirate.org/Commons+Employee+RANDALL_PARKER_FOODS_LIMITED+2022,Commons+Employee,RANDALL PARKER FOODS LIMITED,2022,250 to 499,,,,,,
https://wikirate.org/Commons+Employee+RANDALL_PARKER_FOODS_LIMITED+2023,Commons+Employee,RANDALL PARKER FOODS LIMITED,2023,250 to 499,,,,,,
https://wikirate.org/~9598005,GOV.UK Gender Pay Gap Service+Employer Size,RANDALL PARKER FOODS LIMITED,2017,250 to 499,https://wikirate.org/~8767248,9598005.0,https://gender-pay-gap.service.gov.uk/viewing/download-data/2017,1.0,,
https://wikirate.org/~9616000,GOV.UK Gender Pay Gap Service+Employer Size,RANDALL PARKER FOODS LIMITED,2018,250 to 499,https://wikirate.org/~8767324,9616000.0,https://gender-pay-gap.service.gov.uk/viewing/download-data/2018,1.0,,
https://wikirate.org/~9632471,GOV.UK Gender Pay Gap Service+Employer Size,RANDALL PARKER FOODS LIMITED,2020,250 to 499,https://wikirate.org/~8767440,9632471.0,https://gender-pay-gap.service.gov.uk/viewing/download-data/2020,1.0,,
https://wikirate.org/~12953563,GOV.UK Gender Pay Gap Service+Employer Size,RANDALL PARKER FOODS LIMITED,2021,250 to 499,https://wikirate.org/~12654979,12953563.0,https://gender-pay-gap.service.gov.uk/viewing/download-data/2021,1.0,,
https://wikirate.org/~15024609,GOV.UK Gender Pay Gap Service+Employer Size,RANDALL PARKER FOODS LIMITED,2022,250 to 499,https://wikirate.org/~14619205,15024609.0,https://gender-pay-gap.service.gov.uk/viewing/download-data/2022,1.0,,
https://wikirate.org/~19211935,GOV.UK Gender Pay Gap Service+Employer Size,RANDALL PARKER FOODS LIMITED,2023,250 to 499,https://wikirate.org/~18845659,19211935.0,https://gender-pay-gap.service.gov.uk/viewing/download-data/2023,1.0,,
