Answer Page,Metric,Company,Year,Value,Source Page,Answer ID,Original Source,Source Count,Comments,ISIN
https://wikirate.org/~9817992,Commons+Address,K K FINE FOODS LIMITED,2021,Estuary House 10th Avenue Zone 3 Deeside Industrial Park Deeside Flintshire CH5 2UA,https://wikirate.org/~8066337,9817992.0,https://downloads.modern-slavery-statement-registry.service.gov.uk/publicdownloads/StatementSummaries2021.csv,1.0,,
https://wikirate.org/Walk_Free+Australian_MSA_Registry_Submission+K_K_FINE_FOODS_LIMITED+2021,Walk Free+Australian MSA Registry Submission,K K FINE FOODS LIMITED,2021,No,,,,,,
https://wikirate.org/Walk_Free+Australian_MSA_statement_assessed+K_K_FINE_FOODS_LIMITED+2021,Walk Free+Australian MSA statement assessed,K K FINE FOODS LIMITED,2021,No,,,,,,
https://wikirate.org/Walk_Free+Company_size+K_K_FINE_FOODS_LIMITED+2021,Walk Free+Company size,K K FINE FOODS LIMITED,2021,Small,,,,,,
https://wikirate.org/Core+Country+K_K_FINE_FOODS_LIMITED+2019,Core+Country,K K FINE FOODS LIMITED,2019,United Kingdom,,,,,,
https://wikirate.org/GreenDex+Country+K_K_FINE_FOODS_LIMITED+2019,GreenDex+Country,K K FINE FOODS LIMITED,2019,United Kingdom,,,,,,
https://wikirate.org/Commons+Employee+K_K_FINE_FOODS_LIMITED+2017,Commons+Employee,K K FINE FOODS LIMITED,2017,250 to 499,,,,,,
https://wikirate.org/Commons+Employee+K_K_FINE_FOODS_LIMITED+2018,Commons+Employee,K K FINE FOODS LIMITED,2018,250 to 499,,,,,,
https://wikirate.org/Commons+Employee+K_K_FINE_FOODS_LIMITED+2020,Commons+Employee,K K FINE FOODS LIMITED,2020,250 to 499,,,,,,
https://wikirate.org/Commons+Employee+K_K_FINE_FOODS_LIMITED+2021,Commons+Employee,K K FINE FOODS LIMITED,2021,250 to 499,,,,,,
https://wikirate.org/Commons+Employee+K_K_FINE_FOODS_LIMITED+2022,Commons+Employee,K K FINE FOODS LIMITED,2022,250 to 499,,,,,,
https://wikirate.org/Commons+Employee+K_K_FINE_FOODS_LIMITED+2023,Commons+Employee,K K FINE FOODS LIMITED,2023,250 to 499,,,,,,
https://wikirate.org/~9591558,GOV.UK Gender Pay Gap Service+Employer Size,K K FINE FOODS LIMITED,2017,250 to 499,https://wikirate.org/~8767248,9591558.0,https://gender-pay-gap.service.gov.uk/viewing/download-data/2017,1.0,,
https://wikirate.org/~9613946,GOV.UK Gender Pay Gap Service+Employer Size,K K FINE FOODS LIMITED,2018,250 to 499,https://wikirate.org/~8767324,9613946.0,https://gender-pay-gap.service.gov.uk/viewing/download-data/2018,1.0,,
https://wikirate.org/~9629228,GOV.UK Gender Pay Gap Service+Employer Size,K K FINE FOODS LIMITED,2020,250 to 499,https://wikirate.org/~8767440,9629228.0,https://gender-pay-gap.service.gov.uk/viewing/download-data/2020,1.0,,
https://wikirate.org/~12948020,GOV.UK Gender Pay Gap Service+Employer Size,K K FINE FOODS LIMITED,2021,250 to 499,https://wikirate.org/~12654979,12948020.0,https://gender-pay-gap.service.gov.uk/viewing/download-data/2021,1.0,,
https://wikirate.org/~15033047,GOV.UK Gender Pay Gap Service+Employer Size,K K FINE FOODS LIMITED,2022,250 to 499,https://wikirate.org/~14619205,15033047.0,https://gender-pay-gap.service.gov.uk/viewing/download-data/2022,1.0,,
https://wikirate.org/~19206396,GOV.UK Gender Pay Gap Service+Employer Size,K K FINE FOODS LIMITED,2023,250 to 499,https://wikirate.org/~18845659,19206396.0,https://gender-pay-gap.service.gov.uk/viewing/download-data/2023,1.0,,
https://wikirate.org/Walk_Free+Financial_Services_Sector+K_K_FINE_FOODS_LIMITED+2021,Walk Free+Financial Services Sector,K K FINE FOODS LIMITED,2021,No,,,,,,
https://wikirate.org/Walk_Free+Food_Beverages_Sector+K_K_FINE_FOODS_LIMITED+2021,Walk Free+Food & Beverages Sector,K K FINE FOODS LIMITED,2021,Yes,,,,,,
https://wikirate.org/Walk_Free+Garment_Sector+K_K_FINE_FOODS_LIMITED+2021,Walk Free+Garment Sector,K K FINE FOODS LIMITED,2021,No,,,,,,
https://wikirate.org/Core+Headquarters_Location+K_K_FINE_FOODS_LIMITED+2019,Core+Headquarters Location,K K FINE FOODS LIMITED,2019,United Kingdom,,,,,,
https://wikirate.org/Walk_Free+Hospitality_Sector+K_K_FINE_FOODS_LIMITED+2021,Walk Free+Hospitality Sector,K K FINE FOODS LIMITED,2021,No,,,,,,
https://wikirate.org/Core+ILO_Region+K_K_FINE_FOODS_LIMITED+2019,Core+ILO Region,K K FINE FOODS LIMITED,2019,Europe and Central Asia,,,,,,
https://wikirate.org/~8343756,Home Office+MS Statement Includes Due Diligence,K K FINE FOODS LIMITED,2021,Yes,https://wikirate.org/~8270850,8343756.0,http://www.kkfinefoods.co.uk/s/Modern-Slavery-Trafficking-Statement.pdf,2.0,,
https://wikirate.org/~8374343,Home Office+MS Statement Includes Goals,K K FINE FOODS LIMITED,2021,Yes,https://wikirate.org/~8270850,8374343.0,http://www.kkfinefoods.co.uk/s/Modern-Slavery-Trafficking-Statement.pdf,2.0,,
https://wikirate.org/~8295077,Home Office+MS Statement Includes Org Structure,K K FINE FOODS LIMITED,2021,Yes,https://wikirate.org/~8270850,8295077.0,http://www.kkfinefoods.co.uk/s/Modern-Slavery-Trafficking-Statement.pdf,2.0,,
https://wikirate.org/~8309139,Home Office+MS Statement Includes Policies,K K FINE FOODS LIMITED,2021,Yes,https://wikirate.org/~8270850,8309139.0,http://www.kkfinefoods.co.uk/s/Modern-Slavery-Trafficking-Statement.pdf,2.0,,
https://wikirate.org/~8327810,Home Office+MS Statement Includes Risks Assessment,K K FINE FOODS LIMITED,2021,Yes,https://wikirate.org/~8270850,8327810.0,http://www.kkfinefoods.co.uk/s/Modern-Slavery-Trafficking-Statement.pdf,2.0,,
https://wikirate.org/~8359824,Home Office+MS Statement Includes Training,K K FINE FOODS LIMITED,2021,Yes,https://wikirate.org/~8270850,8359824.0,http://www.kkfinefoods.co.uk/s/Modern-Slavery-Trafficking-Statement.pdf,2.0,,
https://wikirate.org/~8911173,GOV.UK Gender Pay Gap Service+Mean Gender Pay Gap (Bonus Pay),K K FINE FOODS LIMITED,2017,-26.0,https://wikirate.org/~8767248,8911173.0,https://gender-pay-gap.service.gov.uk/viewing/download-data/2017,1.0,,
https://wikirate.org/~8935923,GOV.UK Gender Pay Gap Service+Mean Gender Pay Gap (Bonus Pay),K K FINE FOODS LIMITED,2020,-11.4,https://wikirate.org/~8767440,8935923.0,https://gender-pay-gap.service.gov.uk/viewing/download-data/2020,1.0,,
https://wikirate.org/~12712675,GOV.UK Gender Pay Gap Service+Mean Gender Pay Gap (Bonus Pay),K K FINE FOODS LIMITED,2021,17.3,https://wikirate.org/~12654979,12712675.0,https://gender-pay-gap.service.gov.uk/viewing/download-data/2021,1.0,,
https://wikirate.org/~19206360,GOV.UK Gender Pay Gap Service+Mean Gender Pay Gap (Bonus Pay),K K FINE FOODS LIMITED,2023,0.48,https://wikirate.org/~18845659,19206360.0,https://gender-pay-gap.service.gov.uk/viewing/download-data/2023,1.0,,
https://wikirate.org/GreenDex+Mean_Gender_Pay_Gap_Bonus_Pay+K_K_FINE_FOODS_LIMITED+2017,GreenDex+Mean Gender Pay Gap (Bonus Pay),K K FINE FOODS LIMITED,2017,-26.0,,,,,,
https://wikirate.org/GreenDex+Mean_Gender_Pay_Gap_Bonus_Pay+K_K_FINE_FOODS_LIMITED+2020,GreenDex+Mean Gender Pay Gap (Bonus Pay),K K FINE FOODS LIMITED,2020,-11.4,,,,,,
https://wikirate.org/GreenDex+Mean_Gender_Pay_Gap_Bonus_Pay+K_K_FINE_FOODS_LIMITED+2021,GreenDex+Mean Gender Pay Gap (Bonus Pay),K K FINE FOODS LIMITED,2021,17.3,,,,,,
https://wikirate.org/GreenDex+Mean_Gender_Pay_Gap_Bonus_Pay+K_K_FINE_FOODS_LIMITED+2023,GreenDex+Mean Gender Pay Gap (Bonus Pay),K K FINE FOODS LIMITED,2023,0.48,,,,,,
https://wikirate.org/~8781667,GOV.UK Gender Pay Gap Service+Mean Gender Pay Gap (Hourly Pay),K K FINE FOODS LIMITED,2017,26.0,https://wikirate.org/~8767248,8781667.0,https://gender-pay-gap.service.gov.uk/viewing/download-data/2017,1.0,,
https://wikirate.org/~8849128,GOV.UK Gender Pay Gap Service+Mean Gender Pay Gap (Hourly Pay),K K FINE FOODS LIMITED,2018,17.3,https://wikirate.org/~8767324,8849128.0,https://gender-pay-gap.service.gov.uk/viewing/download-data/2018,1.0,,
https://wikirate.org/~8864430,GOV.UK Gender Pay Gap Service+Mean Gender Pay Gap (Hourly Pay),K K FINE FOODS LIMITED,2020,17.8,https://wikirate.org/~8767440,8864430.0,https://gender-pay-gap.service.gov.uk/viewing/download-data/2020,1.0,,
https://wikirate.org/~12666489,GOV.UK Gender Pay Gap Service+Mean Gender Pay Gap (Hourly Pay),K K FINE FOODS LIMITED,2021,17.8,https://wikirate.org/~12654979,12666489.0,https://gender-pay-gap.service.gov.uk/viewing/download-data/2021,1.0,,
https://wikirate.org/~14657594,GOV.UK Gender Pay Gap Service+Mean Gender Pay Gap (Hourly Pay),K K FINE FOODS LIMITED,2022,13.19,https://wikirate.org/~14619205,14657594.0,https://gender-pay-gap.service.gov.uk/viewing/download-data/2022,1.0,,
https://wikirate.org/~19206354,GOV.UK Gender Pay Gap Service+Mean Gender Pay Gap (Hourly Pay),K K FINE FOODS LIMITED,2023,14.65,https://wikirate.org/~18845659,19206354.0,https://gender-pay-gap.service.gov.uk/viewing/download-data/2023,1.0,,
https://wikirate.org/GreenDex+Mean_Gender_Pay_Gap_Hourly_Pay+K_K_FINE_FOODS_LIMITED+2017,GreenDex+Mean Gender Pay Gap (Hourly Pay),K K FINE FOODS LIMITED,2017,26.0,,,,,,
https://wikirate.org/GreenDex+Mean_Gender_Pay_Gap_Hourly_Pay+K_K_FINE_FOODS_LIMITED+2018,GreenDex+Mean Gender Pay Gap (Hourly Pay),K K FINE FOODS LIMITED,2018,17.3,,,,,,
https://wikirate.org/GreenDex+Mean_Gender_Pay_Gap_Hourly_Pay+K_K_FINE_FOODS_LIMITED+2020,GreenDex+Mean Gender Pay Gap (Hourly Pay),K K FINE FOODS LIMITED,2020,17.8,,,,,,
https://wikirate.org/GreenDex+Mean_Gender_Pay_Gap_Hourly_Pay+K_K_FINE_FOODS_LIMITED+2021,GreenDex+Mean Gender Pay Gap (Hourly Pay),K K FINE FOODS LIMITED,2021,17.8,,,,,,
https://wikirate.org/GreenDex+Mean_Gender_Pay_Gap_Hourly_Pay+K_K_FINE_FOODS_LIMITED+2022,GreenDex+Mean Gender Pay Gap (Hourly Pay),K K FINE FOODS LIMITED,2022,13.19,,,,,,
https://wikirate.org/GreenDex+Mean_Gender_Pay_Gap_Hourly_Pay+K_K_FINE_FOODS_LIMITED+2023,GreenDex+Mean Gender Pay Gap (Hourly Pay),K K FINE FOODS LIMITED,2023,14.65,,,,,,
https://wikirate.org/~8946098,GOV.UK Gender Pay Gap Service+Median Gender Pay Gap (Bonus Pay),K K FINE FOODS LIMITED,2017,-25.6,https://wikirate.org/~8767248,8946098.0,https://gender-pay-gap.service.gov.uk/viewing/download-data/2017,1.0,,
https://wikirate.org/~8970914,GOV.UK Gender Pay Gap Service+Median Gender Pay Gap (Bonus Pay),K K FINE FOODS LIMITED,2020,17.3,https://wikirate.org/~8767440,8970914.0,https://gender-pay-gap.service.gov.uk/viewing/download-data/2020,1.0,,
https://wikirate.org/~12731378,GOV.UK Gender Pay Gap Service+Median Gender Pay Gap (Bonus Pay),K K FINE FOODS LIMITED,2021,-11.4,https://wikirate.org/~12654979,12731378.0,https://gender-pay-gap.service.gov.uk/viewing/download-data/2021,1.0,,
https://wikirate.org/~19206363,GOV.UK Gender Pay Gap Service+Median Gender Pay Gap (Bonus Pay),K K FINE FOODS LIMITED,2023,21.77,https://wikirate.org/~18845659,19206363.0,https://gender-pay-gap.service.gov.uk/viewing/download-data/2023,1.0,,
https://wikirate.org/GreenDex+Median_Gender_Pay_Gap_Bonus_Pay+K_K_FINE_FOODS_LIMITED+2017,GreenDex+Median Gender Pay Gap (Bonus Pay),K K FINE FOODS LIMITED,2017,-25.6,,,,,,
https://wikirate.org/GreenDex+Median_Gender_Pay_Gap_Bonus_Pay+K_K_FINE_FOODS_LIMITED+2020,GreenDex+Median Gender Pay Gap (Bonus Pay),K K FINE FOODS LIMITED,2020,17.3,,,,,,
https://wikirate.org/GreenDex+Median_Gender_Pay_Gap_Bonus_Pay+K_K_FINE_FOODS_LIMITED+2021,GreenDex+Median Gender Pay Gap (Bonus Pay),K K FINE FOODS LIMITED,2021,-11.4,,,,,,
https://wikirate.org/GreenDex+Median_Gender_Pay_Gap_Bonus_Pay+K_K_FINE_FOODS_LIMITED+2023,GreenDex+Median Gender Pay Gap (Bonus Pay),K K FINE FOODS LIMITED,2023,21.77,,,,,,
https://wikirate.org/~8874857,GOV.UK Gender Pay Gap Service+Median Gender Pay Gap (Hourly Pay),K K FINE FOODS LIMITED,2017,6.8,https://wikirate.org/~8767248,8874857.0,https://gender-pay-gap.service.gov.uk/viewing/download-data/2017,1.0,,
https://wikirate.org/~8885445,GOV.UK Gender Pay Gap Service+Median Gender Pay Gap (Hourly Pay),K K FINE FOODS LIMITED,2018,2.6,https://wikirate.org/~8767324,8885445.0,https://gender-pay-gap.service.gov.uk/viewing/download-data/2018,1.0,,
https://wikirate.org/~8900763,GOV.UK Gender Pay Gap Service+Median Gender Pay Gap (Hourly Pay),K K FINE FOODS LIMITED,2020,2.5,https://wikirate.org/~8767440,8900763.0,https://gender-pay-gap.service.gov.uk/viewing/download-data/2020,1.0,,
https://wikirate.org/~12690765,GOV.UK Gender Pay Gap Service+Median Gender Pay Gap (Hourly Pay),K K FINE FOODS LIMITED,2021,2.5,https://wikirate.org/~12654979,12690765.0,https://gender-pay-gap.service.gov.uk/viewing/download-data/2021,1.0,,
https://wikirate.org/~14685344,GOV.UK Gender Pay Gap Service+Median Gender Pay Gap (Hourly Pay),K K FINE FOODS LIMITED,2022,4.46,https://wikirate.org/~14619205,14685344.0,https://gender-pay-gap.service.gov.uk/viewing/download-data/2022,1.0,,
https://wikirate.org/~19206357,GOV.UK Gender Pay Gap Service+Median Gender Pay Gap (Hourly Pay),K K FINE FOODS LIMITED,2023,5.91,https://wikirate.org/~18845659,19206357.0,https://gender-pay-gap.service.gov.uk/viewing/download-data/2023,1.0,,
https://wikirate.org/GreenDex+Median_Gender_Pay_Gap_Hourly_Pay+K_K_FINE_FOODS_LIMITED+2017,GreenDex+Median Gender Pay Gap (Hourly Pay),K K FINE FOODS LIMITED,2017,6.8,,,,,,
https://wikirate.org/GreenDex+Median_Gender_Pay_Gap_Hourly_Pay+K_K_FINE_FOODS_LIMITED+2018,GreenDex+Median Gender Pay Gap (Hourly Pay),K K FINE FOODS LIMITED,2018,2.6,,,,,,
https://wikirate.org/GreenDex+Median_Gender_Pay_Gap_Hourly_Pay+K_K_FINE_FOODS_LIMITED+2020,GreenDex+Median Gender Pay Gap (Hourly Pay),K K FINE FOODS LIMITED,2020,2.5,,,,,,
https://wikirate.org/GreenDex+Median_Gender_Pay_Gap_Hourly_Pay+K_K_FINE_FOODS_LIMITED+2021,GreenDex+Median Gender Pay Gap (Hourly Pay),K K FINE FOODS LIMITED,2021,2.5,,,,,,
https://wikirate.org/GreenDex+Median_Gender_Pay_Gap_Hourly_Pay+K_K_FINE_FOODS_LIMITED+2022,GreenDex+Median Gender Pay Gap (Hourly Pay),K K FINE FOODS LIMITED,2022,4.46,,,,,,
https://wikirate.org/GreenDex+Median_Gender_Pay_Gap_Hourly_Pay+K_K_FINE_FOODS_LIMITED+2023,GreenDex+Median Gender Pay Gap (Hourly Pay),K K FINE FOODS LIMITED,2023,5.91,,,,,,
https://wikirate.org/~8280797,Business & Human Rights Resource Centre+Modern Slavery Statement,K K FINE FOODS LIMITED,2021,Yes - UK Modern Slavery Act,https://wikirate.org/~8270850,8280797.0,http://www.kkfinefoods.co.uk/s/Modern-Slavery-Trafficking-Statement.pdf,1.0,,
