Answer Page,Metric,Company,Year,Value,Source Page,Answer ID,Original Source,Source Count,Comments,ISIN
https://wikirate.org/~17684492,Commons+Address,Chelmer Foods Limited,2022,Juniper House Warley Hill Business Park The Drive Brentwood Essex England CM13 3BE,https://wikirate.org/~16850554,17684492.0,https://downloads.modern-slavery-statement-registry.service.gov.uk/publicdownloads/StatementSummaries2023.csv,1.0,,
https://wikirate.org/Walk_Free+Australian_MSA_Registry_Submission+Chelmer_Foods_Limited+2016,Walk Free+Australian MSA Registry Submission,Chelmer Foods Limited,2016,No,,,,,,
https://wikirate.org/Walk_Free+Australian_MSA_Registry_Submission+Chelmer_Foods_Limited+2019,Walk Free+Australian MSA Registry Submission,Chelmer Foods Limited,2019,No,,,,,,
https://wikirate.org/Walk_Free+Australian_MSA_Registry_Submission+Chelmer_Foods_Limited+2022,Walk Free+Australian MSA Registry Submission,Chelmer Foods Limited,2022,No,,,,,,
https://wikirate.org/Walk_Free+Australian_MSA_Registry_Submission+Chelmer_Foods_Limited+2023,Walk Free+Australian MSA Registry Submission,Chelmer Foods Limited,2023,No,,,,,,
https://wikirate.org/Walk_Free+Australian_MSA_statement_assessed+Chelmer_Foods_Limited+2016,Walk Free+Australian MSA statement assessed,Chelmer Foods Limited,2016,No,,,,,,
https://wikirate.org/Walk_Free+Australian_MSA_statement_assessed+Chelmer_Foods_Limited+2019,Walk Free+Australian MSA statement assessed,Chelmer Foods Limited,2019,No,,,,,,
https://wikirate.org/Walk_Free+Australian_MSA_statement_assessed+Chelmer_Foods_Limited+2022,Walk Free+Australian MSA statement assessed,Chelmer Foods Limited,2022,No,,,,,,
https://wikirate.org/Walk_Free+Australian_MSA_statement_assessed+Chelmer_Foods_Limited+2023,Walk Free+Australian MSA statement assessed,Chelmer Foods Limited,2023,No,,,,,,
https://wikirate.org/Commons+Company_Category+Chelmer_Foods_Limited+2019,Commons+Company Category,Chelmer Foods Limited,2019,M,,,,,,
