Answer Page,Metric,Company,Year,Value,Source Page,Answer ID,Original Source,Source Count,Comments,ISIN
https://wikirate.org/~9843139,Commons+Address,AQUASCOT LIMITED,2021,Pentland House Fyrish Way Alness Ross-Shire IV17 0PJ,https://wikirate.org/~8066337,9843139.0,https://downloads.modern-slavery-statement-registry.service.gov.uk/publicdownloads/StatementSummaries2021.csv,1.0,,
https://wikirate.org/~14145931,Commons+Address,AQUASCOT LIMITED,2022,Pentland House Fyrish Way Alness Ross-Shire IV17 0PJ,https://wikirate.org/~13403182,14145931.0,https://downloads.modern-slavery-statement-registry.service.gov.uk/publicdownloads/StatementSummaries2022.csv,1.0,,
https://wikirate.org/Walk_Free+Australian_MSA_Registry_Submission+AQUASCOT_LIMITED+2019,Walk Free+Australian MSA Registry Submission,AQUASCOT LIMITED,2019,No,,,,,,
https://wikirate.org/Walk_Free+Australian_MSA_Registry_Submission+AQUASCOT_LIMITED+2021,Walk Free+Australian MSA Registry Submission,AQUASCOT LIMITED,2021,No,,,,,,
https://wikirate.org/Walk_Free+Australian_MSA_Registry_Submission+AQUASCOT_LIMITED+2022,Walk Free+Australian MSA Registry Submission,AQUASCOT LIMITED,2022,No,,,,,,
https://wikirate.org/Walk_Free+Australian_MSA_Registry_Submission+AQUASCOT_LIMITED+2023,Walk Free+Australian MSA Registry Submission,AQUASCOT LIMITED,2023,No,,,,,,
https://wikirate.org/Walk_Free+Australian_MSA_statement_assessed+AQUASCOT_LIMITED+2019,Walk Free+Australian MSA statement assessed,AQUASCOT LIMITED,2019,No,,,,,,
https://wikirate.org/Walk_Free+Australian_MSA_statement_assessed+AQUASCOT_LIMITED+2021,Walk Free+Australian MSA statement assessed,AQUASCOT LIMITED,2021,No,,,,,,
https://wikirate.org/Walk_Free+Australian_MSA_statement_assessed+AQUASCOT_LIMITED+2022,Walk Free+Australian MSA statement assessed,AQUASCOT LIMITED,2022,No,,,,,,
https://wikirate.org/Walk_Free+Australian_MSA_statement_assessed+AQUASCOT_LIMITED+2023,Walk Free+Australian MSA statement assessed,AQUASCOT LIMITED,2023,No,,,,,,
