Answer Page,Metric,Company,Year,Value,Source Page,Answer ID,Original Source,Source Count,Comments,ISIN
https://wikirate.org/Walk_Free+Australian_MSA_Registry_Submission+BEGA_CHEESE_LIMITED+2020,Walk Free+Australian MSA Registry Submission,BEGA CHEESE LIMITED,2020,Yes,,,,,,AU000000BGA8
https://wikirate.org/Walk_Free+Australian_MSA_Registry_Submission+BEGA_CHEESE_LIMITED+2021,Walk Free+Australian MSA Registry Submission,BEGA CHEESE LIMITED,2021,Yes,,,,,,AU000000BGA8
https://wikirate.org/Walk_Free+Australian_MSA_Registry_Submission+BEGA_CHEESE_LIMITED+2022,Walk Free+Australian MSA Registry Submission,BEGA CHEESE LIMITED,2022,Yes,,,,,,AU000000BGA8
https://wikirate.org/Walk_Free+Australian_MSA_Registry_Submission+BEGA_CHEESE_LIMITED+2023,Walk Free+Australian MSA Registry Submission,BEGA CHEESE LIMITED,2023,Yes,,,,,,AU000000BGA8
https://wikirate.org/Walk_Free+Australian_MSA_statement_assessed+BEGA_CHEESE_LIMITED+2020,Walk Free+Australian MSA statement assessed,BEGA CHEESE LIMITED,2020,No,,,,,,AU000000BGA8
https://wikirate.org/Walk_Free+Australian_MSA_statement_assessed+BEGA_CHEESE_LIMITED+2021,Walk Free+Australian MSA statement assessed,BEGA CHEESE LIMITED,2021,No,,,,,,AU000000BGA8
https://wikirate.org/Walk_Free+Australian_MSA_statement_assessed+BEGA_CHEESE_LIMITED+2022,Walk Free+Australian MSA statement assessed,BEGA CHEESE LIMITED,2022,No,,,,,,AU000000BGA8
https://wikirate.org/Walk_Free+Australian_MSA_statement_assessed+BEGA_CHEESE_LIMITED+2023,Walk Free+Australian MSA statement assessed,BEGA CHEESE LIMITED,2023,No,,,,,,AU000000BGA8
https://wikirate.org/Walk_Free+Company_size+BEGA_CHEESE_LIMITED+2020,Walk Free+Company size,BEGA CHEESE LIMITED,2020,Large,,,,,,AU000000BGA8
https://wikirate.org/Walk_Free+Company_size+BEGA_CHEESE_LIMITED+2021,Walk Free+Company size,BEGA CHEESE LIMITED,2021,Large,,,,,,AU000000BGA8
https://wikirate.org/Walk_Free+Company_size+BEGA_CHEESE_LIMITED+2022,Walk Free+Company size,BEGA CHEESE LIMITED,2022,Large,,,,,,AU000000BGA8
https://wikirate.org/Walk_Free+Company_size+BEGA_CHEESE_LIMITED+2023,Walk Free+Company size,BEGA CHEESE LIMITED,2023,Large,,,,,,AU000000BGA8
https://wikirate.org/Core+Country+BEGA_CHEESE_LIMITED+2019,Core+Country,BEGA CHEESE LIMITED,2019,Australia,,,,,,AU000000BGA8
https://wikirate.org/GreenDex+Country+BEGA_CHEESE_LIMITED+2019,GreenDex+Country,BEGA CHEESE LIMITED,2019,Australia,,,,,,AU000000BGA8
https://wikirate.org/GreenDex+Energy_Consumption+BEGA_CHEESE_LIMITED+2014,GreenDex+Energy Consumption,BEGA CHEESE LIMITED,2014,1537676.0,,,,,,AU000000BGA8
https://wikirate.org/GreenDex+Energy_Consumption+BEGA_CHEESE_LIMITED+2015,GreenDex+Energy Consumption,BEGA CHEESE LIMITED,2015,1560227,,,,,,AU000000BGA8
https://wikirate.org/GreenDex+Energy_Consumption+BEGA_CHEESE_LIMITED+2016,GreenDex+Energy Consumption,BEGA CHEESE LIMITED,2016,1516764,,,,,,AU000000BGA8
https://wikirate.org/GreenDex+Energy_Consumption+BEGA_CHEESE_LIMITED+2017,GreenDex+Energy Consumption,BEGA CHEESE LIMITED,2017,1426555,,,,,,AU000000BGA8
https://wikirate.org/GreenDex+Energy_Consumption+BEGA_CHEESE_LIMITED+2018,GreenDex+Energy Consumption,BEGA CHEESE LIMITED,2018,1697960,,,,,,AU000000BGA8
https://wikirate.org/GreenDex+Energy_Consumption+BEGA_CHEESE_LIMITED+2019,GreenDex+Energy Consumption,BEGA CHEESE LIMITED,2019,2189049,,,,,,AU000000BGA8
https://wikirate.org/GreenDex+Energy_Consumption+BEGA_CHEESE_LIMITED+2020,GreenDex+Energy Consumption,BEGA CHEESE LIMITED,2020,1975753,,,,,,AU000000BGA8
https://wikirate.org/GreenDex+Energy_Consumption+BEGA_CHEESE_LIMITED+2021,GreenDex+Energy Consumption,BEGA CHEESE LIMITED,2021,2945481,,,,,,AU000000BGA8
https://wikirate.org/GreenDex+Energy_Consumption+BEGA_CHEESE_LIMITED+2022,GreenDex+Energy Consumption,BEGA CHEESE LIMITED,2022,2856199,,,,,,AU000000BGA8
https://wikirate.org/GreenDex+Energy_Consumption+BEGA_CHEESE_LIMITED+2023,GreenDex+Energy Consumption,BEGA CHEESE LIMITED,2023,2613303,,,,,,AU000000BGA8
https://wikirate.org/Walk_Free+Financial_Services_Sector+BEGA_CHEESE_LIMITED+2020,Walk Free+Financial Services Sector,BEGA CHEESE LIMITED,2020,No,,,,,,AU000000BGA8
https://wikirate.org/Walk_Free+Financial_Services_Sector+BEGA_CHEESE_LIMITED+2021,Walk Free+Financial Services Sector,BEGA CHEESE LIMITED,2021,No,,,,,,AU000000BGA8
https://wikirate.org/Walk_Free+Financial_Services_Sector+BEGA_CHEESE_LIMITED+2022,Walk Free+Financial Services Sector,BEGA CHEESE LIMITED,2022,No,,,,,,AU000000BGA8
https://wikirate.org/Walk_Free+Financial_Services_Sector+BEGA_CHEESE_LIMITED+2023,Walk Free+Financial Services Sector,BEGA CHEESE LIMITED,2023,No,,,,,,AU000000BGA8
https://wikirate.org/Walk_Free+Food_Beverages_Sector+BEGA_CHEESE_LIMITED+2020,Walk Free+Food & Beverages Sector,BEGA CHEESE LIMITED,2020,Yes,,,,,,AU000000BGA8
https://wikirate.org/Walk_Free+Food_Beverages_Sector+BEGA_CHEESE_LIMITED+2021,Walk Free+Food & Beverages Sector,BEGA CHEESE LIMITED,2021,Yes,,,,,,AU000000BGA8
https://wikirate.org/Walk_Free+Food_Beverages_Sector+BEGA_CHEESE_LIMITED+2022,Walk Free+Food & Beverages Sector,BEGA CHEESE LIMITED,2022,Yes,,,,,,AU000000BGA8
https://wikirate.org/Walk_Free+Food_Beverages_Sector+BEGA_CHEESE_LIMITED+2023,Walk Free+Food & Beverages Sector,BEGA CHEESE LIMITED,2023,No,,,,,,AU000000BGA8
https://wikirate.org/Walk_Free+Garment_Sector+BEGA_CHEESE_LIMITED+2020,Walk Free+Garment Sector,BEGA CHEESE LIMITED,2020,No,,,,,,AU000000BGA8
https://wikirate.org/Walk_Free+Garment_Sector+BEGA_CHEESE_LIMITED+2021,Walk Free+Garment Sector,BEGA CHEESE LIMITED,2021,No,,,,,,AU000000BGA8
https://wikirate.org/Walk_Free+Garment_Sector+BEGA_CHEESE_LIMITED+2022,Walk Free+Garment Sector,BEGA CHEESE LIMITED,2022,No,,,,,,AU000000BGA8
https://wikirate.org/Walk_Free+Garment_Sector+BEGA_CHEESE_LIMITED+2023,Walk Free+Garment Sector,BEGA CHEESE LIMITED,2023,No,,,,,,AU000000BGA8
https://wikirate.org/~18046921,Australian Government Clean Energy Regulator+Greenhouse Gas Emissions (GHG) Scope 1,BEGA CHEESE LIMITED,2014,48193.0,https://wikirate.org/~18046440,18046921.0,https://www.cleanenergyregulator.gov.au/DocumentAssets/Pages/2013-14-Greenhouse-and-energy-information-by-registered-corporation.aspx,1.0,,AU000000BGA8
https://wikirate.org/~18050089,Australian Government Clean Energy Regulator+Greenhouse Gas Emissions (GHG) Scope 1,BEGA CHEESE LIMITED,2015,48447,https://wikirate.org/~18046447,18050089.0,https://www.cleanenergyregulator.gov.au/DocumentAssets/Pages/2014-15-Greenhouse-and-energy-information-by-registered-corporation.aspx,1.0,,AU000000BGA8
https://wikirate.org/~18052680,Australian Government Clean Energy Regulator+Greenhouse Gas Emissions (GHG) Scope 1,BEGA CHEESE LIMITED,2016,48124,https://wikirate.org/~18046454,18052680.0,https://www.cleanenergyregulator.gov.au/DocumentAssets/Pages/Greenhouse-and-energy-information-by-registered-corporation-2015-16.aspx,1.0,,AU000000BGA8
https://wikirate.org/~18055291,Australian Government Clean Energy Regulator+Greenhouse Gas Emissions (GHG) Scope 1,BEGA CHEESE LIMITED,2017,44560,https://wikirate.org/~18046461,18055291.0,https://www.cleanenergyregulator.gov.au/DocumentAssets/Pages/Greenhouse-and-energy-information-by-registered-corporation-2016-17.aspx,1.0,,AU000000BGA8
https://wikirate.org/~18057963,Australian Government Clean Energy Regulator+Greenhouse Gas Emissions (GHG) Scope 1,BEGA CHEESE LIMITED,2018,55633,https://wikirate.org/~18046468,18057963.0,https://www.cleanenergyregulator.gov.au/DocumentAssets/Pages/Greenhouse-and-energy-information-by-registered-corporation-2017-18.aspx,1.0,,AU000000BGA8
https://wikirate.org/~18060656,Australian Government Clean Energy Regulator+Greenhouse Gas Emissions (GHG) Scope 1,BEGA CHEESE LIMITED,2019,78641,https://wikirate.org/~18046475,18060656.0,https://www.cleanenergyregulator.gov.au/DocumentAssets/Pages/Greenhouse-and-energy-information-by-registered-corporation-2018-19.aspx,1.0,,AU000000BGA8
