Answer Page,Metric,Company,Year,Value,Source Page,Answer ID,Original Source,Source Count,Comments,ISIN
https://wikirate.org/~8067056,Commons+Address,Addo Food Group,2021,C/O Pork Farms Limited Queens Drive Nottingham NG2 1LU,https://wikirate.org/~8066337,8067056.0,https://downloads.modern-slavery-statement-registry.service.gov.uk/publicdownloads/StatementSummaries2021.csv,1.0,,
https://wikirate.org/~14145226,Commons+Address,Addo Food Group,2022,C/O Pork Farms Limited Queens Drive Nottingham NG2 1LU,https://wikirate.org/~13403182,14145226.0,https://downloads.modern-slavery-statement-registry.service.gov.uk/publicdownloads/StatementSummaries2022.csv,1.0,,
https://wikirate.org/Walk_Free+Australian_MSA_Registry_Submission+Addo_Food_Group+2016,Walk Free+Australian MSA Registry Submission,Addo Food Group,2016,No,,,,,,
https://wikirate.org/Walk_Free+Australian_MSA_Registry_Submission+Addo_Food_Group+2019,Walk Free+Australian MSA Registry Submission,Addo Food Group,2019,No,,,,,,
https://wikirate.org/Walk_Free+Australian_MSA_Registry_Submission+Addo_Food_Group+2020,Walk Free+Australian MSA Registry Submission,Addo Food Group,2020,No,,,,,,
https://wikirate.org/Walk_Free+Australian_MSA_Registry_Submission+Addo_Food_Group+2023,Walk Free+Australian MSA Registry Submission,Addo Food Group,2023,No,,,,,,
https://wikirate.org/Walk_Free+Australian_MSA_statement_assessed+Addo_Food_Group+2016,Walk Free+Australian MSA statement assessed,Addo Food Group,2016,No,,,,,,
https://wikirate.org/Walk_Free+Australian_MSA_statement_assessed+Addo_Food_Group+2019,Walk Free+Australian MSA statement assessed,Addo Food Group,2019,No,,,,,,
https://wikirate.org/Walk_Free+Australian_MSA_statement_assessed+Addo_Food_Group+2020,Walk Free+Australian MSA statement assessed,Addo Food Group,2020,No,,,,,,
https://wikirate.org/Walk_Free+Australian_MSA_statement_assessed+Addo_Food_Group+2023,Walk Free+Australian MSA statement assessed,Addo Food Group,2023,No,,,,,,
https://wikirate.org/Walk_Free+Company_size+Addo_Food_Group+2019,Walk Free+Company size,Addo Food Group,2019,Medium,,,,,,
https://wikirate.org/Walk_Free+Company_size+Addo_Food_Group+2020,Walk Free+Company size,Addo Food Group,2020,Medium,,,,,,
https://wikirate.org/Walk_Free+Company_size+Addo_Food_Group+2021,Walk Free+Company size,Addo Food Group,2021,Medium,,,,,,
https://wikirate.org/Core+Country+Addo_Food_Group+2019,Core+Country,Addo Food Group,2019,United Kingdom,,,,,,
https://wikirate.org/GreenDex+Country+Addo_Food_Group+2019,GreenDex+Country,Addo Food Group,2019,United Kingdom,,,,,,
https://wikirate.org/Apparel_Research_Group+Environmental_Initiatives_Commitments_Certifications_Participation+Addo_Food_Group+2018,"Apparel Research Group+Environmental Initiatives, Commitments & Certifications Participation",Addo Food Group,2018,Yes,,,,,,
https://wikirate.org/Apparel_Research_Group+Environmental_Initiatives_Commitments_Certifications_Participation+Addo_Food_Group+2019,"Apparel Research Group+Environmental Initiatives, Commitments & Certifications Participation",Addo Food Group,2019,Yes,,,,,,
https://wikirate.org/Apparel_Research_Group+Environmental_Initiatives_Commitments_Certifications_Participation+Addo_Food_Group+2020,"Apparel Research Group+Environmental Initiatives, Commitments & Certifications Participation",Addo Food Group,2020,Yes,,,,,,
https://wikirate.org/Apparel_Research_Group+Environmental_Initiatives_Commitments_Certifications_Participation+Apparel_Research_Group+Addo_Food_Group+2018,"Apparel Research Group+Environmental Initiatives, Commitments & Certifications Participation+Apparel Research Group",Addo Food Group,2018,10.0,,,,,,
https://wikirate.org/Apparel_Research_Group+Environmental_Initiatives_Commitments_Certifications_Participation+Apparel_Research_Group+Addo_Food_Group+2019,"Apparel Research Group+Environmental Initiatives, Commitments & Certifications Participation+Apparel Research Group",Addo Food Group,2019,10.0,,,,,,
https://wikirate.org/Apparel_Research_Group+Environmental_Initiatives_Commitments_Certifications_Participation+Apparel_Research_Group+Addo_Food_Group+2020,"Apparel Research Group+Environmental Initiatives, Commitments & Certifications Participation+Apparel Research Group",Addo Food Group,2020,10.0,,,,,,
https://wikirate.org/Apparel_Research_Group+Grievance_mechanism+Addo_Food_Group+2018,Apparel Research Group+Grievance mechanism,Addo Food Group,2018,No,,,,,,
