Answer Page,Metric,Company,Year,Value,Source Page,Answer ID,Original Source,Source Count,Comments,ISIN
https://wikirate.org/Walk_Free+Australian_MSA_Registry_Submission+COMPETITIVE_FOODS_AUSTRALIA_PTY_LTD+2020,Walk Free+Australian MSA Registry Submission,COMPETITIVE FOODS AUSTRALIA PTY LTD,2020,Yes,,,,,,
https://wikirate.org/Walk_Free+Australian_MSA_Registry_Submission+COMPETITIVE_FOODS_AUSTRALIA_PTY_LTD+2021,Walk Free+Australian MSA Registry Submission,COMPETITIVE FOODS AUSTRALIA PTY LTD,2021,Yes,,,,,,
https://wikirate.org/Walk_Free+Australian_MSA_Registry_Submission+COMPETITIVE_FOODS_AUSTRALIA_PTY_LTD+2022,Walk Free+Australian MSA Registry Submission,COMPETITIVE FOODS AUSTRALIA PTY LTD,2022,Yes,,,,,,
https://wikirate.org/Walk_Free+Australian_MSA_statement_assessed+COMPETITIVE_FOODS_AUSTRALIA_PTY_LTD+2020,Walk Free+Australian MSA statement assessed,COMPETITIVE FOODS AUSTRALIA PTY LTD,2020,No,,,,,,
https://wikirate.org/Walk_Free+Australian_MSA_statement_assessed+COMPETITIVE_FOODS_AUSTRALIA_PTY_LTD+2021,Walk Free+Australian MSA statement assessed,COMPETITIVE FOODS AUSTRALIA PTY LTD,2021,No,,,,,,
https://wikirate.org/Walk_Free+Australian_MSA_statement_assessed+COMPETITIVE_FOODS_AUSTRALIA_PTY_LTD+2022,Walk Free+Australian MSA statement assessed,COMPETITIVE FOODS AUSTRALIA PTY LTD,2022,No,,,,,,
https://wikirate.org/Walk_Free+Company_size+COMPETITIVE_FOODS_AUSTRALIA_PTY_LTD+2020,Walk Free+Company size,COMPETITIVE FOODS AUSTRALIA PTY LTD,2020,Large,,,,,,
https://wikirate.org/Walk_Free+Company_size+COMPETITIVE_FOODS_AUSTRALIA_PTY_LTD+2021,Walk Free+Company size,COMPETITIVE FOODS AUSTRALIA PTY LTD,2021,Large,,,,,,
https://wikirate.org/Walk_Free+Company_size+COMPETITIVE_FOODS_AUSTRALIA_PTY_LTD+2022,Walk Free+Company size,COMPETITIVE FOODS AUSTRALIA PTY LTD,2022,Large,,,,,,
https://wikirate.org/Walk_Free+Company_size+COMPETITIVE_FOODS_AUSTRALIA_PTY_LTD+2023,Walk Free+Company size,COMPETITIVE FOODS AUSTRALIA PTY LTD,2023,Large,,,,,,
https://wikirate.org/Core+Country+COMPETITIVE_FOODS_AUSTRALIA_PTY_LTD+2019,Core+Country,COMPETITIVE FOODS AUSTRALIA PTY LTD,2019,Australia,,,,,,
https://wikirate.org/GreenDex+Country+COMPETITIVE_FOODS_AUSTRALIA_PTY_LTD+2019,GreenDex+Country,COMPETITIVE FOODS AUSTRALIA PTY LTD,2019,Australia,,,,,,
https://wikirate.org/GreenDex+Energy_Consumption+COMPETITIVE_FOODS_AUSTRALIA_PTY_LTD+2014,GreenDex+Energy Consumption,COMPETITIVE FOODS AUSTRALIA PTY LTD,2014,961375.0,,,,,,
https://wikirate.org/GreenDex+Energy_Consumption+COMPETITIVE_FOODS_AUSTRALIA_PTY_LTD+2015,GreenDex+Energy Consumption,COMPETITIVE FOODS AUSTRALIA PTY LTD,2015,891379,,,,,,
https://wikirate.org/GreenDex+Energy_Consumption+COMPETITIVE_FOODS_AUSTRALIA_PTY_LTD+2016,GreenDex+Energy Consumption,COMPETITIVE FOODS AUSTRALIA PTY LTD,2016,835641,,,,,,
https://wikirate.org/GreenDex+Energy_Consumption+COMPETITIVE_FOODS_AUSTRALIA_PTY_LTD+2017,GreenDex+Energy Consumption,COMPETITIVE FOODS AUSTRALIA PTY LTD,2017,851841,,,,,,
https://wikirate.org/GreenDex+Energy_Consumption+COMPETITIVE_FOODS_AUSTRALIA_PTY_LTD+2018,GreenDex+Energy Consumption,COMPETITIVE FOODS AUSTRALIA PTY LTD,2018,862254,,,,,,
https://wikirate.org/GreenDex+Energy_Consumption+COMPETITIVE_FOODS_AUSTRALIA_PTY_LTD+2019,GreenDex+Energy Consumption,COMPETITIVE FOODS AUSTRALIA PTY LTD,2019,963297,,,,,,
https://wikirate.org/GreenDex+Energy_Consumption+COMPETITIVE_FOODS_AUSTRALIA_PTY_LTD+2020,GreenDex+Energy Consumption,COMPETITIVE FOODS AUSTRALIA PTY LTD,2020,820448,,,,,,
https://wikirate.org/GreenDex+Energy_Consumption+COMPETITIVE_FOODS_AUSTRALIA_PTY_LTD+2021,GreenDex+Energy Consumption,COMPETITIVE FOODS AUSTRALIA PTY LTD,2021,839366,,,,,,
https://wikirate.org/GreenDex+Energy_Consumption+COMPETITIVE_FOODS_AUSTRALIA_PTY_LTD+2022,GreenDex+Energy Consumption,COMPETITIVE FOODS AUSTRALIA PTY LTD,2022,803062,,,,,,
https://wikirate.org/GreenDex+Energy_Consumption+COMPETITIVE_FOODS_AUSTRALIA_PTY_LTD+2023,GreenDex+Energy Consumption,COMPETITIVE FOODS AUSTRALIA PTY LTD,2023,701310,,,,,,
https://wikirate.org/Walk_Free+Financial_Services_Sector+COMPETITIVE_FOODS_AUSTRALIA_PTY_LTD+2020,Walk Free+Financial Services Sector,COMPETITIVE FOODS AUSTRALIA PTY LTD,2020,No,,,,,,
https://wikirate.org/Walk_Free+Financial_Services_Sector+COMPETITIVE_FOODS_AUSTRALIA_PTY_LTD+2021,Walk Free+Financial Services Sector,COMPETITIVE FOODS AUSTRALIA PTY LTD,2021,No,,,,,,
https://wikirate.org/Walk_Free+Financial_Services_Sector+COMPETITIVE_FOODS_AUSTRALIA_PTY_LTD+2022,Walk Free+Financial Services Sector,COMPETITIVE FOODS AUSTRALIA PTY LTD,2022,No,,,,,,
https://wikirate.org/Walk_Free+Food_Beverages_Sector+COMPETITIVE_FOODS_AUSTRALIA_PTY_LTD+2020,Walk Free+Food & Beverages Sector,COMPETITIVE FOODS AUSTRALIA PTY LTD,2020,Yes,,,,,,
https://wikirate.org/Walk_Free+Food_Beverages_Sector+COMPETITIVE_FOODS_AUSTRALIA_PTY_LTD+2021,Walk Free+Food & Beverages Sector,COMPETITIVE FOODS AUSTRALIA PTY LTD,2021,Yes,,,,,,
https://wikirate.org/Walk_Free+Food_Beverages_Sector+COMPETITIVE_FOODS_AUSTRALIA_PTY_LTD+2022,Walk Free+Food & Beverages Sector,COMPETITIVE FOODS AUSTRALIA PTY LTD,2022,Yes,,,,,,
