Answer Page,Metric,Company,Year,Value,Source Page,Answer ID,Original Source,Source Count,Comments,ISIN
https://wikirate.org/~14160596,Commons+Address,STICKS 'N' SUSHI UK LIMITED,2022,"58, Wimbledon Hill Road London SW19 7PA",https://wikirate.org/~13403182,14160596.0,https://downloads.modern-slavery-statement-registry.service.gov.uk/publicdownloads/StatementSummaries2022.csv,1.0,,
https://wikirate.org/Walk_Free+Australian_MSA_Registry_Submission+STICKS_N_SUSHI_UK_LIMITED+2022,Walk Free+Australian MSA Registry Submission,STICKS 'N' SUSHI UK LIMITED,2022,No,,,,,,
https://wikirate.org/Walk_Free+Australian_MSA_statement_assessed+STICKS_N_SUSHI_UK_LIMITED+2022,Walk Free+Australian MSA statement assessed,STICKS 'N' SUSHI UK LIMITED,2022,No,,,,,,
https://wikirate.org/Walk_Free+Company_size+STICKS_N_SUSHI_UK_LIMITED+2022,Walk Free+Company size,STICKS 'N' SUSHI UK LIMITED,2022,Small,,,,,,
https://wikirate.org/Core+Country+STICKS_N_SUSHI_UK_LIMITED+2019,Core+Country,STICKS 'N' SUSHI UK LIMITED,2019,United Kingdom,,,,,,
https://wikirate.org/GreenDex+Country+STICKS_N_SUSHI_UK_LIMITED+2019,GreenDex+Country,STICKS 'N' SUSHI UK LIMITED,2019,United Kingdom,,,,,,
https://wikirate.org/Commons+Employee+STICKS_N_SUSHI_UK_LIMITED+2020,Commons+Employee,STICKS 'N' SUSHI UK LIMITED,2020,250 to 499,,,,,,
https://wikirate.org/Commons+Employee+STICKS_N_SUSHI_UK_LIMITED+2021,Commons+Employee,STICKS 'N' SUSHI UK LIMITED,2021,250 to 499,,,,,,
https://wikirate.org/Commons+Employee+STICKS_N_SUSHI_UK_LIMITED+2022,Commons+Employee,STICKS 'N' SUSHI UK LIMITED,2022,500 to 999,,,,,,
https://wikirate.org/Commons+Employee+STICKS_N_SUSHI_UK_LIMITED+2023,Commons+Employee,STICKS 'N' SUSHI UK LIMITED,2023,500 to 999,,,,,,
https://wikirate.org/~11478593,GOV.UK Gender Pay Gap Service+Employer Size,STICKS 'N' SUSHI UK LIMITED,2020,250 to 499,https://wikirate.org/~8767440,11478593.0,https://gender-pay-gap.service.gov.uk/viewing/download-data/2020,1.0,,
