Answer Page,Metric,Company,Year,Value,Source Page,Answer ID,Original Source,Source Count,Comments,ISIN
https://wikirate.org/Walk_Free+Australian_MSA_Registry_Submission+Australian_Agricultural_Company_Limited+2019,Walk Free+Australian MSA Registry Submission,Australian Agricultural Company Limited,2019,No,,,,,,AU000000AAC9
https://wikirate.org/Walk_Free+Australian_MSA_Registry_Submission+Australian_Agricultural_Company_Limited+2020,Walk Free+Australian MSA Registry Submission,Australian Agricultural Company Limited,2020,Yes,,,,,,AU000000AAC9
https://wikirate.org/Walk_Free+Australian_MSA_Registry_Submission+Australian_Agricultural_Company_Limited+2021,Walk Free+Australian MSA Registry Submission,Australian Agricultural Company Limited,2021,Yes,,,,,,AU000000AAC9
https://wikirate.org/Walk_Free+Australian_MSA_Registry_Submission+Australian_Agricultural_Company_Limited+2022,Walk Free+Australian MSA Registry Submission,Australian Agricultural Company Limited,2022,Yes,,,,,,AU000000AAC9
https://wikirate.org/Walk_Free+Australian_MSA_statement_assessed+Australian_Agricultural_Company_Limited+2019,Walk Free+Australian MSA statement assessed,Australian Agricultural Company Limited,2019,No,,,,,,AU000000AAC9
https://wikirate.org/Walk_Free+Australian_MSA_statement_assessed+Australian_Agricultural_Company_Limited+2020,Walk Free+Australian MSA statement assessed,Australian Agricultural Company Limited,2020,Partially assessed,,,,,,AU000000AAC9
https://wikirate.org/Walk_Free+Australian_MSA_statement_assessed+Australian_Agricultural_Company_Limited+2021,Walk Free+Australian MSA statement assessed,Australian Agricultural Company Limited,2021,No,,,,,,AU000000AAC9
https://wikirate.org/Walk_Free+Australian_MSA_statement_assessed+Australian_Agricultural_Company_Limited+2022,Walk Free+Australian MSA statement assessed,Australian Agricultural Company Limited,2022,No,,,,,,AU000000AAC9
https://wikirate.org/Walk_Free+Company_size+Australian_Agricultural_Company_Limited+2020,Walk Free+Company size,Australian Agricultural Company Limited,2020,Medium,,,,,,AU000000AAC9
https://wikirate.org/Walk_Free+Company_size+Australian_Agricultural_Company_Limited+2021,Walk Free+Company size,Australian Agricultural Company Limited,2021,Medium,,,,,,AU000000AAC9
https://wikirate.org/Walk_Free+Company_size+Australian_Agricultural_Company_Limited+2022,Walk Free+Company size,Australian Agricultural Company Limited,2022,Medium,,,,,,AU000000AAC9
https://wikirate.org/Core+Country+Australian_Agricultural_Company_Limited+2019,Core+Country,Australian Agricultural Company Limited,2019,Australia,,,,,,AU000000AAC9
https://wikirate.org/GreenDex+Country+Australian_Agricultural_Company_Limited+2019,GreenDex+Country,Australian Agricultural Company Limited,2019,Australia,,,,,,AU000000AAC9
https://wikirate.org/Walk_Free+Financial_Services_Sector+Australian_Agricultural_Company_Limited+2019,Walk Free+Financial Services Sector,Australian Agricultural Company Limited,2019,No,,,,,,AU000000AAC9
https://wikirate.org/Walk_Free+Financial_Services_Sector+Australian_Agricultural_Company_Limited+2020,Walk Free+Financial Services Sector,Australian Agricultural Company Limited,2020,No,,,,,,AU000000AAC9
https://wikirate.org/Walk_Free+Financial_Services_Sector+Australian_Agricultural_Company_Limited+2021,Walk Free+Financial Services Sector,Australian Agricultural Company Limited,2021,No,,,,,,AU000000AAC9
https://wikirate.org/Walk_Free+Financial_Services_Sector+Australian_Agricultural_Company_Limited+2022,Walk Free+Financial Services Sector,Australian Agricultural Company Limited,2022,No,,,,,,AU000000AAC9
https://wikirate.org/Walk_Free+Food_Beverages_Sector+Australian_Agricultural_Company_Limited+2019,Walk Free+Food & Beverages Sector,Australian Agricultural Company Limited,2019,No,,,,,,AU000000AAC9
https://wikirate.org/Walk_Free+Food_Beverages_Sector+Australian_Agricultural_Company_Limited+2020,Walk Free+Food & Beverages Sector,Australian Agricultural Company Limited,2020,Yes,,,,,,AU000000AAC9
https://wikirate.org/Walk_Free+Food_Beverages_Sector+Australian_Agricultural_Company_Limited+2021,Walk Free+Food & Beverages Sector,Australian Agricultural Company Limited,2021,Yes,,,,,,AU000000AAC9
https://wikirate.org/Walk_Free+Food_Beverages_Sector+Australian_Agricultural_Company_Limited+2022,Walk Free+Food & Beverages Sector,Australian Agricultural Company Limited,2022,Yes,,,,,,AU000000AAC9
https://wikirate.org/Walk_Free+Garment_Sector+Australian_Agricultural_Company_Limited+2019,Walk Free+Garment Sector,Australian Agricultural Company Limited,2019,No,,,,,,AU000000AAC9
https://wikirate.org/Walk_Free+Garment_Sector+Australian_Agricultural_Company_Limited+2020,Walk Free+Garment Sector,Australian Agricultural Company Limited,2020,No,,,,,,AU000000AAC9
https://wikirate.org/Walk_Free+Garment_Sector+Australian_Agricultural_Company_Limited+2021,Walk Free+Garment Sector,Australian Agricultural Company Limited,2021,No,,,,,,AU000000AAC9
https://wikirate.org/Walk_Free+Garment_Sector+Australian_Agricultural_Company_Limited+2022,Walk Free+Garment Sector,Australian Agricultural Company Limited,2022,No,,,,,,AU000000AAC9
https://wikirate.org/Apparel_Research_Group+Grievance_mechanism+Australian_Agricultural_Company_Limited+2018,Apparel Research Group+Grievance mechanism,Australian Agricultural Company Limited,2018,No,,,,,,AU000000AAC9
https://wikirate.org/Apparel_Research_Group+Grievance_mechanism+Australian_Agricultural_Company_Limited+2019,Apparel Research Group+Grievance mechanism,Australian Agricultural Company Limited,2019,No,,,,,,AU000000AAC9
https://wikirate.org/Apparel_Research_Group+Grievance_mechanism+Australian_Agricultural_Company_Limited+2020,Apparel Research Group+Grievance mechanism,Australian Agricultural Company Limited,2020,No,,,,,,AU000000AAC9
https://wikirate.org/Core+Headquarters_Location+Australian_Agricultural_Company_Limited+2019,Core+Headquarters Location,Australian Agricultural Company Limited,2019,Australia,,,,,,AU000000AAC9
https://wikirate.org/Walk_Free+Hospitality_Sector+Australian_Agricultural_Company_Limited+2019,Walk Free+Hospitality Sector,Australian Agricultural Company Limited,2019,No,,,,,,AU000000AAC9
