Answer Page,Metric,Company,Year,Value,Source Page,Answer ID,Original Source,Source Count,Comments,ISIN
https://wikirate.org/~8068575,Commons+Address,Premier Foods,2021,Premier House Centrium Business Park Griffiths Way St Albans Hertfordshire AL1 2RE,https://wikirate.org/~8066337,8068575.0,https://downloads.modern-slavery-statement-registry.service.gov.uk/publicdownloads/StatementSummaries2021.csv,1.0,,GB00B7N0K053;US74051J2006
https://wikirate.org/Walk_Free+Australian_MSA_Registry_Submission+Premier_Foods+2020,Walk Free+Australian MSA Registry Submission,Premier Foods,2020,No,,,,,,GB00B7N0K053;US74051J2006
https://wikirate.org/Walk_Free+Australian_MSA_Registry_Submission+Premier_Foods+2021,Walk Free+Australian MSA Registry Submission,Premier Foods,2021,No,,,,,,GB00B7N0K053;US74051J2006
https://wikirate.org/Walk_Free+Australian_MSA_Registry_Submission+Premier_Foods+2022,Walk Free+Australian MSA Registry Submission,Premier Foods,2022,No,,,,,,GB00B7N0K053;US74051J2006
https://wikirate.org/Walk_Free+Australian_MSA_Registry_Submission+Premier_Foods+2023,Walk Free+Australian MSA Registry Submission,Premier Foods,2023,No,,,,,,GB00B7N0K053;US74051J2006
https://wikirate.org/Walk_Free+Australian_MSA_statement_assessed+Premier_Foods+2020,Walk Free+Australian MSA statement assessed,Premier Foods,2020,No,,,,,,GB00B7N0K053;US74051J2006
https://wikirate.org/Walk_Free+Australian_MSA_statement_assessed+Premier_Foods+2021,Walk Free+Australian MSA statement assessed,Premier Foods,2021,No,,,,,,GB00B7N0K053;US74051J2006
https://wikirate.org/Walk_Free+Australian_MSA_statement_assessed+Premier_Foods+2022,Walk Free+Australian MSA statement assessed,Premier Foods,2022,No,,,,,,GB00B7N0K053;US74051J2006
https://wikirate.org/Walk_Free+Australian_MSA_statement_assessed+Premier_Foods+2023,Walk Free+Australian MSA statement assessed,Premier Foods,2023,No,,,,,,GB00B7N0K053;US74051J2006
https://wikirate.org/Commons+Company_Category+Premier_Foods+2019,Commons+Company Category,Premier Foods,2019,Unknown,,,,,,GB00B7N0K053;US74051J2006
https://wikirate.org/Walk_Free+Company_size+Premier_Foods+2020,Walk Free+Company size,Premier Foods,2020,Large,,,,,,GB00B7N0K053;US74051J2006
https://wikirate.org/Walk_Free+Company_size+Premier_Foods+2021,Walk Free+Company size,Premier Foods,2021,Large,,,,,,GB00B7N0K053;US74051J2006
https://wikirate.org/Walk_Free+Company_size+Premier_Foods+2023,Walk Free+Company size,Premier Foods,2023,Small,,,,,,GB00B7N0K053;US74051J2006
https://wikirate.org/Core+Country+Premier_Foods+2019,Core+Country,Premier Foods,2019,United Kingdom,,,,,,GB00B7N0K053;US74051J2006
https://wikirate.org/GreenDex+Country+Premier_Foods+2019,GreenDex+Country,Premier Foods,2019,United Kingdom,,,,,,GB00B7N0K053;US74051J2006
https://wikirate.org/Walk_Free+Financial_Services_Sector+Premier_Foods+2020,Walk Free+Financial Services Sector,Premier Foods,2020,No,,,,,,GB00B7N0K053;US74051J2006
https://wikirate.org/Walk_Free+Financial_Services_Sector+Premier_Foods+2021,Walk Free+Financial Services Sector,Premier Foods,2021,No,,,,,,GB00B7N0K053;US74051J2006
https://wikirate.org/Walk_Free+Financial_Services_Sector+Premier_Foods+2022,Walk Free+Financial Services Sector,Premier Foods,2022,No,,,,,,GB00B7N0K053;US74051J2006
https://wikirate.org/Walk_Free+Financial_Services_Sector+Premier_Foods+2023,Walk Free+Financial Services Sector,Premier Foods,2023,No,,,,,,GB00B7N0K053;US74051J2006
https://wikirate.org/Walk_Free+Food_Beverages_Sector+Premier_Foods+2020,Walk Free+Food & Beverages Sector,Premier Foods,2020,Yes,,,,,,GB00B7N0K053;US74051J2006
https://wikirate.org/Walk_Free+Food_Beverages_Sector+Premier_Foods+2021,Walk Free+Food & Beverages Sector,Premier Foods,2021,No,,,,,,GB00B7N0K053;US74051J2006
https://wikirate.org/Walk_Free+Food_Beverages_Sector+Premier_Foods+2022,Walk Free+Food & Beverages Sector,Premier Foods,2022,No,,,,,,GB00B7N0K053;US74051J2006
https://wikirate.org/Walk_Free+Food_Beverages_Sector+Premier_Foods+2023,Walk Free+Food & Beverages Sector,Premier Foods,2023,Yes,,,,,,GB00B7N0K053;US74051J2006
https://wikirate.org/Walk_Free+Garment_Sector+Premier_Foods+2020,Walk Free+Garment Sector,Premier Foods,2020,No,,,,,,GB00B7N0K053;US74051J2006
https://wikirate.org/Walk_Free+Garment_Sector+Premier_Foods+2021,Walk Free+Garment Sector,Premier Foods,2021,No,,,,,,GB00B7N0K053;US74051J2006
https://wikirate.org/Walk_Free+Garment_Sector+Premier_Foods+2022,Walk Free+Garment Sector,Premier Foods,2022,No,,,,,,GB00B7N0K053;US74051J2006
https://wikirate.org/Walk_Free+Garment_Sector+Premier_Foods+2023,Walk Free+Garment Sector,Premier Foods,2023,No,,,,,,GB00B7N0K053;US74051J2006
https://wikirate.org/Core+Headquarters_Location+Premier_Foods+2019,Core+Headquarters Location,Premier Foods,2019,United Kingdom,,,,,,GB00B7N0K053;US74051J2006
https://wikirate.org/Walk_Free+Hospitality_Sector+Premier_Foods+2020,Walk Free+Hospitality Sector,Premier Foods,2020,No,,,,,,GB00B7N0K053;US74051J2006
https://wikirate.org/Walk_Free+Hospitality_Sector+Premier_Foods+2021,Walk Free+Hospitality Sector,Premier Foods,2021,No,,,,,,GB00B7N0K053;US74051J2006
https://wikirate.org/Walk_Free+Hospitality_Sector+Premier_Foods+2022,Walk Free+Hospitality Sector,Premier Foods,2022,No,,,,,,GB00B7N0K053;US74051J2006
https://wikirate.org/Walk_Free+Hospitality_Sector+Premier_Foods+2023,Walk Free+Hospitality Sector,Premier Foods,2023,No,,,,,,GB00B7N0K053;US74051J2006
https://wikirate.org/Core+ILO_Region+Premier_Foods+2019,Core+ILO Region,Premier Foods,2019,Europe and Central Asia,,,,,,GB00B7N0K053;US74051J2006
https://wikirate.org/Commons+Industry+Premier_Foods+2019,Commons+Industry,Premier Foods,2019,Unknown,,,,,,GB00B7N0K053;US74051J2006
https://wikirate.org/~20178252,Home Office+MS Statement Grievance Mechanism Provisions,Premier Foods,2023,"Using anonymous whistleblowing services such as a helpline or mobile phone app, Through trade unions or other worker representative groups",https://wikirate.org/~19913637,20178252.0,https://modern-slavery-statement-registry.service.gov.uk/statement-summary/VujC95sO/2024,2.0,,GB00B7N0K053;US74051J2006
https://wikirate.org/~8347037,Home Office+MS Statement Includes Due Diligence,Premier Foods,2020,Yes,https://wikirate.org/~8075221,8347037.0,https://www.premierfoods.co.uk/CorporateSite/media/documents/responsibility/modern_slavery/Premier_Foods_Modern_Slavery_Statement_12_May_2021.pdf,2.0,,GB00B7N0K053;US74051J2006
https://wikirate.org/~15050270,Home Office+MS Statement Includes Due Diligence,Premier Foods,2021,Yes,https://wikirate.org/~15043131,15050270.0,https://modern-slavery-statement-registry.service.gov.uk/statement-summary/VujC95sO/2022,2.0,,GB00B7N0K053;US74051J2006
https://wikirate.org/~15478035,Home Office+MS Statement Includes Due Diligence,Premier Foods,2022,Yes,https://wikirate.org/~15400553,15478035.0,https://modern-slavery-statement-registry.service.gov.uk/statement-summary/C495qVDR/2023,2.0,,GB00B7N0K053;US74051J2006
https://wikirate.org/~20080276,Home Office+MS Statement Includes Due Diligence,Premier Foods,2023,Yes,https://wikirate.org/~19913637,20080276.0,https://modern-slavery-statement-registry.service.gov.uk/statement-summary/VujC95sO/2024,2.0,,GB00B7N0K053;US74051J2006
https://wikirate.org/~8377679,Home Office+MS Statement Includes Goals,Premier Foods,2020,Yes,https://wikirate.org/~8075221,8377679.0,https://www.premierfoods.co.uk/CorporateSite/media/documents/responsibility/modern_slavery/Premier_Foods_Modern_Slavery_Statement_12_May_2021.pdf,2.0,,GB00B7N0K053;US74051J2006
https://wikirate.org/~15053686,Home Office+MS Statement Includes Goals,Premier Foods,2021,Yes,https://wikirate.org/~15043131,15053686.0,https://modern-slavery-statement-registry.service.gov.uk/statement-summary/VujC95sO/2022,2.0,,GB00B7N0K053;US74051J2006
https://wikirate.org/~15496722,Home Office+MS Statement Includes Goals,Premier Foods,2022,Yes,https://wikirate.org/~15400553,15496722.0,https://modern-slavery-statement-registry.service.gov.uk/statement-summary/C495qVDR/2023,2.0,,GB00B7N0K053;US74051J2006
https://wikirate.org/~20129507,Home Office+MS Statement Includes Goals,Premier Foods,2023,Yes,https://wikirate.org/~19913637,20129507.0,https://modern-slavery-statement-registry.service.gov.uk/statement-summary/VujC95sO/2024,2.0,,GB00B7N0K053;US74051J2006
https://wikirate.org/~8298129,Home Office+MS Statement Includes Org Structure,Premier Foods,2020,Yes,https://wikirate.org/~8075221,8298129.0,https://www.premierfoods.co.uk/CorporateSite/media/documents/responsibility/modern_slavery/Premier_Foods_Modern_Slavery_Statement_12_May_2021.pdf,2.0,,GB00B7N0K053;US74051J2006
