Answer Page,Metric,Company,Year,Value,Source Page,Answer ID,Original Source,Source Count,Comments,ISIN
https://wikirate.org/Walk_Free+Australian_MSA_Registry_Submission+ALLIED_PINNACLE_PTY_LIMITED+2020,Walk Free+Australian MSA Registry Submission,ALLIED PINNACLE PTY LIMITED,2020,Yes,,,,,,
https://wikirate.org/Walk_Free+Australian_MSA_Registry_Submission+ALLIED_PINNACLE_PTY_LIMITED+2021,Walk Free+Australian MSA Registry Submission,ALLIED PINNACLE PTY LIMITED,2021,Yes,,,,,,
https://wikirate.org/Walk_Free+Australian_MSA_Registry_Submission+ALLIED_PINNACLE_PTY_LIMITED+2023,Walk Free+Australian MSA Registry Submission,ALLIED PINNACLE PTY LIMITED,2023,Yes,,,,,,
https://wikirate.org/Walk_Free+Australian_MSA_statement_assessed+ALLIED_PINNACLE_PTY_LIMITED+2020,Walk Free+Australian MSA statement assessed,ALLIED PINNACLE PTY LIMITED,2020,Partially assessed,,,,,,
https://wikirate.org/Walk_Free+Australian_MSA_statement_assessed+ALLIED_PINNACLE_PTY_LIMITED+2021,Walk Free+Australian MSA statement assessed,ALLIED PINNACLE PTY LIMITED,2021,No,,,,,,
https://wikirate.org/Walk_Free+Australian_MSA_statement_assessed+ALLIED_PINNACLE_PTY_LIMITED+2023,Walk Free+Australian MSA statement assessed,ALLIED PINNACLE PTY LIMITED,2023,No,,,,,,
https://wikirate.org/Walk_Free+Company_size+ALLIED_PINNACLE_PTY_LIMITED+2020,Walk Free+Company size,ALLIED PINNACLE PTY LIMITED,2020,Large,,,,,,
https://wikirate.org/Walk_Free+Company_size+ALLIED_PINNACLE_PTY_LIMITED+2021,Walk Free+Company size,ALLIED PINNACLE PTY LIMITED,2021,Medium,,,,,,
https://wikirate.org/Walk_Free+Company_size+ALLIED_PINNACLE_PTY_LIMITED+2022,Walk Free+Company size,ALLIED PINNACLE PTY LIMITED,2022,Medium,,,,,,
https://wikirate.org/Walk_Free+Company_size+ALLIED_PINNACLE_PTY_LIMITED+2023,Walk Free+Company size,ALLIED PINNACLE PTY LIMITED,2023,Medium,,,,,,
https://wikirate.org/Core+Country+ALLIED_PINNACLE_PTY_LIMITED+2019,Core+Country,ALLIED PINNACLE PTY LIMITED,2019,Australia,,,,,,
https://wikirate.org/GreenDex+Country+ALLIED_PINNACLE_PTY_LIMITED+2019,GreenDex+Country,ALLIED PINNACLE PTY LIMITED,2019,Australia,,,,,,
