Answer Page,Metric,Company,Year,Value,Source Page,Answer ID,Original Source,Source Count,Comments,ISIN
https://wikirate.org/~9840764,Commons+Address,READY EGG PRODUCTS LIMITED,2021,"116 Crom Road, Milltate Lisnaskea Enniskillen County Fermanagh BT92 0BN",https://wikirate.org/~8066337,9840764.0,https://downloads.modern-slavery-statement-registry.service.gov.uk/publicdownloads/StatementSummaries2021.csv,1.0,,
https://wikirate.org/~17686105,Commons+Address,READY EGG PRODUCTS LIMITED,2022,"116 Crom Road, Milltate Lisnaskea Enniskillen County Fermanagh BT92 0BN",https://wikirate.org/~16850554,17686105.0,https://downloads.modern-slavery-statement-registry.service.gov.uk/publicdownloads/StatementSummaries2023.csv,1.0,,
https://wikirate.org/Walk_Free+Australian_MSA_Registry_Submission+READY_EGG_PRODUCTS_LIMITED+2020,Walk Free+Australian MSA Registry Submission,READY EGG PRODUCTS LIMITED,2020,No,,,,,,
https://wikirate.org/Walk_Free+Australian_MSA_Registry_Submission+READY_EGG_PRODUCTS_LIMITED+2022,Walk Free+Australian MSA Registry Submission,READY EGG PRODUCTS LIMITED,2022,No,,,,,,
https://wikirate.org/Walk_Free+Australian_MSA_Registry_Submission+READY_EGG_PRODUCTS_LIMITED+2023,Walk Free+Australian MSA Registry Submission,READY EGG PRODUCTS LIMITED,2023,No,,,,,,
https://wikirate.org/Walk_Free+Australian_MSA_statement_assessed+READY_EGG_PRODUCTS_LIMITED+2020,Walk Free+Australian MSA statement assessed,READY EGG PRODUCTS LIMITED,2020,No,,,,,,
https://wikirate.org/Walk_Free+Australian_MSA_statement_assessed+READY_EGG_PRODUCTS_LIMITED+2022,Walk Free+Australian MSA statement assessed,READY EGG PRODUCTS LIMITED,2022,No,,,,,,
https://wikirate.org/Walk_Free+Australian_MSA_statement_assessed+READY_EGG_PRODUCTS_LIMITED+2023,Walk Free+Australian MSA statement assessed,READY EGG PRODUCTS LIMITED,2023,No,,,,,,
https://wikirate.org/Walk_Free+Company_size+READY_EGG_PRODUCTS_LIMITED+2020,Walk Free+Company size,READY EGG PRODUCTS LIMITED,2020,Small,,,,,,
https://wikirate.org/Walk_Free+Company_size+READY_EGG_PRODUCTS_LIMITED+2022,Walk Free+Company size,READY EGG PRODUCTS LIMITED,2022,Small,,,,,,
https://wikirate.org/Walk_Free+Company_size+READY_EGG_PRODUCTS_LIMITED+2023,Walk Free+Company size,READY EGG PRODUCTS LIMITED,2023,Small,,,,,,
https://wikirate.org/Core+Country+READY_EGG_PRODUCTS_LIMITED+2019,Core+Country,READY EGG PRODUCTS LIMITED,2019,United Kingdom,,,,,,
https://wikirate.org/GreenDex+Country+READY_EGG_PRODUCTS_LIMITED+2019,GreenDex+Country,READY EGG PRODUCTS LIMITED,2019,United Kingdom,,,,,,
https://wikirate.org/Walk_Free+Financial_Services_Sector+READY_EGG_PRODUCTS_LIMITED+2020,Walk Free+Financial Services Sector,READY EGG PRODUCTS LIMITED,2020,No,,,,,,
https://wikirate.org/Walk_Free+Financial_Services_Sector+READY_EGG_PRODUCTS_LIMITED+2022,Walk Free+Financial Services Sector,READY EGG PRODUCTS LIMITED,2022,No,,,,,,
https://wikirate.org/Walk_Free+Financial_Services_Sector+READY_EGG_PRODUCTS_LIMITED+2023,Walk Free+Financial Services Sector,READY EGG PRODUCTS LIMITED,2023,No,,,,,,
https://wikirate.org/Walk_Free+Food_Beverages_Sector+READY_EGG_PRODUCTS_LIMITED+2020,Walk Free+Food & Beverages Sector,READY EGG PRODUCTS LIMITED,2020,Yes,,,,,,
https://wikirate.org/Walk_Free+Food_Beverages_Sector+READY_EGG_PRODUCTS_LIMITED+2022,Walk Free+Food & Beverages Sector,READY EGG PRODUCTS LIMITED,2022,Yes,,,,,,
https://wikirate.org/Walk_Free+Food_Beverages_Sector+READY_EGG_PRODUCTS_LIMITED+2023,Walk Free+Food & Beverages Sector,READY EGG PRODUCTS LIMITED,2023,Yes,,,,,,
https://wikirate.org/Walk_Free+Garment_Sector+READY_EGG_PRODUCTS_LIMITED+2020,Walk Free+Garment Sector,READY EGG PRODUCTS LIMITED,2020,No,,,,,,
https://wikirate.org/Walk_Free+Garment_Sector+READY_EGG_PRODUCTS_LIMITED+2022,Walk Free+Garment Sector,READY EGG PRODUCTS LIMITED,2022,No,,,,,,
https://wikirate.org/Walk_Free+Garment_Sector+READY_EGG_PRODUCTS_LIMITED+2023,Walk Free+Garment Sector,READY EGG PRODUCTS LIMITED,2023,No,,,,,,
https://wikirate.org/Core+Headquarters_Location+READY_EGG_PRODUCTS_LIMITED+2019,Core+Headquarters Location,READY EGG PRODUCTS LIMITED,2019,United Kingdom,,,,,,
https://wikirate.org/Walk_Free+Hospitality_Sector+READY_EGG_PRODUCTS_LIMITED+2020,Walk Free+Hospitality Sector,READY EGG PRODUCTS LIMITED,2020,No,,,,,,
https://wikirate.org/Walk_Free+Hospitality_Sector+READY_EGG_PRODUCTS_LIMITED+2022,Walk Free+Hospitality Sector,READY EGG PRODUCTS LIMITED,2022,No,,,,,,
https://wikirate.org/Walk_Free+Hospitality_Sector+READY_EGG_PRODUCTS_LIMITED+2023,Walk Free+Hospitality Sector,READY EGG PRODUCTS LIMITED,2023,No,,,,,,
https://wikirate.org/~16636748,Home Office+ILO Indicators in MS Statement,READY EGG PRODUCTS LIMITED,2022,,https://wikirate.org/~16527078,16636748.0,https://modern-slavery-statement-registry.service.gov.uk/statement-summary/nDMC9lV8/2023,2.0,,
https://wikirate.org/Core+ILO_Region+READY_EGG_PRODUCTS_LIMITED+2019,Core+ILO Region,READY EGG PRODUCTS LIMITED,2019,Europe and Central Asia,,,,,,
