Answer Page,Metric,Company,Year,Value,Source Page,Answer ID,Original Source,Source Count,Comments,ISIN
https://wikirate.org/Walk_Free+Australian_MSA_Registry_Submission+JOHN_WEST_FOODS_LIMITED+2020,Walk Free+Australian MSA Registry Submission,JOHN WEST FOODS LIMITED,2020,No,,,,,,
https://wikirate.org/Walk_Free+Australian_MSA_Registry_Submission+JOHN_WEST_FOODS_LIMITED+2022,Walk Free+Australian MSA Registry Submission,JOHN WEST FOODS LIMITED,2022,No,,,,,,
https://wikirate.org/Walk_Free+Australian_MSA_Registry_Submission+JOHN_WEST_FOODS_LIMITED+2023,Walk Free+Australian MSA Registry Submission,JOHN WEST FOODS LIMITED,2023,No,,,,,,
https://wikirate.org/Walk_Free+Australian_MSA_statement_assessed+JOHN_WEST_FOODS_LIMITED+2020,Walk Free+Australian MSA statement assessed,JOHN WEST FOODS LIMITED,2020,No,,,,,,
https://wikirate.org/Walk_Free+Australian_MSA_statement_assessed+JOHN_WEST_FOODS_LIMITED+2022,Walk Free+Australian MSA statement assessed,JOHN WEST FOODS LIMITED,2022,No,,,,,,
https://wikirate.org/Walk_Free+Australian_MSA_statement_assessed+JOHN_WEST_FOODS_LIMITED+2023,Walk Free+Australian MSA statement assessed,JOHN WEST FOODS LIMITED,2023,No,,,,,,
https://wikirate.org/Walk_Free+Company_size+JOHN_WEST_FOODS_LIMITED+2020,Walk Free+Company size,JOHN WEST FOODS LIMITED,2020,Medium,,,,,,
https://wikirate.org/Walk_Free+Company_size+JOHN_WEST_FOODS_LIMITED+2023,Walk Free+Company size,JOHN WEST FOODS LIMITED,2023,Medium,,,,,,
https://wikirate.org/Core+Country+JOHN_WEST_FOODS_LIMITED+2019,Core+Country,JOHN WEST FOODS LIMITED,2019,United Kingdom,,,,,,
https://wikirate.org/GreenDex+Country+JOHN_WEST_FOODS_LIMITED+2019,GreenDex+Country,JOHN WEST FOODS LIMITED,2019,United Kingdom,,,,,,
https://wikirate.org/Walk_Free+Financial_Services_Sector+JOHN_WEST_FOODS_LIMITED+2020,Walk Free+Financial Services Sector,JOHN WEST FOODS LIMITED,2020,No,,,,,,
https://wikirate.org/Walk_Free+Financial_Services_Sector+JOHN_WEST_FOODS_LIMITED+2022,Walk Free+Financial Services Sector,JOHN WEST FOODS LIMITED,2022,No,,,,,,
https://wikirate.org/Walk_Free+Financial_Services_Sector+JOHN_WEST_FOODS_LIMITED+2023,Walk Free+Financial Services Sector,JOHN WEST FOODS LIMITED,2023,No,,,,,,
https://wikirate.org/Walk_Free+Food_Beverages_Sector+JOHN_WEST_FOODS_LIMITED+2020,Walk Free+Food & Beverages Sector,JOHN WEST FOODS LIMITED,2020,Yes,,,,,,
https://wikirate.org/Walk_Free+Food_Beverages_Sector+JOHN_WEST_FOODS_LIMITED+2022,Walk Free+Food & Beverages Sector,JOHN WEST FOODS LIMITED,2022,No,,,,,,
https://wikirate.org/Walk_Free+Food_Beverages_Sector+JOHN_WEST_FOODS_LIMITED+2023,Walk Free+Food & Beverages Sector,JOHN WEST FOODS LIMITED,2023,Yes,,,,,,
