Answer Page,Metric,Company,Year,Value,Source Page,Answer ID,Original Source,Source Count,Comments,ISIN
https://wikirate.org/~14154071,Commons+Address,"JOHN THOMPSON & SONS, LIMITED",2022,35/39 York Road Belfast BT15 3GW,https://wikirate.org/~13403182,14154071.0,https://downloads.modern-slavery-statement-registry.service.gov.uk/publicdownloads/StatementSummaries2022.csv,1.0,,
https://wikirate.org/Walk_Free+Australian_MSA_Registry_Submission+JOHN_THOMPSON_SONS_LIMITED+2020,Walk Free+Australian MSA Registry Submission,"JOHN THOMPSON & SONS, LIMITED",2020,No,,,,,,
https://wikirate.org/Walk_Free+Australian_MSA_Registry_Submission+JOHN_THOMPSON_SONS_LIMITED+2021,Walk Free+Australian MSA Registry Submission,"JOHN THOMPSON & SONS, LIMITED",2021,No,,,,,,
https://wikirate.org/Walk_Free+Australian_MSA_Registry_Submission+JOHN_THOMPSON_SONS_LIMITED+2022,Walk Free+Australian MSA Registry Submission,"JOHN THOMPSON & SONS, LIMITED",2022,No,,,,,,
https://wikirate.org/Walk_Free+Australian_MSA_statement_assessed+JOHN_THOMPSON_SONS_LIMITED+2020,Walk Free+Australian MSA statement assessed,"JOHN THOMPSON & SONS, LIMITED",2020,No,,,,,,
https://wikirate.org/Walk_Free+Australian_MSA_statement_assessed+JOHN_THOMPSON_SONS_LIMITED+2021,Walk Free+Australian MSA statement assessed,"JOHN THOMPSON & SONS, LIMITED",2021,No,,,,,,
https://wikirate.org/Walk_Free+Australian_MSA_statement_assessed+JOHN_THOMPSON_SONS_LIMITED+2022,Walk Free+Australian MSA statement assessed,"JOHN THOMPSON & SONS, LIMITED",2022,No,,,,,,
https://wikirate.org/Walk_Free+Company_size+JOHN_THOMPSON_SONS_LIMITED+2020,Walk Free+Company size,"JOHN THOMPSON & SONS, LIMITED",2020,Medium,,,,,,
https://wikirate.org/Walk_Free+Company_size+JOHN_THOMPSON_SONS_LIMITED+2021,Walk Free+Company size,"JOHN THOMPSON & SONS, LIMITED",2021,Medium,,,,,,
https://wikirate.org/Walk_Free+Company_size+JOHN_THOMPSON_SONS_LIMITED+2022,Walk Free+Company size,"JOHN THOMPSON & SONS, LIMITED",2022,Medium,,,,,,
https://wikirate.org/Core+Country+JOHN_THOMPSON_SONS_LIMITED+2019,Core+Country,"JOHN THOMPSON & SONS, LIMITED",2019,United Kingdom,,,,,,
https://wikirate.org/GreenDex+Country+JOHN_THOMPSON_SONS_LIMITED+2019,GreenDex+Country,"JOHN THOMPSON & SONS, LIMITED",2019,United Kingdom,,,,,,
https://wikirate.org/Walk_Free+Financial_Services_Sector+JOHN_THOMPSON_SONS_LIMITED+2020,Walk Free+Financial Services Sector,"JOHN THOMPSON & SONS, LIMITED",2020,No,,,,,,
https://wikirate.org/Walk_Free+Financial_Services_Sector+JOHN_THOMPSON_SONS_LIMITED+2021,Walk Free+Financial Services Sector,"JOHN THOMPSON & SONS, LIMITED",2021,No,,,,,,
https://wikirate.org/Walk_Free+Financial_Services_Sector+JOHN_THOMPSON_SONS_LIMITED+2022,Walk Free+Financial Services Sector,"JOHN THOMPSON & SONS, LIMITED",2022,No,,,,,,
https://wikirate.org/Walk_Free+Food_Beverages_Sector+JOHN_THOMPSON_SONS_LIMITED+2020,Walk Free+Food & Beverages Sector,"JOHN THOMPSON & SONS, LIMITED",2020,Yes,,,,,,
https://wikirate.org/Walk_Free+Food_Beverages_Sector+JOHN_THOMPSON_SONS_LIMITED+2021,Walk Free+Food & Beverages Sector,"JOHN THOMPSON & SONS, LIMITED",2021,Yes,,,,,,
https://wikirate.org/Walk_Free+Food_Beverages_Sector+JOHN_THOMPSON_SONS_LIMITED+2022,Walk Free+Food & Beverages Sector,"JOHN THOMPSON & SONS, LIMITED",2022,Yes,,,,,,
https://wikirate.org/Walk_Free+Garment_Sector+JOHN_THOMPSON_SONS_LIMITED+2020,Walk Free+Garment Sector,"JOHN THOMPSON & SONS, LIMITED",2020,No,,,,,,
